Timestamp,['1eb2a0fd-6a9df1f5 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) Current B']
2017-04-30T00:00:00-06:00,5.864859451850255 A
2017-05-01T00:00:00-06:00,9.294103145599365 A
2017-05-02T00:00:00-06:00,11.277262647946676 A
2017-05-03T00:00:00-06:00,10.351176982124647 A
2017-05-04T00:00:00-06:00,10.992036824425062 A
2017-05-05T00:00:00-06:00,9.132524092992147 A
2017-05-06T00:00:00-06:00,8.607703675826391 A
2017-05-07T00:00:00-06:00,8.13903264204661 A
2017-05-08T00:00:00-06:00,9.04435646533966 A
2017-05-09T00:00:00-06:00,9.223106985290846 A
2017-05-10T00:00:00-06:00,9.22493534286817 A
2017-05-11T00:00:00-06:00,8.84852639834086 A
2017-05-12T00:00:00-06:00,7.870062232017517 A
2017-05-13T00:00:00-06:00,6.2529067893822985 A
2017-05-14T00:00:00-06:00,6.160184080402057 A
2017-05-15T00:00:00-06:00,9.018960565328598 A
2017-05-16T00:00:00-06:00,8.402750819921494 A
2017-05-17T00:00:00-06:00,9.334581742684046 A
2017-05-18T00:00:00-06:00,9.724460343519846 A
2017-05-19T00:00:00-06:00,10.202224935094515 A
2017-05-20T00:00:00-06:00,7.49343466758728 A
2017-05-21T00:00:00-06:00,7.514241352677345 A
2017-05-22T00:00:00-06:00,10.329195256034533 A
2017-05-23T00:00:00-06:00,10.297625089685122 A
2017-05-24T00:00:00-06:00,9.71514117717743 A
2017-05-25T00:00:00-06:00,9.457065468033155 A
2017-05-26T00:00:00-06:00,8.801933402816454 A
2017-05-27T00:00:00-06:00,6.531336944981625 A
2017-05-28T00:00:00-06:00,6.527940870586194 A
2017-05-29T00:00:00-06:00,6.615492636958758 A
2017-05-30T00:00:00-06:00,8.720151163402356 A
2017-05-31T00:00:00-06:00,9.807860468824705 A
2017-06-01T00:00:00-06:00,10.233354349931082 A
2017-06-02T00:00:00-06:00,9.958723604679108 A
2017-06-03T00:00:00-06:00,8.27955530087153 A
2017-06-04T00:00:00-06:00,8.308792809645334 A
2017-06-05T00:00:00-06:00,11.916950975855192 A
2017-06-06T00:00:00-06:00,11.471142590045929 A
2017-06-07T00:00:00-06:00,11.760630160570145 A
2017-06-08T00:00:00-06:00,11.732381557424864 A
