Timestamp,['203f2680-5ae39b8e 0097-DUMKE GYMNASTICS CNTR Power Meter Current B']
2017-06-17T00:00:00-06:00,57.438706358273826 A
2017-06-18T00:00:00-06:00,49.41090043385824 A
2017-06-19T00:00:00-06:00,63.466721971829735 A
2017-06-20T00:00:00-06:00,70.68599617481232 A
2017-06-21T00:00:00-06:00,68.93030961354573 A
2017-06-22T00:00:00-06:00,67.87498410542806 A
2017-06-23T00:00:00-06:00,55.62277887264887 A
2017-06-24T00:00:00-06:00,52.869321604569755 A
2017-06-25T00:00:00-06:00,58.40911696354548 A
2017-06-26T00:00:00-06:00,71.27934698263805 A
2017-06-27T00:00:00-06:00,65.30011892318726 A
2017-06-28T00:00:00-06:00,58.751835564772286 A
2017-06-29T00:00:00-06:00,53.372352639834084 A
2017-06-30T00:00:00-06:00,56.67086442311605 A
2017-07-01T00:00:00-06:00,54.0348242521286 A
2017-07-02T00:00:00-06:00,61.41886274019877 A
2017-07-03T00:00:00-06:00,74.78787823518117 A
2017-07-04T00:00:00-06:00,69.36244197686513 A
2017-07-05T00:00:00-06:00,79.70534145832062 A
2017-07-06T00:00:00-06:00,81.7795215845108 A
2017-07-07T00:00:00-06:00,79.31133310000102 A
2017-07-08T00:00:00-06:00,71.68285683790843 A
2017-07-09T00:00:00-06:00,66.10117828845978 A
2017-07-10T00:00:00-06:00,70.90847452481587 A
2017-07-11T00:00:00-06:00,68.89279143015544 A
2017-07-12T00:00:00-06:00,73.498970468839 A
2017-07-13T00:00:00-06:00,69.53896685441335 A
2017-07-14T00:00:00-06:00,68.63629003365834 A
2017-07-15T00:00:00-06:00,64.0530595779419 A
2017-07-16T00:00:00-06:00,66.48728877305984 A
2017-07-17T00:00:00-06:00,70.38730367024739 A
2017-07-18T00:00:00-06:00,72.20959242184956 A
2017-07-19T00:00:00-06:00,69.77534993489583 A
2017-07-20T00:00:00-06:00,69.1995667219162 A
2017-07-21T00:00:00-06:00,69.66893255710602 A
2017-07-22T00:00:00-06:00,62.18228038152059 A
2017-07-23T00:00:00-06:00,60.89076946179072 A
2017-07-24T00:00:00-06:00,62.02963733673096 A
2017-07-25T00:00:00-06:00,67.33012648423512 A
2017-07-26T00:00:00-06:00,69.30607906977336 A
2017-07-27T00:00:00-06:00,64.98873432477315 A
2017-07-28T00:00:00-06:00,61.07867681980133 A
2017-07-29T00:00:00-06:00,58.51167714595795 A
2017-07-30T00:00:00-06:00,62.77672733863195 A
2017-07-31T00:00:00-06:00,71.75369075934093 A
2017-08-01T00:00:00-06:00,77.54533469676971 A
2017-08-02T00:00:00-06:00,71.1781903107961 A
2017-08-03T00:00:00-06:00,70.21028236548106 A
2017-08-04T00:00:00-06:00,63.32859584263393 A
2017-08-05T00:00:00-06:00,58.22252959012985 A
2017-08-06T00:00:00-06:00,56.30690477291743 A
2017-08-07T00:00:00-06:00,58.93286728858948 A
2017-08-08T00:00:00-06:00,51.641470650831856 A
2017-08-09T00:00:00-06:00,52.05843754609426 A
2017-08-10T00:00:00-06:00,52.63814558881394 A
2017-08-11T00:00:00-06:00,54.25013659397761 A
2017-08-12T00:00:00-06:00,57.75717983643214 A
2017-08-13T00:00:00-06:00,54.4546456587942 A
2017-08-14T00:00:00-06:00,49.43378494183222 A
2017-08-15T00:00:00-06:00,44.76177056630453 A
2017-08-16T00:00:00-06:00,48.148475309213005 A
2017-08-17T00:00:00-06:00,52.53006001313528 A
2017-08-18T00:00:00-06:00,53.29367804527283 A
2017-08-19T00:00:00-06:00,54.36929804086685 A
2017-08-20T00:00:00-06:00,54.91859354575475 A
2017-08-21T00:00:00-06:00,53.59317219257355 A
2017-08-22T00:00:00-06:00,56.12100062767664 A
2017-08-23T00:00:00-06:00,49.28982365131378 A
2017-08-24T00:00:00-06:00,55.36149187589947 A
2017-08-25T00:00:00-06:00,55.29267100493113 A
2017-08-26T00:00:00-06:00,57.012587666511536 A
2017-08-27T00:00:00-06:00,55.40349578857422 A
2017-08-28T00:00:00-06:00,60.71353715399037 A
2017-08-29T00:00:00-06:00,62.47617321629678 A
2017-08-30T00:00:00-06:00,61.271804650624595 A
2017-08-31T00:00:00-06:00,52.81287988026937 A
2017-09-01T00:00:00-06:00,52.057226498921715 A
2017-09-02T00:00:00-06:00,49.94808906316757 A
2017-09-03T00:00:00-06:00,53.58792348702749 A
2017-09-04T00:00:00-06:00,56.11893173058828 A
2017-09-05T00:00:00-06:00,62.19793291886648 A
2017-09-06T00:00:00-06:00,54.096573770046234 A
2017-09-07T00:00:00-06:00,55.21393253405889 A
2017-09-08T00:00:00-06:00,50.24023604142038 A
2017-09-09T00:00:00-06:00,40.78193656603495 A
2017-09-10T00:00:00-06:00,42.74449733893076 A
2017-09-11T00:00:00-06:00,49.75948635737101 A
2017-09-12T00:00:00-06:00,52.48728656768799 A
2017-09-13T00:00:00-06:00,45.84335684776306 A
2017-09-14T00:00:00-06:00,42.62166635195414 A
2017-09-15T00:00:00-06:00,39.45768447717031 A
2017-09-16T00:00:00-06:00,35.61852586269379 A
2017-09-17T00:00:00-06:00,38.11934530735016 A
2017-09-18T00:00:00-06:00,46.44796856244405 A
2017-09-19T00:00:00-06:00,41.63339386383692 A
2017-09-20T00:00:00-06:00,39.26848951975504 A
2017-09-21T00:00:00-06:00,41.280241986115776 A
2017-09-22T00:00:00-06:00,40.284082432587944 A
2017-09-23T00:00:00-06:00,38.85705838600794 A
2017-09-24T00:00:00-06:00,37.994127333164215 A
2017-09-25T00:00:00-06:00,45.218017061551414 A
2017-09-26T00:00:00-06:00,48.30657468239466 A
2017-09-27T00:00:00-06:00,46.258770763874054 A
2017-09-28T00:00:00-06:00,51.50058170159658 A
2017-09-29T00:00:00-06:00,54.07055433591207 A
2017-09-30T00:00:00-06:00,47.204918028178966 A
2017-10-01T00:00:00-06:00,47.57340323925018 A
2017-10-02T00:00:00-06:00,50.65925637880961 A
2017-10-03T00:00:00-06:00,51.29661997159322 A
2017-10-04T00:00:00-06:00,52.722720980644226 A
2017-10-05T00:00:00-06:00,52.37245829900106 A
2017-10-06T00:00:00-06:00,54.38090272744497 A
2017-10-07T00:00:00-06:00,48.83270561695099 A
2017-10-08T00:00:00-06:00,46.174447337786354 A
2017-10-09T00:00:00-06:00,46.92140503724416 A
2017-10-10T00:00:00-06:00,48.17321562767029 A
2017-10-11T00:00:00-06:00,45.654807686805725 A
2017-10-12T00:00:00-06:00,44.092897375424705 A
2017-10-13T00:00:00-06:00,43.40859758853912 A
2017-10-14T00:00:00-06:00,35.949712097644806 A
2017-10-15T00:00:00-06:00,33.87205626567205 A
2017-10-16T00:00:00-06:00,38.14142596721649 A
2017-10-17T00:00:00-06:00,40.511566857496895 A
2017-10-18T00:00:00-06:00,36.11432377497355 A
2017-10-19T00:00:00-06:00,42.48561302820841 A
2017-10-20T00:00:00-06:00,36.65574334065119 A
2017-10-21T00:00:00-06:00,33.920768777529396 A
2017-10-22T00:00:00-06:00,35.46375582615534 A
2017-10-23T00:00:00-06:00,38.375392039616905 A
2017-10-24T00:00:00-06:00,41.25622000296911 A
2017-10-25T00:00:00-06:00,37.646636644999184 A
2017-10-26T00:00:00-06:00,38.241790195306145 A
2017-10-27T00:00:00-06:00,37.44702007373174 A
2017-10-28T00:00:00-06:00,34.88006856044134 A
2017-10-29T00:00:00-06:00,36.117656926314034 A
2017-10-30T00:00:00-06:00,37.84487589200338 A
2017-10-31T00:00:00-06:00,36.57910484075546 A
2017-11-01T00:00:00-06:00,35.70127737522125 A
2017-11-02T00:00:00-06:00,39.66357187430064 A
2017-11-03T00:00:00-06:00,37.65170462926229 A
2017-11-04T00:00:00-06:00,35.041384855906166 A
2017-11-05T00:00:00-06:00,34.216097812652585 A
2017-11-06T00:00:00-07:00,36.820643762747444 A
2017-11-07T00:00:00-07:00,37.138540168603264 A
2017-11-08T00:00:00-07:00,34.49918534358343 A
2017-11-09T00:00:00-07:00,37.453475733598076 A
2017-11-10T00:00:00-07:00,36.208873530228935 A
2017-11-11T00:00:00-07:00,33.59570121765137 A
2017-11-12T00:00:00-07:00,34.33307681481043 A
2017-11-13T00:00:00-07:00,37.238307078679405 A
2017-11-14T00:00:00-07:00,38.00319401423136 A
2017-11-15T00:00:00-07:00,34.952167987823486 A
2017-11-16T00:00:00-07:00,37.39963563283285 A
2017-11-17T00:00:00-07:00,36.701511800289154 A
2017-11-18T00:00:00-07:00,34.81573059161504 A
2017-11-19T00:00:00-07:00,35.65843325853348 A
2017-11-20T00:00:00-07:00,40.137487987677254 A
2017-11-21T00:00:00-07:00,47.709794441858925 A
2017-11-22T00:00:00-07:00,44.93014204502106 A
2017-11-23T00:00:00-07:00,42.56267819801966 A
2017-11-24T00:00:00-07:00,44.761182030042015 A
2017-11-25T00:00:00-07:00,44.93246134122213 A
2017-11-26T00:00:00-07:00,42.951147417227425 A
2017-11-27T00:00:00-07:00,45.90588198105494 A
2017-11-28T00:00:00-07:00,42.75432330369949 A
2017-11-29T00:00:00-07:00,38.23390736182531 A
2017-11-30T00:00:00-07:00,46.68837169806162 A
2017-12-01T00:00:00-07:00,45.556373516718544 A
2017-12-02T00:00:00-07:00,42.67776697874069 A
2017-12-03T00:00:00-07:00,43.335387229919434 A
2017-12-04T00:00:00-07:00,46.785526196161904 A
2017-12-05T00:00:00-07:00,46.43148307005564 A
2017-12-06T00:00:00-07:00,43.466234842936196 A
2017-12-07T00:00:00-07:00,45.59477265675863 A
2017-12-08T00:00:00-07:00,44.31548122564951 A
2017-12-09T00:00:00-07:00,42.11610281467438 A
2017-12-10T00:00:00-07:00,42.08244442939758 A
2017-12-11T00:00:00-07:00,44.68793030579885 A
2017-12-12T00:00:00-07:00,42.7485486070315 A
2017-12-13T00:00:00-07:00,41.40265864133835 A
2017-12-14T00:00:00-07:00,43.36742556095123 A
2017-12-15T00:00:00-07:00,41.9586945772171 A
2017-12-16T00:00:00-07:00,38.9843341310819 A
2017-12-17T00:00:00-07:00,38.40551960468292 A
2017-12-18T00:00:00-07:00,39.85908344227781 A
2017-12-19T00:00:00-07:00,41.13403423627218 A
2017-12-20T00:00:00-07:00,41.62075912952423 A
2017-12-21T00:00:00-07:00,40.12432690461477 A
2017-12-22T00:00:00-07:00,39.07711716492971 A
2017-12-23T00:00:00-07:00,38.66774433851242 A
2017-12-24T00:00:00-07:00,38.525510470072426 A
2017-12-25T00:00:00-07:00,40.16391249497732 A
2017-12-26T00:00:00-07:00,41.18569417794546 A
2017-12-27T00:00:00-07:00,45.82760000228882 A
2017-12-28T00:00:00-07:00,44.83008368810018 A
2017-12-29T00:00:00-07:00,42.99703601996104 A
2017-12-30T00:00:00-07:00,44.93236416578293 A
2017-12-31T00:00:00-07:00,40.768714427948 A
