Timestamp,['1ed6298e-cd155c0f 0012-SUTTON BLDG POWER METER 208V (316602) Current C']
2017-05-05T00:00:00-06:00,147.2421052631579 A
2017-05-06T00:00:00-06:00,135.30208333333334 A
2017-05-07T00:00:00-06:00,135.1875 A
2017-05-08T00:00:00-06:00,147.04166666666666 A
2017-05-09T00:00:00-06:00,152.28125 A
2017-05-10T00:00:00-06:00,150.625 A
2017-05-11T00:00:00-06:00,150.51041666666666 A
2017-05-12T00:00:00-06:00,150.39583333333334 A
2017-05-13T00:00:00-06:00,138.95833333333334 A
2017-05-14T00:00:00-06:00,139.73958333333334 A
2017-05-15T00:00:00-06:00,148.28125 A
2017-05-16T00:00:00-06:00,153.32291666666666 A
2017-05-17T00:00:00-06:00,150.84375 A
2017-05-18T00:00:00-06:00,153.30208333333334 A
2017-05-19T00:00:00-06:00,153.5 A
2017-05-20T00:00:00-06:00,135.86458333333334 A
2017-05-21T00:00:00-06:00,135.82291666666666 A
2017-05-22T00:00:00-06:00,150.66666666666666 A
2017-05-23T00:00:00-06:00,156.83333333333334 A
2017-05-24T00:00:00-06:00,154.27083333333334 A
2017-05-25T00:00:00-06:00,150.97916666666666 A
2017-05-26T00:00:00-06:00,150.13541666666666 A
2017-05-27T00:00:00-06:00,136.8 A
2017-05-28T00:00:00-06:00,137.29473684210527 A
2017-05-29T00:00:00-06:00,136.36458333333334 A
2017-05-30T00:00:00-06:00,147.6 A
2017-05-31T00:00:00-06:00,153.42708333333334 A
2017-06-01T00:00:00-06:00,148.91666666666666 A
2017-06-02T00:00:00-06:00,149.97916666666666 A
2017-06-03T00:00:00-06:00,140.76041666666666 A
2017-06-04T00:00:00-06:00,137.75 A
2017-06-05T00:00:00-06:00,145.13541666666666 A
2017-06-06T00:00:00-06:00,144.32291666666666 A
2017-06-07T00:00:00-06:00,154.66666666666666 A
2017-06-08T00:00:00-06:00,157.92708333333334 A
2017-06-09T00:00:00-06:00,149.34375 A
2017-06-10T00:00:00-06:00,137.0625 A
2017-06-11T00:00:00-06:00,140.4375 A
2017-06-12T00:00:00-06:00,158.5 A
2017-06-13T00:00:00-06:00,158.08333333333334 A
2017-06-14T00:00:00-06:00,148.78125 A
2017-06-15T00:00:00-06:00,142.22916666666666 A
2017-06-16T00:00:00-06:00,145.39583333333334 A
2017-06-17T00:00:00-06:00,147.09375 A
2017-06-18T00:00:00-06:00,140.07291666666666 A
2017-06-19T00:00:00-06:00,147.625 A
2017-06-20T00:00:00-06:00,153.90625 A
2017-06-21T00:00:00-06:00,157.28125 A
2017-06-22T00:00:00-06:00,159.03125 A
2017-06-23T00:00:00-06:00,159.33333333333334 A
2017-06-24T00:00:00-06:00,143.54166666666666 A
2017-06-25T00:00:00-06:00,135.17708333333334 A
2017-06-26T00:00:00-06:00,151.47916666666666 A
2017-06-27T00:00:00-06:00,157.66666666666666 A
2017-06-28T00:00:00-06:00,150.42708333333334 A
2017-06-29T00:00:00-06:00,147.72916666666666 A
2017-06-30T00:00:00-06:00,149.90625 A
2017-07-01T00:00:00-06:00,135.66666666666666 A
2017-07-02T00:00:00-06:00,135 A
2017-07-03T00:00:00-06:00,147.48958333333334 A
2017-07-04T00:00:00-06:00,148.57291666666666 A
2017-07-05T00:00:00-06:00,144.15625 A
2017-07-06T00:00:00-06:00,151.20833333333334 A
2017-07-07T00:00:00-06:00,151.55208333333334 A
2017-07-08T00:00:00-06:00,138.94791666666666 A
2017-07-09T00:00:00-06:00,140.54166666666666 A
2017-07-10T00:00:00-06:00,150.02083333333334 A
2017-07-11T00:00:00-06:00,150.57291666666666 A
2017-07-12T00:00:00-06:00,144.97916666666666 A
2017-07-13T00:00:00-06:00,145.5 A
2017-07-14T00:00:00-06:00,124.01041666666667 A
2017-07-15T00:00:00-06:00,115.79166666666667 A
2017-07-16T00:00:00-06:00,113.58333333333333 A
2017-07-17T00:00:00-06:00,122.86458333333333 A
2017-07-18T00:00:00-06:00,125.5 A
2017-07-19T00:00:00-06:00,132.75 A
2017-07-20T00:00:00-06:00,148.58333333333334 A
2017-07-21T00:00:00-06:00,146.89583333333334 A
2017-07-22T00:00:00-06:00,129.89583333333334 A
2017-07-23T00:00:00-06:00,130.86458333333334 A
2017-07-24T00:00:00-06:00,130.52083333333334 A
2017-07-25T00:00:00-06:00,141.39583333333334 A
2017-07-26T00:00:00-06:00,142.57291666666666 A
2017-07-27T00:00:00-06:00,138.63541666666666 A
2017-07-28T00:00:00-06:00,144.56842105263158 A
2017-07-29T00:00:00-06:00,134.3125 A
2017-07-30T00:00:00-06:00,134.125 A
2017-07-31T00:00:00-06:00,145.6875 A
2017-08-01T00:00:00-06:00,150.57291666666666 A
2017-08-02T00:00:00-06:00,148.44791666666666 A
2017-08-03T00:00:00-06:00,159.30208333333334 A
2017-08-04T00:00:00-06:00,157.4 A
2017-08-05T00:00:00-06:00,138.88541666666666 A
2017-08-06T00:00:00-06:00,141.48958333333334 A
2017-08-07T00:00:00-06:00,145.88541666666666 A
2017-08-08T00:00:00-06:00,147.57291666666666 A
2017-08-09T00:00:00-06:00,149.08333333333334 A
2017-08-10T00:00:00-06:00,145.81914893617022 A
2017-08-11T00:00:00-06:00,146.39583333333334 A
2017-08-12T00:00:00-06:00,133.80208333333334 A
2017-08-13T00:00:00-06:00,134.92631578947368 A
2017-08-14T00:00:00-06:00,150.95833333333334 A
2017-08-15T00:00:00-06:00,154.80208333333334 A
2017-08-16T00:00:00-06:00,151.94736842105263 A
2017-08-17T00:00:00-06:00,147.05208333333334 A
