Timestamp,"['1ef4687c-125a21f1 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Watts, 3-Ph total']"
2017-02-17T00:00:00-07:00,171.9095001220703 kW
2017-02-18T00:00:00-07:00,154.05029296875 kW
2017-02-19T00:00:00-07:00,152.6146240234375 kW
2017-02-20T00:00:00-07:00,171.55291748046875 kW
2017-02-21T00:00:00-07:00,222.95887756347656 kW
2017-02-22T00:00:00-07:00,197.82151794433594 kW
2017-02-23T00:00:00-07:00,186.4819793701172 kW
2017-02-24T00:00:00-07:00,188.65281677246094 kW
2017-02-25T00:00:00-07:00,169.9766845703125 kW
2017-02-26T00:00:00-07:00,174.1061553955078 kW
2017-02-27T00:00:00-07:00,201.63873291015625 kW
2017-02-28T00:00:00-07:00,203.1665802001953 kW
2017-03-01T00:00:00-07:00,193.5870819091797 kW
2017-03-02T00:00:00-07:00,174.3229217529297 kW
2017-03-03T00:00:00-07:00,180.8465118408203 kW
2017-03-04T00:00:00-07:00,158.0023651123047 kW
2017-03-05T00:00:00-07:00,166.16094970703125 kW
2017-03-06T00:00:00-07:00,196.26156616210938 kW
2017-03-07T00:00:00-07:00,184.4525146484375 kW
2017-03-08T00:00:00-07:00,181.55645751953125 kW
2017-03-09T00:00:00-07:00,187.4608917236328 kW
2017-03-10T00:00:00-07:00,179.39364624023438 kW
2017-03-11T00:00:00-07:00,142.67733764648438 kW
2017-03-12T00:00:00-07:00,95.51097869873047 kW
2017-03-13T00:00:00-06:00,169.4045867919922 kW
2017-03-14T00:00:00-06:00,172.01219177246094 kW
2017-03-15T00:00:00-06:00,165.9024200439453 kW
2017-03-16T00:00:00-06:00,167.18124389648438 kW
2017-03-17T00:00:00-06:00,171.1982879638672 kW
2017-03-18T00:00:00-06:00,148.71302795410156 kW
2017-03-19T00:00:00-06:00,101.64166259765625 kW
2017-03-20T00:00:00-06:00,181.12982177734375 kW
2017-03-21T00:00:00-06:00,174.6687469482422 kW
2017-03-22T00:00:00-06:00,195.71200561523438 kW
2017-03-23T00:00:00-06:00,190.9637451171875 kW
2017-03-24T00:00:00-06:00,174.67147827148438 kW
2017-03-25T00:00:00-06:00,158.03944396972656 kW
2017-03-26T00:00:00-06:00,166.41195678710938 kW
2017-03-27T00:00:00-06:00,197.58709716796875 kW
2017-03-28T00:00:00-06:00,170.4644775390625 kW
2017-03-29T00:00:00-06:00,169.45188903808594 kW
2017-03-30T00:00:00-06:00,181.651611328125 kW
2017-03-31T00:00:00-06:00,195.4835968017578 kW
2017-04-01T00:00:00-06:00,144.7593231201172 kW
2017-04-02T00:00:00-06:00,150.824462890625 kW
2017-04-03T00:00:00-06:00,179.28546142578125 kW
2017-04-04T00:00:00-06:00,174.56686401367188 kW
2017-04-05T00:00:00-06:00,181.904296875 kW
2017-04-06T00:00:00-06:00,179.32061767578125 kW
2017-04-07T00:00:00-06:00,200.2095947265625 kW
2017-04-08T00:00:00-06:00,164.86642456054688 kW
2017-04-09T00:00:00-06:00,159.37115478515625 kW
2017-04-10T00:00:00-06:00,179.7935791015625 kW
2017-04-11T00:00:00-06:00,172.99606323242188 kW
2017-04-12T00:00:00-06:00,180.3542938232422 kW
2017-04-13T00:00:00-06:00,178.46420288085938 kW
2017-04-14T00:00:00-06:00,181.478515625 kW
2017-04-15T00:00:00-06:00,159.08470153808594 kW
2017-04-16T00:00:00-06:00,152.96200561523438 kW
2017-04-17T00:00:00-06:00,171.295166015625 kW
2017-04-18T00:00:00-06:00,171.9907989501953 kW
2017-04-19T00:00:00-06:00,170.3313446044922 kW
2017-04-20T00:00:00-06:00,195.6101531982422 kW
2017-04-21T00:00:00-06:00,167.1913604736328 kW
2017-04-22T00:00:00-06:00,151.68521118164062 kW
2017-04-23T00:00:00-06:00,107.28297424316406 kW
2017-04-24T00:00:00-06:00,172.09600830078125 kW
2017-04-25T00:00:00-06:00,196.0260467529297 kW
2017-04-26T00:00:00-06:00,175.9821319580078 kW
2017-04-27T00:00:00-06:00,187.85409545898438 kW
2017-04-28T00:00:00-06:00,178.9153594970703 kW
2017-04-29T00:00:00-06:00,170.12535095214844 kW
2017-04-30T00:00:00-06:00,156.81471252441406 kW
2017-05-01T00:00:00-06:00,169.25599670410156 kW
2017-05-02T00:00:00-06:00,183.36761474609375 kW
2017-05-03T00:00:00-06:00,171.4010772705078 kW
2017-05-04T00:00:00-06:00,173.45425415039062 kW
2017-05-05T00:00:00-06:00,186.71881103515625 kW
2017-05-06T00:00:00-06:00,162.0370330810547 kW
2017-05-07T00:00:00-06:00,98.26595306396484 kW
2017-05-08T00:00:00-06:00,182.14036560058594 kW
2017-05-09T00:00:00-06:00,175.2364959716797 kW
2017-05-10T00:00:00-06:00,176.40574645996094 kW
2017-05-11T00:00:00-06:00,171.3634490966797 kW
2017-05-12T00:00:00-06:00,179.47389221191406 kW
2017-05-13T00:00:00-06:00,136.5677032470703 kW
2017-05-14T00:00:00-06:00,139.4423065185547 kW
2017-05-15T00:00:00-06:00,160.92813110351562 kW
2017-05-16T00:00:00-06:00,173.3755340576172 kW
2017-05-17T00:00:00-06:00,175.28797912597656 kW
2017-05-18T00:00:00-06:00,165.484375 kW
2017-05-19T00:00:00-06:00,162.9835205078125 kW
2017-05-20T00:00:00-06:00,133.0574493408203 kW
2017-05-21T00:00:00-06:00,83.98373413085938 kW
2017-05-22T00:00:00-06:00,174.04832458496094 kW
2017-05-23T00:00:00-06:00,179.22718811035156 kW
2017-05-24T00:00:00-06:00,176.67630004882812 kW
2017-05-25T00:00:00-06:00,169.95130920410156 kW
2017-05-26T00:00:00-06:00,166.39376831054688 kW
2017-05-27T00:00:00-06:00,136.83692932128906 kW
2017-05-28T00:00:00-06:00,90.90556335449219 kW
2017-05-29T00:00:00-06:00,173.3916473388672 kW
2017-05-30T00:00:00-06:00,173.5630645751953 kW
2017-05-31T00:00:00-06:00,173.1388702392578 kW
2017-06-01T00:00:00-06:00,173.0117950439453 kW
2017-06-02T00:00:00-06:00,170.95404052734375 kW
2017-06-03T00:00:00-06:00,146.2784881591797 kW
2017-06-04T00:00:00-06:00,107.09040832519531 kW
2017-06-05T00:00:00-06:00,180.5424346923828 kW
2017-06-06T00:00:00-06:00,179.87294006347656 kW
2017-06-07T00:00:00-06:00,178.85179138183594 kW
2017-06-08T00:00:00-06:00,181.8664093017578 kW
2017-06-09T00:00:00-06:00,177.1619873046875 kW
2017-06-10T00:00:00-06:00,141.62789916992188 kW
2017-06-11T00:00:00-06:00,103.34530639648438 kW
2017-06-12T00:00:00-06:00,178.3384246826172 kW
2017-06-13T00:00:00-06:00,173.72869873046875 kW
2017-06-14T00:00:00-06:00,174.43014526367188 kW
2017-06-15T00:00:00-06:00,171.75161743164062 kW
2017-06-16T00:00:00-06:00,175.10691833496094 kW
2017-06-17T00:00:00-06:00,146.50877380371094 kW
2017-06-18T00:00:00-06:00,100.44026184082031 kW
2017-06-19T00:00:00-06:00,180.50375366210938 kW
2017-06-20T00:00:00-06:00,181.09097290039062 kW
2017-06-21T00:00:00-06:00,181.21939086914062 kW
2017-06-22T00:00:00-06:00,172.9110107421875 kW
2017-06-23T00:00:00-06:00,183.98007202148438 kW
2017-06-24T00:00:00-06:00,148.65383911132812 kW
2017-06-25T00:00:00-06:00,100.5546875 kW
2017-06-26T00:00:00-06:00,185.24440002441406 kW
2017-06-27T00:00:00-06:00,189.11483764648438 kW
2017-06-28T00:00:00-06:00,181.32046508789062 kW
2017-06-29T00:00:00-06:00,185.28475952148438 kW
2017-06-30T00:00:00-06:00,173.45542907714844 kW
2017-07-01T00:00:00-06:00,154.49008178710938 kW
2017-07-02T00:00:00-06:00,96.71675109863281 kW
2017-07-03T00:00:00-06:00,183.5930938720703 kW
2017-07-04T00:00:00-06:00,190.22525024414062 kW
2017-07-05T00:00:00-06:00,181.58938598632812 kW
2017-07-06T00:00:00-06:00,189.35455322265625 kW
2017-07-07T00:00:00-06:00,183.50364685058594 kW
2017-07-08T00:00:00-06:00,158.47332763671875 kW
2017-07-09T00:00:00-06:00,103.77030944824219 kW
2017-07-10T00:00:00-06:00,191.51043701171875 kW
2017-07-11T00:00:00-06:00,198.24514770507812 kW
2017-07-12T00:00:00-06:00,194.6583251953125 kW
2017-07-13T00:00:00-06:00,186.88912963867188 kW
2017-07-14T00:00:00-06:00,180.1923370361328 kW
2017-07-15T00:00:00-06:00,154.1980438232422 kW
2017-07-16T00:00:00-06:00,99.07475280761719 kW
2017-07-17T00:00:00-06:00,186.24124145507812 kW
2017-07-18T00:00:00-06:00,186.4896697998047 kW
2017-07-19T00:00:00-06:00,185.2749481201172 kW
2017-07-20T00:00:00-06:00,176.60452270507812 kW
2017-07-21T00:00:00-06:00,178.8088836669922 kW
2017-07-22T00:00:00-06:00,113.64842987060547 kW
2017-07-23T00:00:00-06:00,64.94707489013672 kW
2017-07-24T00:00:00-06:00,134.830810546875 kW
2017-07-25T00:00:00-06:00,117.89314270019531 kW
2017-07-26T00:00:00-06:00,126.29623413085938 kW
2017-07-27T00:00:00-06:00,120.09573364257812 kW
2017-07-28T00:00:00-06:00,120.84114074707031 kW
2017-07-29T00:00:00-06:00,110.96522521972656 kW
2017-07-30T00:00:00-06:00,70.2777099609375 kW
2017-07-31T00:00:00-06:00,124.2380599975586 kW
2017-08-01T00:00:00-06:00,131.09991455078125 kW
2017-08-02T00:00:00-06:00,126.51325225830078 kW
2017-08-03T00:00:00-06:00,123.5390625 kW
2017-08-04T00:00:00-06:00,127.069091796875 kW
2017-08-05T00:00:00-06:00,115.22265625 kW
2017-08-06T00:00:00-06:00,69.51322937011719 kW
2017-08-07T00:00:00-06:00,127.43243408203125 kW
2017-08-08T00:00:00-06:00,122.69049072265625 kW
2017-08-09T00:00:00-06:00,123.27366638183594 kW
2017-08-10T00:00:00-06:00,124.20157623291016 kW
2017-08-11T00:00:00-06:00,125.85480499267578 kW
2017-08-12T00:00:00-06:00,106.30250549316406 kW
2017-08-13T00:00:00-06:00,66.02529907226562 kW
2017-08-14T00:00:00-06:00,123.86915588378906 kW
2017-08-15T00:00:00-06:00,119.90736389160156 kW
2017-08-16T00:00:00-06:00,127.8978271484375 kW
2017-08-17T00:00:00-06:00,118.07696533203125 kW
2017-08-18T00:00:00-06:00,121.12252044677734 kW
2017-08-19T00:00:00-06:00,104.10603332519531 kW
2017-08-20T00:00:00-06:00,68.07411193847656 kW
2017-08-21T00:00:00-06:00,130.3407745361328 kW
2017-08-22T00:00:00-06:00,124.318359375 kW
2017-08-23T00:00:00-06:00,129.11204528808594 kW
2017-08-24T00:00:00-06:00,124.49927520751953 kW
2017-08-25T00:00:00-06:00,135.058349609375 kW
2017-08-26T00:00:00-06:00,107.62484741210938 kW
2017-08-27T00:00:00-06:00,65.24447631835938 kW
2017-08-28T00:00:00-06:00,184.70147705078125 kW
2017-08-29T00:00:00-06:00,129.58863830566406 kW
2017-08-30T00:00:00-06:00,127.29412078857422 kW
2017-08-31T00:00:00-06:00,121.67520904541016 kW
2017-09-01T00:00:00-06:00,124.2679672241211 kW
2017-09-02T00:00:00-06:00,106.93566131591797 kW
2017-09-03T00:00:00-06:00,63.184444427490234 kW
2017-09-04T00:00:00-06:00,120.74185180664062 kW
2017-09-05T00:00:00-06:00,137.2794189453125 kW
2017-09-06T00:00:00-06:00,136.9669189453125 kW
2017-09-07T00:00:00-06:00,122.30845642089844 kW
2017-09-08T00:00:00-06:00,129.7567901611328 kW
2017-09-09T00:00:00-06:00,106.40840148925781 kW
2017-09-10T00:00:00-06:00,64.16258239746094 kW
2017-09-11T00:00:00-06:00,127.83450317382812 kW
2017-09-12T00:00:00-06:00,126.45719909667969 kW
2017-09-13T00:00:00-06:00,138.2747802734375 kW
2017-09-14T00:00:00-06:00,125.32048034667969 kW
2017-09-15T00:00:00-06:00,138.0135955810547 kW
2017-09-16T00:00:00-06:00,96.90388488769531 kW
2017-09-17T00:00:00-06:00,72.51813507080078 kW
2017-09-18T00:00:00-06:00,119.89461517333984 kW
2017-09-19T00:00:00-06:00,123.32814025878906 kW
2017-09-20T00:00:00-06:00,129.65338134765625 kW
2017-09-21T00:00:00-06:00,122.72334289550781 kW
2017-09-22T00:00:00-06:00,126.2787094116211 kW
2017-09-23T00:00:00-06:00,107.87184143066406 kW
2017-09-24T00:00:00-06:00,117.48654174804688 kW
2017-09-25T00:00:00-06:00,130.50320434570312 kW
2017-09-26T00:00:00-06:00,125.51476287841797 kW
2017-09-27T00:00:00-06:00,133.87429809570312 kW
2017-09-28T00:00:00-06:00,123.71273803710938 kW
2017-09-29T00:00:00-06:00,127.41722869873047 kW
2017-09-30T00:00:00-06:00,99.1768798828125 kW
2017-10-01T00:00:00-06:00,63.65519714355469 kW
2017-10-02T00:00:00-06:00,127.29239654541016 kW
2017-10-03T00:00:00-06:00,122.15988159179688 kW
2017-10-04T00:00:00-06:00,131.42446899414062 kW
2017-10-05T00:00:00-06:00,118.92716217041016 kW
2017-10-06T00:00:00-06:00,114.49801635742188 kW
2017-10-07T00:00:00-06:00,100.08375549316406 kW
2017-10-08T00:00:00-06:00,104.36255645751953 kW
2017-10-09T00:00:00-06:00,118.8493423461914 kW
2017-10-10T00:00:00-06:00,149.84921264648438 kW
2017-10-11T00:00:00-06:00,130.4034881591797 kW
2017-10-12T00:00:00-06:00,122.94908142089844 kW
2017-10-13T00:00:00-06:00,135.45977783203125 kW
2017-10-14T00:00:00-06:00,109.82205963134766 kW
2017-10-15T00:00:00-06:00,117.60169982910156 kW
2017-10-16T00:00:00-06:00,133.141357421875 kW
2017-10-17T00:00:00-06:00,132.64697265625 kW
2017-10-18T00:00:00-06:00,128.64614868164062 kW
2017-10-19T00:00:00-06:00,121.90886688232422 kW
2017-10-20T00:00:00-06:00,120.36952209472656 kW
2017-10-21T00:00:00-06:00,96.52316284179688 kW
