Timestamp,['1d0db163-1d117b31 0025-SOCIAL & BEHAVIORAL SCIENCES Power Meter 300051 KW Total']
2017-04-26T00:00:00-06:00,106.57154846191406 kW
2017-04-27T00:00:00-06:00,104.4485092163086 kW
2017-04-28T00:00:00-06:00,107.46733856201172 kW
2017-04-29T00:00:00-06:00,94.79356384277344 kW
2017-04-30T00:00:00-06:00,113.1362075805664 kW
2017-05-01T00:00:00-06:00,114.23540496826172 kW
2017-05-02T00:00:00-06:00,113.34383392333984 kW
2017-05-03T00:00:00-06:00,115.12437438964844 kW
2017-05-04T00:00:00-06:00,394.5940246582031 kW
2017-05-05T00:00:00-06:00,371.5308837890625 kW
2017-05-06T00:00:00-06:00,254.3933563232422 kW
2017-05-07T00:00:00-06:00,271.1484069824219 kW
2017-05-08T00:00:00-06:00,284.1807556152344 kW
2017-05-09T00:00:00-06:00,255.4227752685547 kW
2017-05-10T00:00:00-06:00,267.65679931640625 kW
2017-05-11T00:00:00-06:00,270.3742370605469 kW
2017-05-12T00:00:00-06:00,276.88861083984375 kW
2017-05-13T00:00:00-06:00,94.15950012207031 kW
2017-05-14T00:00:00-06:00,105.33525848388672 kW
2017-05-15T00:00:00-06:00,112.13085174560547 kW
2017-05-16T00:00:00-06:00,234.5181884765625 kW
2017-05-17T00:00:00-06:00,101.91778564453125 kW
2017-05-18T00:00:00-06:00,113.4769058227539 kW
2017-05-19T00:00:00-06:00,217.53367614746094 kW
2017-05-20T00:00:00-06:00,107.93897247314453 kW
2017-05-21T00:00:00-06:00,112.31622314453125 kW
2017-05-22T00:00:00-06:00,361.5364685058594 kW
2017-05-23T00:00:00-06:00,285.0531311035156 kW
2017-05-24T00:00:00-06:00,258.58709716796875 kW
2017-05-25T00:00:00-06:00,270.9222106933594 kW
2017-05-26T00:00:00-06:00,262.320556640625 kW
2017-05-27T00:00:00-06:00,213.58766174316406 kW
2017-05-28T00:00:00-06:00,257.32635498046875 kW
2017-05-29T00:00:00-06:00,258.1314392089844 kW
2017-05-30T00:00:00-06:00,351.8431701660156 kW
2017-05-31T00:00:00-06:00,371.9134521484375 kW
2017-06-01T00:00:00-06:00,270.0775146484375 kW
2017-06-02T00:00:00-06:00,363.651123046875 kW
2017-06-03T00:00:00-06:00,271.22381591796875 kW
2017-06-04T00:00:00-06:00,285.7357482910156 kW
2017-06-05T00:00:00-06:00,283.17718505859375 kW
2017-06-06T00:00:00-06:00,286.0310363769531 kW
2017-06-07T00:00:00-06:00,269.56256103515625 kW
2017-06-08T00:00:00-06:00,360.4182434082031 kW
2017-06-09T00:00:00-06:00,264.90972900390625 kW
2017-06-10T00:00:00-06:00,247.9511260986328 kW
2017-06-11T00:00:00-06:00,352.6211853027344 kW
2017-06-12T00:00:00-06:00,242.5224151611328 kW
2017-06-13T00:00:00-06:00,233.03126525878906 kW
2017-06-14T00:00:00-06:00,253.6602325439453 kW
2017-06-15T00:00:00-06:00,289.7474060058594 kW
2017-06-16T00:00:00-06:00,265.6125183105469 kW
2017-06-17T00:00:00-06:00,246.69979858398438 kW
2017-06-18T00:00:00-06:00,259.8497009277344 kW
2017-06-19T00:00:00-06:00,270.9358215332031 kW
2017-06-20T00:00:00-06:00,334.24005126953125 kW
2017-06-21T00:00:00-06:00,288.9573669433594 kW
2017-06-22T00:00:00-06:00,111.84382629394531 kW
2017-06-23T00:00:00-06:00,123.2303695678711 kW
2017-06-24T00:00:00-06:00,120.35031127929688 kW
2017-06-25T00:00:00-06:00,101.02981567382812 kW
2017-06-26T00:00:00-06:00,343.1589050292969 kW
2017-06-27T00:00:00-06:00,294.23779296875 kW
2017-06-28T00:00:00-06:00,318.7784729003906 kW
2017-06-29T00:00:00-06:00,268.5022277832031 kW
2017-06-30T00:00:00-06:00,267.9184265136719 kW
2017-07-01T00:00:00-06:00,255.825439453125 kW
2017-07-02T00:00:00-06:00,254.51329040527344 kW
2017-07-03T00:00:00-06:00,263.71746826171875 kW
2017-07-04T00:00:00-06:00,261.48480224609375 kW
2017-07-05T00:00:00-06:00,308.0105895996094 kW
2017-07-06T00:00:00-06:00,311.33636474609375 kW
2017-07-07T00:00:00-06:00,303.1776428222656 kW
2017-07-08T00:00:00-06:00,340.1899108886719 kW
2017-07-09T00:00:00-06:00,403.6184387207031 kW
2017-07-10T00:00:00-06:00,428.8428649902344 kW
2017-07-11T00:00:00-06:00,290.26947021484375 kW
2017-07-12T00:00:00-06:00,294.9315490722656 kW
2017-07-13T00:00:00-06:00,315.4408874511719 kW
2017-07-14T00:00:00-06:00,275.5009460449219 kW
2017-07-15T00:00:00-06:00,267.0240478515625 kW
2017-07-16T00:00:00-06:00,264.41302490234375 kW
2017-07-17T00:00:00-06:00,302.6840515136719 kW
2017-07-18T00:00:00-06:00,278.8019714355469 kW
2017-07-19T00:00:00-06:00,262.4966735839844 kW
2017-07-20T00:00:00-06:00,255.1815643310547 kW
2017-07-21T00:00:00-06:00,253.0189208984375 kW
2017-07-22T00:00:00-06:00,250.10336303710938 kW
2017-07-23T00:00:00-06:00,246.14279174804688 kW
2017-07-24T00:00:00-06:00,236.18899536132812 kW
2017-07-25T00:00:00-06:00,270.5055236816406 kW
2017-07-26T00:00:00-06:00,271.8858337402344 kW
2017-07-27T00:00:00-06:00,292.2348937988281 kW
2017-07-28T00:00:00-06:00,311.6227722167969 kW
2017-07-29T00:00:00-06:00,261.9356994628906 kW
2017-07-30T00:00:00-06:00,262.44921875 kW
2017-07-31T00:00:00-06:00,290.7667236328125 kW
2017-08-01T00:00:00-06:00,267.9695129394531 kW
2017-08-02T00:00:00-06:00,267.9422912597656 kW
2017-08-03T00:00:00-06:00,289.51702880859375 kW
2017-08-04T00:00:00-06:00,266.6805725097656 kW
2017-08-05T00:00:00-06:00,263.77508544921875 kW
2017-08-06T00:00:00-06:00,273.8746032714844 kW
2017-08-07T00:00:00-06:00,266.0833740234375 kW
2017-08-08T00:00:00-06:00,276.03363037109375 kW
2017-08-09T00:00:00-06:00,276.54693603515625 kW
2017-08-10T00:00:00-06:00,369.7101135253906 kW
2017-08-11T00:00:00-06:00,283.7293701171875 kW
2017-08-12T00:00:00-06:00,270.2899475097656 kW
2017-08-13T00:00:00-06:00,280.052978515625 kW
2017-08-14T00:00:00-06:00,339.98187255859375 kW
2017-08-15T00:00:00-06:00,288.82183837890625 kW
2017-08-16T00:00:00-06:00,268.85577392578125 kW
2017-08-17T00:00:00-06:00,277.90704345703125 kW
2017-08-18T00:00:00-06:00,290.3106689453125 kW
2017-08-19T00:00:00-06:00,265.3469543457031 kW
2017-08-20T00:00:00-06:00,285.8096008300781 kW
2017-08-21T00:00:00-06:00,294.07080078125 kW
2017-08-22T00:00:00-06:00,289.8082580566406 kW
2017-08-23T00:00:00-06:00,280.6820373535156 kW
2017-08-24T00:00:00-06:00,301.07598876953125 kW
2017-08-25T00:00:00-06:00,283.3094177246094 kW
2017-08-26T00:00:00-06:00,283.5763244628906 kW
2017-08-27T00:00:00-06:00,369.1007080078125 kW
2017-08-28T00:00:00-06:00,281.75823974609375 kW
2017-08-29T00:00:00-06:00,283.2872009277344 kW
2017-08-30T00:00:00-06:00,311.8679504394531 kW
2017-08-31T00:00:00-06:00,384.45086669921875 kW
2017-09-01T00:00:00-06:00,299.3808288574219 kW
2017-09-02T00:00:00-06:00,269.8861083984375 kW
2017-09-03T00:00:00-06:00,318.73565673828125 kW
2017-09-04T00:00:00-06:00,278.43878173828125 kW
2017-09-05T00:00:00-06:00,290.7662048339844 kW
2017-09-06T00:00:00-06:00,293.27496337890625 kW
2017-09-07T00:00:00-06:00,285.37188720703125 kW
2017-09-08T00:00:00-06:00,341.9587707519531 kW
2017-09-09T00:00:00-06:00,265.0053405761719 kW
2017-09-10T00:00:00-06:00,269.26116943359375 kW
2017-09-11T00:00:00-06:00,282.56756591796875 kW
2017-09-12T00:00:00-06:00,279.02740478515625 kW
2017-09-13T00:00:00-06:00,280.20916748046875 kW
2017-09-14T00:00:00-06:00,343.1499938964844 kW
2017-09-15T00:00:00-06:00,311.6490478515625 kW
2017-09-16T00:00:00-06:00,239.46632385253906 kW
2017-09-17T00:00:00-06:00,257.6657409667969 kW
2017-09-18T00:00:00-06:00,320.0830993652344 kW
2017-09-19T00:00:00-06:00,224.3896026611328 kW
2017-09-20T00:00:00-06:00,282.72698974609375 kW
2017-09-21T00:00:00-06:00,228.1068878173828 kW
2017-09-22T00:00:00-06:00,207.3019561767578 kW
2017-09-23T00:00:00-06:00,105.53887176513672 kW
2017-09-24T00:00:00-06:00,93.01985168457031 kW
2017-09-25T00:00:00-06:00,112.9217758178711 kW
2017-09-26T00:00:00-06:00,221.322998046875 kW
2017-09-27T00:00:00-06:00,256.8605041503906 kW
2017-09-28T00:00:00-06:00,244.96511840820312 kW
2017-09-29T00:00:00-06:00,238.29298400878906 kW
2017-09-30T00:00:00-06:00,226.68710327148438 kW
2017-10-01T00:00:00-06:00,99.34278106689453 kW
2017-10-02T00:00:00-06:00,109.84693908691406 kW
2017-10-03T00:00:00-06:00,207.69918823242188 kW
2017-10-04T00:00:00-06:00,293.33172607421875 kW
2017-10-05T00:00:00-06:00,110.34625244140625 kW
2017-10-06T00:00:00-06:00,212.76443481445312 kW
2017-10-07T00:00:00-06:00,115.0007095336914 kW
2017-10-08T00:00:00-06:00,97.03873443603516 kW
2017-10-09T00:00:00-06:00,106.22636413574219 kW
2017-10-10T00:00:00-06:00,241.0843505859375 kW
2017-10-11T00:00:00-06:00,278.9715576171875 kW
2017-10-12T00:00:00-06:00,113.46317291259766 kW
2017-10-13T00:00:00-06:00,122.39208221435547 kW
2017-10-14T00:00:00-06:00,92.80017852783203 kW
2017-10-15T00:00:00-06:00,99.95358276367188 kW
2017-10-16T00:00:00-06:00,125.51807403564453 kW
2017-10-17T00:00:00-06:00,241.65609741210938 kW
2017-10-18T00:00:00-06:00,253.31082153320312 kW
2017-10-19T00:00:00-06:00,276.5496826171875 kW
2017-10-20T00:00:00-06:00,254.7576141357422 kW
2017-10-21T00:00:00-06:00,200.1466064453125 kW
2017-10-22T00:00:00-06:00,249.50733947753906 kW
2017-10-23T00:00:00-06:00,238.94107055664062 kW
2017-10-24T00:00:00-06:00,229.4906768798828 kW
2017-10-25T00:00:00-06:00,262.5765075683594 kW
2017-10-26T00:00:00-06:00,117.73434448242188 kW
2017-10-27T00:00:00-06:00,236.86334228515625 kW
2017-10-28T00:00:00-06:00,120.7721176147461 kW
2017-10-29T00:00:00-06:00,118.27120208740234 kW
2017-10-30T00:00:00-06:00,120.28734588623047 kW
2017-10-31T00:00:00-06:00,114.8620834350586 kW
2017-11-01T00:00:00-06:00,119.83634948730469 kW
2017-11-02T00:00:00-06:00,117.24454498291016 kW
2017-11-03T00:00:00-06:00,122.7635726928711 kW
2017-11-04T00:00:00-06:00,115.354248046875 kW
2017-11-05T00:00:00-06:00,107.34657287597656 kW
