Timestamp,['1cca74bc-d05b4ffd 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts CA']
2017-05-02T00:00:00-06:00,213.04166666666666 V
2017-05-03T00:00:00-06:00,213.15208333333334 V
2017-05-04T00:00:00-06:00,213.15833333333333 V
2017-05-05T00:00:00-06:00,213.22916666666666 V
2017-05-06T00:00:00-06:00,213.31319444444443 V
2017-05-07T00:00:00-06:00,213.23402777777778 V
2017-05-08T00:00:00-06:00,213.1323943661972 V
2017-05-09T00:00:00-06:00,213.12708333333333 V
2017-05-10T00:00:00-06:00,213.08680555555554 V
2017-05-11T00:00:00-06:00,212.92013888888889 V
2017-05-12T00:00:00-06:00,213.30208333333334 V
2017-05-13T00:00:00-06:00,213.42083333333332 V
2017-05-14T00:00:00-06:00,212.96805555555557 V
2017-05-15T00:00:00-06:00,212.98333333333332 V
2017-05-16T00:00:00-06:00,213.23776223776224 V
2017-05-17T00:00:00-06:00,213.27777777777777 V
2017-05-18T00:00:00-06:00,212.8972222222222 V
2017-05-19T00:00:00-06:00,213.29861111111111 V
2017-05-20T00:00:00-06:00,213.2513888888889 V
2017-05-21T00:00:00-06:00,213.14583333333334 V
2017-05-22T00:00:00-06:00,213.14513888888888 V
2017-05-23T00:00:00-06:00,212.99930555555557 V
2017-05-24T00:00:00-06:00,213.18125 V
2017-05-25T00:00:00-06:00,213.1173611111111 V
2017-05-26T00:00:00-06:00,213.11111111111111 V
2017-05-27T00:00:00-06:00,213.17430555555555 V
2017-05-28T00:00:00-06:00,213.23611111111111 V
2017-05-29T00:00:00-06:00,213.15347222222223 V
2017-05-30T00:00:00-06:00,213.22847222222222 V
2017-05-31T00:00:00-06:00,213.04236111111112 V
2017-06-01T00:00:00-06:00,213.3048611111111 V
2017-06-02T00:00:00-06:00,213.09097222222223 V
2017-06-03T00:00:00-06:00,213.22222222222223 V
2017-06-04T00:00:00-06:00,213.1326388888889 V
2017-06-05T00:00:00-06:00,212.98611111111111 V
2017-06-06T00:00:00-06:00,213.03541666666666 V
2017-06-07T00:00:00-06:00,213.13194444444446 V
2017-06-08T00:00:00-06:00,213.20138888888889 V
2017-06-09T00:00:00-06:00,213.0625 V
2017-06-10T00:00:00-06:00,213.01041666666666 V
2017-06-11T00:00:00-06:00,213.06153846153848 V
2017-06-12T00:00:00-06:00,213.14583333333334 V
2017-06-13T00:00:00-06:00,213.01805555555555 V
2017-06-14T00:00:00-06:00,212.95208333333332 V
2017-06-15T00:00:00-06:00,212.95347222222222 V
2017-06-16T00:00:00-06:00,213.00694444444446 V
2017-06-17T00:00:00-06:00,213.16458333333333 V
2017-06-18T00:00:00-06:00,213.23611111111111 V
2017-06-19T00:00:00-06:00,213.02083333333334 V
2017-06-20T00:00:00-06:00,213.07083333333333 V
2017-06-21T00:00:00-06:00,212.99305555555554 V
2017-06-22T00:00:00-06:00,213.25 V
2017-06-23T00:00:00-06:00,213.15694444444443 V
2017-06-24T00:00:00-06:00,213.225 V
2017-06-25T00:00:00-06:00,213.375 V
2017-06-26T00:00:00-06:00,212.92575406032483 V
2017-06-27T00:00:00-06:00,213.22916666666666 V
2017-06-28T00:00:00-06:00,213.05208333333334 V
2017-06-29T00:00:00-06:00,213.15625 V
2017-06-30T00:00:00-06:00,213.11458333333334 V
2017-07-01T00:00:00-06:00,213.07291666666666 V
2017-07-02T00:00:00-06:00,213.36458333333334 V
2017-07-03T00:00:00-06:00,213.03125 V
2017-07-04T00:00:00-06:00,213.3125 V
2017-07-05T00:00:00-06:00,213.10416666666666 V
2017-07-06T00:00:00-06:00,213.14583333333334 V
2017-07-07T00:00:00-06:00,213.11458333333334 V
2017-07-08T00:00:00-06:00,213.22105263157894 V
2017-07-09T00:00:00-06:00,213.16666666666666 V
2017-07-10T00:00:00-06:00,213.08333333333334 V
2017-07-11T00:00:00-06:00,213.01041666666666 V
2017-07-12T00:00:00-06:00,213.09375 V
2017-07-13T00:00:00-06:00,213.28125 V
2017-07-14T00:00:00-06:00,213.23958333333334 V
2017-07-15T00:00:00-06:00,213.17708333333334 V
2017-07-16T00:00:00-06:00,213.16666666666666 V
2017-07-17T00:00:00-06:00,213.07291666666666 V
2017-07-18T00:00:00-06:00,213.02083333333334 V
2017-07-19T00:00:00-06:00,213.05263157894737 V
2017-07-20T00:00:00-06:00,213.08333333333334 V
2017-07-21T00:00:00-06:00,212.97916666666666 V
2017-07-22T00:00:00-06:00,213.08333333333334 V
2017-07-23T00:00:00-06:00,213.39583333333334 V
2017-07-24T00:00:00-06:00,213.29166666666666 V
2017-07-25T00:00:00-06:00,213.26041666666666 V
2017-07-26T00:00:00-06:00,213.08333333333334 V
2017-07-27T00:00:00-06:00,213.20833333333334 V
2017-07-28T00:00:00-06:00,213.08333333333334 V
2017-07-29T00:00:00-06:00,213.28125 V
2017-07-30T00:00:00-06:00,213.21875 V
2017-07-31T00:00:00-06:00,213.26041666666666 V
2017-08-01T00:00:00-06:00,213.23958333333334 V
2017-08-02T00:00:00-06:00,213.09375 V
2017-08-03T00:00:00-06:00,213.08333333333334 V
2017-08-04T00:00:00-06:00,213.14606741573033 V
2017-08-05T00:00:00-06:00,213.27083333333334 V
2017-08-06T00:00:00-06:00,213.23958333333334 V
2017-08-07T00:00:00-06:00,213.0625 V
2017-08-08T00:00:00-06:00,213.19791666666666 V
2017-08-09T00:00:00-06:00,213.0108695652174 V
2017-08-10T00:00:00-06:00,213.09782608695653 V
2017-08-11T00:00:00-06:00,213.23958333333334 V
2017-08-12T00:00:00-06:00,213.13541666666666 V
2017-08-13T00:00:00-06:00,213.45833333333334 V
2017-08-14T00:00:00-06:00,213.16666666666666 V
2017-08-15T00:00:00-06:00,213.20833333333334 V
2017-08-16T00:00:00-06:00,213.01041666666666 V
2017-08-17T00:00:00-06:00,212.97916666666666 V
2017-08-18T00:00:00-06:00,212.94791666666666 V
2017-08-19T00:00:00-06:00,213.07291666666666 V
2017-08-20T00:00:00-06:00,213.15625 V
2017-08-21T00:00:00-06:00,213.04166666666666 V
2017-08-22T00:00:00-06:00,212.88541666666666 V
2017-08-23T00:00:00-06:00,212.95833333333334 V
2017-08-24T00:00:00-06:00,212.86458333333334 V
2017-08-25T00:00:00-06:00,212.89583333333334 V
2017-08-26T00:00:00-06:00,212.79166666666666 V
2017-08-27T00:00:00-06:00,212.89583333333334 V
2017-08-28T00:00:00-06:00,213.08988764044943 V
2017-08-29T00:00:00-06:00,213.1888888888889 V
2017-08-30T00:00:00-06:00,213.10416666666666 V
2017-08-31T00:00:00-06:00,213.22916666666666 V
2017-09-01T00:00:00-06:00,213.09375 V
2017-09-02T00:00:00-06:00,213.0625 V
2017-09-03T00:00:00-06:00,213.26041666666666 V
2017-09-04T00:00:00-06:00,213 V
2017-09-05T00:00:00-06:00,212.98958333333334 V
2017-09-06T00:00:00-06:00,212.97894736842105 V
2017-09-07T00:00:00-06:00,213.03157894736842 V
2017-09-08T00:00:00-06:00,213.09677419354838 V
2017-09-09T00:00:00-06:00,213.1875 V
2017-09-10T00:00:00-06:00,213.22916666666666 V
2017-09-11T00:00:00-06:00,212.9375 V
2017-09-12T00:00:00-06:00,213.25 V
2017-09-13T00:00:00-06:00,212.96875 V
2017-09-14T00:00:00-06:00,213.20833333333334 V
2017-09-15T00:00:00-06:00,213.14583333333334 V
2017-09-16T00:00:00-06:00,213.5 V
2017-09-17T00:00:00-06:00,212.98958333333334 V
2017-09-18T00:00:00-06:00,213.13541666666666 V
2017-09-19T00:00:00-06:00,212.83333333333334 V
2017-09-20T00:00:00-06:00,213.125 V
2017-09-21T00:00:00-06:00,213.26041666666666 V
2017-09-22T00:00:00-06:00,213.11458333333334 V
2017-09-23T00:00:00-06:00,213.33333333333334 V
2017-09-24T00:00:00-06:00,213.08333333333334 V
2017-09-25T00:00:00-06:00,213.32291666666666 V
2017-09-26T00:00:00-06:00,213.10416666666666 V
2017-09-27T00:00:00-06:00,213.375 V
2017-09-28T00:00:00-06:00,213.04166666666666 V
2017-09-29T00:00:00-06:00,213.10416666666666 V
2017-09-30T00:00:00-06:00,213.375 V
2017-10-01T00:00:00-06:00,213.11458333333334 V
2017-10-02T00:00:00-06:00,213.15625 V
2017-10-03T00:00:00-06:00,213.45833333333334 V
2017-10-04T00:00:00-06:00,213.09375 V
2017-10-05T00:00:00-06:00,213.375 V
2017-10-06T00:00:00-06:00,213.35416666666666 V
2017-10-07T00:00:00-06:00,213.28125 V
2017-10-08T00:00:00-06:00,213.46875 V
2017-10-09T00:00:00-06:00,213.15625 V
2017-10-10T00:00:00-06:00,213.46875 V
2017-10-11T00:00:00-06:00,213.0625 V
2017-10-12T00:00:00-06:00,213.375 V
2017-10-13T00:00:00-06:00,213.375 V
2017-10-14T00:00:00-06:00,213.32291666666666 V
2017-10-15T00:00:00-06:00,213.23958333333334 V
2017-10-16T00:00:00-06:00,213.28125 V
2017-10-17T00:00:00-06:00,213.13541666666666 V
2017-10-18T00:00:00-06:00,213.10416666666666 V
2017-10-19T00:00:00-06:00,213.23958333333334 V
2017-10-20T00:00:00-06:00,213.17708333333334 V
2017-10-21T00:00:00-06:00,213.28125 V
2017-10-22T00:00:00-06:00,213.35416666666666 V
2017-10-23T00:00:00-06:00,213.13541666666666 V
2017-10-24T00:00:00-06:00,213.03125 V
2017-10-25T00:00:00-06:00,213.11458333333334 V
2017-10-26T00:00:00-06:00,213.23958333333334 V
2017-10-27T00:00:00-06:00,213.29166666666666 V
2017-10-28T00:00:00-06:00,213.19791666666666 V
2017-10-29T00:00:00-06:00,213.39583333333334 V
2017-10-30T00:00:00-06:00,213.34375 V
2017-10-31T00:00:00-06:00,213.22916666666666 V
2017-11-01T00:00:00-06:00,213.22916666666666 V
2017-11-02T00:00:00-06:00,213.17708333333334 V
2017-11-03T00:00:00-06:00,213.17708333333334 V
2017-11-04T00:00:00-06:00,213.27083333333334 V
2017-11-05T00:00:00-06:00,212.96 V
2017-11-06T00:00:00-07:00,212.94791666666666 V
2017-11-07T00:00:00-07:00,212.97916666666666 V
2017-11-08T00:00:00-07:00,212.92708333333334 V
2017-11-09T00:00:00-07:00,213.19791666666666 V
2017-11-10T00:00:00-07:00,213.15625 V
2017-11-11T00:00:00-07:00,213 V
2017-11-12T00:00:00-07:00,213.25 V
2017-11-13T00:00:00-07:00,213.11458333333334 V
2017-11-14T00:00:00-07:00,213.51041666666666 V
2017-11-15T00:00:00-07:00,213.16666666666666 V
2017-11-16T00:00:00-07:00,213.04166666666666 V
2017-11-17T00:00:00-07:00,213.22916666666666 V
2017-11-18T00:00:00-07:00,213.375 V
2017-11-19T00:00:00-07:00,213.42708333333334 V
2017-11-20T00:00:00-07:00,213.07291666666666 V
2017-11-21T00:00:00-07:00,213.17708333333334 V
