Timestamp,"['203f26c8-b7736689 0097-DUMKE GYMNASTICS CNTR Power Meter Watts, 3-Ph total']"
2017-06-13T00:00:00-06:00,61.473445892333984 kW
2017-06-14T00:00:00-06:00,75.16670227050781 kW
2017-06-15T00:00:00-06:00,88.12760162353516 kW
2017-06-16T00:00:00-06:00,85.10388946533203 kW
2017-06-17T00:00:00-06:00,76.56778717041016 kW
2017-06-18T00:00:00-06:00,52.08509826660156 kW
2017-06-19T00:00:00-06:00,81.30168914794922 kW
2017-06-20T00:00:00-06:00,92.63365936279297 kW
2017-06-21T00:00:00-06:00,85.66414642333984 kW
2017-06-22T00:00:00-06:00,81.90756225585938 kW
2017-06-23T00:00:00-06:00,75.58984375 kW
2017-06-24T00:00:00-06:00,54.93606185913086 kW
2017-06-25T00:00:00-06:00,64.76560974121094 kW
2017-06-26T00:00:00-06:00,96.89588165283203 kW
2017-06-27T00:00:00-06:00,70.82424926757812 kW
2017-06-28T00:00:00-06:00,61.71684265136719 kW
2017-06-29T00:00:00-06:00,69.68640899658203 kW
2017-06-30T00:00:00-06:00,65.98218536376953 kW
2017-07-01T00:00:00-06:00,62.091453552246094 kW
2017-07-02T00:00:00-06:00,64.75743103027344 kW
2017-07-03T00:00:00-06:00,79.58090209960938 kW
2017-07-04T00:00:00-06:00,69.56781768798828 kW
2017-07-05T00:00:00-06:00,96.50091552734375 kW
2017-07-06T00:00:00-06:00,101.87762451171875 kW
2017-07-07T00:00:00-06:00,93.34375762939453 kW
2017-07-08T00:00:00-06:00,76.34174346923828 kW
2017-07-09T00:00:00-06:00,73.79081726074219 kW
2017-07-10T00:00:00-06:00,80.36701965332031 kW
2017-07-11T00:00:00-06:00,82.06104278564453 kW
2017-07-12T00:00:00-06:00,87.26514434814453 kW
2017-07-13T00:00:00-06:00,91.78372192382812 kW
2017-07-14T00:00:00-06:00,90.63334655761719 kW
2017-07-15T00:00:00-06:00,71.56877899169922 kW
2017-07-16T00:00:00-06:00,72.99952697753906 kW
2017-07-17T00:00:00-06:00,88.24947357177734 kW
2017-07-18T00:00:00-06:00,93.70587921142578 kW
2017-07-19T00:00:00-06:00,73.40083312988281 kW
2017-07-20T00:00:00-06:00,73.83516693115234 kW
2017-07-21T00:00:00-06:00,94.01516723632812 kW
2017-07-22T00:00:00-06:00,67.17176055908203 kW
2017-07-23T00:00:00-06:00,52.548892974853516 kW
2017-07-24T00:00:00-06:00,63.28670883178711 kW
2017-07-25T00:00:00-06:00,75.40850830078125 kW
2017-07-26T00:00:00-06:00,79.7861099243164 kW
2017-07-27T00:00:00-06:00,78.05303192138672 kW
2017-07-28T00:00:00-06:00,70.88780212402344 kW
2017-07-29T00:00:00-06:00,53.72742462158203 kW
2017-07-30T00:00:00-06:00,62.923641204833984 kW
2017-07-31T00:00:00-06:00,89.85398864746094 kW
2017-08-01T00:00:00-06:00,88.76605224609375 kW
2017-08-02T00:00:00-06:00,75.83537292480469 kW
2017-08-03T00:00:00-06:00,74.56289672851562 kW
2017-08-04T00:00:00-06:00,62.54736328125 kW
2017-08-05T00:00:00-06:00,63.72389602661133 kW
2017-08-06T00:00:00-06:00,55.82090377807617 kW
2017-08-07T00:00:00-06:00,73.9599838256836 kW
2017-08-08T00:00:00-06:00,63.37566375732422 kW
2017-08-09T00:00:00-06:00,61.439109802246094 kW
2017-08-10T00:00:00-06:00,66.62262725830078 kW
2017-08-11T00:00:00-06:00,62.61674499511719 kW
2017-08-12T00:00:00-06:00,65.80411529541016 kW
2017-08-13T00:00:00-06:00,65.52656555175781 kW
2017-08-14T00:00:00-06:00,67.6952896118164 kW
2017-08-15T00:00:00-06:00,47.62732696533203 kW
2017-08-16T00:00:00-06:00,58.02707290649414 kW
2017-08-17T00:00:00-06:00,72.14012908935547 kW
2017-08-18T00:00:00-06:00,61.54668426513672 kW
2017-08-19T00:00:00-06:00,77.13168334960938 kW
2017-08-20T00:00:00-06:00,61.1790657043457 kW
2017-08-21T00:00:00-06:00,66.25227355957031 kW
2017-08-22T00:00:00-06:00,74.00119018554688 kW
2017-08-23T00:00:00-06:00,52.69203186035156 kW
2017-08-24T00:00:00-06:00,78.29730987548828 kW
2017-08-25T00:00:00-06:00,80.07633972167969 kW
2017-08-26T00:00:00-06:00,71.79354095458984 kW
2017-08-27T00:00:00-06:00,65.4126205444336 kW
2017-08-28T00:00:00-06:00,88.7730484008789 kW
2017-08-29T00:00:00-06:00,75.76201629638672 kW
2017-08-30T00:00:00-06:00,74.90267181396484 kW
2017-08-31T00:00:00-06:00,71.44503784179688 kW
2017-09-01T00:00:00-06:00,76.22262573242188 kW
2017-09-02T00:00:00-06:00,59.14676284790039 kW
2017-09-03T00:00:00-06:00,61.48686599731445 kW
2017-09-04T00:00:00-06:00,62.597930908203125 kW
2017-09-05T00:00:00-06:00,84.27466583251953 kW
2017-09-06T00:00:00-06:00,64.55990600585938 kW
2017-09-07T00:00:00-06:00,81.6635513305664 kW
2017-09-08T00:00:00-06:00,69.06649780273438 kW
2017-09-09T00:00:00-06:00,42.00183868408203 kW
2017-09-10T00:00:00-06:00,47.15258026123047 kW
2017-09-11T00:00:00-06:00,79.15287780761719 kW
2017-09-12T00:00:00-06:00,75.60096740722656 kW
2017-09-13T00:00:00-06:00,52.43724822998047 kW
2017-09-14T00:00:00-06:00,54.0103759765625 kW
2017-09-15T00:00:00-06:00,51.02574157714844 kW
2017-09-16T00:00:00-06:00,30.065702438354492 kW
2017-09-17T00:00:00-06:00,38.30246353149414 kW
2017-09-18T00:00:00-06:00,67.2353515625 kW
2017-09-19T00:00:00-06:00,46.37135696411133 kW
