Timestamp,['1ef467c9-78558dc5 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Current A']
2017-04-30T00:00:00-06:00,97.82386930783589 A
2017-05-01T00:00:00-06:00,125.18791858355205 A
2017-05-02T00:00:00-06:00,125.73929198582967 A
2017-05-03T00:00:00-06:00,120.66875163714091 A
2017-05-04T00:00:00-06:00,124.27852662404378 A
2017-05-05T00:00:00-06:00,115.05285469690959 A
2017-05-06T00:00:00-06:00,89.20572566986084 A
2017-05-07T00:00:00-06:00,84.96014130115509 A
2017-05-08T00:00:00-06:00,108.22574241956075 A
2017-05-09T00:00:00-06:00,113.73783898353577 A
2017-05-10T00:00:00-06:00,103.68395427862804 A
2017-05-11T00:00:00-06:00,105.7426716486613 A
2017-05-12T00:00:00-06:00,100.53211812178294 A
2017-05-13T00:00:00-06:00,90.95995914936066 A
2017-05-14T00:00:00-06:00,90.69918318589528 A
2017-05-15T00:00:00-06:00,120.17445421218872 A
2017-05-16T00:00:00-06:00,110.2419460217158 A
2017-05-17T00:00:00-06:00,124.30593045552571 A
2017-05-18T00:00:00-06:00,114.30267250537872 A
2017-05-19T00:00:00-06:00,126.19380052884419 A
2017-05-20T00:00:00-06:00,92.64961655934651 A
2017-05-21T00:00:00-06:00,91.78582843144734 A
2017-05-22T00:00:00-06:00,110.92470868428548 A
2017-05-23T00:00:00-06:00,112.12909785906474 A
2017-05-24T00:00:00-06:00,111.54859654108684 A
2017-05-25T00:00:00-06:00,114.69250988960266 A
2017-05-26T00:00:00-06:00,107.66097696622212 A
2017-05-27T00:00:00-06:00,87.11945178383274 A
2017-05-28T00:00:00-06:00,83.14121568202972 A
2017-05-29T00:00:00-06:00,86.71995139122009 A
2017-05-30T00:00:00-06:00,108.65498089790344 A
2017-05-31T00:00:00-06:00,107.70860401789348 A
2017-06-01T00:00:00-06:00,119.49754738807678 A
2017-06-02T00:00:00-06:00,113.48078624407451 A
2017-06-03T00:00:00-06:00,88.56120832761128 A
2017-06-04T00:00:00-06:00,84.44850059350331 A
2017-06-05T00:00:00-06:00,109.7605725924174 A
2017-06-06T00:00:00-06:00,105.98275629679362 A
2017-06-07T00:00:00-06:00,116.08308045069377 A
2017-06-08T00:00:00-06:00,121.1303592522939 A
2017-06-09T00:00:00-06:00,114.30027937889099 A
2017-06-10T00:00:00-06:00,88.91889766852061 A
2017-06-11T00:00:00-06:00,86.53665383656819 A
2017-06-12T00:00:00-06:00,115.99208998680115 A
2017-06-13T00:00:00-06:00,110.91964375972748 A
2017-06-14T00:00:00-06:00,107.07105048497517 A
2017-06-15T00:00:00-06:00,101.36812055110931 A
2017-06-16T00:00:00-06:00,103.00894629955292 A
2017-06-17T00:00:00-06:00,88.9839772383372 A
2017-06-18T00:00:00-06:00,86.92594762643178 A
2017-06-19T00:00:00-06:00,102.53465346495311 A
2017-06-20T00:00:00-06:00,103.28192067146301 A
2017-06-21T00:00:00-06:00,125.98461071650188 A
2017-06-22T00:00:00-06:00,103.31084911028545 A
2017-06-23T00:00:00-06:00,118.54786491394043 A
2017-06-24T00:00:00-06:00,91.9073618253072 A
2017-06-25T00:00:00-06:00,82.4906138976415 A
2017-06-26T00:00:00-06:00,105.6488577524821 A
2017-06-27T00:00:00-06:00,100.80109771092732 A
2017-06-28T00:00:00-06:00,99.23967560132344 A
2017-06-29T00:00:00-06:00,99.38501787185669 A
2017-06-30T00:00:00-06:00,107.24563185373943 A
2017-07-01T00:00:00-06:00,80.31614089012146 A
2017-07-02T00:00:00-06:00,79.83063288529713 A
2017-07-03T00:00:00-06:00,94.13194493452708 A
2017-07-04T00:00:00-06:00,77.88794640700023 A
2017-07-05T00:00:00-06:00,100.77316057682037 A
2017-07-06T00:00:00-06:00,99.08189256985982 A
2017-07-07T00:00:00-06:00,94.64024674892426 A
2017-07-08T00:00:00-06:00,79.83150589466095 A
2017-07-09T00:00:00-06:00,83.56789628664653 A
2017-07-10T00:00:00-06:00,105.8904580672582 A
2017-07-11T00:00:00-06:00,98.99979861577351 A
2017-07-12T00:00:00-06:00,100.54026619593303 A
2017-07-13T00:00:00-06:00,101.10987953344981 A
2017-07-14T00:00:00-06:00,99.70461622873943 A
2017-07-15T00:00:00-06:00,84.09493323167165 A
