Timestamp,['1ce63d72-ac8b434c 0028-MARRIOTT CENTER FOR DANCE Power Meter Current B']
2017-04-30T00:00:00-06:00,197.05650663375854 A
2017-05-01T00:00:00-06:00,211.1959220568339 A
2017-05-02T00:00:00-06:00,211.12266302108765 A
2017-05-03T00:00:00-06:00,240.0517144203186 A
2017-05-04T00:00:00-06:00,206.63769006729126 A
2017-05-05T00:00:00-06:00,200.09986321131387 A
2017-05-06T00:00:00-06:00,239.53125667572021 A
2017-05-07T00:00:00-06:00,194.71536334355673 A
2017-05-08T00:00:00-06:00,201.69977143940173 A
2017-05-09T00:00:00-06:00,195.93750047683716 A
2017-05-10T00:00:00-06:00,214.8086053530375 A
2017-05-11T00:00:00-06:00,213.26227045059204 A
2017-05-12T00:00:00-06:00,212.91016260782877 A
2017-05-13T00:00:00-06:00,215.11254342397055 A
2017-05-14T00:00:00-06:00,205.80850315093994 A
2017-05-15T00:00:00-06:00,197.69360256195068 A
2017-05-16T00:00:00-06:00,192.99061075846353 A
2017-05-17T00:00:00-06:00,234.5043012301127 A
2017-05-18T00:00:00-06:00,236.2715384165446 A
2017-05-19T00:00:00-06:00,215.30039358139038 A
2017-05-20T00:00:00-06:00,207.09649006525675 A
2017-05-21T00:00:00-06:00,184.59391005833945 A
2017-05-22T00:00:00-06:00,200.4785885810852 A
2017-05-23T00:00:00-06:00,237.3441400527954 A
2017-05-24T00:00:00-06:00,216.97424046198526 A
2017-05-25T00:00:00-06:00,211.926362991333 A
2017-05-26T00:00:00-06:00,197.4501578013102 A
2017-05-27T00:00:00-06:00,191.0031221707662 A
2017-05-28T00:00:00-06:00,185.72184340159097 A
2017-05-29T00:00:00-06:00,198.9089609781901 A
2017-05-30T00:00:00-06:00,200.534921169281 A
2017-05-31T00:00:00-06:00,215.9251847267151 A
2017-06-01T00:00:00-06:00,211.2222162882487 A
2017-06-02T00:00:00-06:00,218.5888442993164 A
2017-06-03T00:00:00-06:00,215.19946146011353 A
2017-06-04T00:00:00-06:00,198.15350723266602 A
2017-06-05T00:00:00-06:00,223.78690719604492 A
2017-06-06T00:00:00-06:00,228.6439321835836 A
2017-06-07T00:00:00-06:00,233.70303440093994 A
2017-06-08T00:00:00-06:00,222.91283098856607 A
2017-06-09T00:00:00-06:00,234.99445565541586 A
2017-06-10T00:00:00-06:00,211.0579516092936 A
2017-06-11T00:00:00-06:00,191.95212936401367 A
2017-06-12T00:00:00-06:00,228.20840438206992 A
2017-06-13T00:00:00-06:00,224.74454005559286 A
2017-06-14T00:00:00-06:00,225.90960931777954 A
2017-06-15T00:00:00-06:00,229.60680039723715 A
2017-06-16T00:00:00-06:00,218.5699520111084 A
2017-06-17T00:00:00-06:00,205.22590319315592 A
2017-06-18T00:00:00-06:00,198.26717487970987 A
2017-06-19T00:00:00-06:00,236.2101287841797 A
2017-06-20T00:00:00-06:00,247.87772496541342 A
2017-06-21T00:00:00-06:00,243.0861792564392 A
2017-06-22T00:00:00-06:00,244.88463735580444 A
2017-06-23T00:00:00-06:00,241.59099944432577 A
2017-06-24T00:00:00-06:00,212.4124148686727 A
2017-06-25T00:00:00-06:00,195.09873660405478 A
2017-06-26T00:00:00-06:00,252.9826544125875 A
2017-06-27T00:00:00-06:00,262.34124755859375 A
2017-06-28T00:00:00-06:00,244.82723744710287 A
2017-06-29T00:00:00-06:00,253.9897538026174 A
2017-06-30T00:00:00-06:00,255.15357446670532 A
2017-07-01T00:00:00-06:00,216.91781775156656 A
2017-07-02T00:00:00-06:00,192.84509452184042 A
2017-07-03T00:00:00-06:00,241.12359793980917 A
2017-07-04T00:00:00-06:00,198.76381397247314 A
