Timestamp,['1d0b1bf5-c3c612a3 0084-BIOLOGY BLDG Power Meter 316500 Current C']
2017-06-09T00:00:00-06:00,178.37655464808145 A
2017-06-10T00:00:00-06:00,177.01867723464966 A
2017-06-11T00:00:00-06:00,175.7444580078125 A
2017-06-12T00:00:00-06:00,180.35410181681314 A
2017-06-13T00:00:00-06:00,178.87183380126953 A
2017-06-14T00:00:00-06:00,178.6033967336019 A
2017-06-15T00:00:00-06:00,182.28869167963663 A
2017-06-16T00:00:00-06:00,181.5759170850118 A
2017-06-17T00:00:00-06:00,176.41433350245157 A
2017-06-18T00:00:00-06:00,175.22912645339966 A
2017-06-19T00:00:00-06:00,183.52739429473877 A
2017-06-20T00:00:00-06:00,185.26035782663445 A
2017-06-21T00:00:00-06:00,185.16118796666464 A
2017-06-22T00:00:00-06:00,183.67661428451538 A
2017-06-23T00:00:00-06:00,183.7280109723409 A
2017-06-24T00:00:00-06:00,176.74338038762411 A
2017-06-25T00:00:00-06:00,179.1864422162374 A
2017-06-26T00:00:00-06:00,194.68240674336752 A
2017-06-27T00:00:00-06:00,191.84049940109253 A
2017-06-28T00:00:00-06:00,191.32656145095825 A
2017-06-29T00:00:00-06:00,191.71655941009521 A
2017-06-30T00:00:00-06:00,192.31459681193033 A
2017-07-01T00:00:00-06:00,189.28148110707602 A
2017-07-02T00:00:00-06:00,189.09070825576782 A
2017-07-03T00:00:00-06:00,193.44960037867227 A
2017-07-04T00:00:00-06:00,189.4166677792867 A
2017-07-05T00:00:00-06:00,191.02587938308716 A
2017-07-06T00:00:00-06:00,192.63453420003256 A
2017-07-07T00:00:00-06:00,194.0603206952413 A
2017-07-08T00:00:00-06:00,189.97437143325806 A
2017-07-09T00:00:00-06:00,191.05731137593588 A
2017-07-10T00:00:00-06:00,194.80154736836752 A
2017-07-11T00:00:00-06:00,193.00004275639853 A
2017-07-12T00:00:00-06:00,192.73538573582968 A
2017-07-13T00:00:00-06:00,195.1434588432312 A
2017-07-14T00:00:00-06:00,190.8905078570048 A
2017-07-15T00:00:00-06:00,182.68706353505453 A
2017-07-16T00:00:00-06:00,181.23806937535605 A
2017-07-17T00:00:00-06:00,187.24190294873583 A
2017-07-18T00:00:00-06:00,189.403839747111 A
2017-07-19T00:00:00-06:00,190.62498744328818 A
2017-07-20T00:00:00-06:00,187.0849879582723 A
2017-07-21T00:00:00-06:00,184.9705662727356 A
2017-07-22T00:00:00-06:00,180.72905937830606 A
2017-07-23T00:00:00-06:00,179.5920384724935 A
2017-07-24T00:00:00-06:00,182.63522704442343 A
2017-07-25T00:00:00-06:00,185.59612449010214 A
2017-07-26T00:00:00-06:00,184.82226610183716 A
2017-07-27T00:00:00-06:00,190.73888794581094 A
2017-07-28T00:00:00-06:00,189.66712458928427 A
2017-07-29T00:00:00-06:00,183.6879685719808 A
2017-07-30T00:00:00-06:00,184.42427412668863 A
2017-07-31T00:00:00-06:00,190.05975357691446 A
2017-08-01T00:00:00-06:00,194.15208339691162 A
2017-08-02T00:00:00-06:00,193.1432874997457 A
2017-08-03T00:00:00-06:00,192.52028067906699 A
2017-08-04T00:00:00-06:00,189.24053783631058 A
2017-08-05T00:00:00-06:00,187.11702505747476 A
2017-08-06T00:00:00-06:00,186.67021719614664 A
2017-08-07T00:00:00-06:00,192.36631933848062 A
2017-08-08T00:00:00-06:00,192.70266595137747 A
2017-08-09T00:00:00-06:00,190.1404242515564 A
2017-08-10T00:00:00-06:00,191.95092508067256 A
2017-08-11T00:00:00-06:00,189.76341565450033 A
2017-08-12T00:00:00-06:00,185.63725503285727 A
2017-08-13T00:00:00-06:00,190.0014417966207 A
2017-08-14T00:00:00-06:00,194.34755913416544 A
2017-08-15T00:00:00-06:00,193.7516500155131 A
2017-08-16T00:00:00-06:00,191.63604300362724 A
2017-08-17T00:00:00-06:00,192.34760824839273 A
2017-08-18T00:00:00-06:00,191.23643589019775 A
2017-08-19T00:00:00-06:00,187.30804252624512 A
2017-08-20T00:00:00-06:00,187.10289764404297 A
2017-08-21T00:00:00-06:00,193.5918846130371 A
2017-08-22T00:00:00-06:00,194.63760105768839 A
2017-08-23T00:00:00-06:00,187.3377046585083 A
2017-08-24T00:00:00-06:00,188.86978277909128 A
2017-08-25T00:00:00-06:00,191.42277590433756 A
2017-08-26T00:00:00-06:00,186.54994458650287 A
2017-08-27T00:00:00-06:00,186.2935458096591 A
2017-08-28T00:00:00-06:00,192.16023869300957 A
2017-08-29T00:00:00-06:00,193.9834863168222 A
2017-08-30T00:00:00-06:00,191.48559697469076 A
2017-08-31T00:00:00-06:00,189.86797894171949 A
2017-09-01T00:00:00-06:00,188.87744140625 A
2017-09-02T00:00:00-06:00,183.08795477419483 A
2017-09-03T00:00:00-06:00,185.8630625406901 A
2017-09-04T00:00:00-06:00,187.05127885606555 A
2017-09-05T00:00:00-06:00,187.74898705115686 A
2017-09-06T00:00:00-06:00,182.22158116879672 A
2017-09-07T00:00:00-06:00,185.10259399414062 A
2017-09-08T00:00:00-06:00,183.09212893531435 A
2017-09-09T00:00:00-06:00,176.18696185520716 A
2017-09-10T00:00:00-06:00,175.48072814941406 A
2017-09-11T00:00:00-06:00,183.68496554015113 A
2017-09-12T00:00:00-06:00,181.97085360823007 A
2017-09-13T00:00:00-06:00,180.99118017381238 A
2017-09-14T00:00:00-06:00,182.14844355089912 A
2017-09-15T00:00:00-06:00,178.28736192352918 A
2017-09-16T00:00:00-06:00,174.64693739149305 A
2017-09-17T00:00:00-06:00,174.22608511788505 A
2017-09-18T00:00:00-06:00,178.99598580819588 A
2017-09-19T00:00:00-06:00,180.5725431220476 A
2017-09-20T00:00:00-06:00,177.8668958875868 A
2017-09-21T00:00:00-06:00,174.41276799982245 A
2017-09-22T00:00:00-06:00,160.67646377151078 A
2017-09-23T00:00:00-06:00,156.81062276739823 A
2017-09-24T00:00:00-06:00,155.8146592682483 A
