Timestamp,['1eb2a05c-b4d54fe7 0074-BUSINESS CLASSROOM BLDG Power Meter (480V) Current B']
2017-04-10T00:00:00-06:00,90.54386337598164 A
2017-04-11T00:00:00-06:00,87.77885826428731 A
2017-04-12T00:00:00-06:00,94.7064979871114 A
2017-04-13T00:00:00-06:00,93.48027467727661 A
2017-04-14T00:00:00-06:00,87.77841154734294 A
2017-04-15T00:00:00-06:00,88.94447453816731 A
2017-04-16T00:00:00-06:00,84.29962174097697 A
2017-04-17T00:00:00-06:00,92.02981392542522 A
2017-04-18T00:00:00-06:00,92.29675817489624 A
2017-04-19T00:00:00-06:00,93.02132479349773 A
2017-04-20T00:00:00-06:00,92.5014697710673 A
2017-04-21T00:00:00-06:00,90.73054393132527 A
2017-04-22T00:00:00-06:00,89.80473939577739 A
2017-04-23T00:00:00-06:00,87.53035012880962 A
2017-04-24T00:00:00-06:00,91.98563162485759 A
2017-04-25T00:00:00-06:00,91.18086727460225 A
2017-04-26T00:00:00-06:00,85.79347491264343 A
2017-04-27T00:00:00-06:00,86.61833326021831 A
2017-04-28T00:00:00-06:00,87.67155766487122 A
2017-04-29T00:00:00-06:00,83.08424464861552 A
2017-04-30T00:00:00-06:00,81.55483468373616 A
2017-05-01T00:00:00-06:00,86.48335043589275 A
2017-05-02T00:00:00-06:00,86.94915024439494 A
2017-05-03T00:00:00-06:00,87.47920266787212 A
2017-05-04T00:00:00-06:00,84.71894717216492 A
2017-05-05T00:00:00-06:00,85.372571627299 A
2017-05-06T00:00:00-06:00,82.59263118108113 A
2017-05-07T00:00:00-06:00,83.93107899030049 A
2017-05-08T00:00:00-06:00,84.91993260383606 A
2017-05-09T00:00:00-06:00,87.04080923398335 A
2017-05-10T00:00:00-06:00,87.20965600013733 A
2017-05-11T00:00:00-06:00,87.25290441513062 A
2017-05-12T00:00:00-06:00,87.8440895875295 A
2017-05-13T00:00:00-06:00,82.42228094736735 A
2017-05-14T00:00:00-06:00,80.93163235982259 A
2017-05-15T00:00:00-06:00,84.06152812639873 A
2017-05-16T00:00:00-06:00,85.78747312227885 A
2017-05-17T00:00:00-06:00,86.66405113538106 A
2017-05-18T00:00:00-06:00,86.56292867660522 A
2017-05-19T00:00:00-06:00,85.08843835194905 A
2017-05-20T00:00:00-06:00,84.00431275367737 A
2017-05-21T00:00:00-06:00,82.56982787450154 A
2017-05-22T00:00:00-06:00,87.50931525230408 A
2017-05-23T00:00:00-06:00,88.17852838834126 A
2017-05-24T00:00:00-06:00,87.90883114463405 A
2017-05-25T00:00:00-06:00,84.85676439603169 A
2017-05-26T00:00:00-06:00,85.65845394134521 A
2017-05-27T00:00:00-06:00,86.53579171498616 A
2017-05-28T00:00:00-06:00,84.32103088054251 A
2017-05-29T00:00:00-06:00,84.44920595486958 A
2017-05-30T00:00:00-06:00,88.0522780418396 A
2017-05-31T00:00:00-06:00,90.94556999206543 A
2017-06-01T00:00:00-06:00,88.44823733965556 A
2017-06-02T00:00:00-06:00,85.53565613428752 A
2017-06-03T00:00:00-06:00,85.54528776804607 A
2017-06-04T00:00:00-06:00,85.50729767481486 A
2017-06-05T00:00:00-06:00,89.7695628007253 A
2017-06-06T00:00:00-06:00,93.52829122543335 A
2017-06-07T00:00:00-06:00,91.29000202814738 A
2017-06-08T00:00:00-06:00,88.52807315190633 A
2017-06-09T00:00:00-06:00,86.92001899083455 A
2017-06-10T00:00:00-06:00,85.92418924967448 A
2017-06-11T00:00:00-06:00,85.27777051925659 A
2017-06-12T00:00:00-06:00,89.14801541964214 A
2017-06-13T00:00:00-06:00,88.66733249028523 A
2017-06-14T00:00:00-06:00,89.49373682339986 A
2017-06-15T00:00:00-06:00,91.38402613004048 A
2017-06-16T00:00:00-06:00,87.21757094065349 A
2017-06-17T00:00:00-06:00,83.33155290285747 A
2017-06-18T00:00:00-06:00,81.35762755076091 A
2017-06-19T00:00:00-06:00,90.39830319086711 A
2017-06-20T00:00:00-06:00,89.10222307840984 A
2017-06-21T00:00:00-06:00,88.72244064013164 A
2017-06-22T00:00:00-06:00,86.59043208758037 A
2017-06-23T00:00:00-06:00,86.57262023289998 A
2017-06-24T00:00:00-06:00,82.78435667355855 A
2017-06-25T00:00:00-06:00,84.29025761286418 A
2017-06-26T00:00:00-06:00,93.42972898483276 A
2017-06-27T00:00:00-06:00,91.11021169026692 A
2017-06-28T00:00:00-06:00,86.92672204971313 A
2017-06-29T00:00:00-06:00,86.62897046407063 A
2017-06-30T00:00:00-06:00,86.26342678070068 A
2017-07-01T00:00:00-06:00,81.26528127988179 A
2017-07-02T00:00:00-06:00,83.01331575711568 A
2017-07-03T00:00:00-06:00,84.13392527898152 A
2017-07-04T00:00:00-06:00,84.00590515136719 A
2017-07-05T00:00:00-06:00,87.42872842152913 A
2017-07-06T00:00:00-06:00,88.93996238708496 A
2017-07-07T00:00:00-06:00,86.8695650100708 A
2017-07-08T00:00:00-06:00,83.71922620137532 A
2017-07-09T00:00:00-06:00,83.22600547472636 A
2017-07-10T00:00:00-06:00,87.43176245689392 A
2017-07-11T00:00:00-06:00,90.2976496219635 A
2017-07-12T00:00:00-06:00,88.67442814509074 A
2017-07-13T00:00:00-06:00,87.60229961077373 A
2017-07-14T00:00:00-06:00,86.2439444065094 A
2017-07-15T00:00:00-06:00,81.67066017786662 A
2017-07-16T00:00:00-06:00,81.60360169410706 A
2017-07-17T00:00:00-06:00,89.0367910861969 A
2017-07-18T00:00:00-06:00,90.09874836603801 A
2017-07-19T00:00:00-06:00,90.47908624013265 A
2017-07-20T00:00:00-06:00,88.31792471806209 A
2017-07-21T00:00:00-06:00,87.85400462150574 A
2017-07-22T00:00:00-06:00,83.73133420944214 A
2017-07-23T00:00:00-06:00,83.06222184499104 A
2017-07-24T00:00:00-06:00,83.06081875165303 A
2017-07-25T00:00:00-06:00,89.91530005137126 A
2017-07-26T00:00:00-06:00,89.09173798561096 A
2017-07-27T00:00:00-06:00,87.12188673019409 A
2017-07-28T00:00:00-06:00,84.84729687372844 A
2017-07-29T00:00:00-06:00,79.92323811848958 A
2017-07-30T00:00:00-06:00,81.51895801226298 A
2017-07-31T00:00:00-06:00,88.44074177742004 A
2017-08-01T00:00:00-06:00,86.88252727190654 A
2017-08-02T00:00:00-06:00,86.36974740028381 A
2017-08-03T00:00:00-06:00,86.04618700345357 A
2017-08-04T00:00:00-06:00,81.22787718720488 A
2017-08-05T00:00:00-06:00,80.70445863405864 A
2017-08-06T00:00:00-06:00,81.21124307314555 A
2017-08-07T00:00:00-06:00,85.14463726679485 A
2017-08-08T00:00:00-06:00,85.31979314486186 A
2017-08-09T00:00:00-06:00,87.37968428929646 A
2017-08-10T00:00:00-06:00,85.01668094066864 A
2017-08-11T00:00:00-06:00,84.27433503803454 A
2017-08-12T00:00:00-06:00,85.3095730940501 A
2017-08-13T00:00:00-06:00,86.56516718864441 A
2017-08-14T00:00:00-06:00,85.07642324765523 A
2017-08-15T00:00:00-06:00,85.50576146443684 A
2017-08-16T00:00:00-06:00,83.45219019839638 A
2017-08-17T00:00:00-06:00,83.94751032193501 A
2017-08-18T00:00:00-06:00,83.01872316996257 A
2017-08-19T00:00:00-06:00,81.39818247159322 A
2017-08-20T00:00:00-06:00,81.65884145100911 A
2017-08-21T00:00:00-06:00,91.20215471585591 A
2017-08-22T00:00:00-06:00,93.53900520006816 A
2017-08-23T00:00:00-06:00,95.75020869572957 A
2017-08-24T00:00:00-06:00,95.09421014785767 A
2017-08-25T00:00:00-06:00,89.82861653963725 A
2017-08-26T00:00:00-06:00,87.13187042872111 A
2017-08-27T00:00:00-06:00,88.00403761863708 A
2017-08-28T00:00:00-06:00,96.57554319630499 A
2017-08-29T00:00:00-06:00,96.76422283213626 A
2017-08-30T00:00:00-06:00,93.69175434112549 A
2017-08-31T00:00:00-06:00,96.40341925621033 A
2017-09-01T00:00:00-06:00,86.90443253517151 A
2017-09-02T00:00:00-06:00,84.04920148849487 A
2017-09-03T00:00:00-06:00,83.27979623894943 A
2017-09-04T00:00:00-06:00,85.1059873898824 A
2017-09-05T00:00:00-06:00,97.63797283172607 A
2017-09-06T00:00:00-06:00,94.31552974383037 A
2017-09-07T00:00:00-06:00,94.90604289372762 A
2017-09-08T00:00:00-06:00,86.01414200632196 A
2017-09-09T00:00:00-06:00,82.3779939810435 A
2017-09-10T00:00:00-06:00,83.84692708651225 A
2017-09-11T00:00:00-06:00,96.10530241330464 A
2017-09-12T00:00:00-06:00,94.04618326822917 A
2017-09-13T00:00:00-06:00,95.75546050071716 A
2017-09-14T00:00:00-06:00,93.03861061731975 A
2017-09-15T00:00:00-06:00,84.57092134157817 A
2017-09-16T00:00:00-06:00,84.9014298915863 A
2017-09-17T00:00:00-06:00,83.41388471921285 A
2017-09-18T00:00:00-06:00,93.4904404481252 A
2017-09-19T00:00:00-06:00,93.75466291109721 A
2017-09-20T00:00:00-06:00,94.95114668210347 A
2017-09-21T00:00:00-06:00,97.99697399139404 A
2017-09-22T00:00:00-06:00,88.78016138076782 A
2017-09-23T00:00:00-06:00,85.1569344997406 A
2017-09-24T00:00:00-06:00,87.65918731689453 A
2017-09-25T00:00:00-06:00,95.4296064376831 A
2017-09-26T00:00:00-06:00,95.31431969006856 A
2017-09-27T00:00:00-06:00,93.8703978061676 A
2017-09-28T00:00:00-06:00,95.94029935201009 A
