Timestamp,"['1ef46860-c81c5da5 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Watts, 3-Ph total']"
2017-04-26T00:00:00-06:00,53.88823699951172 kW
2017-04-27T00:00:00-06:00,49.51657485961914 kW
2017-04-28T00:00:00-06:00,47.16880416870117 kW
2017-04-29T00:00:00-06:00,42.91957092285156 kW
2017-04-30T00:00:00-06:00,33.69219207763672 kW
2017-05-01T00:00:00-06:00,48.97671890258789 kW
2017-05-02T00:00:00-06:00,49.678627014160156 kW
2017-05-03T00:00:00-06:00,49.09896469116211 kW
2017-05-04T00:00:00-06:00,48.28094482421875 kW
2017-05-05T00:00:00-06:00,47.78303146362305 kW
2017-05-06T00:00:00-06:00,34.47925567626953 kW
2017-05-07T00:00:00-06:00,33.40420913696289 kW
2017-05-08T00:00:00-06:00,42.39658737182617 kW
2017-05-09T00:00:00-06:00,45.583858489990234 kW
2017-05-10T00:00:00-06:00,42.48273468017578 kW
2017-05-11T00:00:00-06:00,41.701759338378906 kW
2017-05-12T00:00:00-06:00,41.05735778808594 kW
2017-05-13T00:00:00-06:00,32.99353790283203 kW
2017-05-14T00:00:00-06:00,34.23370361328125 kW
2017-05-15T00:00:00-06:00,41.294273376464844 kW
2017-05-16T00:00:00-06:00,48.125526428222656 kW
2017-05-17T00:00:00-06:00,45.828895568847656 kW
2017-05-18T00:00:00-06:00,45.24189376831055 kW
2017-05-19T00:00:00-06:00,42.1929931640625 kW
2017-05-20T00:00:00-06:00,31.524520874023438 kW
2017-05-21T00:00:00-06:00,25.99945831298828 kW
2017-05-22T00:00:00-06:00,42.44059753417969 kW
2017-05-23T00:00:00-06:00,47.797767639160156 kW
2017-05-24T00:00:00-06:00,44.94464111328125 kW
2017-05-25T00:00:00-06:00,45.587562561035156 kW
2017-05-26T00:00:00-06:00,41.0874137878418 kW
2017-05-27T00:00:00-06:00,33.463443756103516 kW
2017-05-28T00:00:00-06:00,22.48027229309082 kW
2017-05-29T00:00:00-06:00,37.86473846435547 kW
2017-05-30T00:00:00-06:00,43.50704574584961 kW
2017-05-31T00:00:00-06:00,39.79215621948242 kW
2017-06-01T00:00:00-06:00,45.75925064086914 kW
2017-06-02T00:00:00-06:00,41.15169143676758 kW
