Timestamp,['1cd68681-b28d97ad Power Meter (4160V) 316611 Voltage A-B']
2017-05-04T00:00:00-06:00,4191.210526315789 V
2017-05-05T00:00:00-06:00,4185.365591397849 V
2017-05-06T00:00:00-06:00,4181.786516853933 V
2017-05-07T00:00:00-06:00,4181.086021505376 V
2017-05-08T00:00:00-06:00,4182.260869565217 V
2017-05-09T00:00:00-06:00,4181.344444444445 V
2017-05-10T00:00:00-06:00,4177.758241758242 V
2017-05-11T00:00:00-06:00,4171.564705882353 V
2017-05-12T00:00:00-06:00,4175.367816091954 V
2017-05-13T00:00:00-06:00,4204.847826086957 V
2017-05-14T00:00:00-06:00,4195.20987654321 V
2017-05-15T00:00:00-06:00,4174.309523809524 V
2017-05-16T00:00:00-06:00,4181.182795698925 V
2017-05-17T00:00:00-06:00,4229.03488372093 V
2017-05-18T00:00:00-06:00,4229.9775280898875 V
2017-05-19T00:00:00-06:00,4231.3 V
2017-05-20T00:00:00-06:00,4211.616279069767 V
2017-05-21T00:00:00-06:00,4207.209302325581 V
2017-05-22T00:00:00-06:00,4202.666666666667 V
2017-05-23T00:00:00-06:00,4179.943181818182 V
2017-05-24T00:00:00-06:00,4182.988235294118 V
2017-05-25T00:00:00-06:00,4194.88 V
2017-05-26T00:00:00-06:00,4207.604651162791 V
2017-05-27T00:00:00-06:00,4208.659340659341 V
2017-05-28T00:00:00-06:00,4194.865168539326 V
2017-05-29T00:00:00-06:00,4233.022727272727 V
2017-05-30T00:00:00-06:00,4205.277777777777 V
2017-05-31T00:00:00-06:00,4179.1866666666665 V
2017-06-01T00:00:00-06:00,4181.862068965517 V
2017-06-02T00:00:00-06:00,4192.371428571429 V
2017-06-03T00:00:00-06:00,4180.9111111111115 V
2017-06-04T00:00:00-06:00,4178.875 V
2017-06-05T00:00:00-06:00,4173.547619047619 V
2017-06-06T00:00:00-06:00,4170.113636363636 V
2017-06-07T00:00:00-06:00,4173.080459770115 V
2017-06-08T00:00:00-06:00,4178.611111111111 V
2017-06-09T00:00:00-06:00,4182.5 V
2017-06-10T00:00:00-06:00,4182.104651162791 V
2017-06-11T00:00:00-06:00,4182.310344827586 V
2017-06-12T00:00:00-06:00,4191.068181818182 V
2017-06-13T00:00:00-06:00,4211.6781609195405 V
2017-06-14T00:00:00-06:00,4191.641975308642 V
2017-06-15T00:00:00-06:00,4176.4838709677415 V
2017-06-16T00:00:00-06:00,4174.884615384615 V
2017-06-17T00:00:00-06:00,4179.395348837209 V
2017-06-18T00:00:00-06:00,4179.322222222222 V
2017-06-19T00:00:00-06:00,4155.355555555556 V
2017-06-20T00:00:00-06:00,4137.390243902439 V
2017-06-21T00:00:00-06:00,4133.259259259259 V
2017-06-22T00:00:00-06:00,4163.261904761905 V
2017-06-23T00:00:00-06:00,4166.879518072289 V
2017-06-24T00:00:00-06:00,4173.045454545455 V
2017-06-25T00:00:00-06:00,4155.298507462687 V
2017-06-26T00:00:00-06:00,4140.3015873015875 V
2017-06-27T00:00:00-06:00,4149.7027027027025 V
2017-06-28T00:00:00-06:00,4161.786516853933 V
2017-06-29T00:00:00-06:00,4166.941860465116 V
2017-06-30T00:00:00-06:00,4157.606741573034 V
2017-07-01T00:00:00-06:00,4163.655913978495 V
2017-07-02T00:00:00-06:00,4159.626666666667 V
