Timestamp,['1cac272a-04cde8b7 0077-CHRISTENSEN CNTR Power Meter (300172) KWH Received']
2017-02-17T00:00:00-07:00,1816.0625 kWh
2017-02-18T00:00:00-07:00,1627.625 kWh
2017-02-19T00:00:00-07:00,1524.5 kWh
2017-02-20T00:00:00-07:00,1518.375 kWh
2017-02-21T00:00:00-07:00,1813.875 kWh
2017-02-22T00:00:00-07:00,1856.5625 kWh
2017-02-23T00:00:00-07:00,1993.8874969482422 kWh
2017-02-24T00:00:00-07:00,2565.009963989258 kWh
2017-02-25T00:00:00-07:00,1116.89013671875 kWh
2017-02-26T00:00:00-07:00,955.77001953125 kWh
2017-02-27T00:00:00-07:00,1743.85986328125 kWh
2017-02-28T00:00:00-07:00,2065.08984375 kWh
2017-03-01T00:00:00-07:00,2066.060546875 kWh
2017-03-02T00:00:00-07:00,2022.0400390625 kWh
2017-03-03T00:00:00-07:00,1809.939453125 kWh
2017-03-04T00:00:00-07:00,1722.3798828125 kWh
2017-03-05T00:00:00-07:00,1581.8701171875 kWh
2017-03-06T00:00:00-07:00,1992.259765625 kWh
2017-03-07T00:00:00-07:00,2052.650390625 kWh
2017-03-08T00:00:00-07:00,1846.25 kWh
2017-03-09T00:00:00-07:00,1946.740234375 kWh
2017-03-10T00:00:00-07:00,1829 kWh
2017-03-11T00:00:00-07:00,1594.08984375 kWh
2017-03-12T00:00:00-07:00,1471.400390625 kWh
2017-03-13T00:00:00-06:00,1729.689453125 kWh
2017-03-14T00:00:00-06:00,1709.181640625 kWh
2017-03-15T00:00:00-06:00,1693.37890625 kWh
2017-03-16T00:00:00-06:00,1650.87890625 kWh
2017-03-17T00:00:00-06:00,1756.08984375 kWh
2017-03-18T00:00:00-06:00,1766.03125 kWh
2017-03-19T00:00:00-06:00,1603.58984375 kWh
2017-03-20T00:00:00-06:00,1804.51953125 kWh
2017-03-21T00:00:00-06:00,1970.8203125 kWh
2017-03-22T00:00:00-06:00,1905.44140625 kWh
2017-03-23T00:00:00-06:00,1945.2890625 kWh
2017-03-24T00:00:00-06:00,1629.5703125 kWh
2017-03-25T00:00:00-06:00,1334 kWh
2017-03-26T00:00:00-06:00,1303.55078125 kWh
