Timestamp,['1eb2a100-c4a3e0b7 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) Current C']
2017-04-30T00:00:00-06:00,16.903679311275482 A
2017-05-01T00:00:00-06:00,17.49545301993688 A
2017-05-02T00:00:00-06:00,18.680466036001842 A
2017-05-03T00:00:00-06:00,18.51505196094513 A
2017-05-04T00:00:00-06:00,18.217705567677815 A
2017-05-05T00:00:00-06:00,18.325562636057537 A
2017-05-06T00:00:00-06:00,17.652126093705494 A
2017-05-07T00:00:00-06:00,17.617799083391827 A
2017-05-08T00:00:00-06:00,18.415825366973877 A
2017-05-09T00:00:00-06:00,18.467476308345795 A
2017-05-10T00:00:00-06:00,18.704323490460713 A
2017-05-11T00:00:00-06:00,18.92934133609136 A
2017-05-12T00:00:00-06:00,18.33884298801422 A
2017-05-13T00:00:00-06:00,17.343769093354542 A
2017-05-14T00:00:00-06:00,17.27762456734975 A
2017-05-15T00:00:00-06:00,17.392067750295002 A
2017-05-16T00:00:00-06:00,17.48930525779724 A
2017-05-17T00:00:00-06:00,17.57922687133153 A
2017-05-18T00:00:00-06:00,17.434939682483673 A
2017-05-19T00:00:00-06:00,17.443417231241863 A
2017-05-20T00:00:00-06:00,17.582952161629994 A
2017-05-21T00:00:00-06:00,17.61363999048869 A
2017-05-22T00:00:00-06:00,17.628274460633595 A
2017-05-23T00:00:00-06:00,18.172353327274323 A
2017-05-24T00:00:00-06:00,18.402437031269073 A
2017-05-25T00:00:00-06:00,18.146155615647633 A
2017-05-26T00:00:00-06:00,17.24973174929619 A
2017-05-27T00:00:00-06:00,15.90226146296451 A
2017-05-28T00:00:00-06:00,15.919095220063863 A
2017-05-29T00:00:00-06:00,16.087120006481808 A
2017-05-30T00:00:00-06:00,17.471403915003727 A
2017-05-31T00:00:00-06:00,17.71457999944687 A
2017-06-01T00:00:00-06:00,17.893054684003193 A
2017-06-02T00:00:00-06:00,17.922068536281586 A
2017-06-03T00:00:00-06:00,17.06663962205251 A
2017-06-04T00:00:00-06:00,17.089869956175487 A
2017-06-05T00:00:00-06:00,18.330598016579945 A
2017-06-06T00:00:00-06:00,18.133893887201946 A
2017-06-07T00:00:00-06:00,17.42771641413371 A
2017-06-08T00:00:00-06:00,17.817773421605427 A
2017-06-09T00:00:00-06:00,17.8988898396492 A
2017-06-10T00:00:00-06:00,15.985883652536492 A
2017-06-11T00:00:00-06:00,15.964808732271194 A
2017-06-12T00:00:00-06:00,16.661731213331223 A
2017-06-13T00:00:00-06:00,16.71847505370776 A
2017-06-14T00:00:00-06:00,16.898400882879894 A
2017-06-15T00:00:00-06:00,17.399460186560948 A
2017-06-16T00:00:00-06:00,16.87369628747304 A
2017-06-17T00:00:00-06:00,15.801226288080215 A
2017-06-18T00:00:00-06:00,15.801594336827597 A
2017-06-19T00:00:00-06:00,17.35074084997177 A
2017-06-20T00:00:00-06:00,17.719652752081554 A
2017-06-21T00:00:00-06:00,17.777567903200787 A
2017-06-22T00:00:00-06:00,17.274363040924072 A
2017-06-23T00:00:00-06:00,18.16066890515779 A
2017-06-24T00:00:00-06:00,17.302928884824116 A
2017-06-25T00:00:00-06:00,17.308708508809406 A
2017-06-26T00:00:00-06:00,18.947064181168873 A
2017-06-27T00:00:00-06:00,18.33299771944682 A
2017-06-28T00:00:00-06:00,18.66456021865209 A
2017-06-29T00:00:00-06:00,18.907712976556077 A
2017-06-30T00:00:00-06:00,18.596250295639038 A
2017-07-01T00:00:00-06:00,16.969598313172657 A
2017-07-02T00:00:00-06:00,17.009285012880962 A
2017-07-03T00:00:00-06:00,17.68650362888972 A
2017-07-04T00:00:00-06:00,16.853650053342182 A
2017-07-05T00:00:00-06:00,19.16229788462321 A
2017-07-06T00:00:00-06:00,19.46233008305232 A
2017-07-07T00:00:00-06:00,19.674424946308136 A
2017-07-08T00:00:00-06:00,18.282767434914906 A
2017-07-09T00:00:00-06:00,18.337689598401386 A
2017-07-10T00:00:00-06:00,19.454506595929463 A
2017-07-11T00:00:00-06:00,19.314963499704998 A
2017-07-12T00:00:00-06:00,18.81303272644679 A
2017-07-13T00:00:00-06:00,18.422172675530117 A
2017-07-14T00:00:00-06:00,18.290346264839172 A
2017-07-15T00:00:00-06:00,17.465121388435364 A
2017-07-16T00:00:00-06:00,17.905902326107025 A
2017-07-17T00:00:00-06:00,19.255111853281658 A
2017-07-18T00:00:00-06:00,19.04754839340846 A
2017-07-19T00:00:00-06:00,18.254322946071625 A
2017-07-20T00:00:00-06:00,18.223831713199615 A
2017-07-21T00:00:00-06:00,18.27520416180293 A
2017-07-22T00:00:00-06:00,16.994023819764454 A
2017-07-23T00:00:00-06:00,17.15946964422862 A
2017-07-24T00:00:00-06:00,17.19586767752965 A
2017-07-25T00:00:00-06:00,17.69544945160548 A
2017-07-26T00:00:00-06:00,17.78887476523717 A
2017-07-27T00:00:00-06:00,18.27452035744985 A
2017-07-28T00:00:00-06:00,17.86970905462901 A
2017-07-29T00:00:00-06:00,17.514691869417828 A
2017-07-30T00:00:00-06:00,17.767634451389313 A
2017-07-31T00:00:00-06:00,18.82653554280599 A
2017-08-01T00:00:00-06:00,18.836276868979137 A
2017-08-02T00:00:00-06:00,18.32776963710785 A
2017-08-03T00:00:00-06:00,18.25428593158722 A
2017-08-04T00:00:00-06:00,18.079470309582387 A
2017-08-05T00:00:00-06:00,16.451222479343414 A
2017-08-06T00:00:00-06:00,16.308791895707447 A
2017-08-07T00:00:00-06:00,17.778889050086338 A
2017-08-08T00:00:00-06:00,18.563595136006672 A
2017-08-09T00:00:00-06:00,19.192548513412476 A
2017-08-10T00:00:00-06:00,18.796963975784628 A
2017-08-11T00:00:00-06:00,18.461870272954304 A
2017-08-12T00:00:00-06:00,17.832305471102398 A
2017-08-13T00:00:00-06:00,17.541871100977847 A
2017-08-14T00:00:00-06:00,18.24147440989812 A
2017-08-15T00:00:00-06:00,17.534291644891102 A
2017-08-16T00:00:00-06:00,18.155930240948994 A
2017-08-17T00:00:00-06:00,17.924669583638508 A
2017-08-18T00:00:00-06:00,18.440794666608173 A
2017-08-19T00:00:00-06:00,17.66419142484665 A
2017-08-20T00:00:00-06:00,17.075355172157288 A
