Timestamp,"['1ee9ae68-7916b449 0053-OLPIN UNION Power Meter (53-2) 300116 Watts, 3-Ph total']"
2017-04-26T00:00:00-06:00,138.2660675048828 kW
2017-04-27T00:00:00-06:00,139.6293182373047 kW
2017-04-28T00:00:00-06:00,127.7884750366211 kW
2017-04-29T00:00:00-06:00,87.57548522949219 kW
2017-04-30T00:00:00-06:00,86.28495788574219 kW
2017-05-01T00:00:00-06:00,127.21778106689453 kW
2017-05-02T00:00:00-06:00,134.4628448486328 kW
2017-05-03T00:00:00-06:00,127.76104736328125 kW
2017-05-04T00:00:00-06:00,130.1165771484375 kW
2017-05-05T00:00:00-06:00,130.09474182128906 kW
2017-05-06T00:00:00-06:00,85.04961395263672 kW
2017-05-07T00:00:00-06:00,80.22208404541016 kW
2017-05-08T00:00:00-06:00,111.54743957519531 kW
2017-05-09T00:00:00-06:00,112.67498016357422 kW
2017-05-10T00:00:00-06:00,112.36151885986328 kW
2017-05-11T00:00:00-06:00,112.2542724609375 kW
2017-05-12T00:00:00-06:00,113.17835235595703 kW
2017-05-13T00:00:00-06:00,86.10690307617188 kW
2017-05-14T00:00:00-06:00,81.64956665039062 kW
2017-05-15T00:00:00-06:00,120.3328628540039 kW
2017-05-16T00:00:00-06:00,114.2201919555664 kW
2017-05-17T00:00:00-06:00,116.91777801513672 kW
2017-05-18T00:00:00-06:00,123.1220703125 kW
2017-05-19T00:00:00-06:00,114.8431625366211 kW
2017-05-20T00:00:00-06:00,85.89595794677734 kW
2017-05-21T00:00:00-06:00,74.3846664428711 kW
2017-05-22T00:00:00-06:00,120.99217987060547 kW
2017-05-23T00:00:00-06:00,120.18880462646484 kW
2017-05-24T00:00:00-06:00,114.57691192626953 kW
2017-05-25T00:00:00-06:00,113.62701416015625 kW
2017-05-26T00:00:00-06:00,118.54364776611328 kW
2017-05-27T00:00:00-06:00,81.11247253417969 kW
2017-05-28T00:00:00-06:00,83.05353546142578 kW
2017-05-29T00:00:00-06:00,81.72945404052734 kW
2017-05-30T00:00:00-06:00,114.84513092041016 kW
2017-05-31T00:00:00-06:00,116.20218658447266 kW
2017-06-01T00:00:00-06:00,119.23881530761719 kW
2017-06-02T00:00:00-06:00,124.39263153076172 kW
2017-06-03T00:00:00-06:00,86.52775573730469 kW
2017-06-04T00:00:00-06:00,77.29798889160156 kW
2017-06-05T00:00:00-06:00,114.14215850830078 kW
2017-06-06T00:00:00-06:00,128.81185913085938 kW
2017-06-07T00:00:00-06:00,121.93943786621094 kW
2017-06-08T00:00:00-06:00,118.22772979736328 kW
2017-06-09T00:00:00-06:00,121.29463958740234 kW
2017-06-10T00:00:00-06:00,84.55524444580078 kW
2017-06-11T00:00:00-06:00,77.90874481201172 kW
2017-06-12T00:00:00-06:00,116.96989440917969 kW
2017-06-13T00:00:00-06:00,117.92230987548828 kW
2017-06-14T00:00:00-06:00,121.0330810546875 kW
2017-06-15T00:00:00-06:00,122.72431945800781 kW
2017-06-16T00:00:00-06:00,125.74665832519531 kW
2017-06-17T00:00:00-06:00,84.71805572509766 kW
2017-06-18T00:00:00-06:00,80.45293426513672 kW
2017-06-19T00:00:00-06:00,122.08646392822266 kW
2017-06-20T00:00:00-06:00,127.25953674316406 kW
2017-06-21T00:00:00-06:00,126.41658782958984 kW
2017-06-22T00:00:00-06:00,120.91719055175781 kW
2017-06-23T00:00:00-06:00,120.36412811279297 kW
2017-06-24T00:00:00-06:00,80.91332244873047 kW
2017-06-25T00:00:00-06:00,79.8314208984375 kW
2017-06-26T00:00:00-06:00,120.77568817138672 kW
2017-06-27T00:00:00-06:00,125.6133041381836 kW
2017-06-28T00:00:00-06:00,122.49958038330078 kW
2017-06-29T00:00:00-06:00,127.53555297851562 kW
2017-06-30T00:00:00-06:00,113.24382019042969 kW
2017-07-01T00:00:00-06:00,81.03348541259766 kW
2017-07-02T00:00:00-06:00,72.79280090332031 kW
2017-07-03T00:00:00-06:00,110.23030090332031 kW
2017-07-04T00:00:00-06:00,73.36306762695312 kW
2017-07-05T00:00:00-06:00,111.8479232788086 kW
2017-07-06T00:00:00-06:00,121.1002426147461 kW
2017-07-07T00:00:00-06:00,105.95159912109375 kW
2017-07-08T00:00:00-06:00,85.30766296386719 kW
2017-07-09T00:00:00-06:00,80.40336608886719 kW
2017-07-10T00:00:00-06:00,121.81082916259766 kW
2017-07-11T00:00:00-06:00,124.29528045654297 kW
2017-07-12T00:00:00-06:00,129.5775909423828 kW
2017-07-13T00:00:00-06:00,129.03775024414062 kW
2017-07-14T00:00:00-06:00,125.82552337646484 kW
2017-07-15T00:00:00-06:00,90.66600799560547 kW
2017-07-16T00:00:00-06:00,74.72559356689453 kW
2017-07-17T00:00:00-06:00,122.3017349243164 kW
2017-07-18T00:00:00-06:00,126.41840362548828 kW
2017-07-19T00:00:00-06:00,119.22147369384766 kW
2017-07-20T00:00:00-06:00,129.09153747558594 kW
2017-07-21T00:00:00-06:00,121.47135925292969 kW
2017-07-22T00:00:00-06:00,77.97883605957031 kW
2017-07-23T00:00:00-06:00,74.14505004882812 kW
2017-07-24T00:00:00-06:00,73.19246673583984 kW
2017-07-25T00:00:00-06:00,127.40946960449219 kW
2017-07-26T00:00:00-06:00,122.77983093261719 kW
2017-07-27T00:00:00-06:00,127.83152770996094 kW
2017-07-28T00:00:00-06:00,125.12510681152344 kW
2017-07-29T00:00:00-06:00,105.72579956054688 kW
2017-07-30T00:00:00-06:00,80.10088348388672 kW
2017-07-31T00:00:00-06:00,115.16051483154297 kW
2017-08-01T00:00:00-06:00,129.29168701171875 kW
2017-08-02T00:00:00-06:00,123.28182220458984 kW
2017-08-03T00:00:00-06:00,125.6882553100586 kW
2017-08-04T00:00:00-06:00,119.62020111083984 kW
2017-08-05T00:00:00-06:00,81.87345123291016 kW
2017-08-06T00:00:00-06:00,75.31549072265625 kW
2017-08-07T00:00:00-06:00,117.47761535644531 kW
2017-08-08T00:00:00-06:00,116.71739959716797 kW
2017-08-09T00:00:00-06:00,123.33602142333984 kW
2017-08-10T00:00:00-06:00,122.03296661376953 kW
2017-08-11T00:00:00-06:00,120.82929229736328 kW
2017-08-12T00:00:00-06:00,86.41868591308594 kW
2017-08-13T00:00:00-06:00,78.19983673095703 kW
2017-08-14T00:00:00-06:00,113.98943328857422 kW
2017-08-15T00:00:00-06:00,122.68254089355469 kW
2017-08-16T00:00:00-06:00,121.07241821289062 kW
2017-08-17T00:00:00-06:00,126.01067352294922 kW
2017-08-18T00:00:00-06:00,136.70558166503906 kW
2017-08-19T00:00:00-06:00,95.81907653808594 kW
2017-08-20T00:00:00-06:00,85.04119873046875 kW
2017-08-21T00:00:00-06:00,134.14537048339844 kW
2017-08-22T00:00:00-06:00,142.507568359375 kW
2017-08-23T00:00:00-06:00,140.93626403808594 kW
2017-08-24T00:00:00-06:00,131.71131896972656 kW
2017-08-25T00:00:00-06:00,130.66334533691406 kW
2017-08-26T00:00:00-06:00,92.71772766113281 kW
2017-08-27T00:00:00-06:00,86.37639617919922 kW
2017-08-28T00:00:00-06:00,135.5692901611328 kW
2017-08-29T00:00:00-06:00,146.60150146484375 kW
2017-08-30T00:00:00-06:00,109.63585662841797 kW
2017-08-31T00:00:00-06:00,130.5477294921875 kW
2017-09-01T00:00:00-06:00,142.2965087890625 kW
2017-09-02T00:00:00-06:00,95.49459838867188 kW
2017-09-03T00:00:00-06:00,88.38021087646484 kW
2017-09-04T00:00:00-06:00,84.21217346191406 kW
2017-09-05T00:00:00-06:00,142.75633239746094 kW
2017-09-06T00:00:00-06:00,141.0857391357422 kW
2017-09-07T00:00:00-06:00,139.6990966796875 kW
2017-09-08T00:00:00-06:00,134.76092529296875 kW
2017-09-09T00:00:00-06:00,85.78128051757812 kW
2017-09-10T00:00:00-06:00,85.66010284423828 kW
2017-09-11T00:00:00-06:00,141.27383422851562 kW
2017-09-12T00:00:00-06:00,144.6148681640625 kW
2017-09-13T00:00:00-06:00,139.44093322753906 kW
2017-09-14T00:00:00-06:00,134.77732849121094 kW
2017-09-15T00:00:00-06:00,142.70083618164062 kW
2017-09-16T00:00:00-06:00,82.5491943359375 kW
2017-09-17T00:00:00-06:00,85.54643249511719 kW
2017-09-18T00:00:00-06:00,137.9984588623047 kW
2017-09-19T00:00:00-06:00,130.2168731689453 kW
2017-09-20T00:00:00-06:00,141.68594360351562 kW
2017-09-21T00:00:00-06:00,140.89657592773438 kW
2017-09-22T00:00:00-06:00,132.05995178222656 kW
2017-09-23T00:00:00-06:00,90.5276870727539 kW
2017-09-24T00:00:00-06:00,86.91069030761719 kW
2017-09-25T00:00:00-06:00,137.04685974121094 kW
2017-09-26T00:00:00-06:00,136.75718688964844 kW
2017-09-27T00:00:00-06:00,143.81236267089844 kW
2017-09-28T00:00:00-06:00,144.9680633544922 kW
2017-09-29T00:00:00-06:00,139.9622344970703 kW
2017-09-30T00:00:00-06:00,86.54598236083984 kW
2017-10-01T00:00:00-06:00,85.45121765136719 kW
2017-10-02T00:00:00-06:00,133.5450439453125 kW
2017-10-03T00:00:00-06:00,144.13180541992188 kW
2017-10-04T00:00:00-06:00,134.3885498046875 kW
2017-10-05T00:00:00-06:00,127.85320281982422 kW
2017-10-06T00:00:00-06:00,132.12782287597656 kW
2017-10-07T00:00:00-06:00,99.51818084716797 kW
2017-10-08T00:00:00-06:00,77.12773895263672 kW
2017-10-09T00:00:00-06:00,113.40498352050781 kW
2017-10-10T00:00:00-06:00,113.96019744873047 kW
2017-10-11T00:00:00-06:00,124.79071044921875 kW
2017-10-12T00:00:00-06:00,132.96510314941406 kW
2017-10-13T00:00:00-06:00,125.29708862304688 kW
2017-10-14T00:00:00-06:00,86.84680938720703 kW
2017-10-15T00:00:00-06:00,78.09161376953125 kW
2017-10-16T00:00:00-06:00,131.2810821533203 kW
2017-10-17T00:00:00-06:00,132.9721221923828 kW
2017-10-18T00:00:00-06:00,136.94540405273438 kW
2017-10-19T00:00:00-06:00,135.7593536376953 kW
2017-10-20T00:00:00-06:00,140.35716247558594 kW
2017-10-21T00:00:00-06:00,99.10810089111328 kW
2017-10-22T00:00:00-06:00,86.43334197998047 kW
2017-10-23T00:00:00-06:00,135.42530822753906 kW
2017-10-24T00:00:00-06:00,131.6173858642578 kW
2017-10-25T00:00:00-06:00,139.2286834716797 kW
2017-10-26T00:00:00-06:00,139.3665008544922 kW
2017-10-27T00:00:00-06:00,137.83387756347656 kW
2017-10-28T00:00:00-06:00,88.84886169433594 kW
2017-10-29T00:00:00-06:00,81.4959716796875 kW
2017-10-30T00:00:00-06:00,132.03236389160156 kW
2017-10-31T00:00:00-06:00,127.87422943115234 kW
2017-11-01T00:00:00-06:00,144.93951416015625 kW
2017-11-02T00:00:00-06:00,148.00047302246094 kW
2017-11-03T00:00:00-06:00,129.30917358398438 kW
2017-11-04T00:00:00-06:00,106.28937530517578 kW
2017-11-05T00:00:00-06:00,94.00843811035156 kW
2017-11-06T00:00:00-07:00,137.705078125 kW
2017-11-07T00:00:00-07:00,136.5862274169922 kW
2017-11-08T00:00:00-07:00,134.27699279785156 kW
2017-11-09T00:00:00-07:00,133.22189331054688 kW
2017-11-10T00:00:00-07:00,135.26425170898438 kW
2017-11-11T00:00:00-07:00,85.1092758178711 kW
2017-11-12T00:00:00-07:00,88.51934814453125 kW
2017-11-13T00:00:00-07:00,133.72474670410156 kW
2017-11-14T00:00:00-07:00,144.8574676513672 kW
2017-11-15T00:00:00-07:00,139.02432250976562 kW
2017-11-16T00:00:00-07:00,138.3321533203125 kW
2017-11-17T00:00:00-07:00,145.480712890625 kW
2017-11-18T00:00:00-07:00,96.48211669921875 kW
2017-11-19T00:00:00-07:00,81.8736572265625 kW
2017-11-20T00:00:00-07:00,129.21710205078125 kW
2017-11-21T00:00:00-07:00,132.6810302734375 kW
2017-11-22T00:00:00-07:00,127.14141845703125 kW
2017-11-23T00:00:00-07:00,71.37802124023438 kW
2017-11-24T00:00:00-07:00,86.65859985351562 kW
2017-11-25T00:00:00-07:00,89.00957489013672 kW
2017-11-26T00:00:00-07:00,84.0697250366211 kW
2017-11-27T00:00:00-07:00,137.07833862304688 kW
2017-11-28T00:00:00-07:00,131.50279235839844 kW
2017-11-29T00:00:00-07:00,142.11817932128906 kW
2017-11-30T00:00:00-07:00,142.94772338867188 kW
2017-12-01T00:00:00-07:00,139.64337158203125 kW
2017-12-02T00:00:00-07:00,93.4349594116211 kW
2017-12-03T00:00:00-07:00,88.44889831542969 kW
2017-12-04T00:00:00-07:00,138.14987182617188 kW
2017-12-05T00:00:00-07:00,145.06515502929688 kW
2017-12-06T00:00:00-07:00,143.89871215820312 kW
2017-12-07T00:00:00-07:00,136.25088500976562 kW
2017-12-08T00:00:00-07:00,136.51278686523438 kW
2017-12-09T00:00:00-07:00,92.6444320678711 kW
2017-12-10T00:00:00-07:00,79.45673370361328 kW
2017-12-11T00:00:00-07:00,129.7108612060547 kW
2017-12-12T00:00:00-07:00,143.8035430908203 kW
2017-12-13T00:00:00-07:00,131.11549377441406 kW
2017-12-14T00:00:00-07:00,136.19735717773438 kW
2017-12-15T00:00:00-07:00,126.04837799072266 kW
2017-12-16T00:00:00-07:00,88.41210174560547 kW
2017-12-17T00:00:00-07:00,78.54336547851562 kW
2017-12-18T00:00:00-07:00,108.88318634033203 kW
2017-12-19T00:00:00-07:00,110.99917602539062 kW
2017-12-20T00:00:00-07:00,112.00365447998047 kW
2017-12-21T00:00:00-07:00,111.0826644897461 kW
2017-12-22T00:00:00-07:00,107.980224609375 kW
2017-12-23T00:00:00-07:00,74.30442810058594 kW
2017-12-24T00:00:00-07:00,74.90153503417969 kW
2017-12-25T00:00:00-07:00,72.8479995727539 kW
2017-12-26T00:00:00-07:00,78.37873840332031 kW
2017-12-27T00:00:00-07:00,88.97924041748047 kW
2017-12-28T00:00:00-07:00,91.4345703125 kW
2017-12-29T00:00:00-07:00,68.61048126220703 kW
2017-12-30T00:00:00-07:00,69.41734313964844 kW
2017-12-31T00:00:00-07:00,69.47824096679688 kW
