Timestamp,['1d0b1be1-30af34f9 0084-BIOLOGY BLDG Power Meter 316500 Current B']
2017-02-14T00:00:00-07:00,201.98301826639377 A
2017-02-15T00:00:00-07:00,197.8911935488383 A
2017-02-16T00:00:00-07:00,204.3976469039917 A
2017-02-17T00:00:00-07:00,195.9970334370931 A
2017-02-18T00:00:00-07:00,191.09488836924234 A
2017-02-19T00:00:00-07:00,184.4121700922648 A
2017-02-20T00:00:00-07:00,195.4450224240621 A
2017-02-21T00:00:00-07:00,204.5937182108561 A
2017-02-22T00:00:00-07:00,192.6747531890869 A
2017-02-23T00:00:00-07:00,196.69535048802695 A
2017-02-24T00:00:00-07:00,189.3955246566178 A
2017-02-25T00:00:00-07:00,184.03806400299072 A
2017-02-26T00:00:00-07:00,184.96053727467856 A
2017-02-27T00:00:00-07:00,193.17223405838013 A
2017-02-28T00:00:00-07:00,194.05826044082642 A
2017-03-01T00:00:00-07:00,198.89333248138428 A
2017-03-02T00:00:00-07:00,195.63402207692465 A
2017-03-03T00:00:00-07:00,193.21500492095947 A
2017-03-04T00:00:00-07:00,185.6554757754008 A
2017-03-05T00:00:00-07:00,187.65921942392984 A
2017-03-06T00:00:00-07:00,190.65043449401855 A
2017-03-07T00:00:00-07:00,194.25711297988892 A
2017-03-08T00:00:00-07:00,200.7237408955892 A
2017-03-09T00:00:00-07:00,208.74881839752197 A
2017-03-10T00:00:00-07:00,211.60771417617798 A
2017-03-11T00:00:00-07:00,198.5627285639445 A
2017-03-12T00:00:00-07:00,198.82693597544795 A
2017-03-13T00:00:00-06:00,206.54882685343424 A
2017-03-14T00:00:00-06:00,216.53190326690674 A
2017-03-15T00:00:00-06:00,214.95927937825522 A
2017-03-16T00:00:00-06:00,210.31191873550415 A
2017-03-17T00:00:00-06:00,205.661580880483 A
2017-03-18T00:00:00-06:00,198.71622323989868 A
2017-03-19T00:00:00-06:00,195.45834143956503 A
2017-03-20T00:00:00-06:00,210.71179644266763 A
2017-03-21T00:00:00-06:00,214.6190923055013 A
2017-03-22T00:00:00-06:00,211.4920654296875 A
2017-03-23T00:00:00-06:00,195.6656732559204 A
2017-03-24T00:00:00-06:00,202.81352726618448 A
2017-03-25T00:00:00-06:00,188.40146334966025 A
2017-03-26T00:00:00-06:00,185.44367949167886 A
2017-03-27T00:00:00-06:00,189.75879065195718 A
2017-03-28T00:00:00-06:00,188.02362537384033 A
2017-03-29T00:00:00-06:00,193.30842039320203 A
2017-03-30T00:00:00-06:00,199.16198106245562 A
2017-03-31T00:00:00-06:00,193.930178672389 A
2017-04-01T00:00:00-06:00,191.26328229904175 A
2017-04-02T00:00:00-06:00,180.2485179901123 A
2017-04-03T00:00:00-06:00,185.3779492378235 A
2017-04-04T00:00:00-06:00,186.94921016693115 A
2017-04-05T00:00:00-06:00,195.29210074742636 A
2017-04-06T00:00:00-06:00,194.8134048194216 A
2017-04-11T00:00:00-06:00,192.94447108677454 A
2017-04-12T00:00:00-06:00,210.12059783935547 A
2017-04-13T00:00:00-06:00,198.48980712890625 A
2017-04-14T00:00:00-06:00,199.57433700561523 A
2017-04-18T00:00:00-06:00,234.3395792643229 A
2017-04-20T00:00:00-06:00,183.02676391601562 A
2017-04-21T00:00:00-06:00,188.61607360839844 A
2017-04-22T00:00:00-06:00,203.09864807128906 A
2017-04-23T00:00:00-06:00,197.5115203857422 A
2017-04-24T00:00:00-06:00,210.97097473144532 A
2017-04-25T00:00:00-06:00,194.1211166381836 A
2017-04-27T00:00:00-06:00,200.08349609375 A
2017-05-02T00:00:00-06:00,209.61139678955078 A
2017-05-03T00:00:00-06:00,192.95006306966147 A
2017-05-05T00:00:00-06:00,185.77142333984375 A
2017-05-08T00:00:00-06:00,214.3207804361979 A
2017-05-18T00:00:00-06:00,187.20323181152344 A
2017-05-24T00:00:00-06:00,201.32626342773438 A
2017-05-27T00:00:00-06:00,177.22109985351562 A
2017-06-02T00:00:00-06:00,193.1056162516276 A
2017-06-03T00:00:00-06:00,187.30731201171875 A
2017-06-07T00:00:00-06:00,201.88018640978584 A
2017-06-08T00:00:00-06:00,194.32894447728208 A
2017-06-09T00:00:00-06:00,193.2432344754537 A
2017-06-10T00:00:00-06:00,186.93589687347412 A
2017-06-11T00:00:00-06:00,186.76521269145763 A
2017-06-12T00:00:00-06:00,195.57950576146445 A
2017-06-13T00:00:00-06:00,194.28807910283408 A
2017-06-14T00:00:00-06:00,194.26219050089517 A
2017-06-15T00:00:00-06:00,197.9906751314799 A
2017-06-16T00:00:00-06:00,194.82162714004517 A
2017-06-17T00:00:00-06:00,186.4299488067627 A
2017-06-18T00:00:00-06:00,184.90470425287882 A
2017-06-19T00:00:00-06:00,199.0582906405131 A
2017-06-20T00:00:00-06:00,197.7435591848273 A
2017-06-21T00:00:00-06:00,198.9984834988912 A
2017-06-22T00:00:00-06:00,198.09210443496704 A
2017-06-23T00:00:00-06:00,199.10799233118692 A
2017-06-24T00:00:00-06:00,191.63935407002768 A
2017-06-25T00:00:00-06:00,193.89669052759805 A
2017-06-26T00:00:00-06:00,211.52671575546265 A
2017-06-27T00:00:00-06:00,207.97106472651163 A
2017-06-28T00:00:00-06:00,207.86385917663574 A
2017-06-29T00:00:00-06:00,206.8539106051127 A
2017-06-30T00:00:00-06:00,207.2253705660502 A
2017-07-01T00:00:00-06:00,200.18430439631143 A
2017-07-02T00:00:00-06:00,199.87776597340903 A
2017-07-03T00:00:00-06:00,210.24256706237793 A
2017-07-04T00:00:00-06:00,202.9343066215515 A
2017-07-05T00:00:00-06:00,207.65779050191244 A
2017-07-06T00:00:00-06:00,209.46524922053018 A
2017-07-07T00:00:00-06:00,205.90757195154825 A
2017-07-08T00:00:00-06:00,198.9158705075582 A
2017-07-09T00:00:00-06:00,199.65499385197958 A
2017-07-10T00:00:00-06:00,212.1410673459371 A
2017-07-11T00:00:00-06:00,210.27890793482462 A
2017-07-12T00:00:00-06:00,208.94838428497314 A
2017-07-13T00:00:00-06:00,209.51288986206055 A
2017-07-14T00:00:00-06:00,206.5278401374817 A
2017-07-15T00:00:00-06:00,193.80021826426187 A
2017-07-16T00:00:00-06:00,192.80660263697305 A
2017-07-17T00:00:00-06:00,201.6652104304387 A
2017-07-18T00:00:00-06:00,203.7929719289144 A
2017-07-19T00:00:00-06:00,205.6265149116516 A
2017-07-20T00:00:00-06:00,204.36669460932413 A
2017-07-21T00:00:00-06:00,199.9283250172933 A
2017-07-22T00:00:00-06:00,192.68768787384033 A
2017-07-23T00:00:00-06:00,191.16533915201822 A
2017-07-24T00:00:00-06:00,198.92619450887045 A
2017-07-25T00:00:00-06:00,201.05306323369345 A
2017-07-26T00:00:00-06:00,201.6140515009562 A
2017-07-27T00:00:00-06:00,208.32584969202676 A
2017-07-28T00:00:00-06:00,206.0576489766439 A
2017-07-29T00:00:00-06:00,194.9415028889974 A
2017-07-30T00:00:00-06:00,194.31549310684204 A
2017-07-31T00:00:00-06:00,206.20994472503662 A
2017-08-01T00:00:00-06:00,211.90050268173218 A
2017-08-02T00:00:00-06:00,207.30055252710977 A
2017-08-03T00:00:00-06:00,207.4506352742513 A
2017-08-04T00:00:00-06:00,202.56743801845593 A
2017-08-05T00:00:00-06:00,197.02731339136758 A
2017-08-06T00:00:00-06:00,197.80175956090292 A
2017-08-07T00:00:00-06:00,207.63199059168497 A
2017-08-08T00:00:00-06:00,206.94372719212583 A
2017-08-09T00:00:00-06:00,207.83745590845743 A
2017-08-10T00:00:00-06:00,207.30241875026536 A
2017-08-11T00:00:00-06:00,207.1558248202006 A
2017-08-12T00:00:00-06:00,195.16737111409506 A
2017-08-13T00:00:00-06:00,199.42687288920084 A
2017-08-14T00:00:00-06:00,211.8443497021993 A
2017-08-15T00:00:00-06:00,212.5586369832357 A
2017-08-16T00:00:00-06:00,207.67640971089457 A
2017-08-17T00:00:00-06:00,210.08316071828207 A
2017-08-18T00:00:00-06:00,208.94260946909586 A
2017-08-19T00:00:00-06:00,202.29281425476074 A
2017-08-20T00:00:00-06:00,199.40588315327963 A
2017-08-21T00:00:00-06:00,206.2929541269938 A
2017-08-22T00:00:00-06:00,212.67367267608643 A
2017-08-23T00:00:00-06:00,207.16732009251913 A
2017-08-24T00:00:00-06:00,205.30991644608346 A
2017-08-25T00:00:00-06:00,207.27463928858438 A
2017-08-26T00:00:00-06:00,197.93827739514802 A
2017-08-27T00:00:00-06:00,197.91630891081576 A
2017-08-28T00:00:00-06:00,206.88534545898438 A
2017-08-29T00:00:00-06:00,212.31955238624855 A
2017-08-30T00:00:00-06:00,209.307386525472 A
2017-08-31T00:00:00-06:00,205.49227991643943 A
2017-09-01T00:00:00-06:00,203.70289659500122 A
2017-09-02T00:00:00-06:00,194.83570706114477 A
2017-09-03T00:00:00-06:00,197.03748695523132 A
2017-09-04T00:00:00-06:00,198.34319248905888 A
2017-09-05T00:00:00-06:00,204.2832273825621 A
2017-09-06T00:00:00-06:00,197.03110271951428 A
2017-09-07T00:00:00-06:00,199.3148237440321 A
2017-09-08T00:00:00-06:00,200.19861348470053 A
2017-09-09T00:00:00-06:00,189.16299983433314 A
2017-09-10T00:00:00-06:00,188.27956709428267 A
2017-09-11T00:00:00-06:00,198.79936993708375 A
2017-09-12T00:00:00-06:00,196.9479146497003 A
2017-09-13T00:00:00-06:00,197.659791761829 A
2017-09-14T00:00:00-06:00,197.52740636365166 A
2017-09-15T00:00:00-06:00,195.75895036969865 A
2017-09-16T00:00:00-06:00,185.2156734890408 A
2017-09-17T00:00:00-06:00,186.45046315874373 A
2017-09-18T00:00:00-06:00,192.76879487214265 A
