Timestamp,['1ed62988-f5791a7a 0012-SUTTON BLDG POWER METER 208V (316602) Current A']
2017-05-05T00:00:00-06:00,153.2736842105263 A
2017-05-06T00:00:00-06:00,117.48958333333333 A
2017-05-07T00:00:00-06:00,117.61458333333333 A
2017-05-08T00:00:00-06:00,155.10416666666666 A
2017-05-09T00:00:00-06:00,168.11458333333334 A
2017-05-10T00:00:00-06:00,170.63541666666666 A
2017-05-11T00:00:00-06:00,167.20833333333334 A
2017-05-12T00:00:00-06:00,163.04166666666666 A
2017-05-13T00:00:00-06:00,151.94791666666666 A
2017-05-14T00:00:00-06:00,151.25 A
2017-05-15T00:00:00-06:00,161.29166666666666 A
2017-05-16T00:00:00-06:00,165.70833333333334 A
2017-05-17T00:00:00-06:00,164.72916666666666 A
2017-05-18T00:00:00-06:00,169.02083333333334 A
2017-05-19T00:00:00-06:00,167.14583333333334 A
2017-05-20T00:00:00-06:00,151.30208333333334 A
2017-05-21T00:00:00-06:00,150.08333333333334 A
2017-05-22T00:00:00-06:00,163.20833333333334 A
2017-05-23T00:00:00-06:00,168.625 A
2017-05-24T00:00:00-06:00,172.86458333333334 A
2017-05-25T00:00:00-06:00,170 A
2017-05-26T00:00:00-06:00,148.07291666666666 A
2017-05-27T00:00:00-06:00,109.72631578947369 A
2017-05-28T00:00:00-06:00,110.11578947368422 A
2017-05-29T00:00:00-06:00,109.78125 A
2017-05-30T00:00:00-06:00,147.05263157894737 A
2017-05-31T00:00:00-06:00,165.36458333333334 A
2017-06-01T00:00:00-06:00,162.91666666666666 A
2017-06-02T00:00:00-06:00,155.82291666666666 A
2017-06-03T00:00:00-06:00,138.13541666666666 A
2017-06-04T00:00:00-06:00,138.09375 A
2017-06-05T00:00:00-06:00,151.19791666666666 A
2017-06-06T00:00:00-06:00,164.55208333333334 A
2017-06-07T00:00:00-06:00,168.02083333333334 A
2017-06-08T00:00:00-06:00,169.125 A
2017-06-09T00:00:00-06:00,164.10416666666666 A
2017-06-10T00:00:00-06:00,152.4375 A
2017-06-11T00:00:00-06:00,153.94791666666666 A
2017-06-12T00:00:00-06:00,163.95833333333334 A
2017-06-13T00:00:00-06:00,165.83333333333334 A
2017-06-14T00:00:00-06:00,165.16666666666666 A
2017-06-15T00:00:00-06:00,163.94791666666666 A
2017-06-16T00:00:00-06:00,157.70833333333334 A
2017-06-17T00:00:00-06:00,155.08333333333334 A
2017-06-18T00:00:00-06:00,150.16666666666666 A
2017-06-19T00:00:00-06:00,163.40625 A
2017-06-20T00:00:00-06:00,170.47916666666666 A
2017-06-21T00:00:00-06:00,165.64583333333334 A
2017-06-22T00:00:00-06:00,168.27083333333334 A
2017-06-23T00:00:00-06:00,165.67708333333334 A
2017-06-24T00:00:00-06:00,145.73958333333334 A
2017-06-25T00:00:00-06:00,143.19791666666666 A
2017-06-26T00:00:00-06:00,158.59375 A
2017-06-27T00:00:00-06:00,163.375 A
2017-06-28T00:00:00-06:00,164 A
2017-06-29T00:00:00-06:00,165.98958333333334 A
