Timestamp,"['1eb2a07b-4b6a3d6a 0074-BUSINESS CLASSROOM BLDG Power Meter (480V) Watts, 3-Ph total']"
2017-04-25T00:00:00-06:00,86.59688568115234 kW
2017-04-26T00:00:00-06:00,73.21849822998047 kW
2017-04-27T00:00:00-06:00,81.43836212158203 kW
2017-04-28T00:00:00-06:00,73.12403106689453 kW
2017-04-29T00:00:00-06:00,65.301025390625 kW
2017-04-30T00:00:00-06:00,66.7262954711914 kW
2017-05-01T00:00:00-06:00,73.35575866699219 kW
2017-05-02T00:00:00-06:00,71.72027587890625 kW
2017-05-03T00:00:00-06:00,76.04853820800781 kW
2017-05-04T00:00:00-06:00,72.65553283691406 kW
2017-05-05T00:00:00-06:00,72.50198364257812 kW
2017-05-06T00:00:00-06:00,65.40461730957031 kW
2017-05-07T00:00:00-06:00,66.08344268798828 kW
2017-05-08T00:00:00-06:00,71.36454010009766 kW
2017-05-09T00:00:00-06:00,70.0133056640625 kW
2017-05-10T00:00:00-06:00,70.7005844116211 kW
2017-05-11T00:00:00-06:00,70.11878967285156 kW
2017-05-12T00:00:00-06:00,67.34075164794922 kW
2017-05-13T00:00:00-06:00,63.286293029785156 kW
2017-05-14T00:00:00-06:00,59.06282043457031 kW
2017-05-15T00:00:00-06:00,70.24163818359375 kW
2017-05-16T00:00:00-06:00,69.52543640136719 kW
2017-05-17T00:00:00-06:00,75.03014373779297 kW
2017-05-18T00:00:00-06:00,72.51763916015625 kW
2017-05-19T00:00:00-06:00,67.69148254394531 kW
2017-05-20T00:00:00-06:00,80.56605529785156 kW
2017-05-21T00:00:00-06:00,62.62582015991211 kW
2017-05-22T00:00:00-06:00,81.36215209960938 kW
2017-05-23T00:00:00-06:00,76.17587280273438 kW
2017-05-24T00:00:00-06:00,74.4757308959961 kW
2017-05-25T00:00:00-06:00,69.94232940673828 kW
2017-05-26T00:00:00-06:00,73.64751434326172 kW
2017-05-27T00:00:00-06:00,66.89244842529297 kW
2017-05-28T00:00:00-06:00,67.49697875976562 kW
2017-05-29T00:00:00-06:00,64.6220932006836 kW
2017-05-30T00:00:00-06:00,75.44160461425781 kW
2017-05-31T00:00:00-06:00,78.6078872680664 kW
2017-06-01T00:00:00-06:00,73.6791000366211 kW
2017-06-02T00:00:00-06:00,71.03279876708984 kW
2017-06-03T00:00:00-06:00,68.4444351196289 kW
2017-06-04T00:00:00-06:00,66.38664245605469 kW
2017-06-05T00:00:00-06:00,84.08110046386719 kW
2017-06-06T00:00:00-06:00,81.01740264892578 kW
2017-06-07T00:00:00-06:00,82.5551986694336 kW
2017-06-08T00:00:00-06:00,80.72557830810547 kW
2017-06-09T00:00:00-06:00,74.80107116699219 kW
2017-06-10T00:00:00-06:00,66.7974853515625 kW
2017-06-11T00:00:00-06:00,68.25012969970703 kW
2017-06-12T00:00:00-06:00,88.34244537353516 kW
2017-06-13T00:00:00-06:00,80.94793701171875 kW
2017-06-14T00:00:00-06:00,80.06055450439453 kW
2017-06-15T00:00:00-06:00,81.08514404296875 kW
2017-06-16T00:00:00-06:00,78.59152221679688 kW
2017-06-17T00:00:00-06:00,73.9646987915039 kW
2017-06-18T00:00:00-06:00,66.67276763916016 kW
2017-06-19T00:00:00-06:00,78.74250793457031 kW
2017-06-20T00:00:00-06:00,77.60513305664062 kW
2017-06-21T00:00:00-06:00,78.27644348144531 kW
2017-06-22T00:00:00-06:00,74.255615234375 kW
2017-06-23T00:00:00-06:00,70.90035247802734 kW
2017-06-24T00:00:00-06:00,65.35240936279297 kW
2017-06-25T00:00:00-06:00,69.0617446899414 kW
2017-06-26T00:00:00-06:00,86.52182006835938 kW
2017-06-27T00:00:00-06:00,82.33242797851562 kW
2017-06-28T00:00:00-06:00,80.38270568847656 kW
2017-06-29T00:00:00-06:00,85.63636779785156 kW
2017-06-30T00:00:00-06:00,76.759033203125 kW
2017-07-01T00:00:00-06:00,63.40742874145508 kW
2017-07-02T00:00:00-06:00,67.84342956542969 kW
2017-07-03T00:00:00-06:00,69.31604766845703 kW
2017-07-04T00:00:00-06:00,68.90180206298828 kW
2017-07-05T00:00:00-06:00,81.93824005126953 kW
2017-07-06T00:00:00-06:00,86.79842376708984 kW
2017-07-07T00:00:00-06:00,77.51683044433594 kW
2017-07-08T00:00:00-06:00,67.6276626586914 kW
2017-07-09T00:00:00-06:00,72.69188690185547 kW
2017-07-10T00:00:00-06:00,77.44605255126953 kW
2017-07-11T00:00:00-06:00,80.4815673828125 kW
2017-07-12T00:00:00-06:00,82.73397064208984 kW
2017-07-13T00:00:00-06:00,80.13920593261719 kW
2017-07-14T00:00:00-06:00,76.9856185913086 kW
2017-07-15T00:00:00-06:00,68.3199691772461 kW
2017-07-16T00:00:00-06:00,69.04521942138672 kW
2017-07-17T00:00:00-06:00,82.57705688476562 kW
2017-07-18T00:00:00-06:00,80.54346466064453 kW
2017-07-19T00:00:00-06:00,80.66047668457031 kW
2017-07-20T00:00:00-06:00,81.54015350341797 kW
2017-07-21T00:00:00-06:00,79.48250579833984 kW
2017-07-22T00:00:00-06:00,68.96692657470703 kW
2017-07-23T00:00:00-06:00,69.23301696777344 kW
2017-07-24T00:00:00-06:00,68.1856689453125 kW
2017-07-25T00:00:00-06:00,79.01744842529297 kW
2017-07-26T00:00:00-06:00,81.17777252197266 kW
2017-07-27T00:00:00-06:00,76.95963287353516 kW
2017-07-28T00:00:00-06:00,76.8941650390625 kW
2017-07-29T00:00:00-06:00,67.42047882080078 kW
2017-07-30T00:00:00-06:00,67.63610076904297 kW
