Timestamp,['1fa24749-b01d64f4 0002-VOICE & OPERA CNTR Power Meter (301411) Current B']
2017-04-30T00:00:00-06:00,7.149345492323239 A
2017-05-01T00:00:00-06:00,12.064756313959757 A
2017-05-02T00:00:00-06:00,10.845765434205532 A
2017-05-03T00:00:00-06:00,11.461094186951717 A
2017-05-04T00:00:00-06:00,11.190632589161396 A
2017-05-05T00:00:00-06:00,12.843168475975594 A
2017-05-06T00:00:00-06:00,2.4326780401170254 A
2017-05-07T00:00:00-06:00,2.4384905944267907 A
2017-05-08T00:00:00-06:00,10.488238211721182 A
2017-05-09T00:00:00-06:00,11.005865731587013 A
2017-05-10T00:00:00-06:00,11.026900312552849 A
2017-05-11T00:00:00-06:00,11.598610568791628 A
2017-05-12T00:00:00-06:00,12.370274309068918 A
2017-05-13T00:00:00-06:00,2.9844861502448716 A
2017-05-14T00:00:00-06:00,2.4236661605536938 A
2017-05-15T00:00:00-06:00,10.416303002585968 A
2017-05-16T00:00:00-06:00,10.539941302190224 A
2017-05-17T00:00:00-06:00,11.043660841882229 A
2017-05-18T00:00:00-06:00,10.983773599068323 A
2017-05-19T00:00:00-06:00,10.601592853665352 A
2017-05-20T00:00:00-06:00,2.4362973235547543 A
2017-05-21T00:00:00-06:00,2.4332796273132167 A
2017-05-22T00:00:00-06:00,11.051422538856665 A
2017-05-23T00:00:00-06:00,12.592206039776405 A
2017-05-24T00:00:00-06:00,11.169380266219378 A
2017-05-25T00:00:00-06:00,10.587385557591915 A
2017-05-26T00:00:00-06:00,11.31028813496232 A
2017-05-27T00:00:00-06:00,2.4209222458302975 A
2017-05-28T00:00:00-06:00,1.8731708037225823 A
2017-05-29T00:00:00-06:00,11.87759068608284 A
2017-05-30T00:00:00-06:00,12.506155587732792 A
2017-05-31T00:00:00-06:00,12.70017010718584 A
2017-06-01T00:00:00-06:00,10.85442799081405 A
2017-06-02T00:00:00-06:00,11.753346290439367 A
2017-06-03T00:00:00-06:00,2.273515708744526 A
2017-06-04T00:00:00-06:00,2.2754064798355103 A
2017-06-05T00:00:00-06:00,12.761514307310184 A
2017-06-06T00:00:00-06:00,13.550173986703157 A
2017-06-07T00:00:00-06:00,14.3810795036455 A
2017-06-08T00:00:00-06:00,13.532322932034731 A
2017-06-09T00:00:00-06:00,12.543111708015203 A
2017-06-10T00:00:00-06:00,2.120907221342388 A
2017-06-11T00:00:00-06:00,2.1128322618703046 A
2017-06-12T00:00:00-06:00,10.66434303422769 A
2017-06-13T00:00:00-06:00,10.490653370817503 A
2017-06-14T00:00:00-06:00,11.44077591970563 A
2017-06-15T00:00:00-06:00,12.123873131970564 A
2017-06-16T00:00:00-06:00,13.45936756208539 A
2017-06-17T00:00:00-06:00,2.078600755582253 A
2017-06-18T00:00:00-06:00,2.4091455476979413 A
2017-06-19T00:00:00-06:00,13.225237730890512 A
2017-06-20T00:00:00-06:00,15.108765829354525 A
2017-06-21T00:00:00-06:00,15.162568256258965 A
2017-06-22T00:00:00-06:00,12.72238683824738 A
2017-06-23T00:00:00-06:00,12.618587367236614 A
2017-06-24T00:00:00-06:00,6.4363586741189165 A
2017-06-25T00:00:00-06:00,7.505171619355679 A
2017-06-26T00:00:00-06:00,18.935040841499966 A
2017-06-27T00:00:00-06:00,18.77572287619114 A
2017-06-28T00:00:00-06:00,13.985035034517447 A
2017-06-29T00:00:00-06:00,12.48836251348257 A
2017-06-30T00:00:00-06:00,12.532804259409508 A
2017-07-01T00:00:00-06:00,3.401485121498505 A
2017-07-02T00:00:00-06:00,7.227677957465251 A
2017-07-03T00:00:00-06:00,20.654659792780876 A
2017-07-04T00:00:00-06:00,22.580850611130398 A
2017-07-05T00:00:00-06:00,23.564927230278652 A
2017-07-06T00:00:00-06:00,23.35831035176913 A
2017-07-07T00:00:00-06:00,22.625673800706863 A
2017-07-08T00:00:00-06:00,17.92062798142433 A
2017-07-09T00:00:00-06:00,18.235915859540302 A
2017-07-10T00:00:00-06:00,21.3837894598643 A
2017-07-11T00:00:00-06:00,20.210221926371258 A
2017-07-12T00:00:00-06:00,20.832576245069504 A
2017-07-13T00:00:00-06:00,21.217059363921482 A
2017-07-14T00:00:00-06:00,20.805999984343845 A
2017-07-15T00:00:00-06:00,16.60474170247714 A
2017-07-16T00:00:00-06:00,17.742684086163838 A
2017-07-17T00:00:00-06:00,20.700329899787903 A
2017-07-18T00:00:00-06:00,21.174852708975475 A
2017-07-19T00:00:00-06:00,20.1647809445858 A
2017-07-20T00:00:00-06:00,20.25022291143735 A
2017-07-21T00:00:00-06:00,20.997745782136917 A
2017-07-22T00:00:00-06:00,17.308842261632282 A
2017-07-23T00:00:00-06:00,17.136981626351673 A
2017-07-24T00:00:00-06:00,21.09969021876653 A
2017-07-25T00:00:00-06:00,19.169499059518177 A
2017-07-26T00:00:00-06:00,17.941626648108166 A
2017-07-27T00:00:00-06:00,19.02678906917572 A
2017-07-28T00:00:00-06:00,19.089963297049206 A
2017-07-29T00:00:00-06:00,15.565835962692896 A
2017-07-30T00:00:00-06:00,15.813337922096252 A
2017-07-31T00:00:00-06:00,20.82528429230054 A
2017-08-01T00:00:00-06:00,20.961855699618656 A
2017-08-02T00:00:00-06:00,21.238337328036625 A
2017-08-03T00:00:00-06:00,33.980866788576044 A
2017-08-04T00:00:00-06:00,38.34337933115907 A
2017-08-05T00:00:00-06:00,21.210875794291496 A
2017-08-06T00:00:00-06:00,14.679966062307358 A
2017-08-07T00:00:00-06:00,31.596818163990974 A
2017-08-08T00:00:00-06:00,23.012259745349485 A
2017-08-09T00:00:00-06:00,27.092564562956493 A
2017-08-10T00:00:00-06:00,23.20818921099318 A
2017-08-11T00:00:00-06:00,30.26959017540018 A
2017-08-12T00:00:00-06:00,10.400669530034065 A
2017-08-13T00:00:00-06:00,12.170479091505209 A
2017-08-14T00:00:00-06:00,26.231422680119675 A
2017-08-15T00:00:00-06:00,21.39847266425689 A
2017-08-16T00:00:00-06:00,25.87389351675908 A
2017-08-17T00:00:00-06:00,22.735105178008478 A
2017-08-18T00:00:00-06:00,29.46672046929598 A
2017-08-19T00:00:00-06:00,5.717947808404763 A
2017-08-20T00:00:00-06:00,10.194393264750639 A
2017-08-21T00:00:00-06:00,30.090588101496298 A
2017-08-22T00:00:00-06:00,26.875046571095783 A
2017-08-23T00:00:00-06:00,26.319229636341333 A
2017-08-24T00:00:00-06:00,25.393203566471737 A
2017-08-25T00:00:00-06:00,28.565984783073265 A
2017-08-26T00:00:00-06:00,8.46619418511788 A
2017-08-27T00:00:00-06:00,11.208144524445137 A
2017-08-28T00:00:00-06:00,36.52554157856972 A
2017-08-29T00:00:00-06:00,32.18108125912246 A
2017-08-30T00:00:00-06:00,31.970281711469095 A
2017-08-31T00:00:00-06:00,21.67057618002097 A
2017-09-01T00:00:00-06:00,28.03004567945997 A
2017-09-02T00:00:00-06:00,4.980066146701574 A
2017-09-03T00:00:00-06:00,10.062448933720589 A
2017-09-04T00:00:00-06:00,30.232804017762344 A
2017-09-05T00:00:00-06:00,30.062838659932215 A
2017-09-06T00:00:00-06:00,30.006732093660457 A
2017-09-07T00:00:00-06:00,25.025298800319433 A
2017-09-08T00:00:00-06:00,26.30096225613042 A
2017-09-09T00:00:00-06:00,2.129162434488535 A
2017-09-10T00:00:00-06:00,2.0829331489900746 A
2017-09-11T00:00:00-06:00,27.583209990213316 A
2017-09-12T00:00:00-06:00,25.46427757789691 A
2017-09-13T00:00:00-06:00,23.116086954871815 A
2017-09-14T00:00:00-06:00,16.055834759026766 A
2017-09-15T00:00:00-06:00,20.964030721535284 A
2017-09-16T00:00:00-06:00,2.216890203456084 A
2017-09-17T00:00:00-06:00,2.210042076806227 A
2017-09-18T00:00:00-06:00,18.27652815853556 A
2017-09-19T00:00:00-06:00,17.4901013088723 A
2017-09-20T00:00:00-06:00,16.84898418063919 A
2017-09-21T00:00:00-06:00,12.552131632963816 A
2017-09-22T00:00:00-06:00,15.638888768851757 A
2017-09-23T00:00:00-06:00,1.6736291187504928 A
2017-09-24T00:00:00-06:00,2.2617974566916623 A
2017-09-25T00:00:00-06:00,16.977050565183163 A
2017-09-26T00:00:00-06:00,17.159077681601048 A
2017-09-27T00:00:00-06:00,14.203921403735876 A
2017-09-28T00:00:00-06:00,13.758830575893322 A
2017-09-29T00:00:00-06:00,15.831596153477827 A
2017-09-30T00:00:00-06:00,2.6130674928426743 A
2017-10-01T00:00:00-06:00,2.5972253009676933 A
2017-10-02T00:00:00-06:00,16.130486731727917 A
2017-10-03T00:00:00-06:00,16.810163768629234 A
2017-10-04T00:00:00-06:00,15.783591749767462 A
2017-10-05T00:00:00-06:00,13.134654961526394 A
2017-10-06T00:00:00-06:00,13.308196937044462 A
2017-10-07T00:00:00-06:00,3.1341322933634124 A
2017-10-08T00:00:00-06:00,2.570851823935906 A
2017-10-09T00:00:00-06:00,14.023674055933952 A
2017-10-10T00:00:00-06:00,13.531238380819559 A
2017-10-11T00:00:00-06:00,13.317701815317074 A
2017-10-12T00:00:00-06:00,13.51138306905826 A
2017-10-13T00:00:00-06:00,14.598812761406103 A
2017-10-14T00:00:00-06:00,4.353959294656913 A
2017-10-15T00:00:00-06:00,7.4761945481101675 A
2017-10-16T00:00:00-06:00,19.447747292617958 A
2017-10-17T00:00:00-06:00,17.904415624837082 A
2017-10-18T00:00:00-06:00,15.56706931690375 A
2017-10-19T00:00:00-06:00,12.577772331734499 A
2017-10-20T00:00:00-06:00,13.281909503042698 A
2017-10-21T00:00:00-06:00,2.533451293905576 A
2017-10-22T00:00:00-06:00,4.014435375730197 A
2017-10-23T00:00:00-06:00,14.739946411301693 A
2017-10-24T00:00:00-06:00,14.810717006524404 A
2017-10-25T00:00:00-06:00,14.234013019750515 A
2017-10-26T00:00:00-06:00,13.298486679792404 A
2017-10-27T00:00:00-06:00,13.313775636255741 A
2017-10-28T00:00:00-06:00,2.588559473554293 A
2017-10-29T00:00:00-06:00,3.6949066147208214 A
2017-10-30T00:00:00-06:00,15.032761007547379 A
2017-10-31T00:00:00-06:00,13.067527947326502 A
2017-11-01T00:00:00-06:00,14.474838808178902 A
2017-11-02T00:00:00-06:00,13.465099009374777 A
2017-11-03T00:00:00-06:00,13.115833338350058 A
2017-11-04T00:00:00-06:00,3.1385236928860345 A
2017-11-05T00:00:00-06:00,3.0995997476577757 A
2017-11-06T00:00:00-07:00,14.928897553433975 A
2017-11-07T00:00:00-07:00,14.940092273056507 A
2017-11-08T00:00:00-07:00,14.457802372674147 A
2017-11-09T00:00:00-07:00,12.809646678467592 A
2017-11-10T00:00:00-07:00,14.956329561769962 A
2017-11-11T00:00:00-07:00,4.137554629395406 A
2017-11-12T00:00:00-07:00,7.276723835617304 A
2017-11-13T00:00:00-07:00,14.877752721309662 A
2017-11-14T00:00:00-07:00,14.197520849605402 A
2017-11-15T00:00:00-07:00,13.667635969817638 A
2017-11-16T00:00:00-07:00,13.122328904767832 A
2017-11-17T00:00:00-07:00,13.416056657830874 A
2017-11-18T00:00:00-07:00,7.624933226654927 A
2017-11-19T00:00:00-07:00,11.553532142192125 A
2017-11-20T00:00:00-07:00,16.732826626549166 A
2017-11-21T00:00:00-07:00,14.988094735890627 A
2017-11-22T00:00:00-07:00,13.364923729250828 A
2017-11-23T00:00:00-07:00,13.290676852067312 A
2017-11-24T00:00:00-07:00,13.282914052406946 A
2017-11-25T00:00:00-07:00,2.6030428633093834 A
2017-11-26T00:00:00-07:00,3.141172076265017 A
2017-11-27T00:00:00-07:00,15.140213439861933 A
2017-11-28T00:00:00-07:00,14.78725599249204 A
2017-11-29T00:00:00-07:00,14.284073397517204 A
2017-11-30T00:00:00-07:00,14.443753398954868 A
2017-12-01T00:00:00-07:00,14.112679861485958 A
2017-12-02T00:00:00-07:00,5.281110898902019 A
2017-12-03T00:00:00-07:00,7.568752874930699 A
2017-12-04T00:00:00-07:00,19.291651903341215 A
2017-12-05T00:00:00-07:00,20.578726729998987 A
2017-12-06T00:00:00-07:00,19.263212411353987 A
2017-12-07T00:00:00-07:00,19.461685339609783 A
2017-12-08T00:00:00-07:00,17.94782939304908 A
2017-12-09T00:00:00-07:00,16.00296115875244 A
2017-12-10T00:00:00-07:00,19.523632235825062 A
2017-12-11T00:00:00-07:00,21.89217582096656 A
2017-12-12T00:00:00-07:00,18.754632342606783 A
2017-12-13T00:00:00-07:00,18.897257576386135 A
2017-12-14T00:00:00-07:00,17.359848770002525 A
2017-12-15T00:00:00-07:00,17.183419223874807 A
2017-12-16T00:00:00-07:00,11.204011057813963 A
2017-12-17T00:00:00-07:00,14.62282350162665 A
2017-12-18T00:00:00-07:00,19.44727587443526 A
2017-12-19T00:00:00-07:00,15.300395006934801 A
2017-12-20T00:00:00-07:00,17.990411351124447 A
2017-12-21T00:00:00-07:00,23.33725603421529 A
2017-12-22T00:00:00-07:00,22.444987694422405 A
2017-12-23T00:00:00-07:00,21.8941908677419 A
2017-12-24T00:00:00-07:00,22.492439051469166 A
2017-12-25T00:00:00-07:00,22.545152684052784 A
2017-12-26T00:00:00-07:00,23.455470005671184 A
2017-12-27T00:00:00-07:00,22.515181024869282 A
2017-12-28T00:00:00-07:00,23.01602037747701 A
2017-12-29T00:00:00-07:00,21.75646585226059 A
2017-12-30T00:00:00-07:00,21.959851841131847 A
2017-12-31T00:00:00-07:00,22.485279897848766 A
