Timestamp,['1cdb9d34-78886e0f 0086-MARRIOTT LIBRARY Power Meter 4 Current C']
2017-06-17T00:00:00-06:00,55.085416634877525 A
2017-06-18T00:00:00-06:00,54.49583331743876 A
2017-06-19T00:00:00-06:00,59.05625001589457 A
2017-06-20T00:00:00-06:00,58.13333328564962 A
2017-06-21T00:00:00-06:00,57.983333468437195 A
2017-06-22T00:00:00-06:00,56.61041661103567 A
2017-06-23T00:00:00-06:00,56.11979162693024 A
2017-06-24T00:00:00-06:00,54.58437502384186 A
2017-06-25T00:00:00-06:00,54.18229162693024 A
2017-06-26T00:00:00-06:00,58.25104173024496 A
2017-06-27T00:00:00-06:00,58.15416657924652 A
2017-06-28T00:00:00-06:00,58.07083328564962 A
2017-06-29T00:00:00-06:00,58.10937496026357 A
2017-06-30T00:00:00-06:00,56.96041679382324 A
2017-07-01T00:00:00-06:00,54.616666754086815 A
2017-07-02T00:00:00-06:00,54.6145832935969 A
2017-07-03T00:00:00-06:00,56.79166658719381 A
2017-07-04T00:00:00-06:00,54.21666669845581 A
2017-07-05T00:00:00-06:00,57.59583334128062 A
2017-07-06T00:00:00-06:00,56.922916531562805 A
2017-07-07T00:00:00-06:00,55.97708328564962 A
2017-07-08T00:00:00-06:00,54.39583337306976 A
2017-07-09T00:00:00-06:00,54.00729167461395 A
2017-07-10T00:00:00-06:00,57.952083230018616 A
2017-07-11T00:00:00-06:00,57.161458134651184 A
2017-07-12T00:00:00-06:00,59.64479192097982 A
2017-07-13T00:00:00-06:00,59.32604185740153 A
2017-07-14T00:00:00-06:00,56.557291746139526 A
2017-07-15T00:00:00-06:00,54.62291649977366 A
2017-07-16T00:00:00-06:00,54.29687496026357 A
2017-07-17T00:00:00-06:00,57.43854169050852 A
2017-07-18T00:00:00-06:00,58.23645842075348 A
2017-07-19T00:00:00-06:00,57.868750174840294 A
2017-07-20T00:00:00-06:00,58.09999986489614 A
2017-07-21T00:00:00-06:00,56.59999986489614 A
2017-07-22T00:00:00-06:00,54.577083349227905 A
2017-07-23T00:00:00-06:00,54.10208320617676 A
2017-07-24T00:00:00-06:00,54.0520832935969 A
2017-07-25T00:00:00-06:00,57.45312503973643 A
2017-07-26T00:00:00-06:00,57.33020830154419 A
2017-07-27T00:00:00-06:00,57.759374936421715 A
2017-07-28T00:00:00-06:00,57.26666673024496 A
2017-07-29T00:00:00-06:00,54.93541665871938 A
2017-07-30T00:00:00-06:00,54.59999998410543 A
2017-07-31T00:00:00-06:00,58.863541642824806 A
2017-08-01T00:00:00-06:00,58.33020842075348 A
2017-08-02T00:00:00-06:00,58.020833253860474 A
2017-08-03T00:00:00-06:00,57.475000063578285 A
2017-08-04T00:00:00-06:00,56.53888880411784 A
2017-08-05T00:00:00-06:00,53.918749968210854 A
2017-08-06T00:00:00-06:00,53.60729169845581 A
2017-08-07T00:00:00-06:00,56.76458319028219 A
2017-08-08T00:00:00-06:00,57.32604169845581 A
2017-08-09T00:00:00-06:00,56.92812502384186 A
2017-08-10T00:00:00-06:00,56.425806558260355 A
2017-08-11T00:00:00-06:00,56.412499944368996 A
2017-08-12T00:00:00-06:00,53.37812499205271 A
2017-08-13T00:00:00-06:00,53.329166531562805 A
2017-08-14T00:00:00-06:00,56.99270816644033 A
2017-08-15T00:00:00-06:00,56.757291634877525 A
2017-08-16T00:00:00-06:00,56.37500015894572 A
2017-08-17T00:00:00-06:00,56.40833334128062 A
2017-08-18T00:00:00-06:00,56.79270843664805 A
2017-08-19T00:00:00-06:00,53.36354180177053 A
2017-08-20T00:00:00-06:00,53.135416547457375 A
2017-08-21T00:00:00-06:00,59.31875002384186 A
2017-08-22T00:00:00-06:00,59.8645832935969 A
2017-08-23T00:00:00-06:00,62.26770846048991 A
2017-08-24T00:00:00-06:00,61.81458342075348 A
2017-08-25T00:00:00-06:00,60.11145830154419 A
2017-08-26T00:00:00-06:00,55.03437499205271 A
2017-08-27T00:00:00-06:00,55.45416657129923 A
2017-08-28T00:00:00-06:00,62.26741576462649 A
2017-08-29T00:00:00-06:00,63.587777540418834 A
2017-08-30T00:00:00-06:00,62.59374988079071 A
2017-08-31T00:00:00-06:00,60.943749944368996 A
2017-09-01T00:00:00-06:00,57.80520840485891 A
2017-09-02T00:00:00-06:00,55.105208357175194 A
2017-09-03T00:00:00-06:00,54.743749817212425 A
2017-09-04T00:00:00-06:00,54.574999928474426 A
2017-09-05T00:00:00-06:00,62.077083667119346 A
2017-09-06T00:00:00-06:00,63.721875389417015 A
2017-09-07T00:00:00-06:00,62.88124990463257 A
2017-09-08T00:00:00-06:00,58.103296720064606 A
2017-09-09T00:00:00-06:00,55.179166634877525 A
2017-09-10T00:00:00-06:00,55.023958365122475 A
2017-09-11T00:00:00-06:00,62.65312500794729 A
2017-09-12T00:00:00-06:00,64.14895836512248 A
2017-09-13T00:00:00-06:00,63.86979190508524 A
2017-09-14T00:00:00-06:00,65.24687504768372 A
2017-09-15T00:00:00-06:00,62.31874998410543 A
2017-09-16T00:00:00-06:00,57.81249996026357 A
2017-09-17T00:00:00-06:00,57.54999979337057 A
2017-09-18T00:00:00-06:00,65.22812493642171 A
2017-09-19T00:00:00-06:00,64.84166677792867 A
2017-09-20T00:00:00-06:00,65.07916684945424 A
2017-09-21T00:00:00-06:00,63.11666655540466 A
2017-09-22T00:00:00-06:00,60.48645842075348 A
2017-09-23T00:00:00-06:00,57.48645814259847 A
2017-09-24T00:00:00-06:00,56.65729169050852 A
2017-09-25T00:00:00-06:00,65.25208334128062 A
2017-09-26T00:00:00-06:00,64.17500003178914 A
2017-09-27T00:00:00-06:00,65.9604165951411 A
2017-09-28T00:00:00-06:00,64.73854160308838 A
2017-09-29T00:00:00-06:00,61.576041420300804 A
2017-09-30T00:00:00-06:00,57.565624952316284 A
2017-10-01T00:00:00-06:00,57.27499997615814 A
2017-10-02T00:00:00-06:00,64.41249998410542 A
2017-10-03T00:00:00-06:00,64.7104168732961 A
2017-10-04T00:00:00-06:00,65.43020824591319 A
2017-10-05T00:00:00-06:00,64.7802083492279 A
2017-10-06T00:00:00-06:00,60.70937490463257 A
2017-10-07T00:00:00-06:00,56.940625031789146 A
2017-10-08T00:00:00-06:00,56.35729161898295 A
