Timestamp,['1cc972b2-eecd14d9 0051-STERLING SILL CNTR Power Meter Volts CA']
2017-02-22T00:00:00-07:00,210.92604207992554 V
2017-02-23T00:00:00-07:00,210.82083336512247 V
2017-02-24T00:00:00-07:00,211.0088618797592 V
2017-02-25T00:00:00-07:00,211.17604144414267 V
2017-02-26T00:00:00-07:00,210.99375009536743 V
2017-02-27T00:00:00-07:00,211.09062496821085 V
2017-02-28T00:00:00-07:00,211.34375047683716 V
2017-03-01T00:00:00-07:00,211.44166644414267 V
2017-03-02T00:00:00-07:00,211.11249987284342 V
2017-03-03T00:00:00-07:00,211.25520865122476 V
2017-03-04T00:00:00-07:00,210.71041695276895 V
2017-03-05T00:00:00-07:00,211.29166762034097 V
2017-03-06T00:00:00-07:00,211.22500022252402 V
2017-03-07T00:00:00-07:00,211.03437566757202 V
2017-03-08T00:00:00-07:00,211.08437490463257 V
2017-03-09T00:00:00-07:00,210.8989585240682 V
2017-03-10T00:00:00-07:00,211.19062582651773 V
2017-03-11T00:00:00-07:00,211.16458320617676 V
2017-03-12T00:00:00-07:00,211.02391267859417 V
2017-03-13T00:00:00-06:00,211.1781242688497 V
2017-03-14T00:00:00-06:00,211.13645792007446 V
2017-03-15T00:00:00-06:00,210.70833349227905 V
2017-03-16T00:00:00-06:00,210.92708285649618 V
2017-03-17T00:00:00-06:00,210.9312481880188 V
2017-03-18T00:00:00-06:00,210.79166730244955 V
2017-03-19T00:00:00-06:00,210.7083339691162 V
2017-03-20T00:00:00-06:00,210.81894659745066 V
2017-03-21T00:00:00-06:00,210.5843744277954 V
2017-03-22T00:00:00-06:00,210.72083314259848 V
2017-03-23T00:00:00-06:00,210.59479157129923 V
2017-03-24T00:00:00-06:00,210.72395737965903 V
2017-03-25T00:00:00-06:00,210.53229188919067 V
2017-03-26T00:00:00-06:00,210.96979204813638 V
2017-03-27T00:00:00-06:00,210.71354214350382 V
2017-03-28T00:00:00-06:00,210.8125 V
2017-03-29T00:00:00-06:00,210.91111183166504 V
2017-03-30T00:00:00-06:00,210.72888861762152 V
2017-03-31T00:00:00-06:00,210.77187522252402 V
2017-04-01T00:00:00-06:00,210.67395782470703 V
2017-04-02T00:00:00-06:00,210.8916662534078 V
2017-04-03T00:00:00-06:00,210.67291673024496 V
2017-04-04T00:00:00-06:00,210.74895795186362 V
2017-04-05T00:00:00-06:00,210.56874974568686 V
2017-04-06T00:00:00-06:00,210.83749993642172 V
2017-04-07T00:00:00-06:00,210.84062512715658 V
2017-04-08T00:00:00-06:00,210.71666606267294 V
2017-04-09T00:00:00-06:00,211.08229128519693 V
2017-04-10T00:00:00-06:00,210.79062493642172 V
2017-04-11T00:00:00-06:00,210.8864582379659 V
2017-04-12T00:00:00-06:00,210.96354087193808 V
2017-04-13T00:00:00-06:00,210.8052078882853 V
2017-04-14T00:00:00-06:00,210.89166673024496 V
2017-04-15T00:00:00-06:00,210.2916660308838 V
2017-04-16T00:00:00-06:00,210.7760411898295 V
2017-04-17T00:00:00-06:00,210.7291669845581 V
2017-04-18T00:00:00-06:00,210.4010411898295 V
2017-04-19T00:00:00-06:00,210.45208342870077 V
2017-04-20T00:00:00-06:00,210.25833304723105 V
2017-04-21T00:00:00-06:00,210.80208333333334 V
2017-04-22T00:00:00-06:00,210.3895837465922 V
2017-04-23T00:00:00-06:00,210.59687534968057 V
