Timestamp,"['1cf8d6ec-8c4d8433 0064-MERRILL ENGINEERING BLDG Power Meter (300153, 064-801) Current A']"
2017-05-01T00:00:00-06:00,14.584554036458334 A
2017-05-02T00:00:00-06:00,14.679402669270834 A
2017-05-03T00:00:00-06:00,14.979695638020834 A
2017-05-04T00:00:00-06:00,15.95166015625 A
2017-05-05T00:00:00-06:00,16.783203125 A
2017-05-06T00:00:00-06:00,15.1551513671875 A
2017-05-07T00:00:00-06:00,14.9078369140625 A
2017-05-08T00:00:00-06:00,14.932762632978724 A
2017-05-09T00:00:00-06:00,15.585693359375 A
2017-05-10T00:00:00-06:00,15.632120768229166 A
2017-05-11T00:00:00-06:00,16.2100830078125 A
2017-05-12T00:00:00-06:00,16.394612630208332 A
2017-05-13T00:00:00-06:00,12.5552978515625 A
2017-05-14T00:00:00-06:00,13.1524658203125 A
2017-05-15T00:00:00-06:00,14.2080078125 A
2017-05-16T00:00:00-06:00,13.774658203125 A
2017-05-17T00:00:00-06:00,12.530232747395834 A
2017-05-18T00:00:00-06:00,12.562296549479166 A
2017-05-19T00:00:00-06:00,12.9501953125 A
2017-05-20T00:00:00-06:00,13.414388020833334 A
2017-05-21T00:00:00-06:00,13.274861653645834 A
2017-05-22T00:00:00-06:00,14.959309895833334 A
2017-05-23T00:00:00-06:00,16.030598958333332 A
2017-05-24T00:00:00-06:00,16.474202473958332 A
2017-05-25T00:00:00-06:00,15.390177408854166 A
2017-05-26T00:00:00-06:00,14.00439453125 A
2017-05-27T00:00:00-06:00,13.483805338541666 A
2017-05-28T00:00:00-06:00,14.301228841145834 A
2017-05-29T00:00:00-06:00,15.1634521484375 A
2017-05-30T00:00:00-06:00,16.4976806640625 A
2017-05-31T00:00:00-06:00,17.062174479166668 A
2017-06-01T00:00:00-06:00,16.403157552083332 A
2017-06-02T00:00:00-06:00,16.704345703125 A
2017-06-03T00:00:00-06:00,16.863199869791668 A
2017-06-04T00:00:00-06:00,17.240234375 A
2017-06-05T00:00:00-06:00,17.319580078125 A
2017-06-06T00:00:00-06:00,17.869059244791668 A
2017-06-07T00:00:00-06:00,18.625651041666668 A
2017-06-08T00:00:00-06:00,18.272135416666668 A
2017-06-09T00:00:00-06:00,17.2913818359375 A
2017-06-10T00:00:00-06:00,14.931844075520834 A
2017-06-11T00:00:00-06:00,16.454874674479168 A
2017-06-12T00:00:00-06:00,15.086385091145834 A
2017-06-13T00:00:00-06:00,14.8533935546875 A
2017-06-14T00:00:00-06:00,16.09912109375 A
2017-06-15T00:00:00-06:00,17.2420654296875 A
2017-06-16T00:00:00-06:00,17.618367513020832 A
2017-06-17T00:00:00-06:00,15.681844075520834 A
2017-06-18T00:00:00-06:00,16.059855143229168 A
2017-06-19T00:00:00-06:00,17.521769205729168 A
2017-06-20T00:00:00-06:00,17.8515625 A
2017-06-21T00:00:00-06:00,16.433837890625 A
2017-06-22T00:00:00-06:00,15.3365478515625 A
2017-06-23T00:00:00-06:00,15.074788411458334 A
2017-06-24T00:00:00-06:00,14.611572265625 A
2017-06-25T00:00:00-06:00,15.098673502604166 A
2017-06-26T00:00:00-06:00,17.065958658854168 A
2017-06-27T00:00:00-06:00,16.591593424479168 A
2017-06-28T00:00:00-06:00,15.919270833333334 A
2017-06-29T00:00:00-06:00,15.446858723958334 A
2017-06-30T00:00:00-06:00,14.951619466145834 A
2017-07-01T00:00:00-06:00,15.0291748046875 A
2017-07-02T00:00:00-06:00,15.272867838541666 A
2017-07-03T00:00:00-06:00,16.746297200520832 A
2017-07-04T00:00:00-06:00,16.6568603515625 A
2017-07-05T00:00:00-06:00,17.500813802083332 A
2017-07-06T00:00:00-06:00,18.445597330729168 A
2017-07-07T00:00:00-06:00,18.767985026041668 A
2017-07-08T00:00:00-06:00,17.358113606770832 A
2017-07-09T00:00:00-06:00,16.352091471354168 A
2017-07-10T00:00:00-06:00,17.529866536458332 A
2017-07-11T00:00:00-06:00,16.919962565104168 A
2017-07-12T00:00:00-06:00,17.526611328125 A
2017-07-13T00:00:00-06:00,17.2371826171875 A
2017-07-14T00:00:00-06:00,15.838053385416666 A
2017-07-15T00:00:00-06:00,15.548299153645834 A
2017-07-16T00:00:00-06:00,15.423828125 A
2017-07-17T00:00:00-06:00,15.917073567708334 A
2017-07-18T00:00:00-06:00,16.537027994791668 A
2017-07-19T00:00:00-06:00,16.5997314453125 A
2017-07-20T00:00:00-06:00,16.176472981770832 A
2017-07-21T00:00:00-06:00,15.736246744791666 A
2017-07-22T00:00:00-06:00,14.84130859375 A
2017-07-23T00:00:00-06:00,14.17578125 A
2017-07-24T00:00:00-06:00,14.731526692708334 A
2017-07-25T00:00:00-06:00,14.274251302083334 A
2017-07-26T00:00:00-06:00,15.016764322916666 A
2017-07-27T00:00:00-06:00,14.84912109375 A
2017-07-28T00:00:00-06:00,14.7445068359375 A
2017-07-29T00:00:00-06:00,14.1744384765625 A
2017-07-30T00:00:00-06:00,14.2645263671875 A
2017-07-31T00:00:00-06:00,15.721110026041666 A
2017-08-01T00:00:00-06:00,16.309122721354168 A
2017-08-02T00:00:00-06:00,15.94580078125 A
2017-08-03T00:00:00-06:00,17.236735026041668 A
2017-08-04T00:00:00-06:00,15.786911867977528 A
2017-08-05T00:00:00-06:00,15.055216471354166 A
2017-08-06T00:00:00-06:00,14.08349609375 A
