Timestamp,['1ef4684b-d3e71c08 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Current A']
2017-02-19T00:00:00-07:00,30.705350587765377 A
2017-02-20T00:00:00-07:00,40.586550851662956 A
2017-02-21T00:00:00-07:00,50.72140055894852 A
2017-02-22T00:00:00-07:00,63.82916804154714 A
2017-02-23T00:00:00-07:00,67.79261863231659 A
2017-02-24T00:00:00-07:00,63.29050542131255 A
2017-02-25T00:00:00-07:00,58.79109803835551 A
2017-02-26T00:00:00-07:00,57.05577003955841 A
2017-02-27T00:00:00-07:00,68.78252589702606 A
2017-02-28T00:00:00-07:00,68.54103827476501 A
2017-03-01T00:00:00-07:00,64.4203308025996 A
2017-03-02T00:00:00-07:00,53.305834909280144 A
2017-03-03T00:00:00-07:00,48.353428403536476 A
2017-03-04T00:00:00-07:00,36.89944670597712 A
2017-03-05T00:00:00-07:00,34.53897229830424 A
2017-03-06T00:00:00-07:00,66.41796632607777 A
2017-03-07T00:00:00-07:00,64.85644435882568 A
2017-03-08T00:00:00-07:00,54.774056235949196 A
2017-03-09T00:00:00-07:00,43.401126166184746 A
2017-03-10T00:00:00-07:00,40.004404842853546 A
2017-03-11T00:00:00-07:00,30.183005422353745 A
2017-03-12T00:00:00-07:00,27.492237858150315 A
2017-03-13T00:00:00-06:00,37.24614097674688 A
2017-03-14T00:00:00-06:00,35.51966135700544 A
2017-03-15T00:00:00-06:00,36.70429880420367 A
2017-03-16T00:00:00-06:00,37.273191471894584 A
2017-03-17T00:00:00-06:00,32.935871909062065 A
2017-03-18T00:00:00-06:00,26.533673842748005 A
2017-03-19T00:00:00-06:00,28.1125594774882 A
2017-03-20T00:00:00-06:00,49.143158019857204 A
2017-03-21T00:00:00-06:00,47.81751867135366 A
2017-03-22T00:00:00-06:00,50.75722102324168 A
2017-03-23T00:00:00-06:00,54.87461864948273 A
2017-03-24T00:00:00-06:00,45.764465848604836 A
2017-03-25T00:00:00-06:00,42.54826064904531 A
2017-03-26T00:00:00-06:00,41.42415424187978 A
2017-03-27T00:00:00-06:00,61.15485634406408 A
2017-03-28T00:00:00-06:00,49.90434058507284 A
2017-03-29T00:00:00-06:00,42.85352426105075 A
2017-03-30T00:00:00-06:00,51.53181627061632 A
2017-03-31T00:00:00-06:00,45.755139927069344 A
2017-04-01T00:00:00-06:00,32.737107306718826 A
2017-04-02T00:00:00-06:00,29.548512031634647 A
2017-04-03T00:00:00-06:00,48.6649160583814 A
2017-04-04T00:00:00-06:00,49.06230163574219 A
2017-04-05T00:00:00-06:00,47.61372381448746 A
2017-04-06T00:00:00-06:00,46.08758316437403 A
2017-04-07T00:00:00-06:00,57.72622017065684 A
2017-04-08T00:00:00-06:00,42.06640736262003 A
2017-04-09T00:00:00-06:00,39.197087387243904 A
2017-04-10T00:00:00-06:00,45.51746632655462 A
2017-04-11T00:00:00-06:00,47.2199230392774 A
2017-04-12T00:00:00-06:00,40.38944669564565 A
2017-04-13T00:00:00-06:00,43.12867649396261 A
2017-04-14T00:00:00-06:00,41.20115691737125 A
2017-04-15T00:00:00-06:00,37.267995615800224 A
2017-04-16T00:00:00-06:00,40.366729229688644 A
2017-04-17T00:00:00-06:00,43.84069265921911 A
2017-04-18T00:00:00-06:00,51.637744764486946 A
2017-04-19T00:00:00-06:00,47.808676878611244 A
2017-04-20T00:00:00-06:00,48.071346620718636 A
2017-04-21T00:00:00-06:00,51.05006090799967 A
2017-04-22T00:00:00-06:00,33.31867174307505 A
2017-04-23T00:00:00-06:00,31.66718953847885 A
2017-04-24T00:00:00-06:00,50.695156931877136 A
2017-04-25T00:00:00-06:00,54.32153729597727 A
2017-04-26T00:00:00-06:00,50.55367600917816 A
2017-04-27T00:00:00-06:00,47.529445012410484 A
2017-04-28T00:00:00-06:00,50.37323351701101 A
2017-04-29T00:00:00-06:00,46.596113522847496 A
2017-04-30T00:00:00-06:00,32.018964459498726 A
2017-05-01T00:00:00-06:00,43.1003090540568 A
2017-05-02T00:00:00-06:00,42.872425655523934 A
2017-05-03T00:00:00-06:00,41.32894698778788 A
2017-05-04T00:00:00-06:00,40.604499538739525 A
2017-05-05T00:00:00-06:00,37.42909920215607 A
2017-05-06T00:00:00-06:00,25.94489282866319 A
2017-05-07T00:00:00-06:00,35.33860390384992 A
2017-05-08T00:00:00-06:00,38.844798723856606 A
2017-05-09T00:00:00-06:00,38.94536083936691 A
2017-05-10T00:00:00-06:00,39.10282564163208 A
2017-05-11T00:00:00-06:00,37.927334209283195 A
2017-05-12T00:00:00-06:00,34.93173989653587 A
2017-05-13T00:00:00-06:00,30.453141341606777 A
2017-05-14T00:00:00-06:00,35.885845601558685 A
2017-05-15T00:00:00-06:00,36.3965305685997 A
2017-05-16T00:00:00-06:00,38.615097880363464 A
2017-05-17T00:00:00-06:00,45.874943017959595 A
2017-05-18T00:00:00-06:00,41.95259690284729 A
2017-05-19T00:00:00-06:00,39.80977022647858 A
2017-05-20T00:00:00-06:00,33.44880495468775 A
2017-05-21T00:00:00-06:00,28.764255036910374 A
2017-05-22T00:00:00-06:00,38.30203237136205 A
2017-05-23T00:00:00-06:00,36.63665052254995 A
2017-05-24T00:00:00-06:00,39.434959053993225 A
2017-05-25T00:00:00-06:00,36.21532091498375 A
2017-05-26T00:00:00-06:00,37.959872126579285 A
2017-05-27T00:00:00-06:00,35.527270237604775 A
