Timestamp,['1ccd65ee-1da53bdc 0087-THATCHER BLDG Power Meter (301205) KWH Received']
2017-04-03T00:00:00-06:00,4753.0625 kWh
2017-04-04T00:00:00-06:00,4752.75 kWh
2017-04-05T00:00:00-06:00,4753.6875 kWh
2017-04-06T00:00:00-06:00,4709.125 kWh
2017-04-07T00:00:00-06:00,4691.8125 kWh
2017-04-08T00:00:00-06:00,4593.75 kWh
2017-04-09T00:00:00-06:00,4602.625 kWh
2017-04-10T00:00:00-06:00,4766 kWh
2017-04-11T00:00:00-06:00,4725.9375 kWh
2017-04-12T00:00:00-06:00,4730.875 kWh
2017-04-13T00:00:00-06:00,4685.9150390625 kWh
2017-04-14T00:00:00-06:00,4694.75 kWh
2017-04-15T00:00:00-06:00,4623.740234375 kWh
2017-04-16T00:00:00-06:00,4558.359375 kWh
2017-04-17T00:00:00-06:00,4710.5712890625 kWh
2017-04-18T00:00:00-06:00,4684.359375 kWh
2017-04-19T00:00:00-06:00,4649.44921875 kWh
2017-04-20T00:00:00-06:00,4692.19140625 kWh
2017-04-21T00:00:00-06:00,4656.75 kWh
2017-04-22T00:00:00-06:00,4539.66015625 kWh
2017-04-23T00:00:00-06:00,4498.5390625 kWh
2017-04-24T00:00:00-06:00,4684.44140625 kWh
2017-04-25T00:00:00-06:00,4632.2578125 kWh
2017-04-26T00:00:00-06:00,4639.44921875 kWh
2017-04-27T00:00:00-06:00,4688.59765625 kWh
2017-04-28T00:00:00-06:00,4907.9765625 kWh
2017-04-29T00:00:00-06:00,4596.046875 kWh
2017-04-30T00:00:00-06:00,4079.3203125 kWh
2017-05-01T00:00:00-06:00,4159.3203125 kWh
2017-05-02T00:00:00-06:00,4179.7109375 kWh
2017-05-03T00:00:00-06:00,4317.90625 kWh
2017-05-04T00:00:00-06:00,4353.5546875 kWh
2017-05-05T00:00:00-06:00,4271.8515625 kWh
2017-05-06T00:00:00-06:00,4134.1796875 kWh
2017-05-07T00:00:00-06:00,4081.015625 kWh
2017-05-08T00:00:00-06:00,4223.8046875 kWh
2017-05-09T00:00:00-06:00,4390.25 kWh
2017-05-10T00:00:00-06:00,4339.9375 kWh
2017-05-11T00:00:00-06:00,4301.546875 kWh
2017-05-12T00:00:00-06:00,4332.6875 kWh
2017-05-13T00:00:00-06:00,4038.015625 kWh
2017-05-14T00:00:00-06:00,4049.40625 kWh
2017-05-15T00:00:00-06:00,4129.640625 kWh
2017-05-16T00:00:00-06:00,4179.6875 kWh
2017-05-17T00:00:00-06:00,4163.78125 kWh
2017-05-18T00:00:00-06:00,4170.640625 kWh
2017-05-19T00:00:00-06:00,4611.90625 kWh
2017-05-20T00:00:00-06:00,5091.71875 kWh
2017-05-21T00:00:00-06:00,5114.640625 kWh
2017-05-22T00:00:00-06:00,5217.5 kWh
2017-05-23T00:00:00-06:00,5194.609375 kWh
2017-05-24T00:00:00-06:00,5253.0625 kWh
2017-05-25T00:00:00-06:00,5120.78125 kWh
2017-05-26T00:00:00-06:00,5191.59375 kWh
2017-05-27T00:00:00-06:00,5076.65625 kWh
2017-05-28T00:00:00-06:00,5084.5 kWh
2017-05-29T00:00:00-06:00,5296.09375 kWh
2017-05-30T00:00:00-06:00,5353.484375 kWh
2017-05-31T00:00:00-06:00,5255.21875 kWh
2017-06-01T00:00:00-06:00,8679.921875 kWh
2017-06-02T00:00:00-06:00,1733.859375 kWh
2017-06-03T00:00:00-06:00,5145.515625 kWh
2017-06-04T00:00:00-06:00,5198.375 kWh
2017-06-05T00:00:00-06:00,5281.859375 kWh
2017-06-06T00:00:00-06:00,5291.59375 kWh
2017-06-07T00:00:00-06:00,5361.890625 kWh
2017-06-08T00:00:00-06:00,5337.875 kWh
2017-06-09T00:00:00-06:00,5344.53125 kWh
2017-06-10T00:00:00-06:00,5149.5 kWh
2017-06-11T00:00:00-06:00,5140.3125 kWh
2017-06-12T00:00:00-06:00,5264.4375 kWh
2017-06-13T00:00:00-06:00,4737.125 kWh
2017-06-14T00:00:00-06:00,4653.65625 kWh
2017-06-15T00:00:00-06:00,4885.34375 kWh
2017-06-16T00:00:00-06:00,5015.84375 kWh
2017-06-17T00:00:00-06:00,4591.15625 kWh
2017-06-18T00:00:00-06:00,4456.21875 kWh
2017-06-19T00:00:00-06:00,4638.125 kWh
2017-06-20T00:00:00-06:00,4686.53125 kWh
2017-06-21T00:00:00-06:00,4628.34375 kWh
2017-06-22T00:00:00-06:00,4487 kWh
2017-06-23T00:00:00-06:00,4494 kWh
2017-06-24T00:00:00-06:00,4189.5625 kWh
2017-06-25T00:00:00-06:00,4159.28125 kWh
2017-06-26T00:00:00-06:00,4359.75 kWh
2017-06-27T00:00:00-06:00,4329.46875 kWh
2017-06-28T00:00:00-06:00,4309.3125 kWh
2017-06-29T00:00:00-06:00,4250.15625 kWh
2017-06-30T00:00:00-06:00,4155.96875 kWh
2017-07-01T00:00:00-06:00,4144.71875 kWh
2017-07-02T00:00:00-06:00,4172.5625 kWh
2017-07-03T00:00:00-06:00,4333 kWh
2017-07-04T00:00:00-06:00,4315.625 kWh
2017-07-05T00:00:00-06:00,4384.78125 kWh
2017-07-06T00:00:00-06:00,4400.09375 kWh
2017-07-07T00:00:00-06:00,4444.8125 kWh
2017-07-08T00:00:00-06:00,4318.6875 kWh
2017-07-09T00:00:00-06:00,4286.5 kWh
2017-07-10T00:00:00-06:00,4495.84375 kWh
