Timestamp,['1ef4686d-41f12ab1 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Current B']
2017-04-30T00:00:00-06:00,110.30296170711517 A
2017-05-01T00:00:00-06:00,137.00077295303345 A
2017-05-02T00:00:00-06:00,141.6368216673533 A
2017-05-03T00:00:00-06:00,130.26966921488443 A
2017-05-04T00:00:00-06:00,131.98131267229715 A
2017-05-05T00:00:00-06:00,141.637113571167 A
2017-05-06T00:00:00-06:00,114.13137382268906 A
2017-05-07T00:00:00-06:00,70.97198961178462 A
2017-05-08T00:00:00-06:00,140.0017614364624 A
2017-05-09T00:00:00-06:00,128.20389334360758 A
2017-05-10T00:00:00-06:00,145.54142983754477 A
2017-05-11T00:00:00-06:00,132.76361799240112 A
2017-05-12T00:00:00-06:00,135.60716517766318 A
2017-05-13T00:00:00-06:00,104.03744685649872 A
2017-05-14T00:00:00-06:00,88.14397279421489 A
2017-05-15T00:00:00-06:00,133.7085848649343 A
2017-05-16T00:00:00-06:00,145.07041986783346 A
2017-05-17T00:00:00-06:00,164.56199248631796 A
2017-05-18T00:00:00-06:00,169.39951920509338 A
2017-05-19T00:00:00-06:00,140.1653449932734 A
2017-05-20T00:00:00-06:00,84.43512326478958 A
2017-05-21T00:00:00-06:00,73.20425124963124 A
2017-05-22T00:00:00-06:00,125.89164233207703 A
2017-05-23T00:00:00-06:00,126.39334479967754 A
2017-05-24T00:00:00-06:00,149.8828305800756 A
2017-05-25T00:00:00-06:00,139.52081576983133 A
2017-05-26T00:00:00-06:00,133.085098584493 A
2017-05-27T00:00:00-06:00,86.44648871819179 A
2017-05-28T00:00:00-06:00,71.0858566959699 A
2017-05-29T00:00:00-06:00,111.99727431933086 A
2017-05-30T00:00:00-06:00,133.09225352605185 A
2017-05-31T00:00:00-06:00,129.64113692442575 A
2017-06-01T00:00:00-06:00,153.20657221476236 A
2017-06-02T00:00:00-06:00,122.84152444203694 A
2017-06-03T00:00:00-06:00,98.42511630058289 A
2017-06-04T00:00:00-06:00,78.73928693930308 A
2017-06-05T00:00:00-06:00,131.50858608881632 A
2017-06-06T00:00:00-06:00,135.56261905034384 A
2017-06-07T00:00:00-06:00,131.77532728513083 A
2017-06-08T00:00:00-06:00,129.1792217095693 A
2017-06-09T00:00:00-06:00,131.789013783137 A
2017-06-10T00:00:00-06:00,96.98196858167648 A
2017-06-11T00:00:00-06:00,73.16365181406339 A
2017-06-12T00:00:00-06:00,146.75935777028403 A
2017-06-13T00:00:00-06:00,148.3223133881887 A
2017-06-14T00:00:00-06:00,123.18931635220845 A
