Timestamp,"['20767e15-a5f18bbe 0011-BROWNING BLDG Power Meter 300033 Watts, 3-Ph total']"
2017-07-20T00:00:00-06:00,-1.4433130025863647 kW
2017-07-21T00:00:00-06:00,-0.3740612864494324 kW
2017-07-22T00:00:00-06:00,-5.589054107666016 kW
2017-07-23T00:00:00-06:00,-6.309247970581055 kW
2017-07-24T00:00:00-06:00,-3.668325424194336 kW
2017-07-25T00:00:00-06:00,-0.8937317132949829 kW
2017-07-26T00:00:00-06:00,0.24309569597244263 kW
2017-07-27T00:00:00-06:00,0.8953415155410767 kW
2017-07-28T00:00:00-06:00,0.3605419993400574 kW
2017-07-29T00:00:00-06:00,-5.162605285644531 kW
2017-07-30T00:00:00-06:00,-7.420495986938477 kW
2017-07-31T00:00:00-06:00,0.24323730170726776 kW
2017-08-01T00:00:00-06:00,1.0517547130584717 kW
2017-08-02T00:00:00-06:00,0.8641430735588074 kW
2017-08-03T00:00:00-06:00,-0.26276490092277527 kW
2017-08-04T00:00:00-06:00,-0.18476317822933197 kW
2017-08-05T00:00:00-06:00,-6.640420913696289 kW
2017-08-06T00:00:00-06:00,-6.494993209838867 kW
2017-08-07T00:00:00-06:00,0.033842772245407104 kW
2017-08-08T00:00:00-06:00,0.6613116264343262 kW
2017-08-09T00:00:00-06:00,0.26724547147750854 kW
2017-08-10T00:00:00-06:00,-0.757354736328125 kW
2017-08-11T00:00:00-06:00,-0.788193941116333 kW
2017-08-12T00:00:00-06:00,-6.495233535766602 kW
2017-08-13T00:00:00-06:00,-5.946965217590332 kW
2017-08-14T00:00:00-06:00,-3.093280553817749 kW
2017-08-15T00:00:00-06:00,-1.3829821348190308 kW
2017-08-16T00:00:00-06:00,0.44825074076652527 kW
2017-08-17T00:00:00-06:00,-0.09075927734375 kW
2017-08-18T00:00:00-06:00,1.2681763172149658 kW
2017-08-19T00:00:00-06:00,0.022333068773150444 kW
2017-08-20T00:00:00-06:00,0.8267914056777954 kW
2017-08-21T00:00:00-06:00,-0.3574368357658386 kW
2017-08-22T00:00:00-06:00,0.014749756082892418 kW
2017-08-23T00:00:00-06:00,0.32914999127388 kW
2017-08-24T00:00:00-06:00,1.5762317180633545 kW
2017-08-25T00:00:00-06:00,0.7743505835533142 kW
2017-08-26T00:00:00-06:00,-4.258356094360352 kW
2017-08-27T00:00:00-06:00,-3.4064159393310547 kW
2017-08-28T00:00:00-06:00,-0.881604015827179 kW
2017-08-29T00:00:00-06:00,1.6183362007141113 kW
2017-08-30T00:00:00-06:00,-0.6010705828666687 kW
2017-08-31T00:00:00-06:00,-0.6010968089103699 kW
2017-09-01T00:00:00-06:00,-6.713867151120212E-6 kW
2017-09-02T00:00:00-06:00,-8.077747344970703 kW
2017-09-03T00:00:00-06:00,-6.304553508758545 kW
2017-09-04T00:00:00-06:00,-7.111721515655518 kW
2017-09-05T00:00:00-06:00,2.0454907417297363 kW
2017-09-06T00:00:00-06:00,0.9618176221847534 kW
2017-09-07T00:00:00-06:00,0.841906726360321 kW
2017-09-08T00:00:00-06:00,1.0822973251342773 kW
2017-09-09T00:00:00-06:00,-6.980791091918945 kW
2017-09-10T00:00:00-06:00,-6.573269367218018 kW
2017-09-11T00:00:00-06:00,0.5654705762863159 kW
2017-09-12T00:00:00-06:00,0.9384118914604187 kW
2017-09-13T00:00:00-06:00,0.8378045558929443 kW
2017-09-14T00:00:00-06:00,1.648993730545044 kW
2017-09-15T00:00:00-06:00,0.019822997972369194 kW
2017-09-16T00:00:00-06:00,-3.537881374359131 kW
2017-09-17T00:00:00-06:00,-1.5715335607528687 kW
2017-09-18T00:00:00-06:00,1.8340545892715454 kW
2017-09-19T00:00:00-06:00,1.4497790336608887 kW
2017-09-20T00:00:00-06:00,1.652119755744934 kW
2017-09-21T00:00:00-06:00,3.3263463973999023 kW
2017-09-22T00:00:00-06:00,1.7329565286636353 kW
2017-09-23T00:00:00-06:00,-7.523225784301758 kW
2017-09-24T00:00:00-06:00,-7.477188587188721 kW
2017-09-25T00:00:00-06:00,-0.7740164399147034 kW
2017-09-26T00:00:00-06:00,1.1225521564483643 kW
2017-09-27T00:00:00-06:00,2.7051923274993896 kW
2017-09-28T00:00:00-06:00,-0.6670015454292297 kW
2017-09-29T00:00:00-06:00,0.7814728021621704 kW
2017-09-30T00:00:00-06:00,-4.676926136016846 kW
2017-10-01T00:00:00-06:00,-6.293936252593994 kW
2017-10-02T00:00:00-06:00,-1.7361682653427124 kW
2017-10-03T00:00:00-06:00,-0.8062072992324829 kW
2017-10-04T00:00:00-06:00,-1.2779983282089233 kW
2017-10-05T00:00:00-06:00,-1.2619507312774658 kW
2017-10-06T00:00:00-06:00,-0.2809716761112213 kW
2017-10-07T00:00:00-06:00,-8.890922546386719 kW
2017-10-08T00:00:00-06:00,-8.15796947479248 kW
2017-10-09T00:00:00-06:00,-2.116994619369507 kW
2017-10-10T00:00:00-06:00,-3.4889392852783203 kW
2017-10-11T00:00:00-06:00,-2.984320878982544 kW
2017-10-12T00:00:00-06:00,-1.018557071685791 kW
2017-10-13T00:00:00-06:00,-1.6951395273208618 kW
2017-10-14T00:00:00-06:00,-4.871609687805176 kW
2017-10-15T00:00:00-06:00,-5.286328315734863 kW
2017-10-16T00:00:00-06:00,-2.655853271484375 kW
2017-10-17T00:00:00-06:00,-2.283928632736206 kW
2017-10-18T00:00:00-06:00,-1.5633900165557861 kW
2017-10-19T00:00:00-06:00,-0.2075335681438446 kW
2017-10-20T00:00:00-06:00,-0.9280505180358887 kW
2017-10-21T00:00:00-06:00,-7.819108963012695 kW
2017-10-22T00:00:00-06:00,-6.254897594451904 kW
2017-10-23T00:00:00-06:00,-0.564345121383667 kW
2017-10-24T00:00:00-06:00,-0.03238769620656967 kW
2017-10-25T00:00:00-06:00,0.4738818407058716 kW
2017-10-26T00:00:00-06:00,-0.2042871117591858 kW
2017-10-27T00:00:00-06:00,-0.40590453147888184 kW
2017-10-28T00:00:00-06:00,-5.310735702514648 kW
2017-10-29T00:00:00-06:00,-7.31965446472168 kW
2017-10-30T00:00:00-06:00,0.13786254823207855 kW
2017-10-31T00:00:00-06:00,0.03546997159719467 kW
2017-11-01T00:00:00-06:00,0.11275512725114822 kW
2017-11-02T00:00:00-06:00,0.1802087426185608 kW
2017-11-03T00:00:00-06:00,4.938849925994873 kW
2017-11-04T00:00:00-06:00,-3.2536962032318115 kW
2017-11-05T00:00:00-06:00,3.9070024490356445 kW
2017-11-06T00:00:00-07:00,6.2355055809021 kW
2017-11-07T00:00:00-07:00,6.376604080200195 kW
2017-11-08T00:00:00-07:00,7.971005916595459 kW
2017-11-09T00:00:00-07:00,5.978758335113525 kW
2017-11-10T00:00:00-07:00,4.945567607879639 kW
2017-11-11T00:00:00-07:00,1.1693578958511353 kW
2017-11-12T00:00:00-07:00,0.62176513671875 kW
2017-11-13T00:00:00-07:00,7.069472789764404 kW
2017-11-14T00:00:00-07:00,10.227355003356934 kW
2017-11-15T00:00:00-07:00,4.104404449462891 kW
2017-11-16T00:00:00-07:00,3.8987598419189453 kW
2017-11-17T00:00:00-07:00,8.855088233947754 kW
2017-11-18T00:00:00-07:00,0.08632263541221619 kW
2017-11-19T00:00:00-07:00,-4.026429653167725 kW
2017-11-20T00:00:00-07:00,3.1235523223876953 kW
2017-11-21T00:00:00-07:00,4.465266227722168 kW
2017-11-22T00:00:00-07:00,2.0602831840515137 kW
2017-11-23T00:00:00-07:00,-3.842519521713257 kW
2017-11-24T00:00:00-07:00,-2.268442392349243 kW
2017-11-25T00:00:00-07:00,-4.250059604644775 kW
2017-11-26T00:00:00-07:00,-2.725257635116577 kW
2017-11-27T00:00:00-07:00,6.273514270782471 kW
2017-11-28T00:00:00-07:00,4.716521739959717 kW
2017-11-29T00:00:00-07:00,5.006108283996582 kW
2017-11-30T00:00:00-07:00,5.153515815734863 kW
2017-12-01T00:00:00-07:00,5.172370433807373 kW
2017-12-02T00:00:00-07:00,-0.9499078392982483 kW
2017-12-03T00:00:00-07:00,0.02648071199655533 kW
2017-12-04T00:00:00-07:00,6.901249885559082 kW
2017-12-05T00:00:00-07:00,4.296897888183594 kW
2017-12-06T00:00:00-07:00,6.950490951538086 kW
2017-12-07T00:00:00-07:00,6.493261814117432 kW
2017-12-08T00:00:00-07:00,5.296027660369873 kW
2017-12-09T00:00:00-07:00,2.094815731048584 kW
2017-12-10T00:00:00-07:00,4.35568904876709 kW
2017-12-11T00:00:00-07:00,8.310633659362793 kW
2017-12-12T00:00:00-07:00,12.3231840133667 kW
2017-12-13T00:00:00-07:00,4.088482856750488 kW
2017-12-14T00:00:00-07:00,6.739654064178467 kW
2017-12-15T00:00:00-07:00,1.009724736213684 kW
2017-12-16T00:00:00-07:00,3.417144775390625 kW
2017-12-17T00:00:00-07:00,-1.981756567955017 kW
2017-12-18T00:00:00-07:00,2.476943254470825 kW
2017-12-19T00:00:00-07:00,3.388235330581665 kW
2017-12-20T00:00:00-07:00,2.568084716796875 kW
2017-12-21T00:00:00-07:00,3.5757129192352295 kW
2017-12-22T00:00:00-07:00,2.25089955329895 kW
2017-12-23T00:00:00-07:00,-2.661430597305298 kW
2017-12-24T00:00:00-07:00,-3.4837005138397217 kW
2017-12-25T00:00:00-07:00,-3.845703125 kW
2017-12-26T00:00:00-07:00,1.8945153951644897 kW
2017-12-27T00:00:00-07:00,1.816917061805725 kW
2017-12-28T00:00:00-07:00,1.1341406106948853 kW
2017-12-29T00:00:00-07:00,-2.8594095706939697 kW
2017-12-30T00:00:00-07:00,-1.999168038368225 kW
2017-12-31T00:00:00-07:00,-1.136746883392334 kW
