Timestamp,['1ce63da4-2db108c4 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts BC']
2017-04-30T00:00:00-06:00,212.049250125885 V
2017-05-01T00:00:00-06:00,212.06043481826782 V
2017-05-02T00:00:00-06:00,212.00938049952188 V
2017-05-03T00:00:00-06:00,212.05671644210815 V
2017-05-04T00:00:00-06:00,212.23944664001465 V
2017-05-05T00:00:00-06:00,212.29872878392538 V
2017-05-06T00:00:00-06:00,212.07400496800742 V
2017-05-07T00:00:00-06:00,212.2263298034668 V
2017-05-08T00:00:00-06:00,212.1978451377467 V
2017-05-09T00:00:00-06:00,212.28997135162354 V
2017-05-10T00:00:00-06:00,212.0730187098185 V
2017-05-11T00:00:00-06:00,211.90060631434122 V
2017-05-12T00:00:00-06:00,212.19268814722696 V
2017-05-13T00:00:00-06:00,212.33577728271484 V
2017-05-14T00:00:00-06:00,211.88791036605835 V
2017-05-15T00:00:00-06:00,212.0833247502645 V
2017-05-16T00:00:00-06:00,212.24336449305216 V
2017-05-17T00:00:00-06:00,212.17715120315552 V
2017-05-18T00:00:00-06:00,211.97483237584433 V
2017-05-19T00:00:00-06:00,212.4608073234558 V
2017-05-20T00:00:00-06:00,212.30488061904907 V
2017-05-21T00:00:00-06:00,212.2524758974711 V
2017-05-22T00:00:00-06:00,212.2930475870768 V
2017-05-23T00:00:00-06:00,211.9872833887736 V
2017-05-24T00:00:00-06:00,212.16406138737997 V
2017-05-25T00:00:00-06:00,212.21575784683228 V
2017-05-26T00:00:00-06:00,212.29504124323526 V
2017-05-27T00:00:00-06:00,212.29403765996298 V
2017-05-28T00:00:00-06:00,212.41551367441812 V
2017-05-29T00:00:00-06:00,212.39909728368124 V
2017-05-30T00:00:00-06:00,212.3933811187744 V
2017-05-31T00:00:00-06:00,212.0890014966329 V
2017-06-01T00:00:00-06:00,212.37328640619913 V
2017-06-02T00:00:00-06:00,212.1799462636312 V
2017-06-03T00:00:00-06:00,212.20993200937906 V
2017-06-04T00:00:00-06:00,212.15241384506226 V
2017-06-05T00:00:00-06:00,211.96817429860434 V
2017-06-06T00:00:00-06:00,212.01624965667725 V
2017-06-07T00:00:00-06:00,212.1064682006836 V
2017-06-08T00:00:00-06:00,212.219198067983 V
2017-06-09T00:00:00-06:00,212.04039684931436 V
2017-06-10T00:00:00-06:00,212.0215581258138 V
2017-06-11T00:00:00-06:00,212.2299691836039 V
2017-06-12T00:00:00-06:00,212.1638790766398 V
2017-06-13T00:00:00-06:00,212.13233598073325 V
2017-06-14T00:00:00-06:00,211.95074590047201 V
2017-06-15T00:00:00-06:00,211.99614969889322 V
2017-06-16T00:00:00-06:00,212.05429967244467 V
2017-06-17T00:00:00-06:00,212.17267370224 V
2017-06-18T00:00:00-06:00,212.2399377822876 V
2017-06-19T00:00:00-06:00,211.9643268585205 V
2017-06-20T00:00:00-06:00,211.70102628072104 V
2017-06-21T00:00:00-06:00,211.7226209640503 V
2017-06-22T00:00:00-06:00,211.9458163579305 V
2017-06-23T00:00:00-06:00,211.95920356114706 V
2017-06-24T00:00:00-06:00,212.1355126698812 V
2017-06-25T00:00:00-06:00,212.2311757405599 V
2017-06-26T00:00:00-06:00,211.69051949183145 V
2017-06-27T00:00:00-06:00,211.8853472073873 V
2017-06-28T00:00:00-06:00,211.84211746851602 V
2017-06-29T00:00:00-06:00,211.92000516255698 V
2017-06-30T00:00:00-06:00,211.90128660202026 V
2017-07-01T00:00:00-06:00,212.03431542714438 V
2017-07-02T00:00:00-06:00,212.28329118092856 V
2017-07-03T00:00:00-06:00,211.8267181714376 V
2017-07-04T00:00:00-06:00,212.2877295811971 V
2017-07-05T00:00:00-06:00,211.90217288335165 V
2017-07-06T00:00:00-06:00,211.93624385197958 V
2017-07-07T00:00:00-06:00,211.79448652267456 V
2017-07-08T00:00:00-06:00,211.95153443018594 V
2017-07-09T00:00:00-06:00,212.0824964841207 V
2017-07-10T00:00:00-06:00,211.80332072575888 V
2017-07-11T00:00:00-06:00,211.90319093068442 V
2017-07-12T00:00:00-06:00,211.8553202946981 V
2017-07-13T00:00:00-06:00,211.88703600565592 V
2017-07-14T00:00:00-06:00,211.81662559509277 V
2017-07-15T00:00:00-06:00,212.09322452545166 V
2017-07-16T00:00:00-06:00,212.14443604151407 V
2017-07-17T00:00:00-06:00,211.93713283538818 V
2017-07-18T00:00:00-06:00,212.01695124308267 V
2017-07-19T00:00:00-06:00,211.9801926612854 V
2017-07-20T00:00:00-06:00,212.06114228566489 V
2017-07-21T00:00:00-06:00,211.94439760843912 V
2017-07-22T00:00:00-06:00,212.0610408782959 V
2017-07-23T00:00:00-06:00,212.35390122731528 V
2017-07-24T00:00:00-06:00,212.26407718658447 V
2017-07-25T00:00:00-06:00,212.14760748545328 V
2017-07-26T00:00:00-06:00,211.8993795712789 V
2017-07-27T00:00:00-06:00,212.0002964337667 V
2017-07-28T00:00:00-06:00,211.84555641810098 V
2017-07-29T00:00:00-06:00,212.02303298314413 V
2017-07-30T00:00:00-06:00,212.1730316480001 V
2017-07-31T00:00:00-06:00,212.1534447669983 V
2017-08-01T00:00:00-06:00,212.15110206604004 V
2017-08-02T00:00:00-06:00,211.96382506688437 V
2017-08-03T00:00:00-06:00,211.99184942245483 V
2017-08-04T00:00:00-06:00,211.9983357747396 V
2017-08-05T00:00:00-06:00,212.0913995107015 V
2017-08-06T00:00:00-06:00,212.0487731297811 V
2017-08-07T00:00:00-06:00,211.91632588704428 V
2017-08-08T00:00:00-06:00,212.000572681427 V
2017-08-09T00:00:00-06:00,211.7675108909607 V
2017-08-10T00:00:00-06:00,211.82642405520204 V
2017-08-11T00:00:00-06:00,212.0058420499166 V
2017-08-12T00:00:00-06:00,212.00410270690918 V
2017-08-13T00:00:00-06:00,212.30631478627524 V
2017-08-14T00:00:00-06:00,212.12868531545004 V
2017-08-15T00:00:00-06:00,212.1329771677653 V
2017-08-16T00:00:00-06:00,211.86349376042685 V
2017-08-17T00:00:00-06:00,211.9717877705892 V
2017-08-18T00:00:00-06:00,211.88052717844644 V
