Timestamp,['1f7d6c5c-03403a9f 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Current C']
2017-05-02T00:00:00-06:00,62.556315104166664 A
2017-05-03T00:00:00-06:00,61.073567708333336 A
2017-05-04T00:00:00-06:00,60.637369791666664 A
2017-05-05T00:00:00-06:00,59.025716145833336 A
2017-05-06T00:00:00-06:00,57.458658854166664 A
2017-05-07T00:00:00-06:00,55.5712890625 A
2017-05-08T00:00:00-06:00,63.806966145833336 A
2017-05-09T00:00:00-06:00,62.021809895833336 A
2017-05-10T00:00:00-06:00,60.168294270833336 A
2017-05-11T00:00:00-06:00,58.680338541666664 A
2017-05-12T00:00:00-06:00,58.504557291666664 A
2017-05-13T00:00:00-06:00,55.754557291666664 A
2017-05-14T00:00:00-06:00,54.9541015625 A
2017-05-15T00:00:00-06:00,59.4453125 A
2017-05-16T00:00:00-06:00,58.62109375 A
2017-05-17T00:00:00-06:00,63.66796875 A
2017-05-18T00:00:00-06:00,64.22037760416667 A
2017-05-19T00:00:00-06:00,61.726236979166664 A
2017-05-20T00:00:00-06:00,54.01953125 A
2017-05-21T00:00:00-06:00,56.6025390625 A
2017-05-22T00:00:00-06:00,60.291341145833336 A
2017-05-23T00:00:00-06:00,59.479166666666664 A
2017-05-24T00:00:00-06:00,60.411458333333336 A
2017-05-25T00:00:00-06:00,59.147786458333336 A
2017-05-26T00:00:00-06:00,54.613932291666664 A
2017-05-27T00:00:00-06:00,52.5263671875 A
2017-05-28T00:00:00-06:00,54.36743421052632 A
2017-05-29T00:00:00-06:00,53.990234375 A
2017-05-30T00:00:00-06:00,56.8017578125 A
2017-05-31T00:00:00-06:00,60.883463541666664 A
2017-06-01T00:00:00-06:00,60.3681640625 A
2017-06-02T00:00:00-06:00,59.702799479166664 A
2017-06-03T00:00:00-06:00,52.841471354166664 A
2017-06-04T00:00:00-06:00,51.436197916666664 A
2017-06-05T00:00:00-06:00,58.8916015625 A
2017-06-06T00:00:00-06:00,59.8095703125 A
2017-06-07T00:00:00-06:00,58.021484375 A
2017-06-08T00:00:00-06:00,59.629231770833336 A
2017-06-09T00:00:00-06:00,58.841471354166664 A
2017-06-10T00:00:00-06:00,53.150065104166664 A
2017-06-11T00:00:00-06:00,54.070638020833336 A
2017-06-12T00:00:00-06:00,59.668619791666664 A
2017-06-13T00:00:00-06:00,63.812174479166664 A
2017-06-14T00:00:00-06:00,60.664388020833336 A
2017-06-15T00:00:00-06:00,59.259440104166664 A
2017-06-16T00:00:00-06:00,59.778645833333336 A
2017-06-17T00:00:00-06:00,54.318684895833336 A
2017-06-18T00:00:00-06:00,55.127278645833336 A
2017-06-19T00:00:00-06:00,61.973307291666664 A
2017-06-20T00:00:00-06:00,61.130859375 A
2017-06-21T00:00:00-06:00,61.252278645833336 A
2017-06-22T00:00:00-06:00,60.116536458333336 A
2017-06-23T00:00:00-06:00,60.318684895833336 A
2017-06-24T00:00:00-06:00,56.779622395833336 A
2017-06-25T00:00:00-06:00,54.9111328125 A
2017-06-26T00:00:00-06:00,59.568359375 A
2017-06-27T00:00:00-06:00,59.981119791666664 A
2017-06-28T00:00:00-06:00,60.419596354166664 A
2017-06-29T00:00:00-06:00,59.194661458333336 A
2017-06-30T00:00:00-06:00,57.513346354166664 A
2017-07-01T00:00:00-06:00,51.943684895833336 A
2017-07-02T00:00:00-06:00,51.9921875 A
2017-07-03T00:00:00-06:00,55.71875 A
2017-07-04T00:00:00-06:00,51.796223958333336 A
2017-07-05T00:00:00-06:00,58.982421875 A
2017-07-06T00:00:00-06:00,59.565104166666664 A
2017-07-07T00:00:00-06:00,58.587565104166664 A
2017-07-08T00:00:00-06:00,51.435221354166664 A
2017-07-09T00:00:00-06:00,51.075846354166664 A
