Timestamp,['1cc97264-0cf35b3c 0051-STERLING SILL CNTR Power Meter Volts BN']
2017-04-27T00:00:00-06:00,121.63437469800313 V
2017-04-28T00:00:00-06:00,121.5510417620341 V
2017-04-29T00:00:00-06:00,121.63854257265727 V
2017-04-30T00:00:00-06:00,121.60520784060161 V
2017-05-01T00:00:00-06:00,121.61145838101704 V
2017-05-02T00:00:00-06:00,121.50104149182637 V
2017-05-03T00:00:00-06:00,121.55416671435039 V
2017-05-04T00:00:00-06:00,121.55104168256123 V
2017-05-05T00:00:00-06:00,121.4697916507721 V
2017-05-06T00:00:00-06:00,121.56979171435039 V
2017-05-07T00:00:00-06:00,121.51666688919067 V
2017-05-08T00:00:00-06:00,121.61249995231628 V
2017-05-09T00:00:00-06:00,121.59374968210857 V
2017-05-10T00:00:00-06:00,121.70520853996277 V
2017-05-11T00:00:00-06:00,121.62395826975505 V
2017-05-12T00:00:00-06:00,121.63958303133647 V
2017-05-13T00:00:00-06:00,121.66458344459534 V
2017-05-14T00:00:00-06:00,121.55416679382324 V
2017-05-15T00:00:00-06:00,121.66875020662944 V
2017-05-16T00:00:00-06:00,121.58958347638448 V
2017-05-17T00:00:00-06:00,121.62395866711934 V
2017-05-18T00:00:00-06:00,121.58958315849304 V
2017-05-19T00:00:00-06:00,121.78958336512248 V
2017-05-20T00:00:00-06:00,121.51145799954732 V
2017-05-21T00:00:00-06:00,121.55520852406819 V
2017-05-22T00:00:00-06:00,121.58541679382324 V
2017-05-23T00:00:00-06:00,121.59166669845581 V
2017-05-24T00:00:00-06:00,121.51145839691162 V
2017-05-25T00:00:00-06:00,121.42187507947285 V
2017-05-26T00:00:00-06:00,121.59062504768372 V
2017-05-27T00:00:00-06:00,121.68541606267293 V
2017-05-28T00:00:00-06:00,121.67499995231628 V
2017-05-29T00:00:00-06:00,121.55833347638448 V
2017-05-30T00:00:00-06:00,121.53020819028218 V
2017-05-31T00:00:00-06:00,121.45208342870076 V
2017-06-01T00:00:00-06:00,121.49062490463257 V
2017-06-02T00:00:00-06:00,121.36145877838135 V
2017-06-03T00:00:00-06:00,121.48437563578288 V
2017-06-04T00:00:00-06:00,121.53541668256123 V
2017-06-05T00:00:00-06:00,121.49166695276897 V
2017-06-06T00:00:00-06:00,121.56562511126201 V
2017-06-07T00:00:00-06:00,121.49062530199687 V
2017-06-08T00:00:00-06:00,121.51979192097981 V
2017-06-09T00:00:00-06:00,121.52916646003723 V
2017-06-10T00:00:00-06:00,121.51979160308838 V
2017-06-11T00:00:00-06:00,121.53124968210857 V
2017-06-12T00:00:00-06:00,121.6208332379659 V
2017-06-13T00:00:00-06:00,121.63124998410542 V
2017-06-14T00:00:00-06:00,121.67291673024495 V
2017-06-15T00:00:00-06:00,121.57187485694885 V
2017-06-16T00:00:00-06:00,121.55833315849304 V
2017-06-17T00:00:00-06:00,121.54374988873799 V
2017-06-18T00:00:00-06:00,121.54687547683716 V
2017-06-19T00:00:00-06:00,121.56041646003723 V
2017-06-20T00:00:00-06:00,121.54583326975505 V
2017-06-21T00:00:00-06:00,121.58333365122478 V
2017-06-22T00:00:00-06:00,121.51041682561238 V
2017-06-23T00:00:00-06:00,121.63125006357829 V
2017-06-24T00:00:00-06:00,121.65416653951009 V
2017-06-25T00:00:00-06:00,121.59999974568684 V
2017-06-26T00:00:00-06:00,121.51249996821086 V
2017-06-27T00:00:00-06:00,121.55416663487752 V
2017-06-28T00:00:00-06:00,121.45833309491475 V
2017-06-29T00:00:00-06:00,121.58229160308838 V
2017-06-30T00:00:00-06:00,121.73541696866353 V
2017-07-01T00:00:00-06:00,121.58125042915344 V
2017-07-02T00:00:00-06:00,121.66354163487752 V
2017-07-03T00:00:00-06:00,121.52187514305115 V
2017-07-04T00:00:00-06:00,121.56354180971782 V
2017-07-05T00:00:00-06:00,121.57187469800313 V
2017-07-06T00:00:00-06:00,121.52395844459534 V
2017-07-07T00:00:00-06:00,121.62708338101704 V
2017-07-08T00:00:00-06:00,121.65833361943562 V
2017-07-09T00:00:00-06:00,121.52916677792867 V
2017-07-10T00:00:00-06:00,121.56145803133647 V
2017-07-11T00:00:00-06:00,121.57395839691162 V
2017-07-12T00:00:00-06:00,121.58437498410542 V
2017-07-13T00:00:00-06:00,121.56354173024495 V
2017-07-14T00:00:00-06:00,121.52500025431316 V
2017-07-15T00:00:00-06:00,121.52604182561238 V
2017-07-16T00:00:00-06:00,121.53333282470703 V
2017-07-17T00:00:00-06:00,121.54791617393494 V
2017-07-18T00:00:00-06:00,121.62291646003723 V
2017-07-19T00:00:00-06:00,121.52291623751323 V
2017-07-20T00:00:00-06:00,121.5052084128062 V
2017-07-21T00:00:00-06:00,121.53749966621399 V
2017-07-22T00:00:00-06:00,121.52708347638448 V
2017-07-23T00:00:00-06:00,121.57395815849304 V
2017-07-24T00:00:00-06:00,121.56666652361552 V
2017-07-25T00:00:00-06:00,121.56770849227905 V
2017-07-26T00:00:00-06:00,121.43437512715657 V
2017-07-27T00:00:00-06:00,121.53437455495198 V
2017-07-28T00:00:00-06:00,121.51666673024495 V
2017-07-29T00:00:00-06:00,121.48749995231628 V
2017-07-30T00:00:00-06:00,121.54166682561238 V
2017-07-31T00:00:00-06:00,121.53125031789143 V
2017-08-01T00:00:00-06:00,121.51979192097981 V
2017-08-02T00:00:00-06:00,121.44270849227905 V
2017-08-03T00:00:00-06:00,121.57916657129924 V
2017-08-04T00:00:00-06:00,121.49230772584349 V
2017-08-05T00:00:00-06:00,121.5729165871938 V
2017-08-06T00:00:00-06:00,121.64166633288066 V
2017-08-07T00:00:00-06:00,121.54479169845581 V
2017-08-08T00:00:00-06:00,121.4677083492279 V
2017-08-09T00:00:00-06:00,121.53645833333333 V
2017-08-10T00:00:00-06:00,121.57127656327917 V
2017-08-11T00:00:00-06:00,121.55416695276897 V
2017-08-12T00:00:00-06:00,121.64270806312561 V
2017-08-13T00:00:00-06:00,121.59791692097981 V
2017-08-14T00:00:00-06:00,121.53645793596904 V
2017-08-15T00:00:00-06:00,121.52500017484029 V
2017-08-16T00:00:00-06:00,121.54270799954732 V
2017-08-17T00:00:00-06:00,121.56666628519694 V
2017-08-18T00:00:00-06:00,121.56770825386047 V
2017-08-19T00:00:00-06:00,121.52187474568684 V
2017-08-20T00:00:00-06:00,121.56666715939839 V
2017-08-21T00:00:00-06:00,121.5656247138977 V
2017-08-22T00:00:00-06:00,121.57604177792867 V
2017-08-23T00:00:00-06:00,121.55520860354106 V
2017-08-24T00:00:00-06:00,121.56979171435039 V
2017-08-25T00:00:00-06:00,121.51249980926514 V
2017-08-26T00:00:00-06:00,121.49687488873799 V
2017-08-27T00:00:00-06:00,121.45937498410542 V
2017-08-28T00:00:00-06:00,121.56666679792507 V
2017-08-29T00:00:00-06:00,121.53978466731246 V
2017-08-30T00:00:00-06:00,121.50312495231628 V
2017-08-31T00:00:00-06:00,121.51354146003723 V
2017-09-01T00:00:00-06:00,121.58541647593181 V
2017-09-02T00:00:00-06:00,121.52604166666667 V
2017-09-03T00:00:00-06:00,121.64583349227905 V
2017-09-04T00:00:00-06:00,121.43645819028218 V
2017-09-05T00:00:00-06:00,121.55729174613953 V
2017-09-06T00:00:00-06:00,121.51979152361552 V
2017-09-07T00:00:00-06:00,121.44687525431316 V
2017-09-08T00:00:00-06:00,121.56736859773335 V
2017-09-09T00:00:00-06:00,121.60937492052715 V
2017-09-10T00:00:00-06:00,121.59791668256123 V
2017-09-11T00:00:00-06:00,121.49583339691162 V
2017-09-12T00:00:00-06:00,121.55312450726827 V
2017-09-13T00:00:00-06:00,121.49791653951009 V
2017-09-14T00:00:00-06:00,121.63854130109151 V
2017-09-15T00:00:00-06:00,121.67708317438762 V
2017-09-16T00:00:00-06:00,121.74895811080933 V
2017-09-17T00:00:00-06:00,121.6104166507721 V
2017-09-18T00:00:00-06:00,121.56354180971782 V
2017-09-19T00:00:00-06:00,121.4427084128062 V
2017-09-20T00:00:00-06:00,121.6395833492279 V
2017-09-21T00:00:00-06:00,121.64375027020772 V
2017-09-22T00:00:00-06:00,121.79895782470703 V
2017-09-23T00:00:00-06:00,121.5135411421458 V
2017-09-24T00:00:00-06:00,121.68229166666667 V
2017-09-25T00:00:00-06:00,121.67499979337056 V
2017-09-26T00:00:00-06:00,121.55312474568684 V
2017-09-27T00:00:00-06:00,121.64062476158142 V
2017-09-28T00:00:00-06:00,121.646875222524 V
2017-09-29T00:00:00-06:00,121.63229171435039 V
2017-09-30T00:00:00-06:00,121.44895839691162 V
2017-10-01T00:00:00-06:00,121.42499995231628 V
2017-10-02T00:00:00-06:00,121.55416679382324 V
2017-10-03T00:00:00-06:00,121.37187441190083 V
2017-10-04T00:00:00-06:00,121.6197915871938 V
2017-10-05T00:00:00-06:00,121.57395815849304 V
2017-10-06T00:00:00-06:00,121.5239581267039 V
2017-10-07T00:00:00-06:00,121.66979169845581 V
2017-10-08T00:00:00-06:00,121.62708338101704 V
2017-10-09T00:00:00-06:00,121.59166638056438 V
2017-10-10T00:00:00-06:00,121.5124994913737 V
2017-10-11T00:00:00-06:00,121.50208353996277 V
2017-10-12T00:00:00-06:00,121.61562482515971 V
2017-10-13T00:00:00-06:00,121.56041701634724 V
2017-10-14T00:00:00-06:00,121.50520817438762 V
2017-10-15T00:00:00-06:00,121.46354087193806 V
2017-10-16T00:00:00-06:00,121.5156246026357 V
2017-10-17T00:00:00-06:00,121.40729180971782 V
2017-10-18T00:00:00-06:00,121.59791692097981 V
2017-10-19T00:00:00-06:00,121.67083366711934 V
2017-10-20T00:00:00-06:00,121.46145836512248 V
2017-10-21T00:00:00-06:00,121.60729201634724 V
2017-10-22T00:00:00-06:00,121.5 V
2017-10-23T00:00:00-06:00,121.65729173024495 V
2017-10-24T00:00:00-06:00,121.56249968210857 V
2017-10-25T00:00:00-06:00,121.60833342870076 V
2017-10-26T00:00:00-06:00,121.49270836512248 V
2017-10-27T00:00:00-06:00,121.52395860354106 V
2017-10-28T00:00:00-06:00,121.47708328564961 V
2017-10-29T00:00:00-06:00,121.44895831743877 V
2017-10-30T00:00:00-06:00,121.62812495231628 V
2017-10-31T00:00:00-06:00,121.67291680971782 V
2017-11-01T00:00:00-06:00,121.46875031789143 V
2017-11-02T00:00:00-06:00,121.64166680971782 V
2017-11-03T00:00:00-06:00,121.66458328564961 V
2017-11-04T00:00:00-06:00,121.61145846048991 V
2017-11-05T00:00:00-06:00,121.7109999847412 V
2017-11-06T00:00:00-07:00,121.7385417620341 V
2017-11-07T00:00:00-07:00,121.76249972979228 V
2017-11-08T00:00:00-07:00,121.63124958674113 V
2017-11-09T00:00:00-07:00,121.61562482515971 V
2017-11-10T00:00:00-07:00,121.80937472979228 V
2017-11-11T00:00:00-07:00,121.74687488873799 V
2017-11-12T00:00:00-07:00,121.78020858764648 V
2017-11-13T00:00:00-07:00,121.65312544504802 V
2017-11-14T00:00:00-07:00,121.85624965031941 V
2017-11-15T00:00:00-07:00,121.68020828564961 V
2017-11-16T00:00:00-07:00,121.52604174613953 V
2017-11-17T00:00:00-07:00,121.54062533378601 V
2017-11-18T00:00:00-07:00,121.71875007947285 V
2017-11-19T00:00:00-07:00,121.7604165871938 V
2017-11-20T00:00:00-07:00,121.71041663487752 V
2017-11-21T00:00:00-07:00,121.74583339691162 V
2017-11-22T00:00:00-07:00,121.69166652361552 V
2017-11-23T00:00:00-07:00,121.71145884195964 V
2017-11-24T00:00:00-07:00,121.74583307902019 V
2017-11-25T00:00:00-07:00,121.6572916507721 V
2017-11-26T00:00:00-07:00,121.76354138056438 V
2017-11-27T00:00:00-07:00,121.71145820617676 V
2017-11-28T00:00:00-07:00,121.72291604677837 V
2017-11-29T00:00:00-07:00,121.61354168256123 V
2017-11-30T00:00:00-07:00,121.74166663487752 V
2017-12-01T00:00:00-07:00,121.54374996821086 V
2017-12-02T00:00:00-07:00,121.58750001589458 V
2017-12-03T00:00:00-07:00,121.73437492052715 V
2017-12-04T00:00:00-07:00,121.61041633288066 V
2017-12-05T00:00:00-07:00,121.65937463442485 V
2017-12-06T00:00:00-07:00,121.63958374659221 V
2017-12-07T00:00:00-07:00,121.66041628519694 V
2017-12-08T00:00:00-07:00,121.54791657129924 V
2017-12-09T00:00:00-07:00,121.59062496821086 V
2017-12-10T00:00:00-07:00,121.6677082379659 V
2017-12-11T00:00:00-07:00,121.73750003178914 V
2017-12-12T00:00:00-07:00,121.53854179382324 V
2017-12-13T00:00:00-07:00,121.77708331743877 V
2017-12-14T00:00:00-07:00,121.72916722297668 V
2017-12-15T00:00:00-07:00,121.77187514305115 V
2017-12-16T00:00:00-07:00,121.71770842870076 V
2017-12-17T00:00:00-07:00,121.62187488873799 V
2017-12-18T00:00:00-07:00,121.51290311095535 V
2017-12-19T00:00:00-07:00,121.68749952316284 V
2017-12-20T00:00:00-07:00,121.69687501589458 V
2017-12-21T00:00:00-07:00,121.75208322207133 V
2017-12-22T00:00:00-07:00,121.80937480926514 V
2017-12-23T00:00:00-07:00,121.6437497138977 V
2017-12-24T00:00:00-07:00,121.76041642824809 V
2017-12-25T00:00:00-07:00,121.90416646003723 V
2017-12-26T00:00:00-07:00,121.92395846048991 V
2017-12-27T00:00:00-07:00,121.48333255449931 V
2017-12-28T00:00:00-07:00,121.87500055631001 V
2017-12-29T00:00:00-07:00,121.68854173024495 V
2017-12-30T00:00:00-07:00,121.86979190508525 V
2017-12-31T00:00:00-07:00,121.69895847638448 V
