Timestamp,"['1e71effd-eea5cb9b 0040-STUDENT SERVICES BLDG Power Meter (300089) Watts, 3-Ph total']"
2017-04-26T00:00:00-06:00,452.6519775390625 kW
2017-04-27T00:00:00-06:00,388.7237548828125 kW
2017-04-28T00:00:00-06:00,379.3564453125 kW
2017-04-29T00:00:00-06:00,533.7985229492188 kW
2017-04-30T00:00:00-06:00,430.484130859375 kW
2017-05-01T00:00:00-06:00,584.953369140625 kW
2017-05-02T00:00:00-06:00,487.81353759765625 kW
2017-05-03T00:00:00-06:00,554.589111328125 kW
2017-05-04T00:00:00-06:00,562.9351806640625 kW
2017-05-05T00:00:00-06:00,545.4160766601562 kW
2017-05-06T00:00:00-06:00,488.58331298828125 kW
2017-05-07T00:00:00-06:00,483.2114562988281 kW
2017-05-08T00:00:00-06:00,534.412841796875 kW
2017-05-09T00:00:00-06:00,554.5194091796875 kW
2017-05-10T00:00:00-06:00,552.1530151367188 kW
2017-05-11T00:00:00-06:00,570.6936645507812 kW
2017-05-12T00:00:00-06:00,551.5371704101562 kW
2017-05-13T00:00:00-06:00,422.25836181640625 kW
2017-05-14T00:00:00-06:00,449.3152160644531 kW
2017-05-15T00:00:00-06:00,544.38525390625 kW
2017-05-16T00:00:00-06:00,503.54425048828125 kW
2017-05-17T00:00:00-06:00,398.4296569824219 kW
2017-05-18T00:00:00-06:00,375.6610107421875 kW
2017-05-19T00:00:00-06:00,468.27813720703125 kW
2017-05-20T00:00:00-06:00,446.2498779296875 kW
2017-05-21T00:00:00-06:00,439.7190856933594 kW
2017-05-22T00:00:00-06:00,552.6614990234375 kW
2017-05-23T00:00:00-06:00,590.3433837890625 kW
2017-05-24T00:00:00-06:00,570.3853149414062 kW
2017-05-25T00:00:00-06:00,539.7735595703125 kW
2017-05-26T00:00:00-06:00,509.5728759765625 kW
2017-05-27T00:00:00-06:00,515.4129028320312 kW
2017-05-28T00:00:00-06:00,462.8506164550781 kW
2017-05-29T00:00:00-06:00,461.9832458496094 kW
2017-05-30T00:00:00-06:00,576.977783203125 kW
2017-05-31T00:00:00-06:00,591.6613159179688 kW
2017-06-01T00:00:00-06:00,575.6888427734375 kW
2017-06-02T00:00:00-06:00,561.170654296875 kW
2017-06-03T00:00:00-06:00,487.07318115234375 kW
2017-06-04T00:00:00-06:00,490.2222595214844 kW
2017-06-05T00:00:00-06:00,581.2813110351562 kW
2017-06-06T00:00:00-06:00,581.9916381835938 kW
2017-06-07T00:00:00-06:00,585.554931640625 kW
2017-06-08T00:00:00-06:00,580.0593872070312 kW
2017-06-09T00:00:00-06:00,569.4322509765625 kW
2017-06-10T00:00:00-06:00,489.143310546875 kW
2017-06-11T00:00:00-06:00,468.7073059082031 kW
2017-06-12T00:00:00-06:00,530.193603515625 kW
2017-06-13T00:00:00-06:00,535.4567260742188 kW
2017-06-14T00:00:00-06:00,557.0165405273438 kW
2017-06-15T00:00:00-06:00,590.13330078125 kW
2017-06-16T00:00:00-06:00,576.0203857421875 kW
2017-06-17T00:00:00-06:00,478.4555358886719 kW
2017-06-18T00:00:00-06:00,443.5166931152344 kW
2017-06-19T00:00:00-06:00,605.269287109375 kW
2017-06-20T00:00:00-06:00,605.4207153320312 kW
2017-06-21T00:00:00-06:00,597.38232421875 kW
2017-06-22T00:00:00-06:00,583.4725341796875 kW
2017-06-23T00:00:00-06:00,582.4811401367188 kW
2017-06-24T00:00:00-06:00,487.6470642089844 kW
2017-06-25T00:00:00-06:00,491.68157958984375 kW
2017-06-26T00:00:00-06:00,597.4236450195312 kW
2017-06-27T00:00:00-06:00,595.7940063476562 kW
2017-06-28T00:00:00-06:00,582.1220703125 kW
2017-06-29T00:00:00-06:00,578.37451171875 kW
2017-06-30T00:00:00-06:00,593.9827880859375 kW
2017-07-01T00:00:00-06:00,505.2561950683594 kW
2017-07-02T00:00:00-06:00,495.8100280761719 kW
2017-07-03T00:00:00-06:00,606.9658813476562 kW
2017-07-04T00:00:00-06:00,482.0984191894531 kW
2017-07-05T00:00:00-06:00,649.24755859375 kW
2017-07-06T00:00:00-06:00,630.0751342773438 kW
2017-07-07T00:00:00-06:00,616.888427734375 kW
2017-07-08T00:00:00-06:00,522.534423828125 kW
2017-07-09T00:00:00-06:00,518.9180908203125 kW
2017-07-10T00:00:00-06:00,611.6963500976562 kW
2017-07-11T00:00:00-06:00,630.2708129882812 kW
2017-07-12T00:00:00-06:00,612.179931640625 kW
2017-07-13T00:00:00-06:00,626.3077392578125 kW
2017-07-14T00:00:00-06:00,606.2171020507812 kW
2017-07-15T00:00:00-06:00,507.35784912109375 kW
2017-07-16T00:00:00-06:00,512.7815551757812 kW
2017-07-17T00:00:00-06:00,599.00634765625 kW
2017-07-18T00:00:00-06:00,602.6995239257812 kW
2017-07-19T00:00:00-06:00,618.2869873046875 kW
2017-07-20T00:00:00-06:00,622.8974609375 kW
2017-07-21T00:00:00-06:00,628.8407592773438 kW
2017-07-22T00:00:00-06:00,520.2373657226562 kW
2017-07-23T00:00:00-06:00,504.27880859375 kW
2017-07-24T00:00:00-06:00,525.9386596679688 kW
2017-07-25T00:00:00-06:00,622.9292602539062 kW
2017-07-26T00:00:00-06:00,628.2593383789062 kW
2017-07-27T00:00:00-06:00,606.9939575195312 kW
2017-07-28T00:00:00-06:00,579.3782348632812 kW
2017-07-29T00:00:00-06:00,501.1648864746094 kW
2017-07-30T00:00:00-06:00,506.69085693359375 kW
2017-07-31T00:00:00-06:00,641.4703369140625 kW
2017-08-01T00:00:00-06:00,622.9293212890625 kW
2017-08-02T00:00:00-06:00,617.1484375 kW
2017-08-03T00:00:00-06:00,620.4527587890625 kW
2017-08-04T00:00:00-06:00,615.866943359375 kW
2017-08-05T00:00:00-06:00,504.5321350097656 kW
2017-08-06T00:00:00-06:00,497.3628234863281 kW
2017-08-07T00:00:00-06:00,602.9376831054688 kW
2017-08-08T00:00:00-06:00,578.2607421875 kW
2017-08-09T00:00:00-06:00,618.730224609375 kW
2017-08-10T00:00:00-06:00,594.703857421875 kW
2017-08-11T00:00:00-06:00,611.837158203125 kW
2017-08-12T00:00:00-06:00,519.4762573242188 kW
2017-08-13T00:00:00-06:00,521.8687744140625 kW
2017-08-14T00:00:00-06:00,591.218017578125 kW
2017-08-15T00:00:00-06:00,589.220703125 kW
2017-08-16T00:00:00-06:00,592.3778076171875 kW
2017-08-17T00:00:00-06:00,592.405517578125 kW
2017-08-18T00:00:00-06:00,603.2089233398438 kW
2017-08-19T00:00:00-06:00,528.6590576171875 kW
2017-08-20T00:00:00-06:00,517.3279418945312 kW
2017-08-21T00:00:00-06:00,599.700439453125 kW
2017-08-22T00:00:00-06:00,595.1124877929688 kW
2017-08-23T00:00:00-06:00,613.8944091796875 kW
2017-08-24T00:00:00-06:00,675.25341796875 kW
2017-08-25T00:00:00-06:00,611.98095703125 kW
2017-08-26T00:00:00-06:00,531.3995971679688 kW
2017-08-27T00:00:00-06:00,529.3469848632812 kW
2017-08-28T00:00:00-06:00,632.8161010742188 kW
2017-08-29T00:00:00-06:00,631.7679443359375 kW
2017-08-30T00:00:00-06:00,606.0615844726562 kW
2017-08-31T00:00:00-06:00,611.3386840820312 kW
2017-09-01T00:00:00-06:00,619.982421875 kW
