Timestamp,['1f7d6c57-1187428b 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Current B']
2017-04-17T00:00:00-06:00,61.567708333333336 A
2017-04-18T00:00:00-06:00,62.083333333333336 A
2017-04-19T00:00:00-06:00,73.35872395833333 A
2017-04-20T00:00:00-06:00,67.1669921875 A
2017-04-21T00:00:00-06:00,68.109375 A
2017-04-22T00:00:00-06:00,56.118815104166664 A
2017-04-23T00:00:00-06:00,51.704427083333336 A
2017-04-24T00:00:00-06:00,71.146484375 A
2017-04-25T00:00:00-06:00,75.05729166666667 A
2017-04-26T00:00:00-06:00,72.94466145833333 A
2017-04-27T00:00:00-06:00,68.58919270833333 A
2017-04-28T00:00:00-06:00,63.412109375 A
2017-04-29T00:00:00-06:00,57.815755208333336 A
2017-04-30T00:00:00-06:00,54.326822916666664 A
2017-05-01T00:00:00-06:00,60.024088541666664 A
2017-05-02T00:00:00-06:00,63.3916015625 A
2017-05-03T00:00:00-06:00,62.0185546875 A
2017-05-04T00:00:00-06:00,55.94140625 A
2017-05-05T00:00:00-06:00,55.7294921875 A
2017-05-06T00:00:00-06:00,48.384765625 A
2017-05-07T00:00:00-06:00,47.220052083333336 A
2017-05-08T00:00:00-06:00,53.625325520833336 A
2017-05-09T00:00:00-06:00,53.275390625 A
2017-05-10T00:00:00-06:00,53.973958333333336 A
2017-05-11T00:00:00-06:00,52.905924479166664 A
2017-05-12T00:00:00-06:00,53.5390625 A
2017-05-13T00:00:00-06:00,47.882486979166664 A
2017-05-14T00:00:00-06:00,48.202799479166664 A
2017-05-15T00:00:00-06:00,53.264322916666664 A
2017-05-16T00:00:00-06:00,57.9345703125 A
2017-05-17T00:00:00-06:00,65.33235677083333 A
2017-05-18T00:00:00-06:00,68.3076171875 A
2017-05-19T00:00:00-06:00,63.050455729166664 A
2017-05-20T00:00:00-06:00,50.3505859375 A
2017-05-21T00:00:00-06:00,48.357096354166664 A
2017-05-22T00:00:00-06:00,50.899739583333336 A
2017-05-23T00:00:00-06:00,51.894205729166664 A
