Timestamp,['203a2637-3272d936 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Current A']
2017-03-26T00:00:00-06:00,245.84925762812296 A
2017-03-27T00:00:00-06:00,329.23159710566205 A
2017-03-28T00:00:00-06:00,356.53715562820435 A
2017-03-29T00:00:00-06:00,353.40840403238934 A
2017-03-30T00:00:00-06:00,464.32560085720485 A
2017-03-31T00:00:00-06:00,358.8167095184326 A
2017-04-01T00:00:00-06:00,387.6643837292989 A
2017-04-02T00:00:00-06:00,259.76607688268024 A
2017-04-03T00:00:00-06:00,353.1410113970439 A
2017-04-04T00:00:00-06:00,326.57599544525146 A
2017-04-05T00:00:00-06:00,379.14572048187256 A
2017-04-06T00:00:00-06:00,393.9434413909912 A
2017-04-07T00:00:00-06:00,398.4077065785726 A
2017-04-08T00:00:00-06:00,336.55516242980957 A
2017-04-09T00:00:00-06:00,248.63881540298462 A
2017-04-10T00:00:00-06:00,335.3127549489339 A
2017-04-11T00:00:00-06:00,343.02395979563397 A
2017-04-12T00:00:00-06:00,369.9918740590413 A
2017-04-13T00:00:00-06:00,388.85590775807697 A
2017-04-14T00:00:00-06:00,360.5234589576721 A
2017-04-15T00:00:00-06:00,316.5583283106486 A
2017-04-16T00:00:00-06:00,309.6643280982971 A
2017-04-17T00:00:00-06:00,365.6800971031189 A
2017-04-18T00:00:00-06:00,351.0787779490153 A
2017-04-19T00:00:00-06:00,345.72150897979736 A
2017-04-20T00:00:00-06:00,344.07641824086505 A
2017-04-21T00:00:00-06:00,325.26163816452026 A
2017-04-22T00:00:00-06:00,340.81252670288086 A
2017-04-23T00:00:00-06:00,328.67072041829425 A
2017-04-24T00:00:00-06:00,337.4543242454529 A
2017-04-25T00:00:00-06:00,326.74696493148804 A
2017-04-26T00:00:00-06:00,358.68815962473553 A
2017-04-27T00:00:00-06:00,353.1191595395406 A
2017-04-28T00:00:00-06:00,351.4405097961426 A
2017-04-29T00:00:00-06:00,392.0177108446757 A
2017-04-30T00:00:00-06:00,322.3764049212138 A
2017-05-01T00:00:00-06:00,397.62975454330444 A
2017-05-02T00:00:00-06:00,417.2083724339803 A
2017-05-03T00:00:00-06:00,420.61304903030396 A
2017-05-04T00:00:00-06:00,418.75302839279175 A
2017-05-05T00:00:00-06:00,428.01250489552814 A
