Timestamp,['1cdb9d30-fce36875 0086-MARRIOTT LIBRARY Power Meter 4 Current B']
2017-06-16T00:00:00-06:00,60.40104162693024 A
2017-06-17T00:00:00-06:00,58.20625023047129 A
2017-06-18T00:00:00-06:00,57.62812487284342 A
2017-06-19T00:00:00-06:00,61.68333315849304 A
2017-06-20T00:00:00-06:00,61.45104149977366 A
2017-06-21T00:00:00-06:00,61.6302082935969 A
2017-06-22T00:00:00-06:00,60.51354185740153 A
2017-06-23T00:00:00-06:00,60.25416672229767 A
2017-06-24T00:00:00-06:00,57.71041659514109 A
2017-06-25T00:00:00-06:00,57.012499928474426 A
2017-06-26T00:00:00-06:00,61.45416645208994 A
2017-06-27T00:00:00-06:00,61.851041396458946 A
2017-06-28T00:00:00-06:00,62.36770844459534 A
2017-06-29T00:00:00-06:00,61.637500047683716 A
2017-06-30T00:00:00-06:00,59.97604179382324 A
2017-07-01T00:00:00-06:00,57.844791650772095 A
2017-07-02T00:00:00-06:00,57.39479160308838 A
2017-07-03T00:00:00-06:00,60.056250174840294 A
2017-07-04T00:00:00-06:00,56.954166650772095 A
2017-07-05T00:00:00-06:00,61.56875010331472 A
2017-07-06T00:00:00-06:00,61.404166420300804 A
2017-07-07T00:00:00-06:00,60.243750055631004 A
2017-07-08T00:00:00-06:00,58.10520843664805 A
2017-07-09T00:00:00-06:00,57.613541762034096 A
2017-07-10T00:00:00-06:00,61.302083253860474 A
2017-07-11T00:00:00-06:00,60.64583341280619 A
2017-07-12T00:00:00-06:00,63.297916650772095 A
2017-07-13T00:00:00-06:00,62.83020810286204 A
2017-07-14T00:00:00-06:00,59.985416412353516 A
2017-07-15T00:00:00-06:00,58.07604169845581 A
2017-07-16T00:00:00-06:00,57.82604177792867 A
2017-07-17T00:00:00-06:00,61.38229159514109 A
2017-07-18T00:00:00-06:00,61.811458230018616 A
2017-07-19T00:00:00-06:00,61.974999944368996 A
2017-07-20T00:00:00-06:00,62.867708245913185 A
2017-07-21T00:00:00-06:00,60.34479145208994 A
2017-07-22T00:00:00-06:00,57.98333319028219 A
2017-07-23T00:00:00-06:00,57.082291642824806 A
2017-07-24T00:00:00-06:00,56.98333342870077 A
2017-07-25T00:00:00-06:00,61.19166660308838 A
