Timestamp,['1cca74ad-f1c96daa 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts AB']
2017-05-02T00:00:00-06:00,213.22847222222222 V
2017-05-03T00:00:00-06:00,213.3388888888889 V
2017-05-04T00:00:00-06:00,213.36111111111111 V
2017-05-05T00:00:00-06:00,213.45138888888889 V
2017-05-06T00:00:00-06:00,213.42569444444445 V
2017-05-07T00:00:00-06:00,213.41458333333333 V
2017-05-08T00:00:00-06:00,213.42605633802816 V
2017-05-09T00:00:00-06:00,213.42152777777778 V
2017-05-10T00:00:00-06:00,213.32638888888889 V
2017-05-11T00:00:00-06:00,213.16666666666666 V
2017-05-12T00:00:00-06:00,213.55208333333334 V
2017-05-13T00:00:00-06:00,213.77083333333334 V
2017-05-14T00:00:00-06:00,213.39583333333334 V
2017-05-15T00:00:00-06:00,213.3513888888889 V
2017-05-16T00:00:00-06:00,213.61048951048951 V
2017-05-17T00:00:00-06:00,213.73611111111111 V
2017-05-18T00:00:00-06:00,213.31805555555556 V
2017-05-19T00:00:00-06:00,213.625 V
2017-05-20T00:00:00-06:00,213.63333333333333 V
2017-05-21T00:00:00-06:00,213.50694444444446 V
2017-05-22T00:00:00-06:00,213.52777777777777 V
2017-05-23T00:00:00-06:00,213.4298611111111 V
2017-05-24T00:00:00-06:00,213.5638888888889 V
2017-05-25T00:00:00-06:00,213.65208333333334 V
2017-05-26T00:00:00-06:00,213.69444444444446 V
2017-05-27T00:00:00-06:00,213.73680555555555 V
2017-05-28T00:00:00-06:00,213.79166666666666 V
2017-05-29T00:00:00-06:00,213.75 V
2017-05-30T00:00:00-06:00,213.70138888888889 V
2017-05-31T00:00:00-06:00,213.40347222222223 V
2017-06-01T00:00:00-06:00,213.70763888888888 V
2017-06-02T00:00:00-06:00,213.4375 V
2017-06-03T00:00:00-06:00,213.55694444444444 V
2017-06-04T00:00:00-06:00,213.4361111111111 V
2017-06-05T00:00:00-06:00,213.47916666666666 V
2017-06-06T00:00:00-06:00,213.4326388888889 V
2017-06-07T00:00:00-06:00,213.45833333333334 V
2017-06-08T00:00:00-06:00,213.72222222222223 V
2017-06-09T00:00:00-06:00,213.53472222222223 V
2017-06-10T00:00:00-06:00,213.5625 V
2017-06-11T00:00:00-06:00,213.64125874125875 V
2017-06-12T00:00:00-06:00,213.6013888888889 V
2017-06-13T00:00:00-06:00,213.50416666666666 V
2017-06-14T00:00:00-06:00,213.34791666666666 V
2017-06-15T00:00:00-06:00,213.41180555555556 V
2017-06-16T00:00:00-06:00,213.41666666666666 V
2017-06-17T00:00:00-06:00,213.62291666666667 V
2017-06-18T00:00:00-06:00,213.57638888888889 V
2017-06-19T00:00:00-06:00,213.38888888888889 V
2017-06-20T00:00:00-06:00,213.41805555555555 V
2017-06-21T00:00:00-06:00,213.47222222222223 V
2017-06-22T00:00:00-06:00,213.56944444444446 V
2017-06-23T00:00:00-06:00,213.5263888888889 V
2017-06-24T00:00:00-06:00,213.55694444444444 V
2017-06-25T00:00:00-06:00,213.64027777777778 V
2017-06-26T00:00:00-06:00,213.3031709203403 V
2017-06-27T00:00:00-06:00,213.59375 V
2017-06-28T00:00:00-06:00,213.47916666666666 V
2017-06-29T00:00:00-06:00,213.625 V
2017-06-30T00:00:00-06:00,213.47916666666666 V
2017-07-01T00:00:00-06:00,213.54166666666666 V
2017-07-02T00:00:00-06:00,213.63541666666666 V
2017-07-03T00:00:00-06:00,213.48958333333334 V
2017-07-04T00:00:00-06:00,213.71875 V
2017-07-05T00:00:00-06:00,213.51041666666666 V
2017-07-06T00:00:00-06:00,213.55208333333334 V
2017-07-07T00:00:00-06:00,213.45833333333334 V
2017-07-08T00:00:00-06:00,213.50526315789475 V
2017-07-09T00:00:00-06:00,213.48958333333334 V
2017-07-10T00:00:00-06:00,213.54166666666666 V
2017-07-11T00:00:00-06:00,213.46875 V
2017-07-12T00:00:00-06:00,213.5 V
2017-07-13T00:00:00-06:00,213.6875 V
2017-07-14T00:00:00-06:00,213.66666666666666 V
2017-07-15T00:00:00-06:00,213.45833333333334 V
2017-07-16T00:00:00-06:00,213.40625 V
2017-07-17T00:00:00-06:00,213.36458333333334 V
2017-07-18T00:00:00-06:00,213.39583333333334 V
2017-07-19T00:00:00-06:00,213.42105263157896 V
2017-07-20T00:00:00-06:00,213.51041666666666 V
2017-07-21T00:00:00-06:00,213.32291666666666 V
2017-07-22T00:00:00-06:00,213.47916666666666 V
2017-07-23T00:00:00-06:00,213.65625 V
2017-07-24T00:00:00-06:00,213.55208333333334 V
2017-07-25T00:00:00-06:00,213.4375 V
2017-07-26T00:00:00-06:00,213.33333333333334 V
2017-07-27T00:00:00-06:00,213.47916666666666 V
2017-07-28T00:00:00-06:00,213.33333333333334 V
2017-07-29T00:00:00-06:00,213.46875 V
2017-07-30T00:00:00-06:00,213.55208333333334 V
2017-07-31T00:00:00-06:00,213.63541666666666 V
2017-08-01T00:00:00-06:00,213.5 V
2017-08-02T00:00:00-06:00,213.375 V
2017-08-03T00:00:00-06:00,213.27083333333334 V
2017-08-04T00:00:00-06:00,213.2921348314607 V
2017-08-05T00:00:00-06:00,213.5 V
2017-08-06T00:00:00-06:00,213.40625 V
2017-08-07T00:00:00-06:00,213.27083333333334 V
2017-08-08T00:00:00-06:00,213.38541666666666 V
2017-08-09T00:00:00-06:00,213.2826086956522 V
2017-08-10T00:00:00-06:00,213.3913043478261 V
2017-08-11T00:00:00-06:00,213.54166666666666 V
2017-08-12T00:00:00-06:00,213.42708333333334 V
2017-08-13T00:00:00-06:00,213.63541666666666 V
2017-08-14T00:00:00-06:00,213.5 V
2017-08-15T00:00:00-06:00,213.63541666666666 V
2017-08-16T00:00:00-06:00,213.375 V
2017-08-17T00:00:00-06:00,213.33333333333334 V
2017-08-18T00:00:00-06:00,213.38541666666666 V
2017-08-19T00:00:00-06:00,213.47916666666666 V
2017-08-20T00:00:00-06:00,213.5 V
2017-08-21T00:00:00-06:00,213.44791666666666 V
2017-08-22T00:00:00-06:00,213.29166666666666 V
2017-08-23T00:00:00-06:00,213.42708333333334 V
2017-08-24T00:00:00-06:00,213.30208333333334 V
2017-08-25T00:00:00-06:00,213.34375 V
2017-08-26T00:00:00-06:00,213.15625 V
2017-08-27T00:00:00-06:00,213.17708333333334 V
2017-08-28T00:00:00-06:00,213.36363636363637 V
2017-08-29T00:00:00-06:00,213.38888888888889 V
2017-08-30T00:00:00-06:00,213.34375 V
2017-08-31T00:00:00-06:00,213.44791666666666 V
2017-09-01T00:00:00-06:00,213.25 V
2017-09-02T00:00:00-06:00,213.25 V
2017-09-03T00:00:00-06:00,213.40625 V
2017-09-04T00:00:00-06:00,213.1875 V
2017-09-05T00:00:00-06:00,213.21875 V
2017-09-06T00:00:00-06:00,213.32631578947368 V
2017-09-07T00:00:00-06:00,213.29473684210527 V
2017-09-08T00:00:00-06:00,213.47826086956522 V
2017-09-09T00:00:00-06:00,213.33333333333334 V
2017-09-10T00:00:00-06:00,213.45833333333334 V
2017-09-11T00:00:00-06:00,213.22916666666666 V
2017-09-12T00:00:00-06:00,213.44791666666666 V
2017-09-13T00:00:00-06:00,213.125 V
2017-09-14T00:00:00-06:00,213.36458333333334 V
2017-09-15T00:00:00-06:00,213.44791666666666 V
2017-09-16T00:00:00-06:00,213.71875 V
2017-09-17T00:00:00-06:00,213.30208333333334 V
2017-09-18T00:00:00-06:00,213.54166666666666 V
2017-09-19T00:00:00-06:00,213.26041666666666 V
2017-09-20T00:00:00-06:00,213.39583333333334 V
2017-09-21T00:00:00-06:00,213.59375 V
2017-09-22T00:00:00-06:00,213.4375 V
2017-09-23T00:00:00-06:00,213.57291666666666 V
2017-09-24T00:00:00-06:00,213.34375 V
2017-09-25T00:00:00-06:00,213.67708333333334 V
2017-09-26T00:00:00-06:00,213.51041666666666 V
2017-09-27T00:00:00-06:00,213.5625 V
2017-09-28T00:00:00-06:00,213.33333333333334 V
2017-09-29T00:00:00-06:00,213.375 V
2017-09-30T00:00:00-06:00,213.58333333333334 V
2017-10-01T00:00:00-06:00,213.34375 V
2017-10-02T00:00:00-06:00,213.36458333333334 V
2017-10-03T00:00:00-06:00,213.65625 V
2017-10-04T00:00:00-06:00,213.375 V
2017-10-05T00:00:00-06:00,213.625 V
2017-10-06T00:00:00-06:00,213.65625 V
2017-10-07T00:00:00-06:00,213.5 V
2017-10-08T00:00:00-06:00,213.73958333333334 V
2017-10-09T00:00:00-06:00,213.46875 V
2017-10-10T00:00:00-06:00,213.69791666666666 V
2017-10-11T00:00:00-06:00,213.38541666666666 V
2017-10-12T00:00:00-06:00,213.66666666666666 V
2017-10-13T00:00:00-06:00,213.63541666666666 V
2017-10-14T00:00:00-06:00,213.61458333333334 V
2017-10-15T00:00:00-06:00,213.40625 V
2017-10-16T00:00:00-06:00,213.59375 V
2017-10-17T00:00:00-06:00,213.44791666666666 V
2017-10-18T00:00:00-06:00,213.27083333333334 V
2017-10-19T00:00:00-06:00,213.4375 V
2017-10-20T00:00:00-06:00,213.39583333333334 V
2017-10-21T00:00:00-06:00,213.46875 V
2017-10-22T00:00:00-06:00,213.55208333333334 V
2017-10-23T00:00:00-06:00,213.5 V
2017-10-24T00:00:00-06:00,213.29166666666666 V
2017-10-25T00:00:00-06:00,213.27083333333334 V
2017-10-26T00:00:00-06:00,213.53125 V
2017-10-27T00:00:00-06:00,213.54166666666666 V
2017-10-28T00:00:00-06:00,213.4375 V
2017-10-29T00:00:00-06:00,213.52083333333334 V
2017-10-30T00:00:00-06:00,213.67708333333334 V
2017-10-31T00:00:00-06:00,213.57291666666666 V
2017-11-01T00:00:00-06:00,213.5 V
2017-11-02T00:00:00-06:00,213.45833333333334 V
2017-11-03T00:00:00-06:00,213.46875 V
2017-11-04T00:00:00-06:00,213.53125 V
2017-11-05T00:00:00-06:00,213.28 V
2017-11-06T00:00:00-07:00,213.125 V
2017-11-07T00:00:00-07:00,213.11458333333334 V
2017-11-08T00:00:00-07:00,213.14583333333334 V
2017-11-09T00:00:00-07:00,213.47916666666666 V
2017-11-10T00:00:00-07:00,213.53125 V
2017-11-11T00:00:00-07:00,213.21875 V
2017-11-12T00:00:00-07:00,213.41666666666666 V
2017-11-13T00:00:00-07:00,213.36458333333334 V
2017-11-14T00:00:00-07:00,213.80208333333334 V
2017-11-15T00:00:00-07:00,213.30208333333334 V
2017-11-16T00:00:00-07:00,213.32291666666666 V
2017-11-17T00:00:00-07:00,213.48958333333334 V
2017-11-18T00:00:00-07:00,213.64583333333334 V
2017-11-19T00:00:00-07:00,213.55208333333334 V
2017-11-20T00:00:00-07:00,213.36458333333334 V
2017-11-21T00:00:00-07:00,213.46875 V
2017-11-22T00:00:00-07:00,213.30208333333334 V
2017-11-23T00:00:00-07:00,213.64583333333334 V
2017-11-24T00:00:00-07:00,213.44791666666666 V
2017-11-25T00:00:00-07:00,213.3125 V
2017-11-26T00:00:00-07:00,213.5625 V
2017-11-27T00:00:00-07:00,213.36458333333334 V
2017-11-28T00:00:00-07:00,213.34375 V
2017-11-29T00:00:00-07:00,213.52083333333334 V
2017-11-30T00:00:00-07:00,213.69791666666666 V
2017-12-01T00:00:00-07:00,213.26041666666666 V
2017-12-02T00:00:00-07:00,213.32291666666666 V
2017-12-03T00:00:00-07:00,213.36458333333334 V
2017-12-04T00:00:00-07:00,213.53125 V
2017-12-05T00:00:00-07:00,213.16666666666666 V
2017-12-06T00:00:00-07:00,213.13541666666666 V
2017-12-07T00:00:00-07:00,213.03125 V
2017-12-08T00:00:00-07:00,213.05208333333334 V
2017-12-09T00:00:00-07:00,213.45833333333334 V
2017-12-10T00:00:00-07:00,213.47916666666666 V
2017-12-11T00:00:00-07:00,213.58333333333334 V
