Timestamp,"['1fa62366-085de6ff 0003-GARDNER HALL Power Meter (300015) Watts, 3-Ph total']"
2017-04-26T00:00:00-06:00,52.31426239013672 kW
2017-04-27T00:00:00-06:00,63.307960510253906 kW
2017-04-28T00:00:00-06:00,58.93153762817383 kW
2017-04-29T00:00:00-06:00,55.737125396728516 kW
2017-04-30T00:00:00-06:00,53.83940124511719 kW
2017-05-01T00:00:00-06:00,63.99523162841797 kW
2017-05-02T00:00:00-06:00,65.5024642944336 kW
2017-05-03T00:00:00-06:00,64.07252502441406 kW
2017-05-04T00:00:00-06:00,52.74353790283203 kW
2017-05-05T00:00:00-06:00,47.912349700927734 kW
2017-05-06T00:00:00-06:00,52.96337127685547 kW
2017-05-07T00:00:00-06:00,46.46984100341797 kW
2017-05-08T00:00:00-06:00,61.15536117553711 kW
2017-05-09T00:00:00-06:00,51.60174560546875 kW
2017-05-10T00:00:00-06:00,59.88184356689453 kW
2017-05-11T00:00:00-06:00,59.9278564453125 kW
2017-05-12T00:00:00-06:00,68.66311645507812 kW
2017-05-13T00:00:00-06:00,56.43574523925781 kW
2017-05-14T00:00:00-06:00,21.436138153076172 kW
2017-05-15T00:00:00-06:00,44.008033752441406 kW
2017-05-16T00:00:00-06:00,61.06509017944336 kW
2017-05-17T00:00:00-06:00,56.859947204589844 kW
2017-05-18T00:00:00-06:00,53.179725646972656 kW
2017-05-19T00:00:00-06:00,49.74236297607422 kW
2017-05-20T00:00:00-06:00,55.77055740356445 kW
2017-05-21T00:00:00-06:00,48.284019470214844 kW
2017-05-22T00:00:00-06:00,54.22239303588867 kW
2017-05-23T00:00:00-06:00,57.87847137451172 kW
2017-05-24T00:00:00-06:00,62.72969055175781 kW
2017-05-25T00:00:00-06:00,59.63268280029297 kW
2017-05-26T00:00:00-06:00,59.04895782470703 kW
2017-05-27T00:00:00-06:00,43.90068054199219 kW
2017-05-28T00:00:00-06:00,23.119260787963867 kW
2017-05-29T00:00:00-06:00,23.010906219482422 kW
2017-05-30T00:00:00-06:00,49.872257232666016 kW
2017-05-31T00:00:00-06:00,48.531192779541016 kW
2017-06-01T00:00:00-06:00,63.23260498046875 kW
2017-06-02T00:00:00-06:00,56.63072967529297 kW
2017-06-03T00:00:00-06:00,42.41831970214844 kW
2017-06-04T00:00:00-06:00,33.167686462402344 kW
2017-06-05T00:00:00-06:00,51.699954986572266 kW
2017-06-06T00:00:00-06:00,48.19628143310547 kW
2017-06-07T00:00:00-06:00,51.67579650878906 kW
2017-06-08T00:00:00-06:00,52.69770431518555 kW
2017-06-09T00:00:00-06:00,43.20301818847656 kW
2017-06-10T00:00:00-06:00,26.87348175048828 kW
2017-06-11T00:00:00-06:00,22.70108413696289 kW
