Timestamp,['1cc9722a-ac9e684f 0051-STERLING SILL CNTR Power Meter Volts AN']
2017-04-27T00:00:00-06:00,121.64479128519694 V
2017-04-28T00:00:00-06:00,121.59270850817363 V
2017-04-29T00:00:00-06:00,121.64895868301392 V
2017-04-30T00:00:00-06:00,121.58437474568684 V
2017-05-01T00:00:00-06:00,121.60416666666667 V
2017-05-02T00:00:00-06:00,121.46979141235352 V
2017-05-03T00:00:00-06:00,121.53333346048991 V
2017-05-04T00:00:00-06:00,121.49479126930237 V
2017-05-05T00:00:00-06:00,121.39583349227905 V
2017-05-06T00:00:00-06:00,121.48854207992554 V
2017-05-07T00:00:00-06:00,121.48020831743877 V
2017-05-08T00:00:00-06:00,121.54374972979228 V
2017-05-09T00:00:00-06:00,121.63541626930237 V
2017-05-10T00:00:00-06:00,121.71354190508525 V
2017-05-11T00:00:00-06:00,121.60624996821086 V
2017-05-12T00:00:00-06:00,121.58958292007446 V
2017-05-13T00:00:00-06:00,121.703125 V
2017-05-14T00:00:00-06:00,121.54999995231628 V
2017-05-15T00:00:00-06:00,121.71770803133647 V
2017-05-16T00:00:00-06:00,121.64166633288066 V
2017-05-17T00:00:00-06:00,121.73645846048991 V
2017-05-18T00:00:00-06:00,121.70729144414265 V
2017-05-19T00:00:00-06:00,121.88437485694885 V
2017-05-20T00:00:00-06:00,121.55833276112874 V
2017-05-21T00:00:00-06:00,121.59479133288066 V
2017-05-22T00:00:00-06:00,121.67812506357829 V
2017-05-23T00:00:00-06:00,121.65937439600627 V
2017-05-24T00:00:00-06:00,121.50416668256123 V
2017-05-25T00:00:00-06:00,121.46354214350383 V
2017-05-26T00:00:00-06:00,121.6510419845581 V
2017-05-27T00:00:00-06:00,121.72499918937683 V
2017-05-28T00:00:00-06:00,121.67500011126201 V
2017-05-29T00:00:00-06:00,121.57187525431316 V
2017-05-30T00:00:00-06:00,121.54791688919067 V
2017-05-31T00:00:00-06:00,121.47395825386047 V
2017-06-01T00:00:00-06:00,121.49270820617676 V
2017-06-02T00:00:00-06:00,121.38437549273173 V
2017-06-03T00:00:00-06:00,121.50520865122478 V
2017-06-04T00:00:00-06:00,121.5239581267039 V
2017-06-05T00:00:00-06:00,121.49895866711934 V
2017-06-06T00:00:00-06:00,121.60625020662944 V
2017-06-07T00:00:00-06:00,121.51354153951009 V
2017-06-08T00:00:00-06:00,121.54895853996277 V
2017-06-09T00:00:00-06:00,121.54895830154419 V
2017-06-10T00:00:00-06:00,121.50208330154419 V
2017-06-11T00:00:00-06:00,121.5416665871938 V
2017-06-12T00:00:00-06:00,121.65729180971782 V
2017-06-13T00:00:00-06:00,121.6687494913737 V
2017-06-14T00:00:00-06:00,121.75729195276897 V
2017-06-15T00:00:00-06:00,121.61666663487752 V
