Timestamp,['203f267a-7a16e62c 0097-DUMKE GYMNASTICS CNTR Power Meter Current A']
2017-06-17T00:00:00-06:00,57.81831236680349 A
2017-06-18T00:00:00-06:00,47.642943024635315 A
2017-06-19T00:00:00-06:00,62.51404549678167 A
2017-06-20T00:00:00-06:00,68.89945125579834 A
2017-06-21T00:00:00-06:00,67.70280261834462 A
2017-06-22T00:00:00-06:00,68.09339761734009 A
2017-06-23T00:00:00-06:00,54.57622158527374 A
2017-06-24T00:00:00-06:00,50.38767476876577 A
2017-06-25T00:00:00-06:00,56.221321165561676 A
2017-06-26T00:00:00-06:00,70.33974810441335 A
2017-06-27T00:00:00-06:00,64.13436265786488 A
2017-06-28T00:00:00-06:00,57.514488299687706 A
2017-06-29T00:00:00-06:00,55.87577964862188 A
2017-06-30T00:00:00-06:00,57.946848034858704 A
2017-07-01T00:00:00-06:00,52.581536293029785 A
2017-07-02T00:00:00-06:00,60.112959583600365 A
2017-07-03T00:00:00-06:00,74.8753087123235 A
2017-07-04T00:00:00-06:00,66.54355200131734 A
2017-07-05T00:00:00-06:00,78.98953000704448 A
2017-07-06T00:00:00-06:00,78.92332526048024 A
2017-07-07T00:00:00-06:00,77.31027750174205 A
2017-07-08T00:00:00-06:00,69.40767534573872 A
2017-07-09T00:00:00-06:00,64.02883120377858 A
2017-07-10T00:00:00-06:00,70.38248642285664 A
2017-07-11T00:00:00-06:00,68.8884584903717 A
2017-07-12T00:00:00-06:00,72.95575706164043 A
2017-07-13T00:00:00-06:00,69.3275724252065 A
2017-07-14T00:00:00-06:00,68.80742160479228 A
2017-07-15T00:00:00-06:00,62.14963891108831 A
2017-07-16T00:00:00-06:00,64.59251167376836 A
2017-07-17T00:00:00-06:00,70.06191392739613 A
2017-07-18T00:00:00-06:00,70.74205338954926 A
2017-07-19T00:00:00-06:00,69.56561442216237 A
2017-07-20T00:00:00-06:00,69.3046743075053 A
2017-07-21T00:00:00-06:00,69.55245610078175 A
2017-07-22T00:00:00-06:00,59.88099976380666 A
2017-07-23T00:00:00-06:00,58.83415444691976 A
2017-07-24T00:00:00-06:00,60.17907806237539 A
2017-07-25T00:00:00-06:00,66.90115888913472 A
2017-07-26T00:00:00-06:00,68.22583870093028 A
2017-07-27T00:00:00-06:00,65.34083807468414 A
2017-07-28T00:00:00-06:00,61.68571674823761 A
2017-07-29T00:00:00-06:00,58.410831014315285 A
2017-07-30T00:00:00-06:00,61.33784548441569 A
2017-07-31T00:00:00-06:00,71.54576472441356 A
2017-08-01T00:00:00-06:00,76.57977728048961 A
2017-08-02T00:00:00-06:00,71.57232077916463 A
2017-08-03T00:00:00-06:00,70.78794594605763 A
2017-08-04T00:00:00-06:00,62.08975664075914 A
2017-08-05T00:00:00-06:00,57.994726637999214 A
2017-08-06T00:00:00-06:00,54.582601030667625 A
2017-08-07T00:00:00-06:00,60.8692379395167 A
2017-08-08T00:00:00-06:00,52.426150480906166 A
2017-08-09T00:00:00-06:00,53.72127830982208 A
2017-08-10T00:00:00-06:00,53.07712374342249 A
2017-08-11T00:00:00-06:00,54.26292250553767 A
