Timestamp,['1f7d6d27-7ac80741 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Real Power']
2017-04-27T00:00:00-06:00,203.26397705078125 kW
2017-04-28T00:00:00-06:00,209.27999877929688 kW
2017-04-29T00:00:00-06:00,169.5999755859375 kW
2017-04-30T00:00:00-06:00,172.79998779296875 kW
2017-05-01T00:00:00-06:00,201.21597290039062 kW
2017-05-02T00:00:00-06:00,209.02398681640625 kW
2017-05-03T00:00:00-06:00,326.65594482421875 kW
2017-05-04T00:00:00-06:00,405.887939453125 kW
2017-05-05T00:00:00-06:00,355.45599365234375 kW
2017-05-06T00:00:00-06:00,269.95196533203125 kW
2017-05-07T00:00:00-06:00,256.38397216796875 kW
2017-05-08T00:00:00-06:00,422.5279541015625 kW
2017-05-09T00:00:00-06:00,389.24798583984375 kW
2017-05-10T00:00:00-06:00,363.77593994140625 kW
2017-05-11T00:00:00-06:00,399.8719482421875 kW
2017-05-12T00:00:00-06:00,300.41595458984375 kW
2017-05-13T00:00:00-06:00,148.99197387695312 kW
2017-05-14T00:00:00-06:00,159.48797607421875 kW
2017-05-15T00:00:00-06:00,393.98394775390625 kW
2017-05-16T00:00:00-06:00,200.06399536132812 kW
2017-05-17T00:00:00-06:00,199.16799926757812 kW
2017-05-18T00:00:00-06:00,193.53598022460938 kW
2017-05-19T00:00:00-06:00,185.98397827148438 kW
2017-05-20T00:00:00-06:00,368.38397216796875 kW
2017-05-21T00:00:00-06:00,168.447998046875 kW
2017-05-22T00:00:00-06:00,376.19195556640625 kW
2017-05-23T00:00:00-06:00,373.3759765625 kW
2017-05-24T00:00:00-06:00,312.3199462890625 kW
2017-05-25T00:00:00-06:00,367.10394287109375 kW
2017-05-26T00:00:00-06:00,233.08798217773438 kW
2017-05-27T00:00:00-06:00,291.45599365234375 kW
2017-05-28T00:00:00-06:00,329.85595703125 kW
2017-05-29T00:00:00-06:00,343.55194091796875 kW
2017-05-30T00:00:00-06:00,316.41595458984375 kW
2017-05-31T00:00:00-06:00,384.38397216796875 kW
2017-06-01T00:00:00-06:00,321.407958984375 kW
2017-06-02T00:00:00-06:00,376.447998046875 kW
2017-06-03T00:00:00-06:00,265.5999755859375 kW
2017-06-04T00:00:00-06:00,285.69598388671875 kW
2017-06-05T00:00:00-06:00,307.07196044921875 kW
2017-06-06T00:00:00-06:00,322.17596435546875 kW
2017-06-07T00:00:00-06:00,359.16796875 kW
2017-06-08T00:00:00-06:00,392.9599609375 kW
2017-06-09T00:00:00-06:00,327.29595947265625 kW
2017-06-10T00:00:00-06:00,368.2559814453125 kW
2017-06-11T00:00:00-06:00,275.71197509765625 kW
2017-06-12T00:00:00-06:00,340.991943359375 kW
2017-06-13T00:00:00-06:00,281.5999755859375 kW
2017-06-14T00:00:00-06:00,382.84796142578125 kW
2017-06-15T00:00:00-06:00,319.615966796875 kW
2017-06-16T00:00:00-06:00,342.0159912109375 kW
2017-06-17T00:00:00-06:00,258.55999755859375 kW
2017-06-18T00:00:00-06:00,272 kW
2017-06-19T00:00:00-06:00,327.4239501953125 kW
2017-06-20T00:00:00-06:00,339.8399658203125 kW
2017-06-21T00:00:00-06:00,317.05596923828125 kW
2017-06-22T00:00:00-06:00,302.59197998046875 kW
2017-06-23T00:00:00-06:00,292.35198974609375 kW
2017-06-24T00:00:00-06:00,269.95196533203125 kW
2017-06-25T00:00:00-06:00,272.2559814453125 kW
2017-06-26T00:00:00-06:00,354.17596435546875 kW
2017-06-27T00:00:00-06:00,327.55194091796875 kW
2017-06-28T00:00:00-06:00,335.48797607421875 kW
2017-06-29T00:00:00-06:00,381.1839599609375 kW
2017-06-30T00:00:00-06:00,303.615966796875 kW
2017-07-01T00:00:00-06:00,270.59197998046875 kW
2017-07-02T00:00:00-06:00,276.991943359375 kW
2017-07-03T00:00:00-06:00,301.43994140625 kW
2017-07-04T00:00:00-06:00,313.98394775390625 kW
2017-07-05T00:00:00-06:00,351.48797607421875 kW
2017-07-06T00:00:00-06:00,359.67999267578125 kW
2017-07-07T00:00:00-06:00,338.68798828125 kW
2017-07-08T00:00:00-06:00,338.81597900390625 kW
2017-07-09T00:00:00-06:00,329.72796630859375 kW
2017-07-10T00:00:00-06:00,369.02398681640625 kW
2017-07-11T00:00:00-06:00,369.7919921875 kW
2017-07-12T00:00:00-06:00,328.7039794921875 kW
2017-07-13T00:00:00-06:00,374.5279541015625 kW
2017-07-14T00:00:00-06:00,319.48797607421875 kW
2017-07-15T00:00:00-06:00,330.4959716796875 kW
2017-07-16T00:00:00-06:00,308.86395263671875 kW
2017-07-17T00:00:00-06:00,375.55194091796875 kW
2017-07-18T00:00:00-06:00,328.7039794921875 kW
2017-07-19T00:00:00-06:00,388.991943359375 kW
2017-07-20T00:00:00-06:00,347.51995849609375 kW
2017-07-21T00:00:00-06:00,358.9119873046875 kW
2017-07-22T00:00:00-06:00,296.19195556640625 kW
2017-07-23T00:00:00-06:00,306.68798828125 kW
2017-07-24T00:00:00-06:00,313.08795166015625 kW
2017-07-25T00:00:00-06:00,298.11199951171875 kW
2017-07-26T00:00:00-06:00,324.60797119140625 kW
2017-07-27T00:00:00-06:00,330.4959716796875 kW
2017-07-28T00:00:00-06:00,297.72796630859375 kW
2017-07-29T00:00:00-06:00,265.343994140625 kW
2017-07-30T00:00:00-06:00,269.31195068359375 kW
2017-07-31T00:00:00-06:00,346.87994384765625 kW
2017-08-01T00:00:00-06:00,361.98394775390625 kW
2017-08-02T00:00:00-06:00,357.50396728515625 kW
2017-08-03T00:00:00-06:00,349.95196533203125 kW
2017-08-04T00:00:00-06:00,305.1519775390625 kW
2017-08-05T00:00:00-06:00,272.7679443359375 kW
2017-08-06T00:00:00-06:00,271.74395751953125 kW
2017-08-07T00:00:00-06:00,292.095947265625 kW
2017-08-08T00:00:00-06:00,295.67999267578125 kW
2017-08-09T00:00:00-06:00,296.447998046875 kW
2017-08-10T00:00:00-06:00,297.47198486328125 kW
2017-08-11T00:00:00-06:00,326.78399658203125 kW
2017-08-12T00:00:00-06:00,271.615966796875 kW
2017-08-13T00:00:00-06:00,292.60797119140625 kW
2017-08-14T00:00:00-06:00,304.12799072265625 kW
2017-08-15T00:00:00-06:00,307.32794189453125 kW
2017-08-16T00:00:00-06:00,295.8079833984375 kW
2017-08-17T00:00:00-06:00,326.5279541015625 kW
2017-08-18T00:00:00-06:00,314.62396240234375 kW
2017-08-19T00:00:00-06:00,269.05596923828125 kW
2017-08-20T00:00:00-06:00,280.83197021484375 kW
2017-08-21T00:00:00-06:00,353.7919921875 kW
2017-08-22T00:00:00-06:00,380.15997314453125 kW
2017-08-23T00:00:00-06:00,407.03997802734375 kW
2017-08-24T00:00:00-06:00,439.8079833984375 kW
2017-08-25T00:00:00-06:00,441.85595703125 kW
2017-08-26T00:00:00-06:00,384.89599609375 kW
2017-08-27T00:00:00-06:00,361.72796630859375 kW
2017-08-28T00:00:00-06:00,404.60797119140625 kW
2017-08-29T00:00:00-06:00,393.5999755859375 kW
2017-08-30T00:00:00-06:00,445.95196533203125 kW
2017-08-31T00:00:00-06:00,325.887939453125 kW
2017-09-01T00:00:00-06:00,417.02398681640625 kW
2017-09-02T00:00:00-06:00,262.0159912109375 kW
2017-09-03T00:00:00-06:00,271.48797607421875 kW
2017-09-04T00:00:00-06:00,271.8719482421875 kW
2017-09-05T00:00:00-06:00,382.9759521484375 kW
2017-09-06T00:00:00-06:00,340.47998046875 kW
2017-09-07T00:00:00-06:00,346.11199951171875 kW
2017-09-08T00:00:00-06:00,340.35198974609375 kW
2017-09-09T00:00:00-06:00,283.00799560546875 kW
2017-09-10T00:00:00-06:00,297.98394775390625 kW
2017-09-11T00:00:00-06:00,334.59197998046875 kW
2017-09-12T00:00:00-06:00,273.1519775390625 kW
2017-09-13T00:00:00-06:00,267.26397705078125 kW
2017-09-14T00:00:00-06:00,271.615966796875 kW
2017-09-15T00:00:00-06:00,243.71197509765625 kW
2017-09-16T00:00:00-06:00,332.927978515625 kW
2017-09-17T00:00:00-06:00,327.4239501953125 kW
2017-09-18T00:00:00-06:00,344.9599609375 kW
2017-09-19T00:00:00-06:00,221.69598388671875 kW
2017-09-20T00:00:00-06:00,467.07196044921875 kW
2017-09-21T00:00:00-06:00,198.0159912109375 kW
2017-09-22T00:00:00-06:00,231.8079833984375 kW
2017-09-23T00:00:00-06:00,157.31198120117188 kW
2017-09-24T00:00:00-06:00,158.97598266601562 kW
2017-09-25T00:00:00-06:00,232.7039794921875 kW
2017-09-26T00:00:00-06:00,233.72799682617188 kW
2017-09-27T00:00:00-06:00,326.5279541015625 kW
2017-09-28T00:00:00-06:00,381.69598388671875 kW
2017-09-29T00:00:00-06:00,374.9119873046875 kW
2017-09-30T00:00:00-06:00,160.51199340820312 kW
2017-10-01T00:00:00-06:00,160.12799072265625 kW
2017-10-02T00:00:00-06:00,231.03997802734375 kW
2017-10-03T00:00:00-06:00,210.9439697265625 kW
2017-10-04T00:00:00-06:00,232.31997680664062 kW
2017-10-05T00:00:00-06:00,214.27197265625 kW
2017-10-06T00:00:00-06:00,201.5999755859375 kW
2017-10-07T00:00:00-06:00,292.35198974609375 kW
2017-10-08T00:00:00-06:00,168.83197021484375 kW
2017-10-09T00:00:00-06:00,215.55197143554688 kW
2017-10-10T00:00:00-06:00,209.1519775390625 kW
2017-10-11T00:00:00-06:00,384.89599609375 kW
2017-10-12T00:00:00-06:00,207.3599853515625 kW
2017-10-13T00:00:00-06:00,191.61599731445312 kW
2017-10-14T00:00:00-06:00,157.43997192382812 kW
2017-10-15T00:00:00-06:00,156.54397583007812 kW
2017-10-16T00:00:00-06:00,206.97598266601562 kW
2017-10-17T00:00:00-06:00,365.05596923828125 kW
2017-10-18T00:00:00-06:00,314.11199951171875 kW
2017-10-19T00:00:00-06:00,241.1519775390625 kW
2017-10-20T00:00:00-06:00,219.77597045898438 kW
2017-10-21T00:00:00-06:00,184.06399536132812 kW
