Timestamp,['1cac28c3-0ed88c3d 0077-CHRISTENSEN CNTR Power Meter (300172) PM VOTL A-N']
2017-04-27T00:00:00-06:00,274.5410388522678 V
2017-04-28T00:00:00-06:00,274.38182644314236 V
2017-04-29T00:00:00-06:00,274.67696899837915 V
2017-04-30T00:00:00-06:00,274.45086663564047 V
2017-05-01T00:00:00-06:00,274.55397889879015 V
2017-05-02T00:00:00-06:00,274.35840477413603 V
2017-05-03T00:00:00-06:00,274.516986881386 V
2017-05-04T00:00:00-06:00,274.40030771891276 V
2017-05-05T00:00:00-06:00,274.34574517144097 V
2017-05-06T00:00:00-06:00,274.39363293117947 V
2017-05-07T00:00:00-06:00,274.34928345150416 V
2017-05-08T00:00:00-06:00,274.45208256575705 V
2017-05-09T00:00:00-06:00,274.48675003051756 V
2017-05-10T00:00:00-06:00,274.6948665195041 V
2017-05-11T00:00:00-06:00,274.50934842427574 V
2017-05-12T00:00:00-06:00,274.51920924716524 V
2017-05-13T00:00:00-06:00,274.53203534020315 V
2017-05-14T00:00:00-06:00,274.14278763379383 V
2017-05-15T00:00:00-06:00,274.5635775672065 V
2017-05-16T00:00:00-06:00,274.4223687739899 V
2017-05-17T00:00:00-06:00,274.4248092227512 V
2017-05-18T00:00:00-06:00,274.3747985839844 V
2017-05-19T00:00:00-06:00,274.80893665390596 V
2017-05-20T00:00:00-06:00,274.3304470062256 V
2017-05-21T00:00:00-06:00,274.30998323228624 V
2017-05-22T00:00:00-06:00,274.39435986412894 V
2017-05-23T00:00:00-06:00,274.49535825517444 V
2017-05-24T00:00:00-06:00,274.37314292060006 V
2017-05-25T00:00:00-06:00,274.18818973965114 V
2017-05-26T00:00:00-06:00,274.49284487830266 V
2017-05-27T00:00:00-06:00,274.59867973327636 V
2017-05-28T00:00:00-06:00,274.6267033259074 V
2017-05-29T00:00:00-06:00,274.3280699412028 V
2017-05-30T00:00:00-06:00,274.34655725691056 V
2017-05-31T00:00:00-06:00,274.28603322770863 V
2017-06-01T00:00:00-06:00,274.3413131925795 V
2017-06-02T00:00:00-06:00,274.0668190214369 V
2017-06-03T00:00:00-06:00,274.33788386450874 V
2017-06-04T00:00:00-06:00,274.4596062422296 V
2017-06-05T00:00:00-06:00,274.2036823060777 V
2017-06-06T00:00:00-06:00,274.46433126661515 V
2017-06-07T00:00:00-06:00,274.2347999148899 V
2017-06-08T00:00:00-06:00,274.3335552626471 V
2017-06-09T00:00:00-06:00,274.3705076217651 V
2017-06-10T00:00:00-06:00,274.32577730814614 V
2017-06-11T00:00:00-06:00,274.39668640560575 V
2017-06-12T00:00:00-06:00,274.4442692226834 V
2017-06-13T00:00:00-06:00,274.4284817589654 V
2017-06-14T00:00:00-06:00,274.6107237286038 V
2017-06-15T00:00:00-06:00,274.4822661717733 V
2017-06-16T00:00:00-06:00,274.44742285410564 V
2017-06-17T00:00:00-06:00,274.3960483702129 V
2017-06-18T00:00:00-06:00,274.47446804828655 V
2017-06-19T00:00:00-06:00,274.3513002183702 V
2017-06-20T00:00:00-06:00,274.43387574599467 V
2017-06-21T00:00:00-06:00,274.488091829088 V
2017-06-22T00:00:00-06:00,274.31781105534577 V
2017-06-23T00:00:00-06:00,274.55773088667127 V
2017-06-24T00:00:00-06:00,274.61332064734563 V
2017-06-25T00:00:00-06:00,274.5802740944756 V
2017-06-26T00:00:00-06:00,274.29872144063313 V
2017-06-27T00:00:00-06:00,274.3616910722521 V
2017-06-28T00:00:00-06:00,274.15848768022323 V
2017-06-29T00:00:00-06:00,274.425061501397 V
2017-06-30T00:00:00-06:00,274.70976937611897 V
2017-07-01T00:00:00-06:00,274.4189237170749 V
2017-07-02T00:00:00-06:00,274.46643212636315 V
2017-07-03T00:00:00-06:00,274.33908655378553 V
2017-07-04T00:00:00-06:00,274.50531332227916 V
2017-07-05T00:00:00-06:00,274.47262613508434 V
2017-07-06T00:00:00-06:00,274.30268029106986 V
2017-07-07T00:00:00-06:00,274.61493979560004 V
2017-07-08T00:00:00-06:00,274.53449851142034 V
2017-07-09T00:00:00-06:00,274.3530873192681 V
2017-07-10T00:00:00-06:00,274.4217963748508 V
2017-07-11T00:00:00-06:00,274.4840241326226 V
2017-07-12T00:00:00-06:00,274.50760222540964 V
2017-07-13T00:00:00-06:00,274.43967499203154 V
2017-07-14T00:00:00-06:00,274.41082725524905 V
2017-07-15T00:00:00-06:00,274.41135281456843 V
2017-07-16T00:00:00-06:00,274.4834894604153 V
2017-07-17T00:00:00-06:00,274.3156533347236 V
2017-07-18T00:00:00-06:00,274.5053789562649 V
2017-07-19T00:00:00-06:00,274.30867907206215 V
2017-07-20T00:00:00-06:00,274.3198814815945 V
2017-07-21T00:00:00-06:00,274.3557496600681 V
2017-07-22T00:00:00-06:00,274.3574968338013 V
2017-07-23T00:00:00-06:00,274.48562785254586 V
2017-07-24T00:00:00-06:00,274.3287901984321 V
2017-07-25T00:00:00-06:00,274.3858496559991 V
2017-07-26T00:00:00-06:00,274.22919135925423 V
2017-07-27T00:00:00-06:00,274.3643789079454 V
2017-07-28T00:00:00-06:00,274.427573606703 V
2017-07-29T00:00:00-06:00,274.3448052512275 V
2017-07-30T00:00:00-06:00,274.57230184343126 V
2017-07-31T00:00:00-06:00,274.3228525585598 V
2017-08-01T00:00:00-06:00,274.2805802239312 V
2017-08-02T00:00:00-06:00,274.130200152927 V
2017-08-03T00:00:00-06:00,274.422351137797 V
2017-08-04T00:00:00-06:00,274.16782754759936 V
2017-08-05T00:00:00-06:00,274.390837181939 V
2017-08-06T00:00:00-06:00,274.59480673472086 V
2017-08-07T00:00:00-06:00,274.230270046658 V
2017-08-08T00:00:00-06:00,274.1570141262478 V
2017-08-09T00:00:00-06:00,274.33583982255726 V
2017-08-10T00:00:00-06:00,274.42907310107074 V
2017-08-11T00:00:00-06:00,274.299457359314 V
2017-08-12T00:00:00-06:00,274.51738501654734 V
2017-08-13T00:00:00-06:00,274.45599422454836 V
2017-08-14T00:00:00-06:00,274.3436995824178 V
2017-08-15T00:00:00-06:00,274.3209962632921 V
2017-08-16T00:00:00-06:00,274.3218574523926 V
2017-08-17T00:00:00-06:00,274.38094664679636 V
2017-08-18T00:00:00-06:00,273.9614676581489 V
2017-08-19T00:00:00-06:00,273.85818485683865 V
2017-08-20T00:00:00-06:00,273.9875789854262 V
2017-08-21T00:00:00-06:00,273.8819095187717 V
2017-08-22T00:00:00-06:00,273.7878103680081 V
2017-08-23T00:00:00-06:00,273.9704554027981 V
2017-08-24T00:00:00-06:00,274.26633377075194 V
2017-08-25T00:00:00-06:00,274.13276782565646 V
2017-08-26T00:00:00-06:00,274.13206594255234 V
2017-08-27T00:00:00-06:00,274.07697505950927 V
2017-08-28T00:00:00-06:00,274.24391385967004 V
2017-08-29T00:00:00-06:00,274.21338538556597 V
2017-08-30T00:00:00-06:00,274.17412109375 V
2017-08-31T00:00:00-06:00,274.20217846764456 V
2017-09-01T00:00:00-06:00,274.34256409539114 V
2017-09-02T00:00:00-06:00,274.1878857718574 V
2017-09-03T00:00:00-06:00,274.55339283413355 V
2017-09-04T00:00:00-06:00,274.0203943040636 V
2017-09-05T00:00:00-06:00,274.26851539002104 V
2017-09-06T00:00:00-06:00,274.2141041225857 V
2017-09-07T00:00:00-06:00,273.9600995805528 V
2017-09-08T00:00:00-06:00,274.37991907079737 V
2017-09-09T00:00:00-06:00,274.4306392033895 V
2017-09-10T00:00:00-06:00,274.449316491021 V
2017-09-11T00:00:00-06:00,274.100045522054 V
2017-09-12T00:00:00-06:00,274.1291845957438 V
2017-09-13T00:00:00-06:00,274.23219803704154 V
2017-09-14T00:00:00-06:00,274.42096744113496 V
2017-09-15T00:00:00-06:00,274.5245582792494 V
2017-09-16T00:00:00-06:00,274.6814830356174 V
2017-09-17T00:00:00-06:00,274.36850980122887 V
2017-09-18T00:00:00-06:00,274.181776216295 V
2017-09-19T00:00:00-06:00,273.91314525604247 V
2017-09-20T00:00:00-06:00,274.32735481262205 V
2017-09-21T00:00:00-06:00,274.41380897098117 V
2017-09-22T00:00:00-06:00,274.76930323706733 V
2017-09-23T00:00:00-06:00,274.07304248809817 V
2017-09-24T00:00:00-06:00,274.4681923760308 V
2017-09-25T00:00:00-06:00,274.43688356611466 V
2017-09-26T00:00:00-06:00,274.1392449061076 V
2017-09-27T00:00:00-06:00,274.45177675882974 V
2017-09-28T00:00:00-06:00,274.51927490234374 V
2017-09-29T00:00:00-06:00,274.45300771925184 V
