Timestamp,['1daaa900-9475dbe4 0037-ARCHITECTURE BLDG Power Meter (301159) Current B']
2017-04-30T00:00:00-06:00,27.449678937594097 A
2017-05-01T00:00:00-06:00,40.007215321063995 A
2017-05-02T00:00:00-06:00,38.82106522719065 A
2017-05-03T00:00:00-06:00,36.03504087527593 A
2017-05-04T00:00:00-06:00,37.59790178140005 A
2017-05-05T00:00:00-06:00,35.94959727923075 A
2017-05-06T00:00:00-06:00,33.073703304089996 A
2017-05-07T00:00:00-06:00,31.926731208960216 A
2017-05-08T00:00:00-06:00,35.7259970320032 A
2017-05-09T00:00:00-06:00,32.60389562447866 A
2017-05-10T00:00:00-06:00,31.310151239236195 A
2017-05-11T00:00:00-06:00,31.928490300973255 A
2017-05-12T00:00:00-06:00,35.00873436530431 A
2017-05-13T00:00:00-06:00,31.879755198955536 A
2017-05-14T00:00:00-06:00,30.323726455370586 A
2017-05-15T00:00:00-06:00,36.71378095944723 A
2017-05-16T00:00:00-06:00,33.11648587385813 A
2017-05-17T00:00:00-06:00,33.39659457959627 A
2017-05-18T00:00:00-06:00,34.27039211988449 A
2017-05-19T00:00:00-06:00,34.18833897511164 A
2017-05-20T00:00:00-06:00,32.366238156954445 A
2017-05-21T00:00:00-06:00,32.47248866160711 A
2017-05-22T00:00:00-06:00,35.17942343155543 A
2017-05-23T00:00:00-06:00,36.54903550942739 A
2017-05-24T00:00:00-06:00,34.34534368912379 A
2017-05-25T00:00:00-06:00,29.617841064929962 A
2017-05-26T00:00:00-06:00,31.479675610860188 A
2017-05-27T00:00:00-06:00,29.16195660829544 A
2017-05-28T00:00:00-06:00,26.524172921975453 A
2017-05-29T00:00:00-06:00,25.883583903312683 A
2017-05-30T00:00:00-06:00,34.26099944114685 A
2017-05-31T00:00:00-06:00,33.20262195666631 A
2017-06-01T00:00:00-06:00,32.896169583002724 A
2017-06-02T00:00:00-06:00,29.979664266109467 A
2017-06-03T00:00:00-06:00,27.151495321173417 A
2017-06-04T00:00:00-06:00,24.954507390658062 A
2017-06-05T00:00:00-06:00,31.4332634806633 A
2017-06-06T00:00:00-06:00,33.24534257253011 A
2017-06-07T00:00:00-06:00,30.99257042010625 A
2017-06-08T00:00:00-06:00,33.666201094786324 A
2017-06-09T00:00:00-06:00,29.678745687007904 A
2017-06-10T00:00:00-06:00,29.90434334675471 A
2017-06-11T00:00:00-06:00,30.07703773180644 A
2017-06-12T00:00:00-06:00,32.54595263799032 A
2017-06-13T00:00:00-06:00,31.37417834997177 A
2017-06-14T00:00:00-06:00,33.097128331661224 A
2017-06-15T00:00:00-06:00,32.90281891822815 A
2017-06-16T00:00:00-06:00,31.859415690104168 A
2017-06-17T00:00:00-06:00,31.568666875362396 A
2017-06-18T00:00:00-06:00,29.843112011750538 A
2017-06-19T00:00:00-06:00,35.612775365511574 A
2017-06-20T00:00:00-06:00,36.713222324848175 A
2017-06-21T00:00:00-06:00,34.98054506381353 A
2017-06-22T00:00:00-06:00,35.035889069239296 A
2017-06-23T00:00:00-06:00,32.04351417223612 A
2017-06-24T00:00:00-06:00,28.61961023012797 A
2017-06-25T00:00:00-06:00,24.722354531288147 A
2017-06-26T00:00:00-06:00,31.020405014355976 A
2017-06-27T00:00:00-06:00,33.458613435427345 A
2017-06-28T00:00:00-06:00,34.24900508679842 A
2017-06-29T00:00:00-06:00,29.63096437851588 A
2017-06-30T00:00:00-06:00,29.247681597868603 A
2017-07-01T00:00:00-06:00,27.73331795136134 A
2017-07-02T00:00:00-06:00,27.07269088427226 A
2017-07-03T00:00:00-06:00,26.996034522851307 A
2017-07-04T00:00:00-06:00,25.993714431921642 A
2017-07-05T00:00:00-06:00,30.808563669522602 A
2017-07-06T00:00:00-06:00,32.09661239385605 A
2017-07-07T00:00:00-06:00,31.46514807144801 A
2017-07-08T00:00:00-06:00,32.01152857144674 A
2017-07-09T00:00:00-06:00,29.659067551294964 A
2017-07-10T00:00:00-06:00,33.30288682381312 A
2017-07-11T00:00:00-06:00,33.855298817157745 A
2017-07-12T00:00:00-06:00,34.469909290472664 A
2017-07-13T00:00:00-06:00,35.33690798282623 A
2017-07-14T00:00:00-06:00,33.974133570988975 A
2017-07-15T00:00:00-06:00,30.325965523719788 A
2017-07-16T00:00:00-06:00,26.492964645226795 A
2017-07-17T00:00:00-06:00,32.58116306861242 A
2017-07-18T00:00:00-06:00,34.024097899595894 A
2017-07-19T00:00:00-06:00,35.24426509936651 A
2017-07-20T00:00:00-06:00,37.62288667758306 A
2017-07-21T00:00:00-06:00,36.10933134953181 A
2017-07-22T00:00:00-06:00,31.701438188552856 A
