Timestamp,['1f7d6cf3-51885b9e 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Real Power']
2017-04-26T00:00:00-06:00,41.08799743652344 kW
2017-04-27T00:00:00-06:00,35.67999267578125 kW
2017-04-28T00:00:00-06:00,33.08799743652344 kW
2017-04-29T00:00:00-06:00,26.46399688720703 kW
2017-04-30T00:00:00-06:00,26.975997924804688 kW
2017-05-01T00:00:00-06:00,32.89599609375 kW
2017-05-02T00:00:00-06:00,35.23199462890625 kW
2017-05-03T00:00:00-06:00,36.79999542236328 kW
2017-05-04T00:00:00-06:00,28.12799835205078 kW
2017-05-05T00:00:00-06:00,25.503997802734375 kW
2017-05-06T00:00:00-06:00,23.775997161865234 kW
2017-05-07T00:00:00-06:00,23.007999420166016 kW
2017-05-08T00:00:00-06:00,28.35199737548828 kW
2017-05-09T00:00:00-06:00,27.295997619628906 kW
2017-05-10T00:00:00-06:00,27.295997619628906 kW
2017-05-11T00:00:00-06:00,25.151996612548828 kW
2017-05-12T00:00:00-06:00,27.359996795654297 kW
2017-05-13T00:00:00-06:00,22.527999877929688 kW
2017-05-14T00:00:00-06:00,23.967998504638672 kW
2017-05-15T00:00:00-06:00,26.847999572753906 kW
2017-05-16T00:00:00-06:00,28.415996551513672 kW
2017-05-17T00:00:00-06:00,34.87999725341797 kW
2017-05-18T00:00:00-06:00,34.495994567871094 kW
2017-05-19T00:00:00-06:00,30.71999740600586 kW
2017-05-20T00:00:00-06:00,24.99199676513672 kW
2017-05-21T00:00:00-06:00,23.295997619628906 kW
2017-05-22T00:00:00-06:00,29.407997131347656 kW
2017-05-23T00:00:00-06:00,26.65599822998047 kW
2017-05-24T00:00:00-06:00,25.79199981689453 kW
2017-05-25T00:00:00-06:00,25.343997955322266 kW
2017-05-26T00:00:00-06:00,25.023998260498047 kW
2017-05-27T00:00:00-06:00,23.615997314453125 kW
2017-05-28T00:00:00-06:00,22.815998077392578 kW
2017-05-29T00:00:00-06:00,21.471996307373047 kW
2017-05-30T00:00:00-06:00,27.071998596191406 kW
2017-05-31T00:00:00-06:00,27.199996948242188 kW
2017-06-01T00:00:00-06:00,27.551998138427734 kW
2017-06-02T00:00:00-06:00,26.55999755859375 kW
2017-06-03T00:00:00-06:00,21.247997283935547 kW
2017-06-04T00:00:00-06:00,21.215999603271484 kW
2017-06-05T00:00:00-06:00,26.39999771118164 kW
2017-06-06T00:00:00-06:00,25.375999450683594 kW
2017-06-07T00:00:00-06:00,26.49599838256836 kW
2017-06-08T00:00:00-06:00,28.28799819946289 kW
2017-06-09T00:00:00-06:00,28.031997680664062 kW
