Timestamp,['1fae082f-7c15e0b8 0062-WARNOCK ENGR BLDG Power Meter 316607 Real Energy In']
2017-05-15T00:00:00-06:00,9296 kWh
2017-05-16T00:00:00-06:00,9044 kWh
2017-05-17T00:00:00-06:00,7872 kWh
2017-05-18T00:00:00-06:00,7932 kWh
2017-05-19T00:00:00-06:00,7960 kWh
2017-05-20T00:00:00-06:00,7772 kWh
2017-05-21T00:00:00-06:00,7912 kWh
2017-05-22T00:00:00-06:00,8144 kWh
2017-05-23T00:00:00-06:00,8218 kWh
2017-05-24T00:00:00-06:00,8978 kWh
2017-05-25T00:00:00-06:00,8860 kWh
2017-05-26T00:00:00-06:00,8776 kWh
2017-05-27T00:00:00-06:00,8382 kWh
2017-05-28T00:00:00-06:00,8732 kWh
2017-05-29T00:00:00-06:00,8928 kWh
2017-05-30T00:00:00-06:00,9300 kWh
2017-05-31T00:00:00-06:00,9168 kWh
2017-06-01T00:00:00-06:00,9380 kWh
2017-06-02T00:00:00-06:00,9340 kWh
2017-06-03T00:00:00-06:00,9338 kWh
2017-06-04T00:00:00-06:00,9330 kWh
2017-06-05T00:00:00-06:00,9574 kWh
2017-06-06T00:00:00-06:00,9782 kWh
2017-06-07T00:00:00-06:00,9852 kWh
2017-06-08T00:00:00-06:00,10050 kWh
2017-06-09T00:00:00-06:00,9980 kWh
2017-06-10T00:00:00-06:00,9526 kWh
2017-06-11T00:00:00-06:00,9574 kWh
2017-06-12T00:00:00-06:00,9346 kWh
2017-06-13T00:00:00-06:00,9426 kWh
2017-06-14T00:00:00-06:00,9730 kWh
2017-06-15T00:00:00-06:00,9734 kWh
2017-06-16T00:00:00-06:00,9442 kWh
2017-06-17T00:00:00-06:00,8862 kWh
2017-06-18T00:00:00-06:00,8758 kWh
2017-06-19T00:00:00-06:00,9484 kWh
2017-06-20T00:00:00-06:00,9912 kWh
2017-06-21T00:00:00-06:00,10240 kWh
2017-06-22T00:00:00-06:00,9800 kWh
2017-06-23T00:00:00-06:00,9236 kWh
2017-06-24T00:00:00-06:00,9146 kWh
2017-06-25T00:00:00-06:00,9232 kWh
2017-06-26T00:00:00-06:00,9466 kWh
2017-06-27T00:00:00-06:00,9832 kWh
2017-06-28T00:00:00-06:00,9524 kWh
2017-06-29T00:00:00-06:00,9416 kWh
