Timestamp,"['1ef46843-e1743542 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Watts, 3-Ph total']"
2017-02-08T00:00:00-07:00,56.60591125488281 kW
2017-02-09T00:00:00-07:00,47.789180755615234 kW
2017-02-10T00:00:00-07:00,51.13230514526367 kW
2017-02-11T00:00:00-07:00,27.347000122070312 kW
2017-02-12T00:00:00-07:00,25.82207489013672 kW
2017-02-13T00:00:00-07:00,61.77860641479492 kW
2017-02-14T00:00:00-07:00,58.49694061279297 kW
2017-02-15T00:00:00-07:00,56.526939392089844 kW
2017-02-16T00:00:00-07:00,54.72829055786133 kW
2017-02-17T00:00:00-07:00,47.679222106933594 kW
2017-02-18T00:00:00-07:00,30.814401626586914 kW
2017-02-19T00:00:00-07:00,28.97547149658203 kW
2017-02-20T00:00:00-07:00,30.830846786499023 kW
2017-02-21T00:00:00-07:00,56.82062530517578 kW
2017-02-22T00:00:00-07:00,66.50845336914062 kW
2017-02-23T00:00:00-07:00,51.51009750366211 kW
2017-02-24T00:00:00-07:00,45.23398208618164 kW
2017-02-25T00:00:00-07:00,29.48133087158203 kW
2017-02-26T00:00:00-07:00,29.733835220336914 kW
2017-02-27T00:00:00-07:00,60.36698913574219 kW
2017-02-28T00:00:00-07:00,57.709999084472656 kW
2017-03-01T00:00:00-07:00,56.78313446044922 kW
2017-03-02T00:00:00-07:00,52.47063446044922 kW
2017-03-03T00:00:00-07:00,52.819366455078125 kW
2017-03-04T00:00:00-07:00,37.77571487426758 kW
2017-03-05T00:00:00-07:00,29.398908615112305 kW
2017-03-06T00:00:00-07:00,56.02461624145508 kW
2017-03-07T00:00:00-07:00,62.65654373168945 kW
2017-03-08T00:00:00-07:00,54.166893005371094 kW
2017-03-09T00:00:00-07:00,46.86262893676758 kW
2017-03-10T00:00:00-07:00,47.4769172668457 kW
2017-03-11T00:00:00-07:00,31.862018585205078 kW
2017-03-12T00:00:00-07:00,27.40131950378418 kW
2017-03-13T00:00:00-06:00,41.84855651855469 kW
2017-03-14T00:00:00-06:00,50.845481872558594 kW
2017-03-15T00:00:00-06:00,53.855735778808594 kW
2017-03-16T00:00:00-06:00,45.02918243408203 kW
2017-03-17T00:00:00-06:00,40.012420654296875 kW
2017-03-18T00:00:00-06:00,28.59119987487793 kW
2017-03-19T00:00:00-06:00,28.465927124023438 kW
2017-03-20T00:00:00-06:00,47.469947814941406 kW
2017-03-21T00:00:00-06:00,48.42251968383789 kW
2017-03-22T00:00:00-06:00,58.90446090698242 kW
2017-03-23T00:00:00-06:00,53.11730194091797 kW
2017-03-24T00:00:00-06:00,61.58631896972656 kW
2017-03-25T00:00:00-06:00,41.75567626953125 kW
2017-03-26T00:00:00-06:00,33.79655838012695 kW
2017-03-27T00:00:00-06:00,63.17675018310547 kW
2017-03-28T00:00:00-06:00,56.16499328613281 kW
2017-03-29T00:00:00-06:00,55.19377136230469 kW
2017-03-30T00:00:00-06:00,52.2989387512207 kW
2017-03-31T00:00:00-06:00,56.88233184814453 kW
2017-04-01T00:00:00-06:00,29.331336975097656 kW
2017-04-02T00:00:00-06:00,30.32470703125 kW
2017-04-03T00:00:00-06:00,57.37860107421875 kW
2017-04-04T00:00:00-06:00,50.466732025146484 kW
2017-04-05T00:00:00-06:00,51.512386322021484 kW
2017-04-06T00:00:00-06:00,41.81096267700195 kW
2017-04-07T00:00:00-06:00,53.208168029785156 kW
2017-04-08T00:00:00-06:00,28.500185012817383 kW
2017-04-09T00:00:00-06:00,28.24110221862793 kW
2017-04-10T00:00:00-06:00,64.40948486328125 kW
2017-04-11T00:00:00-06:00,58.241363525390625 kW
2017-04-12T00:00:00-06:00,53.61037063598633 kW
2017-04-13T00:00:00-06:00,47.79716491699219 kW
2017-04-14T00:00:00-06:00,40.134029388427734 kW
2017-04-15T00:00:00-06:00,52.3000602722168 kW
2017-04-16T00:00:00-06:00,33.21281433105469 kW
2017-04-17T00:00:00-06:00,57.19671630859375 kW
2017-04-18T00:00:00-06:00,47.447776794433594 kW
2017-04-19T00:00:00-06:00,52.80067825317383 kW
2017-04-20T00:00:00-06:00,44.869991302490234 kW
2017-04-21T00:00:00-06:00,50.15774154663086 kW
2017-04-22T00:00:00-06:00,30.32619857788086 kW
2017-04-23T00:00:00-06:00,27.09142303466797 kW
2017-04-24T00:00:00-06:00,53.45138931274414 kW
2017-04-25T00:00:00-06:00,53.27633285522461 kW
2017-04-26T00:00:00-06:00,55.86191177368164 kW
2017-04-27T00:00:00-06:00,44.68756103515625 kW
2017-04-28T00:00:00-06:00,48.989524841308594 kW
2017-04-29T00:00:00-06:00,40.146278381347656 kW
2017-04-30T00:00:00-06:00,36.43705749511719 kW
2017-05-01T00:00:00-06:00,58.86301803588867 kW
2017-05-02T00:00:00-06:00,52.40863037109375 kW
2017-05-03T00:00:00-06:00,56.99676513671875 kW
2017-05-04T00:00:00-06:00,56.7148551940918 kW
2017-05-05T00:00:00-06:00,52.37194061279297 kW
2017-05-06T00:00:00-06:00,36.462337493896484 kW
2017-05-07T00:00:00-06:00,34.5186653137207 kW
2017-05-08T00:00:00-06:00,57.799320220947266 kW
2017-05-09T00:00:00-06:00,46.76818084716797 kW
2017-05-10T00:00:00-06:00,46.55194854736328 kW
2017-05-11T00:00:00-06:00,47.86265182495117 kW
2017-05-12T00:00:00-06:00,43.28181457519531 kW
2017-05-13T00:00:00-06:00,35.69071960449219 kW
2017-05-14T00:00:00-06:00,36.41155242919922 kW
2017-05-15T00:00:00-06:00,52.38267517089844 kW
2017-05-16T00:00:00-06:00,46.47838592529297 kW
2017-05-17T00:00:00-06:00,61.18296813964844 kW
2017-05-18T00:00:00-06:00,47.593345642089844 kW
2017-05-19T00:00:00-06:00,63.34352111816406 kW
2017-05-20T00:00:00-06:00,36.32748031616211 kW
2017-05-21T00:00:00-06:00,36.31084442138672 kW
2017-05-22T00:00:00-06:00,58.45481872558594 kW
2017-05-23T00:00:00-06:00,50.397247314453125 kW
2017-05-24T00:00:00-06:00,56.17298126220703 kW
2017-05-25T00:00:00-06:00,48.58636474609375 kW
2017-05-26T00:00:00-06:00,47.52769088745117 kW
2017-05-27T00:00:00-06:00,35.79216766357422 kW
2017-05-28T00:00:00-06:00,31.347461700439453 kW
2017-05-29T00:00:00-06:00,33.75662612915039 kW
2017-05-30T00:00:00-06:00,51.804683685302734 kW
2017-05-31T00:00:00-06:00,44.862056732177734 kW
2017-06-01T00:00:00-06:00,48.49285125732422 kW
2017-06-02T00:00:00-06:00,50.884605407714844 kW
