Timestamp,['1da9831b-d88d300e 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Current B']
2017-03-11T00:00:00-07:00,89.39243801434834 A
2017-03-12T00:00:00-07:00,88.01383632162343 A
2017-03-13T00:00:00-06:00,93.9588388601939 A
2017-03-14T00:00:00-06:00,90.35903390248616 A
2017-03-15T00:00:00-06:00,89.41582047311883 A
2017-03-16T00:00:00-06:00,91.86502234141032 A
2017-03-17T00:00:00-06:00,91.60488065083821 A
2017-03-18T00:00:00-06:00,91.75602793693542 A
2017-03-19T00:00:00-06:00,89.04281894365947 A
2017-03-20T00:00:00-06:00,89.47898308436076 A
2017-03-21T00:00:00-06:00,90.14617156982422 A
2017-03-22T00:00:00-06:00,90.1982476485403 A
2017-03-23T00:00:00-06:00,89.26072963078816 A
2017-03-24T00:00:00-06:00,90.59930690129598 A
2017-03-25T00:00:00-06:00,160.31786971396588 A
2017-03-26T00:00:00-06:00,86.98173419634502 A
2017-03-27T00:00:00-06:00,91.0217851003011 A
2017-03-28T00:00:00-06:00,97.88259490331014 A
2017-03-29T00:00:00-06:00,97.62885316212972 A
2017-03-30T00:00:00-06:00,102.80741674249822 A
2017-03-31T00:00:00-06:00,155.34941228230795 A
2017-04-01T00:00:00-06:00,99.83868153889973 A
2017-04-02T00:00:00-06:00,96.64015655517578 A
2017-04-03T00:00:00-06:00,97.23219712575276 A
2017-04-04T00:00:00-06:00,96.69664963086446 A
2017-04-05T00:00:00-06:00,96.11888982894573 A
2017-04-06T00:00:00-06:00,99.62655472755432 A
2017-04-07T00:00:00-06:00,100.14605530103047 A
2017-04-08T00:00:00-06:00,101.91858792304993 A
2017-04-09T00:00:00-06:00,95.28752533594768 A
2017-04-10T00:00:00-06:00,95.53855450948079 A
2017-04-11T00:00:00-06:00,144.78863787651062 A
2017-04-12T00:00:00-06:00,103.42232584953308 A
2017-04-13T00:00:00-06:00,102.71523952484131 A
2017-04-14T00:00:00-06:00,125.38122248649597 A
2017-04-15T00:00:00-06:00,265.624708255132 A
2017-04-16T00:00:00-06:00,101.77894179026286 A
2017-04-17T00:00:00-06:00,118.98406895001729 A
2017-04-18T00:00:00-06:00,133.75435556391233 A
2017-04-19T00:00:00-06:00,104.28075766563416 A
2017-04-20T00:00:00-06:00,111.46314430236816 A
2017-04-21T00:00:00-06:00,265.98325538635254 A
2017-04-22T00:00:00-06:00,382.94192441304523 A
2017-04-23T00:00:00-06:00,287.3450068632762 A
2017-04-24T00:00:00-06:00,128.94196844100952 A
2017-04-25T00:00:00-06:00,127.71934429804485 A
2017-04-26T00:00:00-06:00,104.35427101453145 A
2017-04-27T00:00:00-06:00,101.52495687384355 A
2017-04-28T00:00:00-06:00,98.03842002467105 A
2017-04-29T00:00:00-06:00,101.36747765541077 A
2017-04-30T00:00:00-06:00,101.27447772026062 A
2017-05-01T00:00:00-06:00,103.40978582700093 A
2017-05-02T00:00:00-06:00,105.67139895757039 A
2017-05-03T00:00:00-06:00,105.8474109172821 A
2017-05-04T00:00:00-06:00,108.59713704962479 A
2017-05-05T00:00:00-06:00,113.89327470461528 A
2017-05-06T00:00:00-06:00,118.21760201454163 A
2017-05-07T00:00:00-06:00,113.78374242782593 A
2017-05-08T00:00:00-06:00,110.05627855341486 A
2017-05-09T00:00:00-06:00,110.88140949450042 A
2017-05-10T00:00:00-06:00,110.02429008483887 A
2017-05-11T00:00:00-06:00,112.88669959704082 A
2017-05-12T00:00:00-06:00,114.45101714134216 A
2017-05-13T00:00:00-06:00,108.74320777257283 A
2017-05-14T00:00:00-06:00,103.8759085337321 A
2017-05-15T00:00:00-06:00,106.93845661481221 A
2017-05-16T00:00:00-06:00,105.04492099159643 A
2017-05-17T00:00:00-06:00,101.10463603337605 A
2017-05-18T00:00:00-06:00,98.99352947870891 A
2017-05-19T00:00:00-06:00,101.31776285171509 A
2017-05-20T00:00:00-06:00,106.81138547261556 A
2017-05-21T00:00:00-06:00,104.22935565312703 A
2017-05-22T00:00:00-06:00,107.36476652083859 A
2017-05-23T00:00:00-06:00,110.69963105519612 A
2017-05-24T00:00:00-06:00,113.01100317637126 A
2017-05-25T00:00:00-06:00,108.27327513694763 A
2017-05-26T00:00:00-06:00,106.29789280891418 A
2017-05-27T00:00:00-06:00,107.72254610061646 A
2017-05-28T00:00:00-06:00,108.62776478131612 A
2017-05-29T00:00:00-06:00,111.53373742103577 A
2017-05-30T00:00:00-06:00,115.95544823010762 A
2017-05-31T00:00:00-06:00,116.6134062608083 A
2017-06-01T00:00:00-06:00,113.12157940864563 A
2017-06-02T00:00:00-06:00,111.21256055329975 A
2017-06-03T00:00:00-06:00,114.8285817305247 A
2017-06-04T00:00:00-06:00,116.22044213612874 A
2017-06-05T00:00:00-06:00,115.3537901242574 A
2017-06-06T00:00:00-06:00,116.07572984695435 A
2017-06-07T00:00:00-06:00,118.61425987879436 A
2017-06-08T00:00:00-06:00,118.71505602200826 A
2017-06-09T00:00:00-06:00,115.09010497728984 A
2017-06-10T00:00:00-06:00,112.65057317415874 A
2017-06-11T00:00:00-06:00,113.62492895126343 A
2017-06-12T00:00:00-06:00,119.20640635490417 A
2017-06-13T00:00:00-06:00,158.30986428260803 A
2017-06-14T00:00:00-06:00,187.5668126742045 A
2017-06-15T00:00:00-06:00,174.21202309926352 A
2017-06-16T00:00:00-06:00,192.47005478541055 A
2017-06-17T00:00:00-06:00,197.78409719467163 A
2017-06-18T00:00:00-06:00,247.16256284713745 A
2017-06-19T00:00:00-06:00,160.37119436264038 A
2017-06-20T00:00:00-06:00,168.08825500806174 A
2017-06-21T00:00:00-06:00,179.52843952178955 A
2017-06-22T00:00:00-06:00,195.74894253412882 A
2017-06-23T00:00:00-06:00,216.35606980323792 A
2017-06-24T00:00:00-06:00,307.6786212126414 A
2017-06-25T00:00:00-06:00,221.3142841657003 A
2017-06-26T00:00:00-06:00,124.93423541386922 A
2017-06-27T00:00:00-06:00,125.54139757156372 A
2017-06-28T00:00:00-06:00,122.30922794342041 A
