Timestamp,['1cda76ef-3bfeeee7 0014-TALMAGE BLDG Power Meter Current C']
2017-04-30T00:00:00-06:00,83.59632094701131 A
2017-05-01T00:00:00-06:00,92.28645968437195 A
2017-05-02T00:00:00-06:00,91.82743212911818 A
2017-05-03T00:00:00-06:00,91.21770999166701 A
2017-05-04T00:00:00-06:00,87.38194601270888 A
2017-05-05T00:00:00-06:00,95.85722376505534 A
2017-05-06T00:00:00-06:00,97.41867316719535 A
2017-05-07T00:00:00-06:00,94.25798755221896 A
2017-05-08T00:00:00-06:00,96.8615510591319 A
2017-05-09T00:00:00-06:00,98.30708489947848 A
2017-05-10T00:00:00-06:00,96.90972385936313 A
2017-05-11T00:00:00-06:00,99.38264042006598 A
2017-05-12T00:00:00-06:00,110.71944589614868 A
2017-05-13T00:00:00-06:00,71.16548748546177 A
2017-05-14T00:00:00-06:00,86.1729178958469 A
2017-05-15T00:00:00-06:00,100.65555681122675 A
2017-05-16T00:00:00-06:00,94.95534904797871 A
2017-05-17T00:00:00-06:00,75.97020989523993 A
2017-05-18T00:00:00-06:00,73.55562659899394 A
2017-05-19T00:00:00-06:00,74.50250151422289 A
2017-05-20T00:00:00-06:00,82.54430695639716 A
2017-05-21T00:00:00-06:00,87.08389039039612 A
2017-05-22T00:00:00-06:00,93.44361266560024 A
2017-05-23T00:00:00-06:00,102.21382110383776 A
2017-05-24T00:00:00-06:00,104.16909873750475 A
2017-05-25T00:00:00-06:00,100.3036128838857 A
2017-05-26T00:00:00-06:00,96.9516685989168 A
2017-05-27T00:00:00-06:00,90.82090423901876 A
2017-05-28T00:00:00-06:00,104.55277914471097 A
2017-05-29T00:00:00-06:00,103.0473628785875 A
2017-05-30T00:00:00-06:00,114.69458493656582 A
2017-05-31T00:00:00-06:00,114.86979349454244 A
2017-06-01T00:00:00-06:00,113.52361300256517 A
2017-06-02T00:00:00-06:00,112.06007096502516 A
2017-06-03T00:00:00-06:00,105.12861264016894 A
2017-06-04T00:00:00-06:00,106.88208456039429 A
2017-06-05T00:00:00-06:00,117.3337517844306 A
2017-06-06T00:00:00-06:00,116.64125156402588 A
2017-06-07T00:00:00-06:00,119.1140993171268 A
2017-06-08T00:00:00-06:00,121.9856969303555 A
2017-06-09T00:00:00-06:00,119.01180769072639 A
2017-06-10T00:00:00-06:00,107.75119026024025 A
2017-06-11T00:00:00-06:00,110.89229292869568 A
2017-06-12T00:00:00-06:00,110.49048809475369 A
2017-06-13T00:00:00-06:00,94.58701540629069 A
2017-06-14T00:00:00-06:00,113.37500196033054 A
2017-06-15T00:00:00-06:00,109.69305727216933 A
2017-06-16T00:00:00-06:00,109.58264038297865 A
2017-06-17T00:00:00-06:00,111.01319604449802 A
2017-06-18T00:00:00-06:00,105.19166824552748 A
2017-06-19T00:00:00-06:00,115.55368225839403 A
2017-06-20T00:00:00-06:00,117.55826532575819 A
2017-06-21T00:00:00-06:00,123.59090489281549 A
2017-06-22T00:00:00-06:00,120.91611335542467 A
2017-06-23T00:00:00-06:00,119.43868215878804 A
2017-06-24T00:00:00-06:00,112.56965466605293 A
2017-06-25T00:00:00-06:00,113.7045850329929 A
2017-06-26T00:00:00-06:00,121.49861311382718 A
2017-06-27T00:00:00-06:00,123.95736352072822 A
2017-06-28T00:00:00-06:00,123.65486318800184 A
2017-06-29T00:00:00-06:00,122.14166882832845 A
2017-06-30T00:00:00-06:00,117.01771002345615 A
2017-07-01T00:00:00-06:00,111.31597385406494 A
2017-07-02T00:00:00-06:00,110.17611277898153 A
2017-07-03T00:00:00-06:00,114.77187651528253 A
2017-07-04T00:00:00-06:00,114.50854329533047 A
2017-07-05T00:00:00-06:00,125.21382143232557 A
2017-07-06T00:00:00-06:00,121.07632150650025 A
2017-07-07T00:00:00-06:00,119.6087518480089 A
2017-07-08T00:00:00-06:00,113.5488898701138 A
2017-07-09T00:00:00-06:00,113.7601406733195 A
2017-07-10T00:00:00-06:00,123.11347448560926 A
2017-07-11T00:00:00-06:00,125.27986278533936 A
2017-07-12T00:00:00-06:00,124.5809046957228 A
2017-07-13T00:00:00-06:00,121.5090299182468 A
2017-07-14T00:00:00-06:00,118.07326555252075 A
2017-07-15T00:00:00-06:00,113.27083500226338 A
2017-07-16T00:00:00-06:00,113.37882092263963 A
2017-07-17T00:00:00-06:00,121.10520996517606 A
2017-07-18T00:00:00-06:00,124.97875182893542 A
2017-07-19T00:00:00-06:00,124.31486317316691 A
2017-07-20T00:00:00-06:00,125.80444705751208 A
2017-07-21T00:00:00-06:00,122.09555746714274 A
2017-07-22T00:00:00-06:00,109.55972390704684 A
2017-07-23T00:00:00-06:00,108.16882035997179 A
2017-07-24T00:00:00-06:00,110.66423756281534 A
2017-07-25T00:00:00-06:00,127.71500194867453 A
2017-07-26T00:00:00-06:00,125.05423799090916 A
2017-07-27T00:00:00-06:00,120.13979351785449 A
2017-07-28T00:00:00-06:00,119.06118242475722 A
2017-07-29T00:00:00-06:00,111.4130571577284 A
2017-07-30T00:00:00-06:00,112.96652927398682 A
2017-07-31T00:00:00-06:00,118.59805736541747 A
2017-08-01T00:00:00-06:00,116.89875161912707 A
2017-08-02T00:00:00-06:00,119.77222383287219 A
2017-08-03T00:00:00-06:00,116.07708515061273 A
2017-08-04T00:00:00-06:00,117.0183736731349 A
2017-08-05T00:00:00-06:00,111.79097393883599 A
2017-08-06T00:00:00-06:00,112.10909875233968 A
2017-08-07T00:00:00-06:00,118.33236286375258 A
2017-08-08T00:00:00-06:00,116.97569586435954 A
