Timestamp,['1fe6f7d5-b6032f45 Power Meter 085220 (300186) Current B']
2017-03-27T00:00:00-06:00,92.59250020980835 A
2017-03-28T00:00:00-06:00,94.12597408542385 A
2017-03-29T00:00:00-06:00,96.08421017830833 A
2017-03-30T00:00:00-06:00,99.75 A
2017-03-31T00:00:00-06:00,97.45125017166137 A
2017-04-01T00:00:00-06:00,83.17435875917093 A
2017-04-02T00:00:00-06:00,83.79459494513435 A
2017-04-03T00:00:00-06:00,91.7487179682805 A
2017-04-04T00:00:00-06:00,96.07777818044026 A
2017-04-05T00:00:00-06:00,98.21794910919972 A
2017-04-06T00:00:00-06:00,94.17195101482112 A
2017-04-07T00:00:00-06:00,92.99195405806618 A
2017-04-08T00:00:00-06:00,84.53802812603158 A
2017-04-09T00:00:00-06:00,84.81095896681694 A
2017-04-10T00:00:00-06:00,94.01948051948052 A
2017-04-11T00:00:00-06:00,93.41136386177756 A
2017-04-12T00:00:00-06:00,93.83763409686345 A
2017-04-13T00:00:00-06:00,91.81797764810284 A
2017-04-14T00:00:00-06:00,94.89545458013362 A
2017-04-15T00:00:00-06:00,83.59259240421248 A
2017-04-16T00:00:00-06:00,82.28624992370605 A
2017-04-17T00:00:00-06:00,94.97948690561148 A
2017-04-18T00:00:00-06:00,91.6873421970802 A
2017-04-19T00:00:00-06:00,89.11617593204274 A
2017-04-20T00:00:00-06:00,90.67875032424926 A
2017-04-21T00:00:00-06:00,93.34470609777114 A
2017-04-22T00:00:00-06:00,84.15949423101884 A
2017-04-23T00:00:00-06:00,83.10454550656405 A
2017-04-24T00:00:00-06:00,92.62368443137721 A
2017-04-25T00:00:00-06:00,94.52023851303827 A
2017-04-26T00:00:00-06:00,95.37894730818898 A
2017-04-27T00:00:00-06:00,93.6511107550727 A
2017-04-28T00:00:00-06:00,94.50126609319373 A
2017-04-29T00:00:00-06:00,85.34468062380527 A
2017-04-30T00:00:00-06:00,84.148837156074 A
2017-05-01T00:00:00-06:00,95.77865180540621 A
2017-05-02T00:00:00-06:00,92.89102583665114 A
2017-05-03T00:00:00-06:00,94.27051270313753 A
2017-05-04T00:00:00-06:00,95.75394770973607 A
2017-05-05T00:00:00-06:00,98.09512208147747 A
2017-05-06T00:00:00-06:00,86.74838716240339 A
2017-05-07T00:00:00-06:00,84.75348849629246 A
2017-05-08T00:00:00-06:00,94.32839504289038 A
2017-05-09T00:00:00-06:00,92.95647080365349 A
2017-05-10T00:00:00-06:00,104.85375032424926 A
2017-05-11T00:00:00-06:00,115.81785710652669 A
2017-05-12T00:00:00-06:00,106.41250012137674 A
2017-05-13T00:00:00-06:00,86.0374996878884 A
2017-05-14T00:00:00-06:00,85.9488375464151 A
2017-05-15T00:00:00-06:00,92.71954056312298 A
2017-05-16T00:00:00-06:00,94.36941133386948 A
2017-05-17T00:00:00-06:00,95.4488092150007 A
2017-05-18T00:00:00-06:00,93.61904725574311 A
