Timestamp,['1cbae874-b0a7a76b 0038-ART BLDG Power Meter 300086 KW']
2017-04-23T00:00:00-06:00,49.035308837890625 kW
2017-04-24T00:00:00-06:00,73.16810607910156 kW
2017-04-25T00:00:00-06:00,97.12456512451172 kW
2017-04-26T00:00:00-06:00,69.30062866210938 kW
2017-04-27T00:00:00-06:00,75.66156768798828 kW
2017-04-28T00:00:00-06:00,53.272727966308594 kW
2017-04-29T00:00:00-06:00,80.38180541992188 kW
2017-04-30T00:00:00-06:00,70.59297943115234 kW
2017-05-01T00:00:00-06:00,44.25135040283203 kW
2017-05-02T00:00:00-06:00,61.52922439575195 kW
2017-05-03T00:00:00-06:00,73.40443420410156 kW
2017-05-04T00:00:00-06:00,73.5745620727539 kW
2017-05-05T00:00:00-06:00,62.83182907104492 kW
2017-05-06T00:00:00-06:00,33.38180923461914 kW
2017-05-07T00:00:00-06:00,61.482337951660156 kW
2017-05-08T00:00:00-06:00,63.85676193237305 kW
2017-05-09T00:00:00-06:00,36.778995513916016 kW
2017-05-10T00:00:00-06:00,41.02861785888672 kW
2017-05-11T00:00:00-06:00,32.471221923828125 kW
2017-05-12T00:00:00-06:00,45.250431060791016 kW
2017-05-13T00:00:00-06:00,51.3411865234375 kW
2017-05-14T00:00:00-06:00,44.39765548706055 kW
2017-05-15T00:00:00-06:00,48.27144241333008 kW
2017-05-16T00:00:00-06:00,51.2795295715332 kW
2017-05-17T00:00:00-06:00,33.8496208190918 kW
2017-05-18T00:00:00-06:00,32.62458801269531 kW
2017-05-19T00:00:00-06:00,32.38085174560547 kW
2017-05-20T00:00:00-06:00,27.422744750976562 kW
2017-05-21T00:00:00-06:00,27.470230102539062 kW
2017-05-22T00:00:00-06:00,33.93901062011719 kW
2017-05-23T00:00:00-06:00,33.2789192199707 kW
2017-05-24T00:00:00-06:00,43.82813262939453 kW
2017-05-25T00:00:00-06:00,34.87969970703125 kW
2017-05-26T00:00:00-06:00,28.711692810058594 kW
2017-05-27T00:00:00-06:00,30.796436309814453 kW
2017-05-28T00:00:00-06:00,31.783733367919922 kW
2017-05-29T00:00:00-06:00,38.29447937011719 kW
2017-05-30T00:00:00-06:00,41.97309112548828 kW
2017-05-31T00:00:00-06:00,30.278324127197266 kW
2017-06-01T00:00:00-06:00,29.337852478027344 kW
2017-06-02T00:00:00-06:00,26.483840942382812 kW
2017-06-03T00:00:00-06:00,22.57007598876953 kW
2017-06-04T00:00:00-06:00,26.76702880859375 kW
2017-06-05T00:00:00-06:00,32.95684814453125 kW
2017-06-06T00:00:00-06:00,43.39508056640625 kW
2017-06-07T00:00:00-06:00,56.88890075683594 kW
2017-06-08T00:00:00-06:00,41.16983413696289 kW
2017-06-09T00:00:00-06:00,45.34563446044922 kW
2017-06-10T00:00:00-06:00,45.006324768066406 kW
2017-06-11T00:00:00-06:00,21.48215675354004 kW
2017-06-12T00:00:00-06:00,44.295413970947266 kW
2017-06-13T00:00:00-06:00,37.27254867553711 kW
2017-06-14T00:00:00-06:00,32.528011322021484 kW
2017-06-15T00:00:00-06:00,33.308502197265625 kW
2017-06-16T00:00:00-06:00,34.90288162231445 kW
2017-06-17T00:00:00-06:00,34.265438079833984 kW
2017-06-18T00:00:00-06:00,36.29296875 kW
2017-06-19T00:00:00-06:00,47.25633239746094 kW
2017-06-20T00:00:00-06:00,40.42641067504883 kW
2017-06-21T00:00:00-06:00,34.82623291015625 kW
2017-06-22T00:00:00-06:00,53.73960494995117 kW
2017-06-23T00:00:00-06:00,71.56183624267578 kW
2017-06-24T00:00:00-06:00,40.73339080810547 kW
2017-06-25T00:00:00-06:00,29.68016242980957 kW
2017-06-26T00:00:00-06:00,31.9410343170166 kW
2017-06-27T00:00:00-06:00,37.714630126953125 kW
2017-06-28T00:00:00-06:00,58.24725341796875 kW
2017-06-29T00:00:00-06:00,57.09427261352539 kW
2017-06-30T00:00:00-06:00,32.274173736572266 kW
2017-07-01T00:00:00-06:00,20.993600845336914 kW
2017-07-02T00:00:00-06:00,23.455810546875 kW
2017-07-03T00:00:00-06:00,28.724519729614258 kW
2017-07-04T00:00:00-06:00,28.59018898010254 kW
2017-07-05T00:00:00-06:00,35.5153694152832 kW
2017-07-06T00:00:00-06:00,34.504981994628906 kW
2017-07-07T00:00:00-06:00,50.1273193359375 kW
2017-07-08T00:00:00-06:00,26.969905853271484 kW
2017-07-09T00:00:00-06:00,35.996376037597656 kW
2017-07-10T00:00:00-06:00,36.913150787353516 kW
2017-07-11T00:00:00-06:00,35.27720260620117 kW
2017-07-12T00:00:00-06:00,31.104589462280273 kW
2017-07-13T00:00:00-06:00,71.09408569335938 kW
2017-07-14T00:00:00-06:00,62.114994049072266 kW
2017-07-15T00:00:00-06:00,23.15528678894043 kW
2017-07-16T00:00:00-06:00,23.261606216430664 kW
2017-07-17T00:00:00-06:00,41.236671447753906 kW
2017-07-18T00:00:00-06:00,37.53714370727539 kW
2017-07-19T00:00:00-06:00,35.92300033569336 kW
2017-07-20T00:00:00-06:00,29.879117965698242 kW
2017-07-21T00:00:00-06:00,24.97763442993164 kW
2017-07-22T00:00:00-06:00,23.70217514038086 kW
2017-07-23T00:00:00-06:00,33.1662483215332 kW
2017-07-24T00:00:00-06:00,43.24177169799805 kW
2017-07-25T00:00:00-06:00,28.25562858581543 kW
2017-07-26T00:00:00-06:00,53.139366149902344 kW
2017-07-27T00:00:00-06:00,41.40363311767578 kW
2017-07-28T00:00:00-06:00,54.603145599365234 kW
2017-07-29T00:00:00-06:00,50.57901382446289 kW
2017-07-30T00:00:00-06:00,51.736846923828125 kW
2017-07-31T00:00:00-06:00,32.244728088378906 kW
2017-08-01T00:00:00-06:00,28.190574645996094 kW
2017-08-02T00:00:00-06:00,25.015066146850586 kW
2017-08-03T00:00:00-06:00,25.450626373291016 kW
2017-08-04T00:00:00-06:00,45.060760498046875 kW
2017-08-05T00:00:00-06:00,22.397024154663086 kW
2017-08-06T00:00:00-06:00,32.91950607299805 kW
2017-08-07T00:00:00-06:00,25.603139877319336 kW
2017-08-08T00:00:00-06:00,25.14557647705078 kW
2017-08-09T00:00:00-06:00,27.205625534057617 kW
2017-08-10T00:00:00-06:00,26.529775619506836 kW
2017-08-11T00:00:00-06:00,30.185230255126953 kW
2017-08-12T00:00:00-06:00,25.919509887695312 kW
2017-08-13T00:00:00-06:00,23.680234909057617 kW
2017-08-14T00:00:00-06:00,37.48454666137695 kW
2017-08-15T00:00:00-06:00,35.52022171020508 kW
2017-08-16T00:00:00-06:00,50.873329162597656 kW
2017-08-17T00:00:00-06:00,34.44880294799805 kW
2017-08-18T00:00:00-06:00,27.217477798461914 kW
2017-08-19T00:00:00-06:00,28.24042320251465 kW
2017-08-20T00:00:00-06:00,26.223236083984375 kW
2017-08-21T00:00:00-06:00,33.64860916137695 kW
2017-08-22T00:00:00-06:00,34.003501892089844 kW
2017-08-23T00:00:00-06:00,36.55012130737305 kW
2017-08-24T00:00:00-06:00,37.92119216918945 kW
2017-08-25T00:00:00-06:00,37.990745544433594 kW
2017-08-26T00:00:00-06:00,29.238590240478516 kW
2017-08-27T00:00:00-06:00,25.35382843017578 kW
2017-08-28T00:00:00-06:00,36.692787170410156 kW
2017-08-29T00:00:00-06:00,37.47595977783203 kW
2017-08-30T00:00:00-06:00,36.4426155090332 kW
2017-08-31T00:00:00-06:00,40.31000518798828 kW
2017-09-01T00:00:00-06:00,40.55782699584961 kW
2017-09-02T00:00:00-06:00,28.118797302246094 kW
2017-09-03T00:00:00-06:00,28.22637939453125 kW
2017-09-04T00:00:00-06:00,32.596187591552734 kW
2017-09-05T00:00:00-06:00,37.63798904418945 kW
2017-09-06T00:00:00-06:00,40.978118896484375 kW
2017-09-07T00:00:00-06:00,41.89360427856445 kW
2017-09-08T00:00:00-06:00,40.43593215942383 kW
2017-09-09T00:00:00-06:00,50.68796157836914 kW
2017-09-10T00:00:00-06:00,56.26969528198242 kW
2017-09-11T00:00:00-06:00,42.438560485839844 kW
2017-09-12T00:00:00-06:00,45.170562744140625 kW
2017-09-13T00:00:00-06:00,44.730934143066406 kW
2017-09-14T00:00:00-06:00,51.52301025390625 kW
2017-09-15T00:00:00-06:00,53.867103576660156 kW
2017-09-16T00:00:00-06:00,27.98731803894043 kW
2017-09-17T00:00:00-06:00,29.052831649780273 kW
2017-09-18T00:00:00-06:00,38.681129455566406 kW
2017-09-19T00:00:00-06:00,44.433685302734375 kW
2017-09-20T00:00:00-06:00,41.31910705566406 kW
2017-09-21T00:00:00-06:00,42.22637176513672 kW
2017-09-22T00:00:00-06:00,34.648380279541016 kW
2017-09-23T00:00:00-06:00,28.005878448486328 kW
2017-09-24T00:00:00-06:00,27.04317855834961 kW
2017-09-25T00:00:00-06:00,57.46336364746094 kW
2017-09-26T00:00:00-06:00,38.94123077392578 kW
2017-09-27T00:00:00-06:00,37.595760345458984 kW
2017-09-28T00:00:00-06:00,51.53472137451172 kW
2017-09-29T00:00:00-06:00,40.18056869506836 kW
2017-09-30T00:00:00-06:00,29.417449951171875 kW
2017-10-01T00:00:00-06:00,32.2581901550293 kW
2017-10-02T00:00:00-06:00,38.64496994018555 kW
2017-10-03T00:00:00-06:00,39.19550323486328 kW
2017-10-04T00:00:00-06:00,41.518001556396484 kW
2017-10-05T00:00:00-06:00,52.1332893371582 kW
2017-10-06T00:00:00-06:00,35.72089385986328 kW
2017-10-07T00:00:00-06:00,24.193347930908203 kW
2017-10-08T00:00:00-06:00,28.94757080078125 kW
2017-10-09T00:00:00-06:00,44.89153289794922 kW
2017-10-10T00:00:00-06:00,28.972637176513672 kW
2017-10-11T00:00:00-06:00,28.63974952697754 kW
2017-10-12T00:00:00-06:00,28.73141860961914 kW
2017-10-13T00:00:00-06:00,41.12126159667969 kW
2017-10-14T00:00:00-06:00,34.595516204833984 kW
2017-10-15T00:00:00-06:00,29.71180534362793 kW
2017-10-16T00:00:00-06:00,44.661582946777344 kW
2017-10-17T00:00:00-06:00,37.89653396606445 kW
2017-10-18T00:00:00-06:00,47.452178955078125 kW
2017-10-19T00:00:00-06:00,35.94662857055664 kW
2017-10-20T00:00:00-06:00,35.76750946044922 kW
2017-10-21T00:00:00-06:00,26.312179565429688 kW
2017-10-22T00:00:00-06:00,29.01808738708496 kW
2017-10-23T00:00:00-06:00,34.79371643066406 kW
2017-10-24T00:00:00-06:00,36.508060455322266 kW
2017-10-25T00:00:00-06:00,38.508426666259766 kW
2017-10-26T00:00:00-06:00,38.42250061035156 kW
2017-10-27T00:00:00-06:00,35.680110931396484 kW
2017-10-28T00:00:00-06:00,32.16527557373047 kW
2017-10-29T00:00:00-06:00,30.253372192382812 kW
2017-10-30T00:00:00-06:00,49.641632080078125 kW
2017-10-31T00:00:00-06:00,34.5208740234375 kW
2017-11-01T00:00:00-06:00,35.99750518798828 kW
2017-11-02T00:00:00-06:00,41.40629196166992 kW
2017-11-03T00:00:00-06:00,63.980628967285156 kW
2017-11-04T00:00:00-06:00,46.38526916503906 kW
2017-11-05T00:00:00-06:00,40.005958557128906 kW
2017-11-06T00:00:00-07:00,44.37317657470703 kW
2017-11-07T00:00:00-07:00,52.914825439453125 kW
2017-11-08T00:00:00-07:00,45.875701904296875 kW
2017-11-09T00:00:00-07:00,43.735816955566406 kW
2017-11-10T00:00:00-07:00,35.10052490234375 kW
2017-11-11T00:00:00-07:00,38.98537063598633 kW
2017-11-12T00:00:00-07:00,40.343196868896484 kW
2017-11-13T00:00:00-07:00,47.47764205932617 kW
2017-11-14T00:00:00-07:00,66.3413314819336 kW
2017-11-15T00:00:00-07:00,45.828155517578125 kW
2017-11-16T00:00:00-07:00,39.888484954833984 kW
2017-11-17T00:00:00-07:00,40.703922271728516 kW
2017-11-18T00:00:00-07:00,33.4645881652832 kW
2017-11-19T00:00:00-07:00,31.75863265991211 kW
2017-11-20T00:00:00-07:00,45.10169219970703 kW
2017-11-21T00:00:00-07:00,45.89118576049805 kW
2017-11-22T00:00:00-07:00,41.925025939941406 kW
2017-11-23T00:00:00-07:00,48.14652633666992 kW
2017-11-24T00:00:00-07:00,27.569242477416992 kW
2017-11-25T00:00:00-07:00,43.395835876464844 kW
2017-11-26T00:00:00-07:00,50.48461151123047 kW
2017-11-27T00:00:00-07:00,41.31169509887695 kW
2017-11-28T00:00:00-07:00,58.447296142578125 kW
2017-11-29T00:00:00-07:00,65.21678161621094 kW
2017-11-30T00:00:00-07:00,65.61302185058594 kW
2017-12-01T00:00:00-07:00,47.55496597290039 kW
2017-12-02T00:00:00-07:00,42.09039306640625 kW
2017-12-03T00:00:00-07:00,49.23008728027344 kW
2017-12-04T00:00:00-07:00,54.529075622558594 kW
2017-12-05T00:00:00-07:00,57.0405158996582 kW
2017-12-06T00:00:00-07:00,54.983917236328125 kW
2017-12-07T00:00:00-07:00,56.69874954223633 kW
2017-12-08T00:00:00-07:00,64.53614807128906 kW
