Timestamp,['1cdbb732-358428c3 0087-THATCHER BLDG Power Meter (301204) KW Total']
2017-04-27T00:00:00-06:00,122.066650390625 kW
2017-04-28T00:00:00-06:00,114.18220520019531 kW
2017-04-29T00:00:00-06:00,81.62823486328125 kW
2017-04-30T00:00:00-06:00,76.57688903808594 kW
2017-05-01T00:00:00-06:00,117.66215515136719 kW
2017-05-02T00:00:00-06:00,111.12936401367188 kW
2017-05-03T00:00:00-06:00,116.039794921875 kW
2017-05-04T00:00:00-06:00,110.17916107177734 kW
2017-05-05T00:00:00-06:00,115.7584228515625 kW
2017-05-06T00:00:00-06:00,86.09415435791016 kW
2017-05-07T00:00:00-06:00,84.93972778320312 kW
2017-05-08T00:00:00-06:00,119.18743133544922 kW
2017-05-09T00:00:00-06:00,120.86532592773438 kW
2017-05-10T00:00:00-06:00,120.08966827392578 kW
2017-05-11T00:00:00-06:00,120.64379119873047 kW
2017-05-12T00:00:00-06:00,115.27799987792969 kW
2017-05-13T00:00:00-06:00,77.20576477050781 kW
2017-05-14T00:00:00-06:00,81.95368957519531 kW
2017-05-15T00:00:00-06:00,129.3906707763672 kW
2017-05-16T00:00:00-06:00,126.3076171875 kW
2017-05-17T00:00:00-06:00,125.22869110107422 kW
2017-05-18T00:00:00-06:00,125.5875244140625 kW
2017-05-19T00:00:00-06:00,133.23468017578125 kW
2017-05-20T00:00:00-06:00,91.72437286376953 kW
2017-05-21T00:00:00-06:00,94.09466552734375 kW
2017-05-22T00:00:00-06:00,130.847412109375 kW
2017-05-23T00:00:00-06:00,125.67408752441406 kW
2017-05-24T00:00:00-06:00,117.13037872314453 kW
2017-05-25T00:00:00-06:00,121.38236236572266 kW
2017-05-26T00:00:00-06:00,123.6662826538086 kW
2017-05-27T00:00:00-06:00,92.47933959960938 kW
2017-05-28T00:00:00-06:00,90.41970825195312 kW
2017-05-29T00:00:00-06:00,98.31304168701172 kW
2017-05-30T00:00:00-06:00,127.3826904296875 kW
2017-05-31T00:00:00-06:00,125.64969635009766 kW
2017-06-01T00:00:00-06:00,128.46351623535156 kW
2017-06-02T00:00:00-06:00,128.9181365966797 kW
2017-06-03T00:00:00-06:00,92.5082015991211 kW
2017-06-04T00:00:00-06:00,94.2435531616211 kW
2017-06-05T00:00:00-06:00,135.15017700195312 kW
2017-06-06T00:00:00-06:00,134.8165740966797 kW
2017-06-07T00:00:00-06:00,141.99940490722656 kW
2017-06-08T00:00:00-06:00,138.74082946777344 kW
2017-06-09T00:00:00-06:00,137.28384399414062 kW
2017-06-10T00:00:00-06:00,91.86156463623047 kW
2017-06-11T00:00:00-06:00,93.3039779663086 kW
2017-06-12T00:00:00-06:00,135.26589965820312 kW
2017-06-13T00:00:00-06:00,147.65586853027344 kW
2017-06-14T00:00:00-06:00,150.29638671875 kW
2017-06-15T00:00:00-06:00,139.75164794921875 kW
2017-06-16T00:00:00-06:00,145.13966369628906 kW
2017-06-17T00:00:00-06:00,98.89986419677734 kW
2017-06-18T00:00:00-06:00,94.30245971679688 kW
2017-06-19T00:00:00-06:00,138.5509796142578 kW
2017-06-20T00:00:00-06:00,141.20069885253906 kW
2017-06-21T00:00:00-06:00,138.7504119873047 kW
2017-06-22T00:00:00-06:00,131.6197967529297 kW
2017-06-23T00:00:00-06:00,130.532958984375 kW
2017-06-24T00:00:00-06:00,85.97171783447266 kW
2017-06-25T00:00:00-06:00,82.21757507324219 kW
2017-06-26T00:00:00-06:00,133.5904998779297 kW
2017-06-27T00:00:00-06:00,132.84857177734375 kW
2017-06-28T00:00:00-06:00,130.05502319335938 kW
2017-06-29T00:00:00-06:00,129.18966674804688 kW
2017-06-30T00:00:00-06:00,116.89820098876953 kW
2017-07-01T00:00:00-06:00,87.26538848876953 kW
2017-07-02T00:00:00-06:00,85.65547943115234 kW
2017-07-03T00:00:00-06:00,129.90777587890625 kW
2017-07-04T00:00:00-06:00,95.28539276123047 kW
2017-07-05T00:00:00-06:00,134.197021484375 kW
2017-07-06T00:00:00-06:00,134.5173797607422 kW
2017-07-07T00:00:00-06:00,137.516357421875 kW
2017-07-08T00:00:00-06:00,94.25836181640625 kW
2017-07-09T00:00:00-06:00,91.6670150756836 kW
2017-07-10T00:00:00-06:00,141.0369415283203 kW
2017-07-11T00:00:00-06:00,130.87557983398438 kW
2017-07-12T00:00:00-06:00,133.74026489257812 kW
2017-07-13T00:00:00-06:00,141.43238830566406 kW
2017-07-14T00:00:00-06:00,131.50619506835938 kW
2017-07-15T00:00:00-06:00,94.63043975830078 kW
2017-07-16T00:00:00-06:00,92.83467864990234 kW
2017-07-17T00:00:00-06:00,141.6911163330078 kW
2017-07-18T00:00:00-06:00,132.8901824951172 kW
2017-07-19T00:00:00-06:00,143.18585205078125 kW
2017-07-20T00:00:00-06:00,146.8683319091797 kW
2017-07-21T00:00:00-06:00,127.1956787109375 kW
2017-07-22T00:00:00-06:00,95.55529022216797 kW
2017-07-23T00:00:00-06:00,93.61957550048828 kW
2017-07-24T00:00:00-06:00,99.4068603515625 kW
2017-07-25T00:00:00-06:00,122.37178802490234 kW
2017-07-26T00:00:00-06:00,125.80915832519531 kW
2017-07-27T00:00:00-06:00,128.59225463867188 kW
2017-07-28T00:00:00-06:00,130.37562561035156 kW
2017-07-29T00:00:00-06:00,102.62523651123047 kW
2017-07-30T00:00:00-06:00,94.52896881103516 kW
2017-07-31T00:00:00-06:00,140.5072479248047 kW
2017-08-01T00:00:00-06:00,131.0439910888672 kW
2017-08-02T00:00:00-06:00,139.06956481933594 kW
2017-08-03T00:00:00-06:00,126.48255157470703 kW
2017-08-04T00:00:00-06:00,128.86190795898438 kW
2017-08-05T00:00:00-06:00,97.490966796875 kW
2017-08-06T00:00:00-06:00,94.07994842529297 kW
2017-08-07T00:00:00-06:00,137.1584930419922 kW
2017-08-08T00:00:00-06:00,128.228759765625 kW
2017-08-09T00:00:00-06:00,138.1352996826172 kW
2017-08-10T00:00:00-06:00,130.314208984375 kW
2017-08-11T00:00:00-06:00,127.78140258789062 kW
2017-08-12T00:00:00-06:00,92.72065734863281 kW
2017-08-13T00:00:00-06:00,91.34304809570312 kW
2017-08-14T00:00:00-06:00,128.44912719726562 kW
2017-08-15T00:00:00-06:00,125.00733184814453 kW
2017-08-16T00:00:00-06:00,126.15643310546875 kW
2017-08-17T00:00:00-06:00,124.55416107177734 kW
2017-08-18T00:00:00-06:00,125.28650665283203 kW
2017-08-19T00:00:00-06:00,94.68458557128906 kW
2017-08-20T00:00:00-06:00,92.20926666259766 kW
2017-08-21T00:00:00-06:00,119.3734359741211 kW
2017-08-22T00:00:00-06:00,124.31099700927734 kW
2017-08-23T00:00:00-06:00,117.045166015625 kW
2017-08-24T00:00:00-06:00,123.41485595703125 kW
2017-08-25T00:00:00-06:00,122.55619049072266 kW
2017-08-26T00:00:00-06:00,96.05274963378906 kW
2017-08-27T00:00:00-06:00,93.48175048828125 kW
2017-08-28T00:00:00-06:00,129.16543579101562 kW
2017-08-29T00:00:00-06:00,123.3298110961914 kW
2017-08-30T00:00:00-06:00,126.59996032714844 kW
2017-08-31T00:00:00-06:00,135.0249786376953 kW
2017-09-01T00:00:00-06:00,135.57940673828125 kW
2017-09-02T00:00:00-06:00,89.20896911621094 kW
2017-09-03T00:00:00-06:00,86.91265869140625 kW
2017-09-04T00:00:00-06:00,94.7439193725586 kW
2017-09-05T00:00:00-06:00,132.35000610351562 kW
2017-09-06T00:00:00-06:00,131.44679260253906 kW
2017-09-07T00:00:00-06:00,125.73782348632812 kW
2017-09-08T00:00:00-06:00,127.99333953857422 kW
2017-09-09T00:00:00-06:00,95.87866973876953 kW
2017-09-10T00:00:00-06:00,92.9324951171875 kW
2017-09-11T00:00:00-06:00,134.63876342773438 kW
2017-09-12T00:00:00-06:00,133.36192321777344 kW
2017-09-13T00:00:00-06:00,136.40248107910156 kW
2017-09-14T00:00:00-06:00,134.5384521484375 kW
2017-09-15T00:00:00-06:00,134.6663055419922 kW
2017-09-16T00:00:00-06:00,96.55355834960938 kW
2017-09-17T00:00:00-06:00,91.45858001708984 kW
2017-09-18T00:00:00-06:00,129.04296875 kW
2017-09-19T00:00:00-06:00,131.85702514648438 kW
2017-09-20T00:00:00-06:00,130.0696563720703 kW
2017-09-21T00:00:00-06:00,127.17132568359375 kW
2017-09-22T00:00:00-06:00,132.08428955078125 kW
2017-09-23T00:00:00-06:00,97.6262435913086 kW
2017-09-24T00:00:00-06:00,94.02440643310547 kW
2017-09-25T00:00:00-06:00,133.96185302734375 kW
2017-09-26T00:00:00-06:00,137.1077117919922 kW
2017-09-27T00:00:00-06:00,135.5613555908203 kW
2017-09-28T00:00:00-06:00,144.85671997070312 kW
2017-09-29T00:00:00-06:00,126.46482849121094 kW
2017-09-30T00:00:00-06:00,100.32749938964844 kW
2017-10-01T00:00:00-06:00,97.97758483886719 kW
2017-10-02T00:00:00-06:00,130.3270263671875 kW
2017-10-03T00:00:00-06:00,136.53028869628906 kW
2017-10-04T00:00:00-06:00,141.53887939453125 kW
2017-10-05T00:00:00-06:00,118.55699157714844 kW
2017-10-06T00:00:00-06:00,127.19110107421875 kW
2017-10-07T00:00:00-06:00,96.15035247802734 kW
2017-10-08T00:00:00-06:00,93.839111328125 kW
2017-10-09T00:00:00-06:00,138.4520721435547 kW
2017-10-10T00:00:00-06:00,134.2755889892578 kW
2017-10-11T00:00:00-06:00,132.6382293701172 kW
2017-10-12T00:00:00-06:00,122.36601257324219 kW
2017-10-13T00:00:00-06:00,126.8348388671875 kW
2017-10-14T00:00:00-06:00,92.49533081054688 kW
2017-10-15T00:00:00-06:00,88.57233428955078 kW
2017-10-16T00:00:00-06:00,127.5374984741211 kW
2017-10-17T00:00:00-06:00,131.75790405273438 kW
2017-10-18T00:00:00-06:00,127.72755432128906 kW
2017-10-19T00:00:00-06:00,126.5101089477539 kW
2017-10-20T00:00:00-06:00,122.2125015258789 kW
2017-10-21T00:00:00-06:00,96.15716552734375 kW
2017-10-22T00:00:00-06:00,94.74015808105469 kW
2017-10-23T00:00:00-06:00,121.9179916381836 kW
2017-10-24T00:00:00-06:00,127.63274383544922 kW
2017-10-25T00:00:00-06:00,124.70316314697266 kW
2017-10-26T00:00:00-06:00,125.36933898925781 kW
2017-10-27T00:00:00-06:00,124.46636199951172 kW
2017-10-28T00:00:00-06:00,97.07280731201172 kW
2017-10-29T00:00:00-06:00,92.76040649414062 kW
2017-10-30T00:00:00-06:00,132.6756134033203 kW
2017-10-31T00:00:00-06:00,125.75811004638672 kW
2017-11-01T00:00:00-06:00,136.17100524902344 kW
2017-11-02T00:00:00-06:00,121.69630432128906 kW
2017-11-03T00:00:00-06:00,124.60445404052734 kW
2017-11-04T00:00:00-06:00,97.50996398925781 kW
2017-11-05T00:00:00-06:00,96.5759048461914 kW
2017-11-06T00:00:00-07:00,131.3101806640625 kW
2017-11-07T00:00:00-07:00,131.40501403808594 kW
2017-11-08T00:00:00-07:00,129.51719665527344 kW
2017-11-09T00:00:00-07:00,123.8659439086914 kW
2017-11-10T00:00:00-07:00,123.56212615966797 kW
2017-11-11T00:00:00-07:00,95.2630844116211 kW
2017-11-12T00:00:00-07:00,90.79461669921875 kW
2017-11-13T00:00:00-07:00,122.81578063964844 kW
2017-11-14T00:00:00-07:00,132.2779998779297 kW
2017-11-15T00:00:00-07:00,126.39118957519531 kW
2017-11-16T00:00:00-07:00,122.92601776123047 kW
2017-11-17T00:00:00-07:00,132.93447875976562 kW
2017-11-18T00:00:00-07:00,92.1954345703125 kW
2017-11-19T00:00:00-07:00,76.49144744873047 kW
2017-11-20T00:00:00-07:00,113.97122192382812 kW
2017-11-21T00:00:00-07:00,113.67279052734375 kW
2017-11-22T00:00:00-07:00,91.24286651611328 kW
2017-11-23T00:00:00-07:00,80.31688690185547 kW
2017-11-24T00:00:00-07:00,79.0936050415039 kW
2017-11-25T00:00:00-07:00,79.70690155029297 kW
2017-11-26T00:00:00-07:00,80.25237274169922 kW
2017-11-27T00:00:00-07:00,123.78173065185547 kW
2017-11-28T00:00:00-07:00,119.31767272949219 kW
2017-11-29T00:00:00-07:00,126.18146514892578 kW
2017-11-30T00:00:00-07:00,126.77263641357422 kW
2017-12-01T00:00:00-07:00,126.4503173828125 kW
2017-12-02T00:00:00-07:00,88.32334899902344 kW
2017-12-03T00:00:00-07:00,84.5521469116211 kW
2017-12-04T00:00:00-07:00,123.00047302246094 kW
2017-12-05T00:00:00-07:00,117.14795684814453 kW
2017-12-06T00:00:00-07:00,123.66360473632812 kW
2017-12-07T00:00:00-07:00,117.870361328125 kW
2017-12-08T00:00:00-07:00,117.49028015136719 kW
2017-12-09T00:00:00-07:00,88.00511932373047 kW
2017-12-10T00:00:00-07:00,85.67228698730469 kW
2017-12-11T00:00:00-07:00,124.0728530883789 kW
2017-12-12T00:00:00-07:00,127.6912612915039 kW
2017-12-13T00:00:00-07:00,127.07723236083984 kW
2017-12-14T00:00:00-07:00,119.59806060791016 kW
2017-12-15T00:00:00-07:00,126.08778381347656 kW
2017-12-16T00:00:00-07:00,87.47348022460938 kW
2017-12-17T00:00:00-07:00,85.28056335449219 kW
2017-12-18T00:00:00-07:00,124.33183288574219 kW
2017-12-19T00:00:00-07:00,110.95983123779297 kW
2017-12-20T00:00:00-07:00,127.28863525390625 kW
2017-12-21T00:00:00-07:00,117.95406341552734 kW
2017-12-22T00:00:00-07:00,108.7394027709961 kW
2017-12-23T00:00:00-07:00,81.48106384277344 kW
2017-12-24T00:00:00-07:00,80.71759033203125 kW
2017-12-25T00:00:00-07:00,78.31958770751953 kW
2017-12-26T00:00:00-07:00,79.0199966430664 kW
2017-12-27T00:00:00-07:00,91.14789581298828 kW
2017-12-28T00:00:00-07:00,88.26966094970703 kW
2017-12-29T00:00:00-07:00,80.79125213623047 kW
2017-12-30T00:00:00-07:00,76.15946197509766 kW
2017-12-31T00:00:00-07:00,80.80561828613281 kW
