Timestamp,['206e9e55-ed5918b3 0046-LASSONDE STUDIOS Power Meter 316258 Current A']
2017-07-23T00:00:00-06:00,128.42630036671957 A
2017-07-24T00:00:00-06:00,129.83746989568075 A
2017-07-25T00:00:00-06:00,134.48501960436502 A
2017-07-26T00:00:00-06:00,139.3734219868978 A
2017-07-27T00:00:00-06:00,134.75423045911288 A
2017-07-28T00:00:00-06:00,131.46072721481323 A
2017-07-29T00:00:00-06:00,125.54528745015462 A
2017-07-30T00:00:00-06:00,131.62843092282614 A
2017-07-31T00:00:00-06:00,131.2874075571696 A
2017-08-01T00:00:00-06:00,130.07236440976462 A
2017-08-02T00:00:00-06:00,126.7129811445872 A
2017-08-03T00:00:00-06:00,129.81039079030356 A
2017-08-04T00:00:00-06:00,135.90158013983088 A
2017-08-05T00:00:00-06:00,126.95145893096924 A
2017-08-06T00:00:00-06:00,123.26904519399007 A
2017-08-07T00:00:00-06:00,127.60149510701497 A
2017-08-08T00:00:00-06:00,131.45074693361917 A
2017-08-09T00:00:00-06:00,129.85111832618713 A
2017-08-10T00:00:00-06:00,131.88194323600607 A
2017-08-11T00:00:00-06:00,133.87192344665527 A
2017-08-12T00:00:00-06:00,130.5268816947937 A
2017-08-13T00:00:00-06:00,134.31865874926248 A
2017-08-14T00:00:00-06:00,133.6339042186737 A
2017-08-15T00:00:00-06:00,131.14533654848734 A
2017-08-16T00:00:00-06:00,134.41061798731485 A
2017-08-17T00:00:00-06:00,167.51164889335632 A
2017-08-18T00:00:00-06:00,173.7490510145823 A
2017-08-19T00:00:00-06:00,177.94415616989136 A
2017-08-20T00:00:00-06:00,182.72847445805868 A
2017-08-21T00:00:00-06:00,189.87900940577188 A
2017-08-22T00:00:00-06:00,187.5762931505839 A
2017-08-23T00:00:00-06:00,194.87316942214966 A
2017-08-24T00:00:00-06:00,188.86289699872336 A
2017-08-25T00:00:00-06:00,181.82797495524088 A
2017-08-26T00:00:00-06:00,184.64048941930136 A
2017-08-27T00:00:00-06:00,197.90177043279013 A
2017-08-28T00:00:00-06:00,198.27601424507472 A
2017-08-29T00:00:00-06:00,199.47659711940315 A
2017-08-30T00:00:00-06:00,197.45174280802408 A
2017-08-31T00:00:00-06:00,193.39086786905924 A
2017-09-01T00:00:00-06:00,186.94339156150818 A
2017-09-02T00:00:00-06:00,184.32114919026694 A
2017-09-03T00:00:00-06:00,187.28430070268348 A
2017-09-04T00:00:00-06:00,200.0495568116506 A
2017-09-05T00:00:00-06:00,195.92676750818887 A
2017-09-06T00:00:00-06:00,194.62177801132202 A
2017-09-07T00:00:00-06:00,190.8782990773519 A
2017-09-08T00:00:00-06:00,203.13893416555305 A
2017-09-09T00:00:00-06:00,192.35927613576254 A
2017-09-10T00:00:00-06:00,192.54188267389932 A
2017-09-11T00:00:00-06:00,200.2840625445048 A
2017-09-12T00:00:00-06:00,196.32571093241373 A
2017-09-13T00:00:00-06:00,200.63261906305948 A
2017-09-14T00:00:00-06:00,197.15621892611185 A
2017-09-15T00:00:00-06:00,198.2726154528166 A
2017-09-16T00:00:00-06:00,188.3215282758077 A
2017-09-17T00:00:00-06:00,199.38437493642172 A
2017-09-18T00:00:00-06:00,198.77385234832764 A
2017-09-19T00:00:00-06:00,205.09530591964722 A
2017-09-20T00:00:00-06:00,209.7520349820455 A
2017-09-21T00:00:00-06:00,208.04267009099325 A
2017-09-22T00:00:00-06:00,187.9701188405355 A
2017-09-23T00:00:00-06:00,183.19037199020386 A
2017-09-24T00:00:00-06:00,188.80652133623758 A
2017-09-25T00:00:00-06:00,200.08551216125488 A
2017-09-26T00:00:00-06:00,198.86541414260864 A
2017-09-27T00:00:00-06:00,201.6683734258016 A
2017-09-28T00:00:00-06:00,193.98777055740356 A
2017-09-29T00:00:00-06:00,195.8904439608256 A
2017-09-30T00:00:00-06:00,193.8472080230713 A
2017-10-01T00:00:00-06:00,201.31545114517212 A
2017-10-02T00:00:00-06:00,197.78767848014832 A
2017-10-03T00:00:00-06:00,201.08367840449014 A
2017-10-04T00:00:00-06:00,202.56739568710327 A
2017-10-05T00:00:00-06:00,203.37277746200562 A
2017-10-06T00:00:00-06:00,195.14386002222696 A
2017-10-07T00:00:00-06:00,183.55583699544272 A
2017-10-08T00:00:00-06:00,184.1756126085917 A
2017-10-09T00:00:00-06:00,174.90048678716025 A
2017-10-10T00:00:00-06:00,173.3970116774241 A
2017-10-11T00:00:00-06:00,170.32209793726602 A
2017-10-12T00:00:00-06:00,168.4562315940857 A
2017-10-13T00:00:00-06:00,167.60033512115479 A
2017-10-14T00:00:00-06:00,171.3747237523397 A
2017-10-15T00:00:00-06:00,187.53323411941528 A
2017-10-16T00:00:00-06:00,200.2572522163391 A
2017-10-17T00:00:00-06:00,205.67184994346218 A
2017-10-18T00:00:00-06:00,199.53783893585205 A
2017-10-19T00:00:00-06:00,198.89185047149658 A
2017-10-20T00:00:00-06:00,196.6230173110962 A
2017-10-21T00:00:00-06:00,188.14227231343588 A
2017-10-22T00:00:00-06:00,200.42241954803467 A
2017-10-23T00:00:00-06:00,196.95520655314127 A
2017-10-24T00:00:00-06:00,201.76238044102988 A
2017-10-25T00:00:00-06:00,199.25906817118326 A
2017-10-26T00:00:00-06:00,200.21372604370117 A
2017-10-27T00:00:00-06:00,193.72256835301718 A
2017-10-28T00:00:00-06:00,193.9483938217163 A
2017-10-29T00:00:00-06:00,202.35981432596842 A
2017-10-30T00:00:00-06:00,199.1626558303833 A
2017-10-31T00:00:00-06:00,207.15441783269247 A
2017-11-01T00:00:00-06:00,206.06938076019287 A
2017-11-02T00:00:00-06:00,207.81746292114258 A
2017-11-03T00:00:00-06:00,200.2031922340393 A
2017-11-04T00:00:00-06:00,201.05952994028726 A
2017-11-05T00:00:00-06:00,205.16359085083008 A
2017-11-06T00:00:00-07:00,207.52544991175333 A
2017-11-07T00:00:00-07:00,202.83501466115317 A
2017-11-08T00:00:00-07:00,204.11689360936484 A
2017-11-09T00:00:00-07:00,204.355123202006 A
2017-11-10T00:00:00-07:00,199.14619716008505 A
2017-11-11T00:00:00-07:00,199.14704847335815 A
2017-11-12T00:00:00-07:00,206.75673246383667 A
2017-11-13T00:00:00-07:00,210.11569849650064 A
2017-11-14T00:00:00-07:00,215.81326087315878 A
2017-11-15T00:00:00-07:00,212.57406044006348 A
2017-11-16T00:00:00-07:00,210.70421266555786 A
2017-11-17T00:00:00-07:00,211.15540981292725 A
2017-11-18T00:00:00-07:00,205.78267558415732 A
2017-11-19T00:00:00-07:00,200.4609316190084 A
2017-11-20T00:00:00-07:00,215.38782691955566 A
2017-11-21T00:00:00-07:00,214.91287342707315 A
2017-11-22T00:00:00-07:00,190.98489061991373 A
2017-11-23T00:00:00-07:00,155.6701145172119 A
