Timestamp,['1cbae9c6-ec8d2780 0038-ART BLDG Power Meter 300086 Volts CN']
2017-06-13T00:00:00-06:00,122.44829738934835 V
2017-06-14T00:00:00-06:00,122.589775662952 V
2017-06-15T00:00:00-06:00,122.46968185180918 V
2017-06-16T00:00:00-06:00,122.4544632986571 V
2017-06-17T00:00:00-06:00,122.37888201077779 V
2017-06-18T00:00:00-06:00,122.43170813454522 V
2017-06-19T00:00:00-06:00,122.51124125806054 V
2017-06-20T00:00:00-06:00,122.47626772986519 V
2017-06-21T00:00:00-06:00,122.46551426251729 V
2017-06-22T00:00:00-06:00,122.42205517556933 V
2017-06-23T00:00:00-06:00,122.45771669281854 V
2017-06-24T00:00:00-06:00,122.55849650171068 V
2017-06-25T00:00:00-06:00,122.48234882884556 V
2017-06-26T00:00:00-06:00,122.41887858332541 V
2017-06-27T00:00:00-06:00,122.48522027333577 V
2017-06-28T00:00:00-06:00,122.28316394488017 V
2017-06-29T00:00:00-06:00,122.39748589197795 V
2017-06-30T00:00:00-06:00,122.57973750432332 V
2017-07-01T00:00:00-06:00,122.49277782440186 V
2017-07-02T00:00:00-06:00,122.53121368090312 V
2017-07-03T00:00:00-06:00,122.4264866511027 V
2017-07-04T00:00:00-06:00,122.38174684842427 V
2017-07-05T00:00:00-06:00,122.40111088752747 V
2017-07-06T00:00:00-06:00,122.42047278086345 V
2017-07-07T00:00:00-06:00,122.51801586151123 V
2017-07-08T00:00:00-06:00,122.55136283238728 V
2017-07-09T00:00:00-06:00,122.40464162826538 V
2017-07-10T00:00:00-06:00,122.41559219360352 V
2017-07-11T00:00:00-06:00,122.46969087918599 V
2017-07-12T00:00:00-06:00,122.48255999883015 V
2017-07-13T00:00:00-06:00,122.4445017973582 V
2017-07-14T00:00:00-06:00,122.33681448300679 V
2017-07-15T00:00:00-06:00,122.41763138771057 V
2017-07-16T00:00:00-06:00,122.42418877283733 V
2017-07-17T00:00:00-06:00,122.40490555763245 V
2017-07-18T00:00:00-06:00,122.57445526123047 V
2017-07-19T00:00:00-06:00,122.40822950998943 V
2017-07-20T00:00:00-06:00,122.39262525240581 V
2017-07-21T00:00:00-06:00,122.47214428583781 V
2017-07-22T00:00:00-06:00,122.47150595982869 V
2017-07-23T00:00:00-06:00,122.53748854001363 V
2017-07-24T00:00:00-06:00,122.44022377332051 V
2017-07-25T00:00:00-06:00,122.50797740618388 V
2017-07-26T00:00:00-06:00,122.39938259124756 V
2017-07-27T00:00:00-06:00,122.48036162058513 V
2017-07-28T00:00:00-06:00,122.45589669545491 V
2017-07-29T00:00:00-06:00,122.37562314669292 V
2017-07-30T00:00:00-06:00,122.41248432795207 V
2017-07-31T00:00:00-06:00,122.40331880251567 V
2017-08-01T00:00:00-06:00,122.47153464953105 V
2017-08-02T00:00:00-06:00,122.45550044377644 V
2017-08-03T00:00:00-06:00,122.63643153508504 V
2017-08-04T00:00:00-06:00,122.50587438227056 V
2017-08-05T00:00:00-06:00,122.5635420481364 V
2017-08-06T00:00:00-06:00,122.61889394124348 V
2017-08-07T00:00:00-06:00,122.51131145159404 V
2017-08-08T00:00:00-06:00,122.47577857971191 V
2017-08-09T00:00:00-06:00,122.50600870450337 V
2017-08-10T00:00:00-06:00,122.56156783408306 V
2017-08-11T00:00:00-06:00,122.55093528346012 V
2017-08-12T00:00:00-06:00,122.58871773167661 V
2017-08-13T00:00:00-06:00,122.55010771751404 V
2017-08-14T00:00:00-06:00,122.44694805145264 V
