Timestamp,['1daaa8fa-b9ff00ad 0037-ARCHITECTURE BLDG Power Meter (301159) Current A']
2017-04-30T00:00:00-06:00,29.760248998800915 A
2017-05-01T00:00:00-06:00,38.764193991820015 A
2017-05-02T00:00:00-06:00,35.22460860013962 A
2017-05-03T00:00:00-06:00,36.913619220256805 A
2017-05-04T00:00:00-06:00,39.51985716819763 A
2017-05-05T00:00:00-06:00,36.74707102775574 A
2017-05-06T00:00:00-06:00,30.249202427111175 A
2017-05-07T00:00:00-06:00,28.11966339747111 A
2017-05-08T00:00:00-06:00,34.419762773716705 A
2017-05-09T00:00:00-06:00,30.488038380940754 A
2017-05-10T00:00:00-06:00,28.676316956679027 A
2017-05-11T00:00:00-06:00,30.944164673487347 A
2017-05-12T00:00:00-06:00,33.903018732865654 A
2017-05-13T00:00:00-06:00,29.918979108333588 A
2017-05-14T00:00:00-06:00,28.947887818018597 A
2017-05-15T00:00:00-06:00,34.86348903179169 A
2017-05-16T00:00:00-06:00,34.54095017910004 A
2017-05-17T00:00:00-06:00,33.674596244410466 A
2017-05-18T00:00:00-06:00,30.85806252559026 A
2017-05-19T00:00:00-06:00,28.227915982405346 A
2017-05-20T00:00:00-06:00,22.307863533496857 A
2017-05-21T00:00:00-06:00,23.034507354100544 A
2017-05-22T00:00:00-06:00,28.993882695833843 A
2017-05-23T00:00:00-06:00,31.595626175403595 A
2017-05-24T00:00:00-06:00,32.07228402296702 A
2017-05-25T00:00:00-06:00,29.67453630765279 A
2017-05-26T00:00:00-06:00,30.72426889340083 A
2017-05-27T00:00:00-06:00,26.053489247957867 A
2017-05-28T00:00:00-06:00,25.929877161979675 A
2017-05-29T00:00:00-06:00,25.75834534565608 A
2017-05-30T00:00:00-06:00,33.03261508544286 A
2017-05-31T00:00:00-06:00,31.43505448102951 A
2017-06-01T00:00:00-06:00,29.431274672349293 A
2017-06-02T00:00:00-06:00,29.881592214107513 A
2017-06-03T00:00:00-06:00,26.84957419947574 A
2017-06-04T00:00:00-06:00,24.085005541642506 A
2017-06-05T00:00:00-06:00,30.454170246918995 A
2017-06-06T00:00:00-06:00,29.651328365008037 A
2017-06-07T00:00:00-06:00,32.309729973475136 A
2017-06-08T00:00:00-06:00,34.43790421883265 A
2017-06-09T00:00:00-06:00,29.532726645469666 A
2017-06-10T00:00:00-06:00,28.443761070569355 A
2017-06-11T00:00:00-06:00,29.180465678373974 A
2017-06-12T00:00:00-06:00,32.67285950978597 A
2017-06-13T00:00:00-06:00,33.04533509413401 A
2017-06-14T00:00:00-06:00,34.42986875772476 A
2017-06-15T00:00:00-06:00,34.54282625516256 A
2017-06-16T00:00:00-06:00,32.649372577667236 A
2017-06-17T00:00:00-06:00,28.73499717315038 A
2017-06-18T00:00:00-06:00,25.003412306308746 A
2017-06-19T00:00:00-06:00,31.555283586184185 A
2017-06-20T00:00:00-06:00,34.75484752655029 A
2017-06-21T00:00:00-06:00,32.1200709939003 A
2017-06-22T00:00:00-06:00,33.3331791361173 A
2017-06-23T00:00:00-06:00,30.50598692893982 A
2017-06-24T00:00:00-06:00,28.13226153453191 A
2017-06-25T00:00:00-06:00,23.996003528436024 A
2017-06-26T00:00:00-06:00,29.538788100083668 A
2017-06-27T00:00:00-06:00,30.806468447049458 A
2017-06-28T00:00:00-06:00,31.869290261519584 A
2017-06-29T00:00:00-06:00,30.303396423657734 A
2017-06-30T00:00:00-06:00,28.47867826620738 A
2017-07-01T00:00:00-06:00,26.22050839662552 A
2017-07-02T00:00:00-06:00,25.752066413561504 A
2017-07-03T00:00:00-06:00,24.40481315056483 A
2017-07-04T00:00:00-06:00,23.756468574206036 A
2017-07-05T00:00:00-06:00,27.967984815438587 A
2017-07-06T00:00:00-06:00,32.52465556065241 A
2017-07-07T00:00:00-06:00,32.63672800858816 A
2017-07-08T00:00:00-06:00,29.586677710215252 A
2017-07-09T00:00:00-06:00,25.975992421309154 A
2017-07-10T00:00:00-06:00,31.368098258972168 A
2017-07-11T00:00:00-06:00,29.424936652183533 A
2017-07-12T00:00:00-06:00,31.260103563467663 A
2017-07-13T00:00:00-06:00,34.44047623872757 A
2017-07-14T00:00:00-06:00,31.238981246948242 A
2017-07-15T00:00:00-06:00,30.20398424069087 A
2017-07-16T00:00:00-06:00,24.659733494122822 A
2017-07-17T00:00:00-06:00,31.483989000320435 A
2017-07-18T00:00:00-06:00,33.205136358737946 A
2017-07-19T00:00:00-06:00,31.083739976088207 A
2017-07-20T00:00:00-06:00,32.69231313467026 A
2017-07-21T00:00:00-06:00,32.99273536602656 A
2017-07-22T00:00:00-06:00,29.80316585302353 A
2017-07-23T00:00:00-06:00,26.201827228069305 A
2017-07-24T00:00:00-06:00,29.149950802326202 A
2017-07-25T00:00:00-06:00,34.256503105163574 A
2017-07-26T00:00:00-06:00,33.428470273812614 A
2017-07-27T00:00:00-06:00,32.562603851159416 A
2017-07-28T00:00:00-06:00,30.93069452047348 A
2017-07-29T00:00:00-06:00,27.420435706774395 A
2017-07-30T00:00:00-06:00,24.52683335542679 A
2017-07-31T00:00:00-06:00,31.040979226430256 A
2017-08-01T00:00:00-06:00,33.36417184273402 A
2017-08-02T00:00:00-06:00,35.36372226476669 A
2017-08-03T00:00:00-06:00,32.42111589511236 A
2017-08-04T00:00:00-06:00,32.7325108634101 A
2017-08-05T00:00:00-06:00,30.769742568333943 A
2017-08-06T00:00:00-06:00,27.409377217292786 A
2017-08-07T00:00:00-06:00,32.739557345708214 A
2017-08-08T00:00:00-06:00,33.637219647566475 A
2017-08-09T00:00:00-06:00,33.256122748057045 A
2017-08-10T00:00:00-06:00,32.42574778847072 A
2017-08-11T00:00:00-06:00,32.084552804629006 A
2017-08-12T00:00:00-06:00,26.13740708430608 A
2017-08-13T00:00:00-06:00,27.064694225788116 A
2017-08-14T00:00:00-06:00,33.57945372660955 A
