Timestamp,"['1cf8d75f-a178c1dc 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) KW Total']"
2017-02-20T00:00:00-07:00,2.6959996223449707 kW
2017-02-21T00:00:00-07:00,3.36799955368042 kW
2017-02-22T00:00:00-07:00,3.179999828338623 kW
2017-02-23T00:00:00-07:00,3.359999656677246 kW
2017-02-24T00:00:00-07:00,3.0319995880126953 kW
2017-02-25T00:00:00-07:00,2.4559998512268066 kW
2017-02-26T00:00:00-07:00,2.507999897003174 kW
2017-02-27T00:00:00-07:00,3.363999843597412 kW
2017-02-28T00:00:00-07:00,3.4559998512268066 kW
2017-03-01T00:00:00-07:00,3.239999771118164 kW
2017-03-02T00:00:00-07:00,3.3279995918273926 kW
2017-03-03T00:00:00-07:00,3.2159996032714844 kW
2017-03-04T00:00:00-07:00,2.607999801635742 kW
2017-03-05T00:00:00-07:00,2.495999813079834 kW
2017-03-06T00:00:00-07:00,3.3439998626708984 kW
2017-03-07T00:00:00-07:00,3.439999580383301 kW
2017-03-08T00:00:00-07:00,3.295999526977539 kW
2017-03-09T00:00:00-07:00,3.175999641418457 kW
2017-03-10T00:00:00-07:00,3.371999740600586 kW
2017-03-11T00:00:00-07:00,2.503999710083008 kW
2017-03-12T00:00:00-07:00,2.5159997940063477 kW
2017-03-13T00:00:00-06:00,2.8359999656677246 kW
2017-03-14T00:00:00-06:00,3.063999652862549 kW
2017-03-15T00:00:00-06:00,2.9719996452331543 kW
2017-03-16T00:00:00-06:00,2.927999973297119 kW
2017-03-17T00:00:00-06:00,3.1359996795654297 kW
2017-03-18T00:00:00-06:00,2.503999710083008 kW
2017-03-19T00:00:00-06:00,2.507999897003174 kW
2017-03-20T00:00:00-06:00,3.427999973297119 kW
2017-03-21T00:00:00-06:00,3.3919997215270996 kW
2017-03-22T00:00:00-06:00,3.427999973297119 kW
2017-03-23T00:00:00-06:00,3.247999668121338 kW
2017-03-24T00:00:00-06:00,3.2119998931884766 kW
2017-03-25T00:00:00-06:00,2.491999626159668 kW
2017-03-26T00:00:00-06:00,2.5399999618530273 kW
2017-03-27T00:00:00-06:00,3.559999942779541 kW
2017-03-28T00:00:00-06:00,3.439999580383301 kW
2017-03-29T00:00:00-06:00,3.2679996490478516 kW
2017-03-30T00:00:00-06:00,3.443999767303467 kW
2017-03-31T00:00:00-06:00,3.2879996299743652 kW
2017-04-01T00:00:00-06:00,2.5279998779296875 kW
2017-04-02T00:00:00-06:00,2.727999687194824 kW
2017-04-03T00:00:00-06:00,3.4559998512268066 kW
2017-04-04T00:00:00-06:00,3.4119997024536133 kW
2017-04-05T00:00:00-06:00,3.5719995498657227 kW
2017-04-06T00:00:00-06:00,3.6959996223449707 kW
2017-04-07T00:00:00-06:00,3.5359997749328613 kW
2017-04-08T00:00:00-06:00,2.691999912261963 kW
2017-04-09T00:00:00-06:00,2.6559996604919434 kW
2017-04-10T00:00:00-06:00,3.2199997901916504 kW
2017-04-11T00:00:00-06:00,3.2799997329711914 kW
2017-04-12T00:00:00-06:00,3.443999767303467 kW
2017-04-13T00:00:00-06:00,3.7159996032714844 kW
2017-04-14T00:00:00-06:00,3.1959996223449707 kW
2017-04-15T00:00:00-06:00,2.5159997940063477 kW
2017-04-16T00:00:00-06:00,2.5839996337890625 kW
2017-04-17T00:00:00-06:00,3.3399996757507324 kW
2017-04-18T00:00:00-06:00,3.295999526977539 kW
2017-04-19T00:00:00-06:00,3.2799997329711914 kW
2017-04-20T00:00:00-06:00,3.047999858856201 kW
2017-04-21T00:00:00-06:00,3.107999801635742 kW
