Timestamp,"['1e71eae8-7aead4f4 0040-STUDENT SERVICES BLDG Power Meter (300089) W-hours, Received']"
2017-04-23T00:00:00-06:00,8466.2421875 kWh
2017-04-24T00:00:00-06:00,7495.6171875 kWh
2017-04-25T00:00:00-06:00,7234.796875 kWh
2017-04-26T00:00:00-06:00,7617.7734375 kWh
2017-04-27T00:00:00-06:00,7169.2109375 kWh
2017-04-28T00:00:00-06:00,7079.0703125 kWh
2017-04-29T00:00:00-06:00,6411.9921875 kWh
2017-04-30T00:00:00-06:00,8028.5078125 kWh
2017-05-01T00:00:00-06:00,9395.9375 kWh
2017-05-02T00:00:00-06:00,9501.0625 kWh
2017-05-03T00:00:00-06:00,9586.484375 kWh
2017-05-04T00:00:00-06:00,10214.0625 kWh
2017-05-05T00:00:00-06:00,11433.109375 kWh
2017-05-06T00:00:00-06:00,10637.25 kWh
2017-05-07T00:00:00-06:00,10191.25 kWh
2017-05-08T00:00:00-06:00,11107.5625 kWh
2017-05-09T00:00:00-06:00,11057.234375 kWh
2017-05-10T00:00:00-06:00,11109.0625 kWh
2017-05-11T00:00:00-06:00,11257.21875 kWh
2017-05-12T00:00:00-06:00,11467.71875 kWh
2017-05-13T00:00:00-06:00,7698.5625 kWh
2017-05-14T00:00:00-06:00,8438.75 kWh
2017-05-15T00:00:00-06:00,10621.8125 kWh
2017-05-16T00:00:00-06:00,9817.46875 kWh
2017-05-17T00:00:00-06:00,7482.21875 kWh
2017-05-18T00:00:00-06:00,7190.5 kWh
2017-05-19T00:00:00-06:00,8179.9375 kWh
2017-05-20T00:00:00-06:00,8573.1875 kWh
2017-05-21T00:00:00-06:00,9382.28125 kWh
2017-05-22T00:00:00-06:00,10293.9375 kWh
2017-05-23T00:00:00-06:00,11036.03125 kWh
2017-05-24T00:00:00-06:00,11523.125 kWh
2017-05-25T00:00:00-06:00,11034.875 kWh
2017-05-26T00:00:00-06:00,10737.21875 kWh
2017-05-27T00:00:00-06:00,8632.78125 kWh
2017-05-28T00:00:00-06:00,9695.21875 kWh
2017-05-29T00:00:00-06:00,10145.90625 kWh
2017-05-30T00:00:00-06:00,11484.25 kWh
2017-05-31T00:00:00-06:00,11739.75 kWh
2017-06-01T00:00:00-06:00,11676.25 kWh
2017-06-02T00:00:00-06:00,11394.0625 kWh
2017-06-03T00:00:00-06:00,10655.21875 kWh
2017-06-04T00:00:00-06:00,10949.09375 kWh
2017-06-05T00:00:00-06:00,11884.9375 kWh
2017-06-06T00:00:00-06:00,11882.09375 kWh
2017-06-07T00:00:00-06:00,12165.75 kWh
2017-06-08T00:00:00-06:00,12055.3125 kWh
2017-06-09T00:00:00-06:00,11691 kWh
2017-06-10T00:00:00-06:00,10044.75 kWh
2017-06-11T00:00:00-06:00,10245.5625 kWh
2017-06-12T00:00:00-06:00,10551.4375 kWh
2017-06-13T00:00:00-06:00,9072.3125 kWh
2017-06-14T00:00:00-06:00,11397 kWh
2017-06-15T00:00:00-06:00,11543.9375 kWh
2017-06-16T00:00:00-06:00,11790.125 kWh
2017-06-17T00:00:00-06:00,10595.0625 kWh
2017-06-18T00:00:00-06:00,9801.5625 kWh
2017-06-19T00:00:00-06:00,11634.3125 kWh
2017-06-20T00:00:00-06:00,12361.5625 kWh
2017-06-21T00:00:00-06:00,12327.3125 kWh
2017-06-22T00:00:00-06:00,12038.75 kWh
2017-06-23T00:00:00-06:00,11623.625 kWh
2017-06-24T00:00:00-06:00,10907.1875 kWh
2017-06-25T00:00:00-06:00,11115.125 kWh
2017-06-26T00:00:00-06:00,12258.9375 kWh
2017-06-27T00:00:00-06:00,12285.3125 kWh
2017-06-28T00:00:00-06:00,12137.5625 kWh
2017-06-29T00:00:00-06:00,11947.5625 kWh
2017-06-30T00:00:00-06:00,11947.6875 kWh
2017-07-01T00:00:00-06:00,10992.25 kWh
2017-07-02T00:00:00-06:00,11177.4375 kWh
2017-07-03T00:00:00-06:00,11968.9375 kWh
2017-07-04T00:00:00-06:00,10595.25 kWh
2017-07-05T00:00:00-06:00,11791.4375 kWh
2017-07-06T00:00:00-06:00,12034.3125 kWh
2017-07-07T00:00:00-06:00,12648.6875 kWh
2017-07-08T00:00:00-06:00,11614.875 kWh
2017-07-09T00:00:00-06:00,11528.0625 kWh
2017-07-10T00:00:00-06:00,12744.4375 kWh
2017-07-11T00:00:00-06:00,12604.5625 kWh
2017-07-12T00:00:00-06:00,12442.0625 kWh
2017-07-13T00:00:00-06:00,12416.625 kWh
2017-07-14T00:00:00-06:00,12393.3125 kWh
2017-07-15T00:00:00-06:00,11499.3125 kWh
2017-07-16T00:00:00-06:00,11504.75 kWh
2017-07-17T00:00:00-06:00,12497.8125 kWh
2017-07-18T00:00:00-06:00,12690.97509765625 kWh
2017-07-19T00:00:00-06:00,12890.72021484375 kWh
2017-07-20T00:00:00-06:00,12804.5703125 kWh
2017-07-21T00:00:00-06:00,12640.58984375 kWh
2017-07-22T00:00:00-06:00,11533.5078125 kWh
2017-07-23T00:00:00-06:00,11338.76953125 kWh
2017-07-24T00:00:00-06:00,11791.75 kWh
2017-07-25T00:00:00-06:00,12720.3359375 kWh
2017-07-26T00:00:00-06:00,12835.7578125 kWh
2017-07-27T00:00:00-06:00,12310.6171875 kWh
2017-07-28T00:00:00-06:00,12178.34375 kWh
2017-07-29T00:00:00-06:00,11234.15625 kWh
2017-07-30T00:00:00-06:00,11251.484375 kWh
2017-07-31T00:00:00-06:00,12501.25 kWh
2017-08-01T00:00:00-06:00,12610.375 kWh
2017-08-02T00:00:00-06:00,12555.859375 kWh
2017-08-03T00:00:00-06:00,12596.53125 kWh
2017-08-04T00:00:00-06:00,12574.28125 kWh
2017-08-05T00:00:00-06:00,11485.234375 kWh
2017-08-06T00:00:00-06:00,11240.703125 kWh
2017-08-07T00:00:00-06:00,12356.921875 kWh
2017-08-08T00:00:00-06:00,12186.328125 kWh
2017-08-09T00:00:00-06:00,12228.96875 kWh
2017-08-10T00:00:00-06:00,12163.96875 kWh
2017-08-11T00:00:00-06:00,12389.375 kWh
2017-08-12T00:00:00-06:00,11439.78125 kWh
2017-08-13T00:00:00-06:00,11416.25 kWh
2017-08-14T00:00:00-06:00,12308.28125 kWh
2017-08-15T00:00:00-06:00,11896.34375 kWh
2017-08-16T00:00:00-06:00,11760.0625 kWh
2017-08-17T00:00:00-06:00,11697.34375 kWh
2017-08-18T00:00:00-06:00,12072.3125 kWh
2017-08-19T00:00:00-06:00,11212.15625 kWh
2017-08-20T00:00:00-06:00,11295.9375 kWh
2017-08-21T00:00:00-06:00,12390.71875 kWh
2017-08-22T00:00:00-06:00,12431.8125 kWh
2017-08-23T00:00:00-06:00,11782.125 kWh
2017-08-24T00:00:00-06:00,10864.65625 kWh
2017-08-25T00:00:00-06:00,12127.5625 kWh
2017-08-26T00:00:00-06:00,11143.4375 kWh
2017-08-27T00:00:00-06:00,11055.25 kWh
2017-08-28T00:00:00-06:00,12389.78125 kWh
2017-08-29T00:00:00-06:00,11850 kWh
2017-08-30T00:00:00-06:00,12020.5625 kWh
2017-08-31T00:00:00-06:00,11754.1875 kWh
2017-09-01T00:00:00-06:00,11686.6875 kWh
2017-09-02T00:00:00-06:00,10670.4375 kWh
2017-09-03T00:00:00-06:00,10665 kWh
2017-09-04T00:00:00-06:00,11005.375 kWh
2017-09-05T00:00:00-06:00,11832.0625 kWh
2017-09-06T00:00:00-06:00,11782.875 kWh
2017-09-07T00:00:00-06:00,11715.375 kWh
2017-09-08T00:00:00-06:00,11555.1875 kWh
2017-09-09T00:00:00-06:00,10423.1875 kWh
2017-09-10T00:00:00-06:00,10343.8125 kWh
2017-09-11T00:00:00-06:00,11587.8125 kWh
2017-09-12T00:00:00-06:00,11558.125 kWh
2017-09-13T00:00:00-06:00,11506.8125 kWh
2017-09-14T00:00:00-06:00,11174.625 kWh
2017-09-15T00:00:00-06:00,10820.1875 kWh
2017-09-16T00:00:00-06:00,8949.75 kWh
2017-09-17T00:00:00-06:00,9384.1875 kWh
2017-09-18T00:00:00-06:00,11626.625 kWh
2017-09-19T00:00:00-06:00,9854.625 kWh
2017-09-20T00:00:00-06:00,9850.5 kWh
2017-09-21T00:00:00-06:00,8920.75 kWh
2017-09-22T00:00:00-06:00,7100.3125 kWh
2017-09-23T00:00:00-06:00,6236.0625 kWh
2017-09-24T00:00:00-06:00,6233.875 kWh
2017-09-25T00:00:00-06:00,8151 kWh
2017-09-26T00:00:00-06:00,8676 kWh
2017-09-27T00:00:00-06:00,9873.6875 kWh
2017-09-28T00:00:00-06:00,10244.4375 kWh
2017-09-29T00:00:00-06:00,10521 kWh
2017-09-30T00:00:00-06:00,9429.375 kWh
2017-10-01T00:00:00-06:00,7210.0625 kWh
2017-10-02T00:00:00-06:00,7122.125 kWh
2017-10-03T00:00:00-06:00,8307.4375 kWh
2017-10-04T00:00:00-06:00,9668.75 kWh
2017-10-05T00:00:00-06:00,8332 kWh
2017-10-06T00:00:00-06:00,8306 kWh
2017-10-07T00:00:00-06:00,8340.6875 kWh
2017-10-08T00:00:00-06:00,6679.375 kWh
2017-10-09T00:00:00-06:00,7370.6875 kWh
2017-10-10T00:00:00-06:00,7947.4375 kWh
2017-10-11T00:00:00-06:00,9059.0625 kWh
2017-10-12T00:00:00-06:00,7952.3125 kWh
2017-10-13T00:00:00-06:00,8103.3125 kWh
2017-10-14T00:00:00-06:00,6162.9375 kWh
2017-10-15T00:00:00-06:00,6635.125 kWh
2017-10-16T00:00:00-06:00,8055.6875 kWh
2017-10-17T00:00:00-06:00,8837.5 kWh
2017-10-18T00:00:00-06:00,9141.3125 kWh
2017-10-19T00:00:00-06:00,9504.1875 kWh
2017-10-20T00:00:00-06:00,8961.8125 kWh
2017-10-21T00:00:00-06:00,6137.705078125 kWh
2017-10-22T00:00:00-06:00,7972.580078125 kWh
2017-10-23T00:00:00-06:00,8970.849609375 kWh
2017-10-24T00:00:00-06:00,8286 kWh
2017-10-25T00:00:00-06:00,8736.080078125 kWh
2017-10-26T00:00:00-06:00,7342.51171875 kWh
2017-10-27T00:00:00-06:00,7129.296875 kWh
2017-10-28T00:00:00-06:00,6389.171875 kWh
2017-10-29T00:00:00-06:00,6417.75 kWh
2017-10-30T00:00:00-06:00,7126.8515625 kWh
2017-10-31T00:00:00-06:00,7067.1171875 kWh
2017-11-01T00:00:00-06:00,7277.203125 kWh
