Timestamp,['1cac6e9f-9b2d98fe 0011-BROWNING BLDG Power Meter 311945 VOLT B-N']
2017-04-27T00:00:00-06:00,122.96957207255893 V
2017-04-28T00:00:00-06:00,122.7944671842787 V
2017-04-29T00:00:00-06:00,122.99079633818732 V
2017-04-30T00:00:00-06:00,122.84982894261678 V
2017-05-01T00:00:00-06:00,122.82904405308896 V
2017-05-02T00:00:00-06:00,122.78577176729839 V
2017-05-03T00:00:00-06:00,122.82304757965936 V
2017-05-04T00:00:00-06:00,122.83730828497144 V
2017-05-05T00:00:00-06:00,122.86865319146051 V
2017-05-06T00:00:00-06:00,122.84198368920221 V
2017-05-07T00:00:00-06:00,122.84345405896505 V
2017-05-08T00:00:00-06:00,122.84965633376284 V
2017-05-09T00:00:00-06:00,122.93285101254781 V
2017-05-10T00:00:00-06:00,122.87770194477505 V
2017-05-11T00:00:00-06:00,122.71953873104519 V
2017-05-12T00:00:00-06:00,122.91470744344923 V
2017-05-13T00:00:00-06:00,123.05252735879687 V
2017-05-14T00:00:00-06:00,122.76601353751289 V
2017-05-15T00:00:00-06:00,122.86412162250943 V
2017-05-16T00:00:00-06:00,122.96670312351651 V
2017-05-17T00:00:00-06:00,123.04755501217312 V
2017-05-18T00:00:00-06:00,122.84000939263238 V
2017-05-19T00:00:00-06:00,123.08811718093024 V
2017-05-20T00:00:00-06:00,122.97918750974867 V
2017-05-21T00:00:00-06:00,122.92564193937514 V
2017-05-22T00:00:00-06:00,123.02597192658318 V
2017-05-23T00:00:00-06:00,122.9306646241082 V
2017-05-24T00:00:00-06:00,122.90121779971652 V
2017-05-25T00:00:00-06:00,122.87355134752062 V
2017-05-26T00:00:00-06:00,122.8571211496989 V
2017-05-27T00:00:00-06:00,122.88413959079318 V
2017-05-28T00:00:00-06:00,122.95469022856818 V
2017-05-29T00:00:00-06:00,122.9032248073154 V
2017-05-30T00:00:00-06:00,122.93375831180148 V
2017-05-31T00:00:00-06:00,122.84843632909987 V
2017-06-01T00:00:00-06:00,123.02743266423543 V
2017-06-02T00:00:00-06:00,122.86048134167989 V
2017-06-03T00:00:00-06:00,122.95335222350226 V
2017-06-04T00:00:00-06:00,122.89781694412231 V
2017-06-05T00:00:00-06:00,122.85143428908454 V
2017-06-06T00:00:00-06:00,122.88267944420767 V
2017-06-07T00:00:00-06:00,122.91674451828003 V
2017-06-08T00:00:00-06:00,122.94775414466858 V
2017-06-09T00:00:00-06:00,122.84775258170234 V
2017-06-10T00:00:00-06:00,122.80469359291925 V
2017-06-11T00:00:00-06:00,122.82442331843906 V
2017-06-12T00:00:00-06:00,122.88830040990685 V
2017-06-13T00:00:00-06:00,122.82728707525465 V
2017-06-14T00:00:00-06:00,122.76454643143548 V
2017-06-15T00:00:00-06:00,122.71432366900974 V
2017-06-16T00:00:00-06:00,122.79852219687568 V
2017-06-17T00:00:00-06:00,122.92856236563789 V
2017-06-18T00:00:00-06:00,122.98193314870198 V
2017-06-19T00:00:00-06:00,122.92492765850491 V
2017-06-20T00:00:00-06:00,122.86412688891093 V
2017-06-21T00:00:00-06:00,122.82506747245789 V
2017-06-22T00:00:00-06:00,122.92474318610297 V
2017-06-23T00:00:00-06:00,122.88365683555602 V
2017-06-24T00:00:00-06:00,122.95269505182902 V
2017-06-25T00:00:00-06:00,123.03058289719424 V
2017-06-26T00:00:00-06:00,122.77017727428013 V
2017-06-27T00:00:00-06:00,122.89586403104994 V
2017-06-28T00:00:00-06:00,122.84431081877814 V
2017-06-29T00:00:00-06:00,122.91408616171942 V
2017-06-30T00:00:00-06:00,122.81793511708578 V
2017-07-01T00:00:00-06:00,122.8627004146576 V
2017-07-02T00:00:00-06:00,122.94329835044013 V
2017-07-03T00:00:00-06:00,122.85277256965637 V
2017-07-04T00:00:00-06:00,122.98221498065524 V
2017-07-05T00:00:00-06:00,122.8910702864329 V
2017-07-06T00:00:00-06:00,122.85500277902949 V
2017-07-07T00:00:00-06:00,122.9019151157803 V
2017-07-08T00:00:00-06:00,122.90018994543287 V
2017-07-09T00:00:00-06:00,122.92327610651652 V
2017-07-10T00:00:00-06:00,122.8785131878323 V
2017-07-11T00:00:00-06:00,122.84624804920621 V
2017-07-12T00:00:00-06:00,122.82103415065342 V
2017-07-13T00:00:00-06:00,122.94897780948214 V
2017-07-14T00:00:00-06:00,122.87988049719068 V
2017-07-15T00:00:00-06:00,122.89531859291924 V
2017-07-16T00:00:00-06:00,122.88713380178699 V
2017-07-17T00:00:00-06:00,122.83684666421678 V
2017-07-18T00:00:00-06:00,122.8719462023841 V
2017-07-19T00:00:00-06:00,122.83297793070476 V
2017-07-20T00:00:00-06:00,122.8654699590471 V
2017-07-21T00:00:00-06:00,122.79930808809068 V
2017-07-22T00:00:00-06:00,122.8618940035502 V
2017-07-23T00:00:00-06:00,122.95684419737921 V
2017-07-24T00:00:00-06:00,123.01583348910013 V
2017-07-25T00:00:00-06:00,122.89427814483642 V
2017-07-26T00:00:00-06:00,122.86220784717136 V
2017-07-27T00:00:00-06:00,122.9140555858612 V
2017-07-28T00:00:00-06:00,122.83017933633593 V
2017-07-29T00:00:00-06:00,122.90600759188334 V
2017-07-30T00:00:00-06:00,122.94366553094652 V
2017-07-31T00:00:00-06:00,122.92480611801147 V
2017-08-01T00:00:00-06:00,122.93412436909146 V
2017-08-02T00:00:00-06:00,122.80529070463837 V
2017-08-03T00:00:00-06:00,122.79692536989847 V
2017-08-04T00:00:00-06:00,122.82712903193688 V
2017-08-05T00:00:00-06:00,122.88087677955627 V
2017-08-06T00:00:00-06:00,122.90295052528381 V
2017-08-07T00:00:00-06:00,122.77406629456414 V
2017-08-08T00:00:00-06:00,122.8206677224901 V
2017-08-09T00:00:00-06:00,122.82424154281617 V
2017-08-10T00:00:00-06:00,122.7863222703866 V
2017-08-11T00:00:00-06:00,122.92973189883762 V
2017-08-12T00:00:00-06:00,122.94430662261115 V
2017-08-13T00:00:00-06:00,123.0434985478719 V
2017-08-14T00:00:00-06:00,122.95318596627978 V
2017-08-15T00:00:00-06:00,122.92360336515638 V
2017-08-16T00:00:00-06:00,122.7970113489363 V
2017-08-17T00:00:00-06:00,122.85190867847867 V
2017-08-18T00:00:00-06:00,122.87209397951762 V
2017-08-19T00:00:00-06:00,122.98393499586317 V
2017-08-20T00:00:00-06:00,123.06192520459493 V
2017-08-21T00:00:00-06:00,122.9550381289588 V
2017-08-22T00:00:00-06:00,122.85488255288865 V
2017-08-23T00:00:00-06:00,122.90978678597344 V
2017-08-24T00:00:00-06:00,122.79456290139092 V
2017-08-25T00:00:00-06:00,122.73156779077318 V
2017-08-26T00:00:00-06:00,122.78159317440456 V
2017-08-27T00:00:00-06:00,122.83769459724427 V
2017-08-28T00:00:00-06:00,122.80764344256858 V
2017-08-29T00:00:00-06:00,122.85078766560268 V
2017-08-30T00:00:00-06:00,122.87622628211975 V
2017-08-31T00:00:00-06:00,122.92071443663703 V
2017-09-01T00:00:00-06:00,122.75290721257528 V
2017-09-02T00:00:00-06:00,122.86437590387132 V
2017-09-03T00:00:00-06:00,122.95239610671997 V
2017-09-04T00:00:00-06:00,122.80162085956998 V
2017-09-05T00:00:00-06:00,122.76398482852512 V
2017-09-06T00:00:00-06:00,122.73617893266744 V
2017-09-07T00:00:00-06:00,122.68679847187467 V
2017-09-08T00:00:00-06:00,122.85883494976265 V
2017-09-09T00:00:00-06:00,122.88711198700798 V
2017-09-10T00:00:00-06:00,122.94950898488362 V
2017-09-11T00:00:00-06:00,122.70184539688958 V
2017-09-12T00:00:00-06:00,122.94695865313211 V
2017-09-13T00:00:00-06:00,122.76185309092203 V
2017-09-14T00:00:00-06:00,122.87973919444615 V
2017-09-15T00:00:00-06:00,122.90484494633145 V
2017-09-16T00:00:00-06:00,123.08871553738912 V
2017-09-17T00:00:00-06:00,122.81390414237976 V
2017-09-18T00:00:00-06:00,122.92711717287699 V
2017-09-19T00:00:00-06:00,122.7562257607778 V
2017-09-20T00:00:00-06:00,122.8783591164483 V
2017-09-21T00:00:00-06:00,122.99800645510355 V
2017-09-22T00:00:00-06:00,122.96607355541653 V
2017-09-23T00:00:00-06:00,123.01370350519817 V
2017-09-24T00:00:00-06:00,122.8626757144928 V
2017-09-25T00:00:00-06:00,123.0120520485772 V
2017-09-26T00:00:00-06:00,122.88912822935316 V
2017-09-27T00:00:00-06:00,122.96713715129428 V
2017-09-28T00:00:00-06:00,122.81091640790304 V
2017-09-29T00:00:00-06:00,122.81739097171359 V
2017-09-30T00:00:00-06:00,122.98478149308099 V
2017-10-01T00:00:00-06:00,122.89461789131164 V
2017-10-02T00:00:00-06:00,122.96708708339267 V
2017-10-03T00:00:00-06:00,122.98374298498645 V
2017-10-04T00:00:00-06:00,122.87680896653069 V
2017-10-05T00:00:00-06:00,123.01372951931424 V
2017-10-06T00:00:00-06:00,123.00532587369283 V
2017-10-07T00:00:00-06:00,122.96301387151082 V
2017-10-08T00:00:00-06:00,123.12838700612386 V
2017-10-09T00:00:00-06:00,122.93659894201491 V
2017-10-10T00:00:00-06:00,122.99944360521104 V
2017-10-11T00:00:00-06:00,122.7887374718984 V
2017-10-12T00:00:00-06:00,122.99693340725369 V
2017-10-13T00:00:00-06:00,123.00411465432909 V
2017-10-14T00:00:00-06:00,123.006394900216 V
2017-10-15T00:00:00-06:00,122.97692278226216 V
2017-10-16T00:00:00-06:00,123.03443686697219 V
2017-10-17T00:00:00-06:00,122.91725523206922 V
2017-10-18T00:00:00-06:00,122.90321296585931 V
2017-10-19T00:00:00-06:00,123.00586169722015 V
2017-10-20T00:00:00-06:00,122.98672433959113 V
2017-10-21T00:00:00-06:00,122.9690937836965 V
2017-10-22T00:00:00-06:00,123.05906867980957 V
2017-10-23T00:00:00-06:00,122.97386572625902 V
2017-10-24T00:00:00-06:00,122.88293408817715 V
2017-10-25T00:00:00-06:00,122.89648617638483 V
2017-10-26T00:00:00-06:00,122.94355076683892 V
2017-10-27T00:00:00-06:00,122.98122161759271 V
2017-10-28T00:00:00-06:00,122.89301415549384 V
2017-10-29T00:00:00-06:00,123.05440070894029 V
2017-10-30T00:00:00-06:00,123.02747696770562 V
2017-10-31T00:00:00-06:00,122.9862059434255 V
2017-11-01T00:00:00-06:00,122.94574484119323 V
2017-11-02T00:00:00-06:00,122.93902972539266 V
2017-11-03T00:00:00-06:00,122.95196868048774 V
2017-11-04T00:00:00-06:00,123.08235075738695 V
2017-11-05T00:00:00-06:00,122.9174368540446 V
2017-11-06T00:00:00-07:00,122.87949442333645 V
2017-11-07T00:00:00-07:00,122.81306879255507 V
2017-11-08T00:00:00-07:00,122.87348457972209 V
2017-11-09T00:00:00-07:00,122.99568973647223 V
2017-11-10T00:00:00-07:00,122.99033172395494 V
2017-11-11T00:00:00-07:00,122.87868986659579 V
2017-11-12T00:00:00-07:00,122.9546908974399 V
2017-11-13T00:00:00-07:00,122.98251597616408 V
2017-11-14T00:00:00-07:00,123.14556059837341 V
2017-11-15T00:00:00-07:00,122.93456115192838 V
2017-11-16T00:00:00-07:00,122.82968575689527 V
2017-11-17T00:00:00-07:00,122.94298729488963 V
2017-11-18T00:00:00-07:00,123.11865786976284 V
2017-11-19T00:00:00-07:00,123.18055295414395 V
2017-11-20T00:00:00-07:00,122.96229744487339 V
2017-11-21T00:00:00-07:00,122.88721392419603 V
2017-11-22T00:00:00-07:00,122.85270134607951 V
2017-11-23T00:00:00-07:00,123.13605063226488 V
2017-11-24T00:00:00-07:00,122.94561644574684 V
2017-11-25T00:00:00-07:00,122.91372703976101 V
2017-11-26T00:00:00-07:00,123.04412741591484 V
2017-11-27T00:00:00-07:00,122.8813814163208 V
2017-11-28T00:00:00-07:00,122.96223025851779 V
2017-11-29T00:00:00-07:00,123.06602118280199 V
2017-11-30T00:00:00-07:00,123.1558599948883 V
2017-12-01T00:00:00-07:00,122.94984043969049 V
