Timestamp,['1cc96fb6-55bf471a 0051-STERLING SILL CNTR Power Meter KWH Received']
2017-05-18T00:00:00-06:00,518 kWh
2017-05-19T00:00:00-06:00,505 kWh
2017-05-20T00:00:00-06:00,432 kWh
2017-05-21T00:00:00-06:00,464 kWh
2017-05-22T00:00:00-06:00,516 kWh
2017-05-23T00:00:00-06:00,529 kWh
2017-05-24T00:00:00-06:00,535 kWh
2017-05-25T00:00:00-06:00,538 kWh
2017-05-26T00:00:00-06:00,540 kWh
2017-05-27T00:00:00-06:00,472 kWh
2017-05-28T00:00:00-06:00,485 kWh
2017-05-29T00:00:00-06:00,490 kWh
2017-05-30T00:00:00-06:00,542 kWh
2017-05-31T00:00:00-06:00,566 kWh
2017-06-01T00:00:00-06:00,566 kWh
2017-06-02T00:00:00-06:00,509 kWh
2017-06-03T00:00:00-06:00,466 kWh
2017-06-04T00:00:00-06:00,470 kWh
2017-06-05T00:00:00-06:00,537 kWh
2017-06-06T00:00:00-06:00,553 kWh
2017-06-07T00:00:00-06:00,536 kWh
2017-06-08T00:00:00-06:00,534 kWh
2017-06-09T00:00:00-06:00,499 kWh
2017-06-10T00:00:00-06:00,457 kWh
2017-06-11T00:00:00-06:00,456 kWh
2017-06-12T00:00:00-06:00,557 kWh
2017-06-13T00:00:00-06:00,557 kWh
2017-06-14T00:00:00-06:00,521 kWh
2017-06-15T00:00:00-06:00,530 kWh
2017-06-16T00:00:00-06:00,512 kWh
2017-06-17T00:00:00-06:00,467 kWh
2017-06-18T00:00:00-06:00,462 kWh
2017-06-19T00:00:00-06:00,524 kWh
2017-06-20T00:00:00-06:00,530 kWh
2017-06-21T00:00:00-06:00,537 kWh
2017-06-22T00:00:00-06:00,526 kWh
2017-06-23T00:00:00-06:00,518 kWh
2017-06-24T00:00:00-06:00,464 kWh
2017-06-25T00:00:00-06:00,464 kWh
2017-06-26T00:00:00-06:00,529 kWh
2017-06-27T00:00:00-06:00,529 kWh
2017-06-28T00:00:00-06:00,522 kWh
2017-06-29T00:00:00-06:00,518 kWh
2017-06-30T00:00:00-06:00,502 kWh
2017-07-01T00:00:00-06:00,447 kWh
2017-07-02T00:00:00-06:00,447 kWh
2017-07-03T00:00:00-06:00,486 kWh
2017-07-04T00:00:00-06:00,462 kWh
2017-07-05T00:00:00-06:00,529 kWh
2017-07-06T00:00:00-06:00,520 kWh
2017-07-07T00:00:00-06:00,516 kWh
2017-07-08T00:00:00-06:00,470 kWh
2017-07-09T00:00:00-06:00,473 kWh
2017-07-10T00:00:00-06:00,532 kWh
2017-07-11T00:00:00-06:00,541 kWh
2017-07-12T00:00:00-06:00,530 kWh
2017-07-13T00:00:00-06:00,540 kWh
2017-07-14T00:00:00-06:00,533 kWh
2017-07-15T00:00:00-06:00,478 kWh
2017-07-16T00:00:00-06:00,476 kWh
2017-07-17T00:00:00-06:00,538 kWh
2017-07-18T00:00:00-06:00,533 kWh
2017-07-19T00:00:00-06:00,547 kWh
2017-07-20T00:00:00-06:00,538 kWh
2017-07-21T00:00:00-06:00,511 kWh
2017-07-22T00:00:00-06:00,467 kWh
2017-07-23T00:00:00-06:00,466 kWh
2017-07-24T00:00:00-06:00,471 kWh
2017-07-25T00:00:00-06:00,558 kWh
2017-07-26T00:00:00-06:00,544 kWh
2017-07-27T00:00:00-06:00,542 kWh
2017-07-28T00:00:00-06:00,533 kWh
2017-07-29T00:00:00-06:00,469 kWh
2017-07-30T00:00:00-06:00,468 kWh
2017-07-31T00:00:00-06:00,536 kWh
2017-08-01T00:00:00-06:00,536 kWh
2017-08-02T00:00:00-06:00,533 kWh
2017-08-03T00:00:00-06:00,525 kWh
2017-08-04T00:00:00-06:00,517 kWh
2017-08-05T00:00:00-06:00,463 kWh
2017-08-06T00:00:00-06:00,473 kWh
2017-08-07T00:00:00-06:00,539 kWh
2017-08-08T00:00:00-06:00,534 kWh
2017-08-09T00:00:00-06:00,538 kWh
2017-08-10T00:00:00-06:00,535 kWh
2017-08-11T00:00:00-06:00,523 kWh
2017-08-12T00:00:00-06:00,474 kWh
2017-08-13T00:00:00-06:00,480 kWh
2017-08-14T00:00:00-06:00,557 kWh
2017-08-15T00:00:00-06:00,551 kWh
2017-08-16T00:00:00-06:00,544 kWh
2017-08-17T00:00:00-06:00,545 kWh
2017-08-18T00:00:00-06:00,528 kWh
2017-08-19T00:00:00-06:00,475 kWh
2017-08-20T00:00:00-06:00,477 kWh
2017-08-21T00:00:00-06:00,546 kWh
2017-08-22T00:00:00-06:00,563 kWh
2017-08-23T00:00:00-06:00,552 kWh
2017-08-24T00:00:00-06:00,542 kWh
2017-08-25T00:00:00-06:00,532 kWh
2017-08-26T00:00:00-06:00,452 kWh
2017-08-27T00:00:00-06:00,453 kWh
2017-08-28T00:00:00-06:00,553 kWh
2017-08-29T00:00:00-06:00,546 kWh
2017-08-30T00:00:00-06:00,542 kWh
2017-08-31T00:00:00-06:00,548 kWh
2017-09-01T00:00:00-06:00,526 kWh
2017-09-02T00:00:00-06:00,461 kWh
2017-09-03T00:00:00-06:00,461 kWh
2017-09-04T00:00:00-06:00,464 kWh
2017-09-05T00:00:00-06:00,554 kWh
2017-09-06T00:00:00-06:00,555 kWh
2017-09-07T00:00:00-06:00,555 kWh
2017-09-08T00:00:00-06:00,552 kWh
2017-09-09T00:00:00-06:00,496 kWh
2017-09-10T00:00:00-06:00,478 kWh
2017-09-11T00:00:00-06:00,559 kWh
2017-09-12T00:00:00-06:00,564 kWh
2017-09-13T00:00:00-06:00,553 kWh
2017-09-14T00:00:00-06:00,573 kWh
2017-09-15T00:00:00-06:00,565 kWh
2017-09-16T00:00:00-06:00,471 kWh
2017-09-17T00:00:00-06:00,474 kWh
2017-09-18T00:00:00-06:00,547 kWh
2017-09-19T00:00:00-06:00,571 kWh
2017-09-20T00:00:00-06:00,537 kWh
2017-09-21T00:00:00-06:00,548 kWh
2017-09-22T00:00:00-06:00,501 kWh
2017-09-23T00:00:00-06:00,466 kWh
2017-09-24T00:00:00-06:00,472 kWh
2017-09-25T00:00:00-06:00,538 kWh
2017-09-26T00:00:00-06:00,539 kWh
2017-09-27T00:00:00-06:00,539 kWh
2017-09-28T00:00:00-06:00,579 kWh
2017-09-29T00:00:00-06:00,538 kWh
2017-09-30T00:00:00-06:00,502 kWh
2017-10-01T00:00:00-06:00,474 kWh
2017-10-02T00:00:00-06:00,547 kWh
2017-10-03T00:00:00-06:00,550 kWh
2017-10-04T00:00:00-06:00,568 kWh
2017-10-05T00:00:00-06:00,531 kWh
2017-10-06T00:00:00-06:00,525 kWh
2017-10-07T00:00:00-06:00,463 kWh
2017-10-08T00:00:00-06:00,470 kWh
2017-10-09T00:00:00-06:00,517 kWh
2017-10-10T00:00:00-06:00,521 kWh
2017-10-11T00:00:00-06:00,540 kWh
2017-10-12T00:00:00-06:00,523 kWh
2017-10-13T00:00:00-06:00,515 kWh
2017-10-14T00:00:00-06:00,469 kWh
2017-10-15T00:00:00-06:00,466 kWh
2017-10-16T00:00:00-06:00,536 kWh
2017-10-17T00:00:00-06:00,552 kWh
2017-10-18T00:00:00-06:00,556 kWh
2017-10-19T00:00:00-06:00,542 kWh
2017-10-20T00:00:00-06:00,561 kWh
2017-10-21T00:00:00-06:00,440 kWh
2017-10-22T00:00:00-06:00,472 kWh
2017-10-23T00:00:00-06:00,556 kWh
2017-10-24T00:00:00-06:00,541 kWh
2017-10-25T00:00:00-06:00,560 kWh
2017-10-26T00:00:00-06:00,568 kWh
2017-10-27T00:00:00-06:00,551 kWh
2017-10-28T00:00:00-06:00,491 kWh
2017-10-29T00:00:00-06:00,494 kWh
2017-10-30T00:00:00-06:00,573 kWh
2017-10-31T00:00:00-06:00,464 kWh
2017-11-01T00:00:00-06:00,445 kWh
2017-11-02T00:00:00-06:00,442 kWh
2017-11-03T00:00:00-06:00,431 kWh
2017-11-04T00:00:00-06:00,269 kWh
2017-11-05T00:00:00-06:00,263 kWh
2017-11-06T00:00:00-07:00,431 kWh
