Timestamp,['203f26a6-f6d0eb8c 0097-DUMKE GYMNASTICS CNTR Power Meter Volts A-B']
2017-06-17T00:00:00-06:00,486.73189131418866 V
2017-06-18T00:00:00-06:00,486.38872814178467 V
2017-06-19T00:00:00-06:00,485.96168454488117 V
2017-06-20T00:00:00-06:00,485.4937041600545 V
2017-06-21T00:00:00-06:00,485.53941853841144 V
2017-06-22T00:00:00-06:00,486.1260573069255 V
2017-06-23T00:00:00-06:00,486.05621973673504 V
2017-06-24T00:00:00-06:00,486.68362585703534 V
2017-06-25T00:00:00-06:00,486.36359723409015 V
2017-06-26T00:00:00-06:00,484.675235748291 V
2017-06-27T00:00:00-06:00,485.4337514241536 V
2017-06-28T00:00:00-06:00,485.7384316126506 V
2017-06-29T00:00:00-06:00,485.7819325129191 V
2017-06-30T00:00:00-06:00,485.8809534708659 V
2017-07-01T00:00:00-06:00,485.80080540974933 V
2017-07-02T00:00:00-06:00,485.959760983785 V
2017-07-03T00:00:00-06:00,485.3489917119344 V
2017-07-04T00:00:00-06:00,485.52387619018555 V
2017-07-05T00:00:00-06:00,484.9070342381795 V
2017-07-06T00:00:00-06:00,485.2387040456136 V
2017-07-07T00:00:00-06:00,485.0553830464681 V
2017-07-08T00:00:00-06:00,486.4106305440267 V
2017-07-09T00:00:00-06:00,485.6454340616862 V
2017-07-10T00:00:00-06:00,484.56449190775555 V
2017-07-11T00:00:00-06:00,485.19062328338623 V
2017-07-12T00:00:00-06:00,485.1436936060588 V
2017-07-13T00:00:00-06:00,485.11984888712567 V
2017-07-14T00:00:00-06:00,485.4557917912801 V
2017-07-15T00:00:00-06:00,486.0318800608317 V
2017-07-16T00:00:00-06:00,486.3031479517619 V
2017-07-17T00:00:00-06:00,484.9971008300781 V
2017-07-18T00:00:00-06:00,485.61066182454425 V
2017-07-19T00:00:00-06:00,485.02749729156494 V
2017-07-20T00:00:00-06:00,485.4859390258789 V
2017-07-21T00:00:00-06:00,484.9217227300008 V
2017-07-22T00:00:00-06:00,486.43242200215656 V
2017-07-23T00:00:00-06:00,485.9567403793335 V
2017-07-24T00:00:00-06:00,485.61686674753827 V
2017-07-25T00:00:00-06:00,485.37239996592206 V
2017-07-26T00:00:00-06:00,485.38267008463544 V
2017-07-27T00:00:00-06:00,485.95853360493976 V
