Timestamp,['1cbae8d4-7c819ced 0038-ART BLDG Power Meter 300086 Current B']
2017-04-27T00:00:00-06:00,112.4475091987186 A
2017-04-28T00:00:00-06:00,84.5674472782347 A
2017-04-29T00:00:00-06:00,96.59899926980337 A
2017-04-30T00:00:00-06:00,87.9411981900533 A
2017-05-01T00:00:00-06:00,76.24049800766839 A
2017-05-02T00:00:00-06:00,77.7696358707216 A
2017-05-03T00:00:00-06:00,94.69491295284695 A
2017-05-04T00:00:00-06:00,83.73765918413798 A
2017-05-05T00:00:00-06:00,90.32317450311449 A
2017-05-06T00:00:00-06:00,43.356986717383066 A
2017-05-07T00:00:00-06:00,58.03266016377343 A
2017-05-08T00:00:00-06:00,72.10827976695278 A
2017-05-09T00:00:00-06:00,54.22700600094265 A
2017-05-10T00:00:00-06:00,59.76039466990365 A
2017-05-11T00:00:00-06:00,47.76777082549201 A
2017-05-12T00:00:00-06:00,59.013706302642824 A
2017-05-13T00:00:00-06:00,65.39758560042816 A
2017-05-14T00:00:00-06:00,59.54877507156796 A
2017-05-15T00:00:00-06:00,77.17717790603638 A
2017-05-16T00:00:00-06:00,73.25573719069725 A
2017-05-17T00:00:00-06:00,59.867533061239456 A
2017-05-18T00:00:00-06:00,54.03558727632885 A
2017-05-19T00:00:00-06:00,53.36274637381236 A
2017-05-20T00:00:00-06:00,44.0254472149743 A
2017-05-21T00:00:00-06:00,44.13681501017676 A
2017-05-22T00:00:00-06:00,54.98603914843665 A
2017-05-23T00:00:00-06:00,56.3019497262107 A
2017-05-24T00:00:00-06:00,56.91846680111355 A
2017-05-25T00:00:00-06:00,53.69669276343451 A
2017-05-26T00:00:00-06:00,42.28190295033985 A
2017-05-27T00:00:00-06:00,38.550395852989624 A
2017-05-28T00:00:00-06:00,48.437461989455755 A
2017-05-29T00:00:00-06:00,51.415587131182356 A
2017-05-30T00:00:00-06:00,62.41694303618537 A
2017-05-31T00:00:00-06:00,49.56178811126285 A
2017-06-01T00:00:00-06:00,49.14161018265618 A
2017-06-02T00:00:00-06:00,45.37507899734709 A
2017-06-03T00:00:00-06:00,38.71327097813288 A
2017-06-04T00:00:00-06:00,42.52208457920286 A
2017-06-05T00:00:00-06:00,50.15827572875553 A
2017-06-06T00:00:00-06:00,72.78337870438894 A
2017-06-07T00:00:00-06:00,65.51812185711331 A
