,game,shot,home/away,made/missed,period,shooter,shooter_name,distance,shot_type,assist,left,top,ThreePt
5807,71,16,1,0,1,3908809,Donovan Mitchell,,driving layup,,92.44444444444444,54.0,0
5808,71,17,1,1,1,3032976,Rudy Gobert,2-foot,alley oop dunk shot,Ricky Rubio,91.33333333333333,52.0,0
5809,71,18,1,1,1,3908809,Donovan Mitchell,25-foot,three pointer,,65.77777777777777,60.0,1
5810,71,19,1,1,1,6581,Jae Crowder,24-foot,three point jumper,Donovan Mitchell,66.88888888888889,48.0,1
5811,71,20,1,0,1,2583632,Royce O,24-foot,three point jumper,,92.44444444444444,4.0,1
5812,71,21,1,1,1,3908809,Donovan Mitchell,13-foot,jumper,Jae Crowder,79.11111111111111,48.0,0
5813,71,22,1,0,1,3102528,Dante Exum,,two point shot,,85.77777777777777,50.0,0
5814,71,23,1,0,1,4261,Ekpe Udoh,11-foot,two point shot,,81.33333333333334,48.0,0
5815,71,24,1,0,1,6581,Jae Crowder,1-foot,two point shot,,92.44444444444444,52.0,0
5816,71,25,1,0,1,2583632,Royce O,25-foot,three point jumper,,82.44444444444444,4.0,1
5817,71,26,1,0,1,3908809,Donovan Mitchell,,driving layup,,90.22222222222223,46.0,0
5818,71,27,1,1,1,3908809,Donovan Mitchell,,two point shot,,92.44444444444444,46.0,0
5819,71,30,1,0,1,4261,Ekpe Udoh,37-foot,three point jumper,,52.44444444444444,40.0,1
5820,71,31,1,0,2,6581,Jae Crowder,24-foot,three point jumper,,71.33333333333333,22.0,1
5821,71,32,1,0,2,3102528,Dante Exum,21-foot,pullup jump shot,,82.44444444444444,12.0,0
5822,71,33,1,0,2,6581,Jae Crowder,20-foot,pullup jump shot,,82.44444444444444,16.0,0
5823,71,34,1,0,2,6581,Jae Crowder,,layup,,92.44444444444444,48.0,0
5824,71,35,1,1,2,6581,Jae Crowder,2-foot,two point shot,,92.44444444444444,46.0,0
5825,71,36,1,0,2,2968436,Joe Ingles,25-foot,three point jumper,,72.44444444444444,18.0,1
5826,71,37,1,1,2,2583632,Royce O,,driving layup ,Joe Ingles,92.44444444444444,54.0,0
5827,71,38,1,0,2,3998,Jonas Jerebko,23-foot,three point jumper,,92.44444444444444,97.5,1
5828,71,39,1,1,2,3032976,Rudy Gobert,,layup,,92.44444444444444,52.0,0
5829,71,41,1,0,2,3998,Jonas Jerebko,,three point jumper,,93.55555555555556,94.0,1
5830,71,42,1,0,2,3908809,Donovan Mitchell,18-foot,pullup jump shot,,73.55555555555556,46.0,0
