,game,shot,home/away,made/missed,period,shooter,shooter_name,distance,shot_type,assist,left,top,ThreePt
0,1,0,1,1,1,4257,Derrick Favors,6-foot,jumper,Joe Ingles,91.33333333333333,60.0,0
1,1,1,1,0,1,4257,Derrick Favors,12-foot,jumper,,86.88888888888889,70.0,0
2,1,2,1,1,1,3032976,Rudy Gobert,3-foot,dunk,Joe Ingles,90.22222222222223,48.0,0
3,1,5,1,0,1,3908809,Donovan Mitchell,8-foot,pullup jump shot,,84.66666666666667,58.0,0
4,1,6,1,0,1,4011,Ricky Rubio,18-foot,pullup jump shot,,74.66666666666667,62.0,0
5,1,7,1,1,1,4011,Ricky Rubio,19-foot,step back jumpshot,,76.88888888888889,26.0,0
6,1,8,1,0,1,3908809,Donovan Mitchell,,driving layup,,92.44444444444444,46.0,0
7,1,9,1,1,1,1007,Joe Johnson,,two point shot,,83.55555555555556,50.0,0
8,1,10,1,1,1,3908809,Donovan Mitchell,10-foot,two point shot,,83.55555555555556,56.0,0
9,1,11,1,0,1,2968436,Joe Ingles,25-foot,three point jumper,,68.0,30.0,1
10,1,12,1,0,1,1007,Joe Johnson,23-foot,three point jumper,,86.88888888888889,4.0,1
11,1,13,1,1,1,3032976,Rudy Gobert,,layup ,Joe Ingles,92.44444444444444,54.0,0
12,1,14,1,0,1,1007,Joe Johnson,25-foot,three point jumper,,65.77777777777777,42.00000000000001,1
13,1,15,1,0,1,2581177,Rodney Hood,26-foot,three point jumper,,65.77777777777777,64.0,1
14,1,16,1,1,1,6429,Alec Burks,,driving layup,,90.22222222222223,54.0,0
15,1,17,1,0,1,2581177,Rodney Hood,14-foot,jumper,,78.0,52.0,0
16,1,18,1,0,1,1007,Joe Johnson,6-foot,hook shot,,86.88888888888889,46.0,0
17,1,19,1,0,1,6429,Alec Burks,22-foot,pullup jump shot,,70.22222222222223,66.0,0
18,1,20,1,1,1,2581177,Rodney Hood,25-foot,three point jumper,,73.55555555555556,84.0,1
19,1,21,1,0,1,3908809,Donovan Mitchell,25-foot,three point jumper,,81.33333333333334,97.5,1
20,1,22,1,1,1,1007,Joe Johnson,11-foot,pullup jump shot,,82.44444444444444,42.00000000000001,0
21,1,23,1,0,1,6429,Alec Burks,,driving layup,,91.33333333333333,46.0,0
22,1,24,1,1,2,3028,Thabo Sefolosha,,layup,,89.11111111111111,48.0,0
23,1,25,1,1,2,6429,Alec Burks,2-foot,dunk,,91.33333333333333,46.0,0
24,1,26,1,0,2,4257,Derrick Favors,19-foot,jumper,,73.55555555555556,62.0,0
25,1,27,1,1,2,2968436,Joe Ingles,23-foot,three point jumper,Thabo Sefolosha,90.22222222222223,6.0,1
26,1,28,1,1,2,4257,Derrick Favors,2-foot,dunk,Joe Ingles,92.44444444444444,52.0,0
27,1,29,1,1,2,2968436,Joe Ingles,23-foot,three point jumper,Donovan Mitchell,88.0,97.5,1
28,1,30,1,0,2,3028,Thabo Sefolosha,15-foot,pullup jump shot,,80.22222222222223,32.0,0
29,1,31,1,0,2,4257,Derrick Favors,23-foot,three point jumper,,90.22222222222223,4.0,1
30,1,32,1,0,2,3032976,Rudy Gobert,2-foot,two point shot,,91.33333333333333,52.0,0
31,1,34,1,1,2,2968436,Joe Ingles,23-foot,three point jumper,Ricky Rubio,91.33333333333333,97.5,1
32,1,35,1,1,2,3032976,Rudy Gobert,3-foot,dunk,Ricky Rubio,90.22222222222223,52.0,0
33,1,36,1,1,2,2968436,Joe Ingles,,layup ,Ricky Rubio,92.44444444444444,54.0,0
34,1,37,1,1,2,4011,Ricky Rubio,19-foot,jumper,Rudy Gobert,76.88888888888889,72.0,0
35,1,38,1,0,2,3908809,Donovan Mitchell,26-foot,three point jumper,,64.66666666666667,42.00000000000001,1
36,1,39,1,0,2,1007,Joe Johnson,,dunk,,83.55555555555556,48.0,0
37,1,40,1,1,2,3032976,Rudy Gobert,,dunk ,Joe Ingles,91.33333333333333,50.0,0
38,1,41,1,0,2,4011,Ricky Rubio,25-foot,three point jumper,,83.55555555555556,97.5,1
39,1,42,1,1,2,3908809,Donovan Mitchell,,driving layup,,91.33333333333333,46.0,0
40,1,43,1,0,2,4011,Ricky Rubio,25-foot,three point jumper,,65.77777777777777,60.0,1
41,1,44,1,1,2,3032976,Rudy Gobert,2-foot,layup,Joe Ingles,92.44444444444444,48.0,0
42,1,45,1,0,2,3908809,Donovan Mitchell,,layup,,91.33333333333333,54.0,0
43,1,46,1,0,2,3908809,Donovan Mitchell,22-foot,jumper,,70.22222222222223,66.0,0
44,1,47,1,1,3,4257,Derrick Favors,,layup ,Ricky Rubio,91.33333333333333,52.0,0
45,1,48,1,1,3,4257,Derrick Favors,16-foot,jumper,Ricky Rubio,91.33333333333333,82.0,0
46,1,49,1,0,3,4257,Derrick Favors,10-foot,two point shot,,82.44444444444444,48.0,0
47,1,50,1,0,3,4011,Ricky Rubio,23-foot,three point jumper,,92.44444444444444,97.5,1
48,1,51,1,1,3,4257,Derrick Favors,,dunk ,Ricky Rubio,91.33333333333333,48.0,0
49,1,52,1,1,3,4257,Derrick Favors,,jumper ,Ricky Rubio,78.0,50.0,0
50,1,53,1,1,3,2581177,Rodney Hood,25-foot,three point jumper,Derrick Favors,70.22222222222223,78.0,1
51,1,56,1,1,3,3032976,Rudy Gobert,2-foot,two point shot,Ricky Rubio,92.44444444444444,54.0,0
52,1,57,1,1,3,3032976,Rudy Gobert,,dunk ,Derrick Favors,91.33333333333333,50.0,0
53,1,58,1,0,3,2968436,Joe Ingles,26-foot,three point jumper,,68.0,74.0,1
54,1,59,1,1,3,4011,Ricky Rubio,25-foot,three point jumper,Derrick Favors,85.77777777777777,98.0,1
55,1,60,1,0,3,1007,Joe Johnson,25-foot,three point jumper,,74.66666666666667,86.0,1
56,1,61,1,0,3,6429,Alec Burks,,driving layup,,89.11111111111111,50.0,0
57,1,62,1,1,3,6429,Alec Burks,16-foot,pullup jump shot,,76.88888888888889,40.0,0
58,1,63,1,1,3,1007,Joe Johnson,9-foot,two point shot,,85.77777777777777,64.0,0
59,1,64,1,0,3,3908809,Donovan Mitchell,2-foot,layup,,91.33333333333333,54.0,0
60,1,67,1,0,3,3028,Thabo Sefolosha,25-foot,three point jumper,,65.77777777777777,54.0,1
61,1,68,1,0,3,3908809,Donovan Mitchell,,layup,,91.33333333333333,50.0,0
62,1,69,1,1,3,1007,Joe Johnson,25-foot,jump bank shot,Donovan Mitchell,72.44444444444444,80.0,0
63,1,70,1,1,4,6429,Alec Burks,2-foot,driving dunk,Joe Johnson,92.44444444444444,52.0,0
64,1,71,1,1,4,1007,Joe Johnson,2-foot,two point shot,,91.33333333333333,52.0,0
65,1,74,1,1,4,6429,Alec Burks,25-foot,three point jumper,,65.77777777777777,40.0,1
66,1,75,1,1,4,3908809,Donovan Mitchell,,layup ,Thabo Sefolosha,91.33333333333333,46.0,0
67,1,76,1,1,4,6429,Alec Burks,26-foot,three point jumper,Donovan Mitchell,66.88888888888889,72.0,1
68,1,77,1,1,4,6429,Alec Burks,,two point shot ,Donovan Mitchell,92.44444444444444,54.0,0
